ID;Generatie;HerkomstgroeperingVrouw;Huwelijksjaar;TotaalMannen_1;Autochtoon_2;TotaalNietWesters_3;Marokko_4;NederlandseAntillenAruba_5;Suriname_6;Turkije_7;OverigeNietWesters_8;Westers_9
143;Man 1e gen. allochtoon, vrouw autochtoon;Totaal niet-westers;2002 (Nog geen jaar getrouwd);;;;;;;;;
144;Man 1e gen. allochtoon, vrouw autochtoon;Marokko;2000 (Twee jaar getrouwd);;;;;;;;;
145;Man 1e gen. allochtoon, vrouw autochtoon;Marokko;2001 (Eén jaar getrouwd);;;;;;;;;
146;Man 1e gen. allochtoon, vrouw autochtoon;Marokko;2002 (Nog geen jaar getrouwd);;;;;;;;;
147;Man 1e gen. allochtoon, vrouw autochtoon;Nederlandse Antillen + Aruba;2000 (Twee jaar getrouwd);;;;;;;;;
148;Man 1e gen. allochtoon, vrouw autochtoon;Nederlandse Antillen + Aruba;2001 (Eén jaar getrouwd);;;;;;;;;
149;Man 1e gen. allochtoon, vrouw autochtoon;Nederlandse Antillen + Aruba;2002 (Nog geen jaar getrouwd);;;;;;;;;
150;Man 1e gen. allochtoon, vrouw autochtoon;Suriname;2000 (Twee jaar getrouwd);;;;;;;;;
151;Man 1e gen. allochtoon, vrouw autochtoon;Suriname;2001 (Eén jaar getrouwd);;;;;;;;;
152;Man 1e gen. allochtoon, vrouw autochtoon;Suriname;2002 (Nog geen jaar getrouwd);;;;;;;;;
153;Man 1e gen. allochtoon, vrouw autochtoon;Turkije;2000 (Twee jaar getrouwd);;;;;;;;;
154;Man 1e gen. allochtoon, vrouw autochtoon;Turkije;2001 (Eén jaar getrouwd);;;;;;;;;
155;Man 1e gen. allochtoon, vrouw autochtoon;Turkije;2002 (Nog geen jaar getrouwd);;;;;;;;;
156;Man 1e gen. allochtoon, vrouw autochtoon;Overige niet-westers;2000 (Twee jaar getrouwd);;;;;;;;;
157;Man 1e gen. allochtoon, vrouw autochtoon;Overige niet-westers;2001 (Eén jaar getrouwd);;;;;;;;;
158;Man 1e gen. allochtoon, vrouw autochtoon;Overige niet-westers;2002 (Nog geen jaar getrouwd);;;;;;;;;
159;Man 1e gen. allochtoon, vrouw autochtoon;Westers;2000 (Twee jaar getrouwd);;;;;;;;;
160;Man 1e gen. allochtoon, vrouw autochtoon;Westers;2001 (Eén jaar getrouwd);;;;;;;;;
161;Man 1e gen. allochtoon, vrouw autochtoon;Westers;2002 (Nog geen jaar getrouwd);;;;;;;;;
162;Man autochtoon, vrouw 1e gen. allochtoon;Totaal vrouwen;2000 (Twee jaar getrouwd);5128.0;5128.0;;;;;;;
163;Man autochtoon, vrouw 1e gen. allochtoon;Totaal vrouwen;2001 (Eén jaar getrouwd);4759.0;4759.0;;;;;;;
164;Man autochtoon, vrouw 1e gen. allochtoon;Totaal vrouwen;2002 (Nog geen jaar getrouwd);4476.0;4476.0;;;;;;;
165;Man autochtoon, vrouw 1e gen. allochtoon;Autochtoon;2000 (Twee jaar getrouwd);;;;;;;;;
166;Man autochtoon, vrouw 1e gen. allochtoon;Autochtoon;2001 (Eén jaar getrouwd);;;;;;;;;
167;Man autochtoon, vrouw 1e gen. allochtoon;Autochtoon;2002 (Nog geen jaar getrouwd);;;;;;;;;
168;Man autochtoon, vrouw 1e gen. allochtoon;Totaal niet-westers;2000 (Twee jaar getrouwd);2227.0;2227.0;;;;;;;
169;Man autochtoon, vrouw 1e gen. allochtoon;Totaal niet-westers;2001 (Eén jaar getrouwd);2006.0;2006.0;;;;;;;
170;Man autochtoon, vrouw 1e gen. allochtoon;Totaal niet-westers;2002 (Nog geen jaar getrouwd);1784.0;1784.0;;;;;;;
171;Man autochtoon, vrouw 1e gen. allochtoon;Marokko;2000 (Twee jaar getrouwd);122.0;122.0;;;;;;;
172;Man autochtoon, vrouw 1e gen. allochtoon;Marokko;2001 (Eén jaar getrouwd);131.0;131.0;;;;;;;
173;Man autochtoon, vrouw 1e gen. allochtoon;Marokko;2002 (Nog geen jaar getrouwd);77.0;77.0;;;;;;;
174;Man autochtoon, vrouw 1e gen. allochtoon;Nederlandse Antillen + Aruba;2000 (Twee jaar getrouwd);129.0;129.0;;;;;;;
175;Man autochtoon, vrouw 1e gen. allochtoon;Nederlandse Antillen + Aruba;2001 (Eén jaar getrouwd);113.0;113.0;;;;;;;
176;Man autochtoon, vrouw 1e gen. allochtoon;Nederlandse Antillen + Aruba;2002 (Nog geen jaar getrouwd);121.0;121.0;;;;;;;
177;Man autochtoon, vrouw 1e gen. allochtoon;Suriname;2000 (Twee jaar getrouwd);441.0;441.0;;;;;;;
178;Man autochtoon, vrouw 1e gen. allochtoon;Suriname;2001 (Eén jaar getrouwd);358.0;358.0;;;;;;;
179;Man autochtoon, vrouw 1e gen. allochtoon;Suriname;2002 (Nog geen jaar getrouwd);325.0;325.0;;;;;;;
180;Man autochtoon, vrouw 1e gen. allochtoon;Turkije;2000 (Twee jaar getrouwd);74.0;74.0;;;;;;;
181;Man autochtoon, vrouw 1e gen. allochtoon;Turkije;2001 (Eén jaar getrouwd);63.0;63.0;;;;;;;
182;Man autochtoon, vrouw 1e gen. allochtoon;Turkije;2002 (Nog geen jaar getrouwd);89.0;89.0;;;;;;;
183;Man autochtoon, vrouw 1e gen. allochtoon;Overige niet-westers;2000 (Twee jaar getrouwd);1461.0;1461.0;;;;;;;
184;Man autochtoon, vrouw 1e gen. allochtoon;Overige niet-westers;2001 (Eén jaar getrouwd);1341.0;1341.0;;;;;;;
185;Man autochtoon, vrouw 1e gen. allochtoon;Overige niet-westers;2002 (Nog geen jaar getrouwd);1172.0;1172.0;;;;;;;
186;Man autochtoon, vrouw 1e gen. allochtoon;Westers;2000 (Twee jaar getrouwd);2901.0;2901.0;;;;;;;
187;Man autochtoon, vrouw 1e gen. allochtoon;Westers;2001 (Eén jaar getrouwd);2753.0;2753.0;;;;;;;
188;Man autochtoon, vrouw 1e gen. allochtoon;Westers;2002 (Nog geen jaar getrouwd);2692.0;2692.0;;;;;;;
189;Man 2e gen. allochtoon, vrouw autochtoon;Totaal vrouwen;2000 (Twee jaar getrouwd);3617.0;;315.0;26.0;81.0;101.0;31.0;76.0;3302.0
190;Man 2e gen. allochtoon, vrouw autochtoon;Totaal vrouwen;2001 (Eén jaar getrouwd);3234.0;;334.0;28.0;80.0;122.0;41.0;63.0;2900.0
191;Man 2e gen. allochtoon, vrouw autochtoon;Totaal vrouwen;2002 (Nog geen jaar getrouwd);3482.0;;374.0;38.0;89.0;117.0;37.0;93.0;3108.0
192;Man 2e gen. allochtoon, vrouw autochtoon;Autochtoon;2000 (Twee jaar getrouwd);3617.0;;315.0;26.0;81.0;101.0;31.0;76.0;3302.0
