ID;Geslacht;Leeftijd;Herkomstgroepering;HoogstGevolgdeOpleiding;Recidive;Perioden;TotaalVerdachtenVanMisdrijven_1;VerdachtenPer10000Inwoners_2;TotaalVerdachtenVanMisdrijven_3;VerdachtenPer10000Inwoners_4
99;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;1;2006;1780.0;1012.0;850.0;484.0
100;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;1;2007;3230.0;953.0;1490.0;440.0
101;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;1;2008;3430.0;906.0;1750.0;462.0
102;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;1;2009;3620.0;890.0;1910.0;471.0
103;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;1;2010;3750.0;865.0;2100.0;484.0
104;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;1;2011;3730.0;808.0;2220.0;480.0
105;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;1;2012;;;2310.0;472.0
106;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;1;2013;;;2290.0;443.0
107;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Voortgezet speciaal onderwijs;1;2014;;;;
108;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Mbo;0;2006;42010.0;665.0;32420.0;513.0
109;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Mbo;0;2007;46110.0;671.0;36660.0;534.0
110;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Mbo;0;2008;47230.0;644.0;37340.0;510.0
111;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Mbo;0;2009;48160.0;632.0;36500.0;479.0
112;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Mbo;0;2010;45240.0;583.0;35870.0;462.0
113;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Mbo;0;2011;43720.0;562.0;35920.0;462.0
114;Totaal mannen en vrouwen;Totaal 12 tot 25 jaar;Totaal herkomstgroepering;Mbo;0;2012;41020.0;531.0;33620.0;435.0
