ID;Sex;PersonalCharacteristics;Periods;TotalPopulationAged15YearsAndOlder_1;TotalLabourForceAccToInternatDef_2;EmpLabourForceAccToInternatDef_3;UnempLabourForceAccToInternatDef_4;PeopleNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;UnemploymentAsAPercentage_8;TotalEmployees_9;EmployeesPermanentJobs_10;EmployeesFlexibleJobs_11;SelfEmployed_12;FamilyWorkers_13;k_0119HrsPerWeek_14;k_2034HrsPerWeek_15;k_35HrsPerWeek_16;WorkingHoursUnknown_17;AverageWorkingHours_18;Military_19;LegislatorsSeniorOfficialsManagers_20;ScientistsScholars_21;TechniciansSkilledWorkers_22;OfficeWorkers_23;ServiceShopAndMarketSalesWorkers_24;SkilledWorkersAgricultureAndFishery_25;Craftsmen_26;FactoryWorkersMachineOperatorsEtc_27;ElementaryOccupations_28;NotClassifiable_29
101;Total sex;16;2010;1395.0;130.0;126.0;4.0;1265.0;9.3;9.0;3.1;61.0;25.0;36.0;63.0;2.0;71.0;30.0;23.0;2.0;19.2;;25.0;26.0;15.0;6.0;18.0;5.0;7.0;12.0;10.0;2.0
102;Total sex;16;2011;1458.0;132.0;125.0;7.0;1326.0;9.0;8.6;4.9;57.0;23.0;34.0;66.0;2.0;69.0;31.0;21.0;4.0;18.4;;26.0;28.0;15.0;8.0;17.0;3.0;7.0;11.0;8.0;3.0
103;Total sex;16;2012;1548.0;164.0;155.0;9.0;1385.0;10.6;10.0;5.2;72.0;28.0;45.0;81.0;;82.0;37.0;31.0;5.0;19.7;;;;;;;;;;;
104;Total sex;16;2013;1624.0;172.0;162.0;10.0;1453.0;10.6;10.0;5.7;81.0;27.0;53.0;79.0;2.0;93.0;38.0;24.0;7.0;17.1;;;;;;;;;;;
105;Total sex;17;2000;839.0;6.0;6.0;;833.0;0.7;0.7;;2.0;;;4.0;;3.0;;2.0;;20.8;;2.0;2.0;;;;;;;;
106;Total sex;17;2001 before revision;857.0;9.0;9.0;;848.0;1.1;1.1;;;;;7.0;;4.0;2.0;3.0;;23.8;;3.0;2.0;;;;;;;;
107;Total sex;17;2001 after revision;857.0;8.0;8.0;;849.0;0.9;0.9;;;;;6.0;;4.0;2.0;2.0;;21.6;;3.0;2.0;;;;;;;;
108;Total sex;17;2002;873.0;9.0;9.0;;863.0;1.1;1.1;;2.0;;2.0;7.0;;6.0;2.0;2.0;;17.5;;3.0;2.0;2.0;;;;;;;
109;Total sex;17;2003;888.0;10.0;10.0;;878.0;1.1;1.1;;3.0;;2.0;7.0;;6.0;2.0;;;15.5;;3.0;2.0;;;;;;;;
110;Total sex;17;2004;907.0;12.0;12.0;;895.0;1.3;1.3;;3.0;;2.0;9.0;;6.0;2.0;2.0;;17.7;;3.0;3.0;2.0;;;;;;;
111;Total sex;17;2005;929.0;10.0;10.0;;919.0;1.1;1.1;;3.0;;2.0;6.0;;6.0;2.0;;;16.7;;2.0;3.0;2.0;;;;;;2.0;
