ID;MunicipalTasks;Regions;Periods;Revenues_1;Expenditures_2;Balance_3;Revenues_4;Expenditures_5;Balance_6
1299;Administration and civil affairs;Zuid-Limburg (CR);2021;13;67;-54;22;113;-91
1300;Administration and civil affairs;Zuid-Limburg (CR);2022;14;63;-49;24;106;-82
1301;Administration and civil affairs;Zuid-Limburg (CR);2023;13;74;-61;22;124;-101
1302;Administration and civil affairs;Flevoland (CR);2017;9;33;-23;22;80;-57
1303;Administration and civil affairs;Flevoland (CR);2018;10;34;-25;24;84;-60
1304;Administration and civil affairs;Flevoland (CR);2019;8;42;-34;20;100;-81
1305;Administration and civil affairs;Flevoland (CR);2020;5;35;-30;12;82;-70
1306;Administration and civil affairs;Flevoland (CR);2021;8;36;-28;19;84;-65
1307;Administration and civil affairs;Flevoland (CR);2022;10;39;-29;24;90;-66
1308;Administration and civil affairs;Flevoland (CR);2023;8;43;-35;17;96;-79
1309;Administration and civil affairs;Fewer than 5,000 inhabitants;2017;1;4;-3;59;343;-284
1310;Administration and civil affairs;Fewer than 5,000 inhabitants;2018;1;5;-4;55;383;-328
1311;Administration and civil affairs;Fewer than 5,000 inhabitants;2019;1;5;-4;50;407;-357
1312;Administration and civil affairs;Fewer than 5,000 inhabitants;2020;1;5;-4;46;378;-331
1313;Administration and civil affairs;Fewer than 5,000 inhabitants;2021;1;5;-4;64;365;-301
1314;Administration and civil affairs;Fewer than 5,000 inhabitants;2022;1;6;-5;95;453;-357
1315;Administration and civil affairs;Fewer than 5,000 inhabitants;2023;1;5;-5;52;427;-376
1316;Administration and civil affairs;5,000 to 9,999 inhabitants;2017;4;20;-15;30;140;-111
1317;Administration and civil affairs;5,000 to 9,999 inhabitants;2018;3;23;-20;25;173;-148
1318;Administration and civil affairs;5,000 to 9,999 inhabitants;2019;1;14;-13;18;171;-154
1319;Administration and civil affairs;5,000 to 9,999 inhabitants;2020;2;12;-10;27;155;-128
1320;Administration and civil affairs;5,000 to 9,999 inhabitants;2021;1;9;-8;22;158;-136
1321;Administration and civil affairs;5,000 to 9,999 inhabitants;2022;1;9;-8;26;166;-140
1322;Administration and civil affairs;5,000 to 9,999 inhabitants;2023;1;10;-9;17;176;-158
1323;Administration and civil affairs;10,000 to 19,999 inhabitants;2017;42;168;-126;30;119;-89
1324;Administration and civil affairs;10,000 to 19,999 inhabitants;2018;36;188;-152;28;143;-115
1325;Administration and civil affairs;10,000 to 19,999 inhabitants;2019;21;137;-116;21;137;-116
1326;Administration and civil affairs;10,000 to 19,999 inhabitants;2020;20;131;-111;19;129;-110
1327;Administration and civil affairs;10,000 to 19,999 inhabitants;2021;21;126;-105;21;128;-107
1328;Administration and civil affairs;10,000 to 19,999 inhabitants;2022;31;128;-97;33;138;-104
1329;Administration and civil affairs;10,000 to 19,999 inhabitants;2023;16;118;-102;20;143;-123
1330;Administration and civil affairs;20,000 to 49,999 inhabitants;2017;168;552;-385;28;92;-64
1331;Administration and civil affairs;20,000 to 49,999 inhabitants;2018;147;614;-467;24;102;-77
1332;Administration and civil affairs;20,000 to 49,999 inhabitants;2019;111;679;-568;18;111;-93
1333;Administration and civil affairs;20,000 to 49,999 inhabitants;2020;88;586;-498;15;98;-83
1334;Administration and civil affairs;20,000 to 49,999 inhabitants;2021;128;612;-484;21;101;-80
1335;Administration and civil affairs;20,000 to 49,999 inhabitants;2022;157;647;-490;26;109;-82
1336;Administration and civil affairs;20,000 to 49,999 inhabitants;2023;120;677;-557;20;113;-93
1337;Administration and civil affairs;50,000 to 99,999 inhabitants;2017;89;272;-183;27;83;-56
1338;Administration and civil affairs;50,000 to 99,999 inhabitants;2018;83;309;-226;25;92;-67
1339;Administration and civil affairs;50,000 to 99,999 inhabitants;2019;71;385;-314;19;104;-85
1340;Administration and civil affairs;50,000 to 99,999 inhabitants;2020;57;332;-275;15;88;-73
1341;Administration and civil affairs;50,000 to 99,999 inhabitants;2021;86;339;-253;23;90;-67
1342;Administration and civil affairs;50,000 to 99,999 inhabitants;2022;109;371;-262;27;93;-66
1343;Administration and civil affairs;50,000 to 99,999 inhabitants;2023;79;406;-326;19;97;-78
1344;Administration and civil affairs;100,000 to 149,999 inhabitants;2017;56;142;-86;35;88;-53
1345;Administration and civil affairs;100,000 to 149,999 inhabitants;2018;49;146;-97;30;89;-59
1346;Administration and civil affairs;100,000 to 149,999 inhabitants;2019;36;147;-110;24;98;-74
1347;Administration and civil affairs;100,000 to 149,999 inhabitants;2020;27;136;-109;17;85;-68
1348;Administration and civil affairs;100,000 to 149,999 inhabitants;2021;44;145;-101;27;90;-63
1349;Administration and civil affairs;100,000 to 149,999 inhabitants;2022;57;159;-102;35;98;-63
1350;Administration and civil affairs;100,000 to 149,999 inhabitants;2023;53;183;-131;32;112;-80
1351;Administration and civil affairs;150,000 to 249,999 inhabitants;2017;68;188;-120;30;82;-52
1352;Administration and civil affairs;150,000 to 249,999 inhabitants;2018;72;208;-136;31;90;-59
1353;Administration and civil affairs;150,000 to 249,999 inhabitants;2019;53;224;-171;21;89;-68
1354;Administration and civil affairs;150,000 to 249,999 inhabitants;2020;43;213;-170;17;84;-67
1355;Administration and civil affairs;150,000 to 249,999 inhabitants;2021;60;217;-157;23;85;-62
1356;Administration and civil affairs;150,000 to 249,999 inhabitants;2022;73;238;-165;28;93;-64
1357;Administration and civil affairs;150,000 to 249,999 inhabitants;2023;59;259;-200;23;99;-77
1358;Administration and civil affairs;250,000 inhabitants or more;2017;75;236;-161;32;101;-69
1359;Administration and civil affairs;250,000 inhabitants or more;2018;74;253;-178;31;106;-75
1360;Administration and civil affairs;250,000 inhabitants or more;2019;63;272;-209;26;113;-87
1361;Administration and civil affairs;250,000 inhabitants or more;2020;49;251;-202;20;103;-83
1362;Administration and civil affairs;250,000 inhabitants or more;2021;65;272;-208;27;112;-85
1363;Administration and civil affairs;250,000 inhabitants or more;2022;72;288;-216;29;116;-87
1364;Administration and civil affairs;250,000 inhabitants or more;2023;61;296;-236;24;118;-94
1365;Overhead;The Netherlands;2017;715;6295;-5580;42;369;-327
1366;Overhead;The Netherlands;2018;711;6534;-5823;41;380;-339
1367;Overhead;The Netherlands;2019;569;6700;-6131;33;388;-355
1368;Overhead;The Netherlands;2020;554;6937;-6383;32;398;-367
1369;Overhead;The Netherlands;2021;527;7227;-6699;30;414;-383
1370;Overhead;The Netherlands;2022;605;7644;-7038;34;435;-400
1371;Overhead;The Netherlands;2023;663;8620;-7956;37;484;-447
1372;Overhead;Noord-Nederland (LD);2017;59;603;-544;35;350;-316
1373;Overhead;Noord-Nederland (LD);2018;98;655;-557;57;381;-324
1374;Overhead;Noord-Nederland (LD);2019;74;690;-616;43;400;-357
1375;Overhead;Noord-Nederland (LD);2020;69;696;-627;40;402;-362
1376;Overhead;Noord-Nederland (LD);2021;66;726;-660;38;419;-381
1377;Overhead;Noord-Nederland (LD);2022;69;787;-717;40;452;-412
1378;Overhead;Noord-Nederland (LD);2023;78;887;-809;44;504;-460
1379;Overhead;Oost-Nederland (LD);2017;254;1257;-1003;70;349;-278
1380;Overhead;Oost-Nederland (LD);2018;220;1271;-1052;61;351;-290
1381;Overhead;Oost-Nederland (LD);2019;130;1219;-1088;36;334;-299
1382;Overhead;Oost-Nederland (LD);2020;129;1282;-1153;35;349;-314
1383;Overhead;Oost-Nederland (LD);2021;140;1345;-1204;38;364;-326
1384;Overhead;Oost-Nederland (LD);2022;137;1423;-1286;37;383;-346
1385;Overhead;Oost-Nederland (LD);2023;144;1628;-1485;38;433;-395
1386;Overhead;West-Nederland (LD);2017;218;3201;-2984;27;394;-367
1387;Overhead;West-Nederland (LD);2018;229;3357;-3128;28;410;-382
1388;Overhead;West-Nederland (LD);2019;215;3481;-3265;26;422;-396
1389;Overhead;West-Nederland (LD);2020;203;3607;-3404;24;433;-409
1390;Overhead;West-Nederland (LD);2021;221;3792;-3571;26;454;-427
1391;Overhead;West-Nederland (LD);2022;284;3968;-3684;34;471;-438
1392;Overhead;West-Nederland (LD);2023;306;4428;-4121;36;518;-483
1393;Overhead;Zuid-Nederland (LD);2017;184;1234;-1050;51;340;-289
1394;Overhead;Zuid-Nederland (LD);2018;164;1251;-1087;45;343;-298
1395;Overhead;Zuid-Nederland (LD);2019;149;1311;-1162;41;358;-317
1396;Overhead;Zuid-Nederland (LD);2020;153;1352;-1199;41;367;-326
1397;Overhead;Zuid-Nederland (LD);2021;100;1364;-1264;27;370;-343
1398;Overhead;Zuid-Nederland (LD);2022;115;1465;-1350;31;395;-364
1399;Overhead;Zuid-Nederland (LD);2023;136;1677;-1541;36;447;-410
1400;Overhead;Groningen (PV);2017;30;243;-212;52;416;-364
1401;Overhead;Groningen (PV);2018;45;269;-224;78;462;-384
1402;Overhead;Groningen (PV);2019;26;278;-252;45;476;-431
1403;Overhead;Groningen (PV);2020;27;263;-236;47;450;-403
1404;Overhead;Groningen (PV);2021;21;272;-251;36;464;-428
1405;Overhead;Groningen (PV);2022;22;288;-266;37;488;-451
1406;Overhead;Groningen (PV);2023;21;322;-301;35;540;-505
1407;Overhead;Fryslân (PV);2017;21;215;-193;33;332;-299
1408;Overhead;Fryslân (PV);2018;42;232;-190;64;359;-294
1409;Overhead;Fryslân (PV);2019;37;256;-219;57;395;-338
1410;Overhead;Fryslân (PV);2020;32;270;-239;49;416;-367
1411;Overhead;Fryslân (PV);2021;34;286;-252;52;439;-386
1412;Overhead;Fryslân (PV);2022;37;314;-277;57;480;-423
1413;Overhead;Fryslân (PV);2023;43;345;-302;65;524;-458
1414;Overhead;Drenthe (PV);2017;8;146;-138;16;297;-281
1415;Overhead;Drenthe (PV);2018;11;154;-143;22;313;-290
1416;Overhead;Drenthe (PV);2019;11;156;-145;22;317;-295
1417;Overhead;Drenthe (PV);2020;10;162;-152;20;328;-308
1418;Overhead;Drenthe (PV);2021;11;168;-157;22;340;-318
1419;Overhead;Drenthe (PV);2022;10;185;-175;21;371;-351
1420;Overhead;Drenthe (PV);2023;14;219;-206;27;437;-409
1421;Overhead;Overijssel (PV);2017;92;387;-296;80;337;-258
1422;Overhead;Overijssel (PV);2018;57;364;-307;49;316;-267
1423;Overhead;Overijssel (PV);2019;56;381;-325;49;330;-281
1424;Overhead;Overijssel (PV);2020;55;405;-350;47;349;-301
1425;Overhead;Overijssel (PV);2021;47;425;-377;41;364;-324
1426;Overhead;Overijssel (PV);2022;56;464;-408;48;396;-348
1427;Overhead;Overijssel (PV);2023;63;535;-471;53;451;-398
1428;Overhead;Flevoland (PV);2017;6;139;-133;15;341;-326
1429;Overhead;Flevoland (PV);2018;5;142;-137;12;344;-332
1430;Overhead;Flevoland (PV);2019;6;145;-139;14;348;-334
1431;Overhead;Flevoland (PV);2020;5;147;-142;11;348;-337
1432;Overhead;Flevoland (PV);2021;4;152;-148;10;355;-346
1433;Overhead;Flevoland (PV);2022;4;162;-158;10;372;-362
1434;Overhead;Flevoland (PV);2023;5;187;-182;11;420;-409
1435;Overhead;Gelderland (PV);2017;156;730;-574;76;357;-280
1436;Overhead;Gelderland (PV);2018;158;766;-608;77;372;-295
1437;Overhead;Gelderland (PV);2019;68;692;-624;33;334;-301
1438;Overhead;Gelderland (PV);2020;69;730;-660;33;350;-317
1439;Overhead;Gelderland (PV);2021;89;768;-679;42;366;-324
1440;Overhead;Gelderland (PV);2022;77;798;-721;36;378;-342
1441;Overhead;Gelderland (PV);2023;75;907;-831;35;425;-390
1442;Overhead;Utrecht (PV);2017;40;444;-404;31;346;-314
1443;Overhead;Utrecht (PV);2018;32;456;-424;25;352;-327
1444;Overhead;Utrecht (PV);2019;48;518;-470;36;386;-350
1445;Overhead;Utrecht (PV);2020;48;530;-482;36;391;-356
1446;Overhead;Utrecht (PV);2021;45;524;-480;33;385;-352
1447;Overhead;Utrecht (PV);2022;56;573;-517;41;418;-377
1448;Overhead;Utrecht (PV);2023;52;660;-608;38;476;-438
1449;Overhead;Noord-Holland (PV);2017;92;1129;-1038;33;402;-369
1450;Overhead;Noord-Holland (PV);2018;103;1198;-1095;36;423;-387
1451;Overhead;Noord-Holland (PV);2019;91;1256;-1164;32;440;-408
1452;Overhead;Noord-Holland (PV);2020;88;1315;-1227;30;457;-426
1453;Overhead;Noord-Holland (PV);2021;102;1401;-1298;35;485;-449
1454;Overhead;Noord-Holland (PV);2022;109;1482;-1374;37;509;-472
1455;Overhead;Noord-Holland (PV);2023;109;1609;-1500;37;544;-507
1456;Overhead;Zuid-Holland (PV);2017;76;1514;-1438;21;415;-394
1457;Overhead;Zuid-Holland (PV);2018;83;1583;-1499;23;430;-407
1458;Overhead;Zuid-Holland (PV);2019;63;1581;-1519;17;430;-413
1459;Overhead;Zuid-Holland (PV);2020;55;1631;-1576;15;440;-425
1460;Overhead;Zuid-Holland (PV);2021;60;1726;-1666;16;463;-447
1461;Overhead;Zuid-Holland (PV);2022;106;1767;-1662;28;471;-443
1462;Overhead;Zuid-Holland (PV);2023;131;1994;-1863;34;524;-490
1463;Overhead;Zeeland (PV);2017;10;114;-104;27;299;-272
1464;Overhead;Zeeland (PV);2018;11;120;-110;28;315;-287
1465;Overhead;Zeeland (PV);2019;13;126;-113;35;329;-294
1466;Overhead;Zeeland (PV);2020;12;131;-119;30;341;-311
1467;Overhead;Zeeland (PV);2021;14;141;-127;35;365;-330
1468;Overhead;Zeeland (PV);2022;14;146;-132;35;377;-342
1469;Overhead;Zeeland (PV);2023;14;165;-151;37;422;-386
1470;Overhead;Noord-Brabant (PV);2017;115;782;-667;46;311;-266
1471;Overhead;Noord-Brabant (PV);2018;111;791;-681;44;313;-269
1472;Overhead;Noord-Brabant (PV);2019;91;831;-740;36;326;-291
1473;Overhead;Noord-Brabant (PV);2020;99;882;-783;39;344;-306
1474;Overhead;Noord-Brabant (PV);2021;57;875;-818;22;340;-318
1475;Overhead;Noord-Brabant (PV);2022;68;942;-874;26;363;-337
1476;Overhead;Noord-Brabant (PV);2023;86;1093;-1007;33;416;-383
1477;Overhead;Limburg (PV);2017;69;452;-383;62;404;-343
1478;Overhead;Limburg (PV);2018;54;459;-406;48;411;-363
1479;Overhead;Limburg (PV);2019;58;480;-422;52;430;-378
1480;Overhead;Limburg (PV);2020;54;470;-416;48;421;-372
1481;Overhead;Limburg (PV);2021;43;489;-446;38;438;-400
1482;Overhead;Limburg (PV);2022;48;524;-476;43;468;-426
1483;Overhead;Limburg (PV);2023;50;584;-534;44;518;-474
1484;Overhead;Oost-Groningen (CR);2017;2;43;-41;13;291;-278
1485;Overhead;Oost-Groningen (CR);2018;6;48;-42;41;355;-313
1486;Overhead;Oost-Groningen (CR);2019;2;45;-42;16;331;-315
1487;Overhead;Oost-Groningen (CR);2020;3;40;-38;19;299;-281
1488;Overhead;Oost-Groningen (CR);2021;5;56;-51;35;410;-375
1489;Overhead;Oost-Groningen (CR);2022;7;63;-56;51;463;-412
1490;Overhead;Oost-Groningen (CR);2023;6;73;-67;42;529;-487
1491;Overhead;Delfzijl en omgeving (CR);2017;5;20;-15;111;427;-316
1492;Overhead;Delfzijl en omgeving (CR);2018;7;22;-15;150;480;-330
1493;Overhead;Delfzijl en omgeving (CR);2019;8;25;-18;164;550;-386
1494;Overhead;Delfzijl en omgeving (CR);2020;13;32;-19;279;700;-421
1495;Overhead;Delfzijl en omgeving (CR);2021;1;22;-21;22;483;-461
1496;Overhead;Delfzijl en omgeving (CR);2022;1;17;-16;24;372;-349
1497;Overhead;Delfzijl en omgeving (CR);2023;0;22;-21;10;480;-469
1498;Overhead;Overig Groningen (CR);2017;23;180;-157;59;462;-403
1499;Overhead;Overig Groningen (CR);2018;33;199;-166;82;496;-414
1500;Overhead;Overig Groningen (CR);2019;16;208;-192;41;516;-475
1501;Overhead;Overig Groningen (CR);2020;12;191;-179;30;471;-442
1502;Overhead;Overig Groningen (CR);2021;15;195;-179;38;480;-442
1503;Overhead;Overig Groningen (CR);2022;14;208;-194;34;509;-475
1504;Overhead;Overig Groningen (CR);2023;15;227;-213;36;550;-515
1505;Overhead;Noord-Friesland (CR);2017;6;105;-100;17;324;-307
1506;Overhead;Noord-Friesland (CR);2018;29;121;-92;91;380;-289
1507;Overhead;Noord-Friesland (CR);2019;24;133;-109;76;417;-341
1508;Overhead;Noord-Friesland (CR);2020;18;138;-120;56;431;-375
1509;Overhead;Noord-Friesland (CR);2021;19;141;-122;59;439;-380
1510;Overhead;Noord-Friesland (CR);2022;20;157;-137;63;486;-423
1511;Overhead;Noord-Friesland (CR);2023;26;175;-149;78;536;-457
1512;Overhead;Zuidwest-Friesland (CR);2017;5;45;-40;35;331;-296
1513;Overhead;Zuidwest-Friesland (CR);2018;4;50;-46;28;356;-328
1514;Overhead;Zuidwest-Friesland (CR);2019;4;55;-51;29;387;-358
1515;Overhead;Zuidwest-Friesland (CR);2020;4;59;-55;27;416;-390
1516;Overhead;Zuidwest-Friesland (CR);2021;4;65;-61;27;459;-432
1517;Overhead;Zuidwest-Friesland (CR);2022;3;70;-66;24;491;-467
1518;Overhead;Zuidwest-Friesland (CR);2023;5;74;-69;32;518;-486
1519;Overhead;Zuidoost-Friesland (CR);2017;11;65;-54;60;347;-287
1520;Overhead;Zuidoost-Friesland (CR);2018;9;61;-52;46;324;-278
1521;Overhead;Zuidoost-Friesland (CR);2019;9;68;-59;46;363;-317
1522;Overhead;Zuidoost-Friesland (CR);2020;10;73;-63;54;391;-337
1523;Overhead;Zuidoost-Friesland (CR);2021;11;80;-68;60;423;-363
1524;Overhead;Zuidoost-Friesland (CR);2022;14;87;-74;72;463;-391
1525;Overhead;Zuidoost-Friesland (CR);2023;13;97;-84;68;508;-440
1526;Overhead;Noord-Drenthe (CR);2017;3;53;-50;15;273;-257
1527;Overhead;Noord-Drenthe (CR);2018;4;57;-53;21;295;-275
1528;Overhead;Noord-Drenthe (CR);2019;4;58;-54;18;302;-283
1529;Overhead;Noord-Drenthe (CR);2020;3;61;-58;15;315;-300
1530;Overhead;Noord-Drenthe (CR);2021;3;64;-61;16;331;-316
1531;Overhead;Noord-Drenthe (CR);2022;2;69;-67;12;356;-344
1532;Overhead;Noord-Drenthe (CR);2023;4;79;-75;23;407;-384
1533;Overhead;Zuidoost-Drenthe (CR);2017;4;53;-49;25;316;-291
1534;Overhead;Zuidoost-Drenthe (CR);2018;6;55;-49;37;328;-291
1535;Overhead;Zuidoost-Drenthe (CR);2019;6;54;-48;36;323;-287
1536;Overhead;Zuidoost-Drenthe (CR);2020;6;56;-50;36;334;-298
1537;Overhead;Zuidoost-Drenthe (CR);2021;6;58;-52;37;348;-311
1538;Overhead;Zuidoost-Drenthe (CR);2022;7;66;-59;39;388;-350
1539;Overhead;Zuidoost-Drenthe (CR);2023;8;77;-69;45;449;-405
1540;Overhead;Zuidwest-Drenthe (CR);2017;1;40;-40;6;307;-301
1541;Overhead;Zuidwest-Drenthe (CR);2018;1;42;-41;7;318;-311
1542;Overhead;Zuidwest-Drenthe (CR);2019;1;44;-43;11;332;-322
1543;Overhead;Zuidwest-Drenthe (CR);2020;1;45;-44;9;340;-331
1544;Overhead;Zuidwest-Drenthe (CR);2021;2;46;-44;11;342;-330
1545;Overhead;Zuidwest-Drenthe (CR);2022;1;50;-49;10;372;-362
1546;Overhead;Zuidwest-Drenthe (CR);2023;2;63;-62;12;464;-452
1547;Overhead;Noord-Overijssel (CR);2017;26;107;-81;70;291;-222
1548;Overhead;Noord-Overijssel (CR);2018;7;94;-87;18;254;-236
1549;Overhead;Noord-Overijssel (CR);2019;16;110;-94;42;296;-254
1550;Overhead;Noord-Overijssel (CR);2020;13;134;-121;36;358;-322
1551;Overhead;Noord-Overijssel (CR);2021;13;143;-129;36;379;-343
1552;Overhead;Noord-Overijssel (CR);2022;14;159;-145;36;417;-381
1553;Overhead;Noord-Overijssel (CR);2023;14;178;-165;35;462;-427
1554;Overhead;Zuidwest-Overijssel (CR);2017;10;51;-41;67;333;-266
1555;Overhead;Zuidwest-Overijssel (CR);2018;9;50;-41;61;324;-263
1556;Overhead;Zuidwest-Overijssel (CR);2019;9;49;-40;59;318;-259
1557;Overhead;Zuidwest-Overijssel (CR);2020;10;51;-42;62;327;-266
1558;Overhead;Zuidwest-Overijssel (CR);2021;10;54;-45;61;344;-283
1559;Overhead;Zuidwest-Overijssel (CR);2022;10;55;-45;64;350;-286
1560;Overhead;Zuidwest-Overijssel (CR);2023;12;64;-52;73;397;-324
1561;Overhead;Twente (CR);2017;56;229;-173;89;365;-277
1562;Overhead;Twente (CR);2018;41;220;-179;65;350;-286
1563;Overhead;Twente (CR);2019;31;222;-190;50;352;-302
1564;Overhead;Twente (CR);2020;32;220;-188;51;349;-298
1565;Overhead;Twente (CR);2021;24;228;-203;38;361;-322
1566;Overhead;Twente (CR);2022;32;250;-218;51;394;-343
1567;Overhead;Twente (CR);2023;38;293;-255;59;458;-399
1568;Overhead;Veluwe (CR);2017;37;230;-193;54;340;-285
1569;Overhead;Veluwe (CR);2018;26;235;-209;38;343;-305
1570;Overhead;Veluwe (CR);2019;21;238;-216;31;345;-314
1571;Overhead;Veluwe (CR);2020;22;255;-232;32;366;-334
1572;Overhead;Veluwe (CR);2021;26;262;-236;37;373;-337
1573;Overhead;Veluwe (CR);2022;27;281;-253;38;397;-359
1574;Overhead;Veluwe (CR);2023;31;313;-281;44;437;-393
1575;Overhead;Achterhoek (CR);2017;23;120;-97;58;301;-242
1576;Overhead;Achterhoek (CR);2018;18;124;-106;45;309;-264
1577;Overhead;Achterhoek (CR);2019;16;120;-104;40;299;-260
1578;Overhead;Achterhoek (CR);2020;17;126;-109;42;314;-273
1579;Overhead;Achterhoek (CR);2021;34;150;-116;84;372;-287
1580;Overhead;Achterhoek (CR);2022;17;139;-122;43;346;-303
1581;Overhead;Achterhoek (CR);2023;16;164;-148;39;403;-363
1582;Overhead;Arnhem/Nijmegen (CR);2017;90;306;-216;123;418;-296
1583;Overhead;Arnhem/Nijmegen (CR);2018;110;328;-218;149;446;-297
1584;Overhead;Arnhem/Nijmegen (CR);2019;26;257;-231;36;348;-313
1585;Overhead;Arnhem/Nijmegen (CR);2020;24;269;-245;32;362;-331
1586;Overhead;Arnhem/Nijmegen (CR);2021;22;273;-250;30;366;-336
1587;Overhead;Arnhem/Nijmegen (CR);2022;24;292;-267;33;389;-357
1588;Overhead;Arnhem/Nijmegen (CR);2023;23;329;-305;31;434;-404
1589;Overhead;Zuidwest-Gelderland (CR);2017;6;74;-68;26;310;-284
1590;Overhead;Zuidwest-Gelderland (CR);2018;4;80;-75;18;330;-313
1591;Overhead;Zuidwest-Gelderland (CR);2019;5;77;-73;19;317;-298
1592;Overhead;Zuidwest-Gelderland (CR);2020;6;80;-73;26;324;-298
1593;Overhead;Zuidwest-Gelderland (CR);2021;7;84;-77;26;337;-311
1594;Overhead;Zuidwest-Gelderland (CR);2022;8;86;-79;31;344;-313
1595;Overhead;Zuidwest-Gelderland (CR);2023;5;102;-97;19;400;-381
1596;Overhead;Utrecht (CR);2017;40;444;-404;31;346;-314
1597;Overhead;Utrecht (CR);2018;32;456;-424;25;352;-327
1598;Overhead;Utrecht (CR);2019;48;518;-470;36;386;-350
1599;Overhead;Utrecht (CR);2020;48;530;-482;36;391;-356
1600;Overhead;Utrecht (CR);2021;45;524;-480;33;385;-352
1601;Overhead;Utrecht (CR);2022;56;573;-517;41;418;-377
1602;Overhead;Utrecht (CR);2023;52;660;-608;38;476;-438
1603;Overhead;Kop van Noord-Holland (CR);2017;14;145;-131;37;389;-352
1604;Overhead;Kop van Noord-Holland (CR);2018;13;142;-130;34;380;-346
1605;Overhead;Kop van Noord-Holland (CR);2019;10;146;-135;28;388;-361
1606;Overhead;Kop van Noord-Holland (CR);2020;11;153;-142;29;405;-376
1607;Overhead;Kop van Noord-Holland (CR);2021;15;161;-146;41;425;-384
1608;Overhead;Kop van Noord-Holland (CR);2022;19;199;-180;49;523;-473
1609;Overhead;Kop van Noord-Holland (CR);2023;15;202;-188;38;524;-486
1610;Overhead;Alkmaar en omgeving (CR);2017;6;69;-63;25;282;-257
1611;Overhead;Alkmaar en omgeving (CR);2018;4;75;-71;17;306;-289
1612;Overhead;Alkmaar en omgeving (CR);2019;6;78;-72;26;316;-290
1613;Overhead;Alkmaar en omgeving (CR);2020;6;76;-70;23;304;-280
1614;Overhead;Alkmaar en omgeving (CR);2021;5;84;-79;20;335;-316
1615;Overhead;Alkmaar en omgeving (CR);2022;6;86;-80;24;339;-315
1616;Overhead;Alkmaar en omgeving (CR);2023;4;87;-83;17;340;-324
1617;Overhead;IJmond (CR);2017;3;60;-57;13;304;-290
1618;Overhead;IJmond (CR);2018;1;61;-60;6;310;-304
1619;Overhead;IJmond (CR);2019;1;62;-61;5;315;-310
1620;Overhead;IJmond (CR);2020;1;64;-63;6;322;-316
1621;Overhead;IJmond (CR);2021;2;69;-67;9;345;-336
1622;Overhead;IJmond (CR);2022;1;77;-76;6;387;-381
1623;Overhead;IJmond (CR);2023;1;81;-80;6;405;-399
1624;Overhead;Agglomeratie Haarlem (CR);2017;6;75;-69;24;322;-298
1625;Overhead;Agglomeratie Haarlem (CR);2018;13;89;-76;56;380;-325
1626;Overhead;Agglomeratie Haarlem (CR);2019;14;89;-75;62;390;-328
1627;Overhead;Agglomeratie Haarlem (CR);2020;15;94;-79;63;407;-344
1628;Overhead;Agglomeratie Haarlem (CR);2021;18;102;-84;80;443;-363
1629;Overhead;Agglomeratie Haarlem (CR);2022;19;106;-87;84;459;-375
1630;Overhead;Agglomeratie Haarlem (CR);2023;21;115;-94;90;489;-399
1631;Overhead;Zaanstreek (CR);2017;3;61;-57;20;359;-339
1632;Overhead;Zaanstreek (CR);2018;9;62;-53;54;364;-310
1633;Overhead;Zaanstreek (CR);2019;10;66;-56;55;382;-326
1634;Overhead;Zaanstreek (CR);2020;6;63;-56;35;362;-326
1635;Overhead;Zaanstreek (CR);2021;7;69;-62;39;397;-358
1636;Overhead;Zaanstreek (CR);2022;8;69;-62;44;399;-355
1637;Overhead;Zaanstreek (CR);2023;9;73;-64;53;415;-362
1638;Overhead;Groot-Amsterdam (CR);2017;55;642;-587;41;477;-436
1639;Overhead;Groot-Amsterdam (CR);2018;55;684;-628;41;504;-463
1640;Overhead;Groot-Amsterdam (CR);2019;43;725;-682;31;527;-496
1641;Overhead;Groot-Amsterdam (CR);2020;44;774;-730;32;556;-524
1642;Overhead;Groot-Amsterdam (CR);2021;49;821;-772;35;588;-553
1643;Overhead;Groot-Amsterdam (CR);2022;47;847;-800;33;591;-558
1644;Overhead;Groot-Amsterdam (CR);2023;50;937;-886;34;642;-607
1645;Overhead;Het Gooi en Vechtstreek (CR);2017;6;79;-74;22;315;-293
1646;Overhead;Het Gooi en Vechtstreek (CR);2018;7;85;-78;29;337;-308
1647;Overhead;Het Gooi en Vechtstreek (CR);2019;7;89;-82;27;350;-322
1648;Overhead;Het Gooi en Vechtstreek (CR);2020;5;91;-86;19;355;-336
1649;Overhead;Het Gooi en Vechtstreek (CR);2021;6;95;-89;24;366;-342
1650;Overhead;Het Gooi en Vechtstreek (CR);2022;8;98;-90;34;408;-374
1651;Overhead;Het Gooi en Vechtstreek (CR);2023;8;114;-106;32;467;-435
1652;Overhead;Agglomeratie Leiden en Bollenstreek (CR);2017;18;156;-138;43;371;-328
1653;Overhead;Agglomeratie Leiden en Bollenstreek (CR);2018;22;167;-145;51;392;-341
1654;Overhead;Agglomeratie Leiden en Bollenstreek (CR);2019;4;161;-157;10;378;-367
1655;Overhead;Agglomeratie Leiden en Bollenstreek (CR);2020;7;174;-167;16;405;-389
1656;Overhead;Agglomeratie Leiden en Bollenstreek (CR);2021;7;189;-182;17;438;-422
1657;Overhead;Agglomeratie Leiden en Bollenstreek (CR);2022;12;186;-174;27;428;-401
