ID;Geslacht;Niveau;Leerweg;Studierichting;Regio;Perioden;MboStudenten_1
117;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Gelderland (PV);2022/'23;62550.0
118;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Gelderland (PV);2023/'24;60910.0
119;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Gelderland (PV);2024/'25;60460.0
120;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Utrecht (PV);2015/'16;30000.0
121;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Utrecht (PV);2016/'17;31130.0
122;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Utrecht (PV);2017/'18;31620.0
123;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Utrecht (PV);2018/'19;32740.0
124;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Utrecht (PV);2019/'20;34340.0
125;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Utrecht (PV);2020/'21;34710.0
126;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Utrecht (PV);2021/'22;33800.0
127;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Utrecht (PV);2022/'23;32360.0
128;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Utrecht (PV);2023/'24;31610.0
129;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Utrecht (PV);2024/'25;31560.0
130;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Holland (PV);2015/'16;67690.0
131;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Holland (PV);2016/'17;68730.0
132;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Holland (PV);2017/'18;69240.0
133;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Holland (PV);2018/'19;71220.0
134;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Holland (PV);2019/'20;72190.0
135;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Holland (PV);2020/'21;73410.0
136;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Holland (PV);2021/'22;72510.0
137;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Holland (PV);2022/'23;69730.0
138;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Holland (PV);2023/'24;67730.0
139;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Holland (PV);2024/'25;66940.0
140;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zuid-Holland (PV);2015/'16;102320.0
141;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zuid-Holland (PV);2016/'17;102860.0
142;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zuid-Holland (PV);2017/'18;103030.0
143;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zuid-Holland (PV);2018/'19;104740.0
144;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zuid-Holland (PV);2019/'20;104280.0
145;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zuid-Holland (PV);2020/'21;106220.0
146;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zuid-Holland (PV);2021/'22;105020.0
147;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zuid-Holland (PV);2022/'23;101460.0
148;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zuid-Holland (PV);2023/'24;98880.0
149;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zuid-Holland (PV);2024/'25;98960.0
150;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zeeland (PV);2015/'16;11020.0
151;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zeeland (PV);2016/'17;11190.0
152;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zeeland (PV);2017/'18;11500.0
153;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zeeland (PV);2018/'19;11570.0
154;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zeeland (PV);2019/'20;11720.0
155;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zeeland (PV);2020/'21;11710.0
156;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zeeland (PV);2021/'22;11590.0
157;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zeeland (PV);2022/'23;11090.0
158;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zeeland (PV);2023/'24;10790.0
159;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Zeeland (PV);2024/'25;10810.0
160;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Brabant (PV);2015/'16;68780.0
161;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Brabant (PV);2016/'17;69530.0
162;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Brabant (PV);2017/'18;69870.0
163;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Brabant (PV);2018/'19;71100.0
164;Totaal mannen en vrouwen;Totaal;Totaal mbo (incl. extranei);Totaal;Noord-Brabant (PV);2019/'20;71700.0
