ID;Sex;Age;Nationality;Periods;PopulationOn1January_1
79;Total male and female;Total;Asia (excluding Indonesian and Turkish);2016;123721.0
80;Total male and female;Total;Asia (excluding Indonesian and Turkish);2017;161559.0
81;Total male and female;Total;Asia (excluding Indonesian and Turkish);2018;188979.0
82;Total male and female;Total;Asia (excluding Indonesian and Turkish);2019;209000.0
83;Total male and female;Total;Asia (excluding Indonesian and Turkish);2020;232261.0
84;Total male and female;Total;Asia (excluding Indonesian and Turkish);2021;221918.0
85;Total male and female;Total;Asia (excluding Indonesian and Turkish);2022;221855.0
86;Total male and female;Total;Asia (excluding Indonesian and Turkish);2023;249405.0
87;Total male and female;Total;Asia (excluding Indonesian and Turkish);2024;276292.0
88;Total male and female;Total;Africa;2014;77602.0
89;Total male and female;Total;Africa;2015;77510.0
90;Total male and female;Total;Africa;2016;81573.0
91;Total male and female;Total;Africa;2017;86581.0
92;Total male and female;Total;Africa;2018;91226.0
93;Total male and female;Total;Africa;2019;98004.0
94;Total male and female;Total;Africa;2020;106335.0
95;Total male and female;Total;Africa;2021;104584.0
96;Total male and female;Total;Africa;2022;102998.0
97;Total male and female;Total;Africa;2023;107960.0
98;Total male and female;Total;Africa;2024;109844.0
99;Total male and female;Total;America;2014;42504.0
100;Total male and female;Total;America;2015;42943.0
101;Total male and female;Total;America;2016;44912.0
102;Total male and female;Total;America;2017;46029.0
103;Total male and female;Total;America;2018;49543.0
104;Total male and female;Total;America;2019;54630.0
105;Total male and female;Total;America;2020;60251.0
106;Total male and female;Total;America;2021;59734.0
107;Total male and female;Total;America;2022;63824.0
108;Total male and female;Total;America;2023;70356.0
109;Total male and female;Total;America;2024;75509.0
110;Total male and female;Total;Asia;2014;183459.0
111;Total male and female;Total;Asia;2015;190340.0
112;Total male and female;Total;Asia;2016;211156.0
113;Total male and female;Total;Asia;2017;248173.0
114;Total male and female;Total;Asia;2018;275327.0
115;Total male and female;Total;Asia;2019;296534.0
116;Total male and female;Total;Asia;2020;322255.0
117;Total male and female;Total;Asia;2021;311863.0
118;Total male and female;Total;Asia;2022;315455.0
119;Total male and female;Total;Asia;2023;351450.0
120;Total male and female;Total;Asia;2024;383939.0
121;Total male and female;Total;Oceania;2014;3821.0
122;Total male and female;Total;Oceania;2015;3952.0
123;Total male and female;Total;Oceania;2016;4293.0
124;Total male and female;Total;Oceania;2017;4560.0
125;Total male and female;Total;Oceania;2018;4859.0
126;Total male and female;Total;Oceania;2019;5173.0
127;Total male and female;Total;Oceania;2020;5470.0
128;Total male and female;Total;Oceania;2021;4942.0
129;Total male and female;Total;Oceania;2022;4796.0
130;Total male and female;Total;Oceania;2023;5207.0
131;Total male and female;Total;Oceania;2024;5801.0
132;Total male and female;Total;European Union (excl. Dutch nationals);2014;403027.0
133;Total male and female;Total;European Union (excl. Dutch nationals);2015;430934.0
134;Total male and female;Total;European Union (excl. Dutch nationals);2016;458705.0
135;Total male and female;Total;European Union (excl. Dutch nationals);2017;489119.0
136;Total male and female;Total;European Union (excl. Dutch nationals);2018;525626.0
137;Total male and female;Total;European Union (excl. Dutch nationals);2019;567724.0
138;Total male and female;Total;European Union (excl. Dutch nationals);2020;616615.0
139;Total male and female;Total;European Union (excl. Dutch nationals);2021;599632.0
140;Total male and female;Total;European Union (excl. Dutch nationals);2022;650691.0
141;Total male and female;Total;European Union (excl. Dutch nationals);2023;704203.0
142;Total male and female;Total;European Union (excl. Dutch nationals);2024;745524.0
143;Total male and female;Total;Mid- and East European nat. in the EU;2014;142444.0
144;Total male and female;Total;Mid- and East European nat. in the EU;2015;162851.0
145;Total male and female;Total;Mid- and East European nat. in the EU;2016;180424.0
146;Total male and female;Total;Mid- and East European nat. in the EU;2017;198113.0
147;Total male and female;Total;Mid- and East European nat. in the EU;2018;219796.0
148;Total male and female;Total;Mid- and East European nat. in the EU;2019;244677.0
149;Total male and female;Total;Mid- and East European nat. in the EU;2020;273215.0
150;Total male and female;Total;Mid- and East European nat. in the EU;2021;294211.0
151;Total male and female;Total;Mid- and East European nat. in the EU;2022;322978.0
152;Total male and female;Total;Mid- and East European nat. in the EU;2023;353543.0
153;Total male and female;Total;Mid- and East European nat. in the EU;2024;376272.0
154;Total male and female;Total;GIPS nationalities in the EU;2014;79643.0
155;Total male and female;Total;GIPS nationalities in the EU;2015;84348.0
156;Total male and female;Total;GIPS nationalities in the EU;2016;89707.0
157;Total male and female;Total;GIPS nationalities in the EU;2017;95963.0
158;Total male and female;Total;GIPS nationalities in the EU;2018;103816.0
