ID;Dimensions;Periods;Total_1;GrossDomesticProduct_2;Total_3;ImportsOfGoods_4;ImportsOfServices_5;Total_6;Total_7;Total_8;ConsumptionByHouseholds_9;ConsumptionByGeneralGovernment_10;Total_11;ByEnterprisesAndHouseholds_12;ByGovernment_13;ChangesInInventories_14;Total_15;ExportsOfGoods_16;ExportsOfServices_17;Total_18;AFAgricultureAndIndustry_19;AAgricultureForestryAndFishing_20;Total_21;BMiningAndQuarrying_22;Total_23;k_1012ManufactureOfFoodAndBeverages_24;k_1315ManOfTextileLeatherproducts_25;k_1618ManOfWoodPaperPrinting_26;k_19ManufactureOfCokeAndPetroleum_27;k_2021ManOfChemicalsPharmaceuticals_28;k_2223ManOfRubberPlasticsMinerals_29;k_2425ManOfBasicMetalsAndProducts_30;k_2627ManOfElectricElectronicProd_31;k_28ManOfOtherMachineryAndEquipment_32;k_2930ManOfTransportEquipment_33;k_3133ManOfOtherProductsAndRepair_34;DElectricityAndGasSupply_35;EWaterSupplyAndWasteManagement_36;FConstruction_37;GNCommercialServices_38;Total_39;GWholesaleAndRetailTrade_40;HTransportationAndStorage_41;IAccommodationAndFoodServing_42;JInformationAndCommunication_43;KFinancialInstitutions_44;LRentingBuyingSellingRealEstate_45;Total_46;MSpecialisedBusinessServices_47;Total_48;k_77RentingAndLeasingOfTangibleGoods_49;k_78EmploymentActivities_50;k_79TravelAgenciesTourOperatorsEtc_51;k_8082SecurityAndOtherServices_52;OUNoncommercialServices_53;Total_54;Total_55;OPublicAdministrationAndServices_56;PEducation_57;QHealthAndSocialWorkActivities_58;RUCultureRecreationOtherServices_59;TaxesLessSubsidiesOnProducts_60;TaxesOnProducts_61;SubsidiesOnProducts_62;DifferenceImputedAndPaidVAT_63;GrossDomesticProduct_64;CompensationOfEmployees_65;OperatingSurplusNet_66;TaxesLessSubsidies_67;TaxesOnProductionAndImports_68;Subsidies_69;NetDomesticProduct_70;ConsumptionOfFixedCapital_71;GrossDomesticProduct_72;GrossDomesticProduct_73;NetPrimaryIncomeAbroad_74;PrimaryIncomeAbroadReceived_75;PrimaryIncomeAbroadPaid_76;GrossNationalIncome_77;NetCurrentTransfersAbroad_78;CurrentTransfersAbroadReceived_79;CurrentTransfersAbroadPaid_80;GrossDisposableNationalIncome_81;FinalConsumptionExpenditure_82;AdjustmentForEquityPensionFunds_83;GrossNationalSaving_84;GrossFixedCapitalFormation_85;SurplusOfTheNationOnIncome_86;NetExportsOfGoods_87;NetExportsOfServices_88;NetPrimaryIncomeAbroad_89;NetCurrentTransfersAbroad_90;AdjustmentForEquityPensionFunds_91;SurplusOfNationOnCurrentTransaction_92;NetCapitalTransfersAbroad_93;CapitalTransfersAbroadReceived_94;CapitalTransfersAbroadPaid_95;NationalNetLendingOrNetBorrowing_96;TotalConsumptionExpenditure_97;Total_98;Total_99;Total_100;Food_101;BeveragesAndTobacco_102;Total_103;ClothingAndFootwear_104;VehiclesAndParts_105;HomeFurnishingAndOtherDurableGoods_106;Total_107;EnergyAndWater_108;MotorFuelAndOtherGoods_109;Total_110;Housing_111;HotelsAndRestaurantsServices_112;RecreationalAndCulturalServices_113;TransportAndCommunicationServices_114;MedicalServicesAndWelfare_115;FinancialAndBusinessServices_116;OtherServices_117;DomesticConsumption_118;ConsumptionByResidentsAbroad_119;ConsumptionForeignerInTheNetherlands_120;Total_121;IndividualConsumptionByGovernment_122;CollectiveConsumptionByGovernment_123;TotalConsumptionExpenditure_124;ActualIndividualConsumption_125;ActualCollectiveFinalConsumption_126;TotalGrossFixedCapitalFormation_127;Total_128;Dwellings_129;Total_130;NonResidentialBuildings_131;CivilEngineeringWorks_132;TransportEquipment_133;Total_134;MachineryAndEquipment_135;Computers_136;CultivatedAssetsTreesAndLivestock_137;Total_138;OtherTangibleFixedAssets_139;IntangibleFixedAssets_140;TransfersCostsOfGround_141;SalesOfExistingFixedAssets_142;TotalGrossFixedCapitalFormation_143;Total_144;AAgricultureForestryAndFishing_145;BFIndustryAndEnergy_146;GNCommercialServices_147;OUNoncommercialServices_148;SalesOfExistingFixedAssets_149;TotalExports_150;ProductsOfAgricultureAndFishing_151;CrudeOilGasAndOtherMinerals_152;FoodBeveragesAndTobaccoProducts_153;TextilesWearingApparelAndLeather_154;PaperPrintedMatterAndRecordedMedia_155;CokePetroleumProductsAndOtherFuel_156;ChemicalProductsAndManMadeFibres_157;RubberEnPlasticProducts_158;BasicMetalsAndMetalProducts_159;MachineryAndEquipmentIE_160;ElectricalMachineryOpticalEquipment_161;TransportEquipment_162;OtherManufacturedProductsIE_163;TransportAndCommunicationServices_164;FinancialAndBusinessServices_165;OtherProducts_166;ConsumptionForeignerInTheNetherlands_167;ExportsOfUsedFixedCapitalGoods_168;CifFobAdjustment_169;Total_170;ExportsOfGoodsFromProduction_171;ReExports_172;ExportsOfUsedFixedCapitalGoods_173;Total_174;ConsumptionForeignerInTheNetherlands_175;OtherExportsOfServices_176;CifFobAdjustment_177;Total_178;ProductsOfAgricultureAndFishing_179;CrudeOilGasAndOtherMinerals_180;FoodBeveragesAndTobaccoProducts_181;TextilesWearingApparelAndLeather_182;PaperPrintedMatterAndRecordedMedia_183;CokePetroleumProductsAndOtherFuel_184;ChemicalProductsAndManMadeFibres_185;RubberEnPlasticProducts_186;BasicMetalsAndMetalProducts_187;MachineryAndEquipmentIE_188;ElectricalMachineryOpticalEquipment_189;TransportEquipment_190;OtherManufacturedProductsIE_191;OtherProducts_192;ConsumptionByResidentsAbroad_193;CifFobAdjustment_194;Total_195;ImportOfGoodsCif_196;CifFobAdjustmentAndReclassification_197;Total_198;ImportsOfServicesCif_199;CifFobReclassification_200;TotalTaxesOnProductionAndImports_201;TaxesOnProducts_202;OtherTaxesOnProduction_203;TotalSubsidies_204;SubsidiesOnProducts_205;OtherSubsidiesOnProduction_206
215;Prices of 2005, seasonally adjusted;2004;800773;503111;297647;227671;69954;800773;463416;368982;247856;121125;93553;77624;15931;898;337223;265575;71644;446904;117892;8872;84552;15222;60113;11493.0;1090.0;4794.0;3298.0;10746.0;3849.0;7232.0;2775.0;4841.0;2937.0;7070.0;5877;4005;24487;224786;87083;56452.0;22264.0;8375.0;22424;34053;33132;48133;27465.0;20678.0;4506.0;9455.0;972.0;5749.0;104276;93069;54526.0;32784.0;21742.0;38552.0;11209;55756.0;59881.0;4122.0;452.0;503111;;;56812.0;65231.0;8404.0;428777.0;74332.0;503111;503111;;;;;;;;;368982;;;94448;;;;;;;;;;;;368982;247856;114134.0;33655.0;21023.0;12634.0;46372.0;12759.0;9668.0;23951.0;34122.0;10066.0;24071.0;132584.0;40521.0;12513.0;8285.0;18262.0;13079.0;25000.0;14913.0;246731.0;10454.0;9330.0;121125;67475;53654;368982;315329;53654;93553;95475;29665;24949;14949.0;10006.0;10304;15935;12138.0;3830.0;378;14257;5510.0;7500.0;1247.0;1922;93553;95475;3279;12646;59692;19857;1922;337223;16185.0;11422.0;30830.0;7712.0;6117.0;22144.0;45906.0;6288.0;17513.0;15574.0;60936.0;13704.0;6004.0;20581.0;35029.0;14258.0;9330.0;633.0;-2217.0;265575;151819.0;113708.0;633.0;71644;9330.0;64525.0;-2217.0;297647;9916.0;25142.0;15837.0;9906.0;6504.0;9758.0;30380.0;6184.0;17072.0;13799.0;58355.0;17712.0;9708.0;59579.0;10454.0;-2217.0;227671;234731.0;7060.0;69954;65104.0;4842.0;65231.0;59881.0;5352.0;8404.0;4122.0;4313.0
216;Prices of 2005, seasonally adjusted;2005 1st quarter;202571;126701;75921;57704;17804;202571;115470;92007;62134;29956;23692;19590;4127;201;87325;68619;18563;112789;29472;2228;21128;3192;15203;;;;;;;;;;;;1667;1017;6090;57254;22098;;;;5778;8773;8333;12356;;;;;;;25970;22928;;;;;2911;;;;;126701;;;;;;;;126701;126701;;;;;;;;;92007;;;23893;;;;;;;;;;;;92007;62134;;;;;;;;;;;;;;;;;;;;;;;29956;16900;13139;92007;79034;13139;23692;24194;7445;6203;;;2573;3966;;;99;3844;;;;501;23692;24194;808;3162;15277;4900;501;87325;;;;;;;;;;;;;;;;;;;;68619;;;;18563;;;;75921;;;;;;;;;;;;;;;;;57704;;;17804;;;;;;;;
217;Prices of 2005, seasonally adjusted;2005 2nd quarter;206299;128095;78170;60109;18323;206299;117215;92792;62428;30361;24200;20136;4140;162;88862;69990;18806;113831;29817;2190;21218;3278;15304;;;;;;;;;;;;1744;965;6433;57584;22414;;;;5809;8604;8289;12404;;;;;;;26408;23717;;;;;2790;;;;;128095;;;;;;;;128095;128095;;;;;;;;;92792;;;24362;;;;;;;;;;;;92792;62428;;;;;;;;;;;;;;;;;;;;;;;30361;17177;13210;92792;79512;13210;24200;24820;7790;6380;;;2389;4174;;;98;3910;;;;543;24200;24820;835;3357;15662;5023;543;88862;;;;;;;;;;;;;;;;;;;;69990;;;;18806;;;;78170;;;;;;;;;;;;;;;;;60109;;;18323;;;;;;;;
218;Prices of 2005, seasonally adjusted;2005 3rd quarter;208348;128988;79393;61271;18417;208348;118145;93590;62831;30634;24766;20447;4285;-415;90170;71204;18852;114549;29786;2216;21294;2985;15453;;;;;;;;;;;;1805;994;6361;58403;22911;;;;5912;8701;8344;12531;;;;;;;26351;23466;;;;;2914;;;;;128988;;;;;;;;128988;128988;;;;;;;;;93590;;;24350;;;;;;;;;;;;93590;62831;;;;;;;;;;;;;;;;;;;;;;;30634;17393;13066;93590;80322;13066;24766;25260;7909;6442;;;2752;4388;;;66;3759;;;;559;24766;25260;798;3465;15826;5134;559;90170;;;;;;;;;;;;;;;;;;;;71204;;;;18852;;;;79393;;;;;;;;;;;;;;;;;61271;;;18417;;;;;;;;
219;Prices of 2005, seasonally adjusted;2005 4th quarter;209878;129822;80203;62073;17988;209878;118812;93639;62951;30734;24358;19958;4332;650;91096;72054;19366;115115;29828;2192;21173;3077;15446;;;;;;;;;;;;1717;967;6380;59013;23126;;;;5873;9016;8246;12739;;;;;;;26296;23534;;;;;2765;;;;;129822;;;;;;;;129822;129822;;;;;;;;;93639;;;25009;;;;;;;;;;;;93639;62951;;;;;;;;;;;;;;;;;;;;;;;30734;17198;13604;93639;80142;13604;24358;24895;8001;6487;;;2402;4420;;;78;3596;;;;552;24358;24895;822;3491;15471;5139;552;91096;;;;;;;;;;;;;;;;;;;;72054;;;;19366;;;;80203;;;;;;;;;;;;;;;;;62073;;;17988;;;;;;;;
220;Prices of 2005, seasonally adjusted;2005;827095;513407;313688;241157;72531;827095;469642;372028;250343;121685;97016;80132;16884;598;357453;281867;75586;456182;118903;8826;84813;12532;61405;11937.0;1097.0;4910.0;3330.0;10813.0;3952.0;7451.0;2924.0;4871.0;2929.0;7191.0;6933;3943;25264;232254;90548;59035.0;23043.0;8470.0;23372;35093;33212;50029;27979.0;22050.0;4542.0;10681.0;963.0;5864.0;105025;93645;54260.0;32540.0;21720.0;39385.0;11380;56587.0;60693.0;4106.0;638.0;513407;;;58801.0;66292.0;7491.0;437698.0;75709.0;513407;513407;;;;;;;;;372028;;;97614;;;;;;;;;;;;372028;250343;114588.0;33611.0;21116.0;12495.0;46923.0;13009.0;9554.0;24360.0;34054.0;9895.0;24159.0;134903.0;41140.0;12540.0;8352.0;18995.0;13461.0;25852.0;14563.0;249491.0;10165.0;9313.0;121685;68667;53018;372028;319010;53018;97016;99170;31145;25512;14683.0;10829.0;10116;16948;12614.0;4334.0;340;15109;5656.0;7952.0;1501.0;2154;97016;99170;3262;13475;62236;20197;2154;357453;16783.0;11342.0;31760.0;8253.0;6221.0;22475.0;48570.0;6424.0;17908.0;15968.0;69737.0;13637.0;6192.0;21758.0;37024.0;15651.0;9313.0;805.0;-2368.0;281867;152300.0;128762.0;805.0;75586;9313.0;68641.0;-2368.0;313688;10329.0;26270.0;16557.0;10407.0;6537.0;9905.0;33125.0;6275.0;17245.0;14129.0;66177.0;17265.0;9873.0;61797.0;10165.0;-2368.0;241157;248901.0;7744.0;72531;67155.0;5376.0;66292.0;60693.0;5599.0;7491.0;4106.0;3385.0
221;Prices of 2005, seasonally adjusted;2006 1st quarter;213854;130893;83162;64575;18787;213854;120387;94735;61918;32965;24855;20677;4223;767;93596;74405;19246;116231;29973;2145;21502;3510;15334;;;;;;;;;;;;1728;970;6282;59922;23482;;;;6064;9180;8238;12971;;;;;;;26249;23433;;;;;2704;;;;;130893;;;;;;;;130893;130893;;;;;;;;;94735;;;25622;;;;;;;;;;;;94735;61918;;;;;;;;;;;;;;;;;;;;;;;32965;19307;13690;94735;81191;13690;24855;25387;8049;6353;;;2687;4452;;;75;3705;;;;541;24855;25387;815;3489;15999;5078;541;93596;;;;;;;;;;;;;;;;;;;;74405;;;;19246;;;;83162;;;;;;;;;;;;;;;;;64575;;;18787;;;;;;;;
222;Prices of 2005, seasonally adjusted;2006 2nd quarter;217811;132939;85039;66329;18836;217811;122092;95975;62586;33268;25548;21278;4342;507;95640;76464;19136;117850;30400;2230;21839;3324;15815;;;;;;;;;;;;1728;1037;6375;60860;23908;;;;6153;9305;8275;13211;;;;;;;26493;23499;;;;;3119;;;;;132939;;;;;;;;132939;132939;;;;;;;;;95975;;;26055;;;;;;;;;;;;95975;62586;;;;;;;;;;;;;;;;;;;;;;;33268;19525;13797;95975;82079;13797;25548;26199;8045;6441;;;2834;4739;;;71;4043;;;;540;25548;26199;832;3692;16445;5294;540;95640;;;;;;;;;;;;;;;;;;;;76464;;;;19136;;;;85039;;;;;;;;;;;;;;;;;66329;;;18836;;;;;;;;
223;Prices of 2005, seasonally adjusted;2006 3rd quarter;218532;133275;85277;66301;19071;218532;122337;95928;62635;33268;26431;21983;4411;11;96178;76644;19416;118511;30352;2224;21629;2604;16001;;;;;;;;;;;;1705;1004;6564;61435;24052;;;;6176;9316;8372;13498;;;;;;;26616;23752;;;;;2868;;;;;133275;;;;;;;;133275;133275;;;;;;;;;95928;;;26442;;;;;;;;;;;;95928;62635;;;;;;;;;;;;;;;;;;;;;;;33268;19752;13342;95928;82421;13342;26431;26919;8357;6562;;;2779;4949;;;78;4247;;;;546;26431;26919;838;3912;16829;5311;546;96178;;;;;;;;;;;;;;;;;;;;76644;;;;19416;;;;85277;;;;;;;;;;;;;;;;;66301;;;19071;;;;;;;;
224;Prices of 2005, seasonally adjusted;2006 4th quarter;222023;134192;87909;68151;19337;222023;123961;96133;62343;33789;27441;22769;4593;445;98029;78912;19220;119079;30385;2148;21535;2763;16378;;;;;;;;;;;;1596;1007;6638;61934;24488;;;;6329;9171;8349;13614;;;;;;;26757;23820;;;;;2920;;;;;134192;;;;;;;;134192;134192;;;;;;;;;96133;;;27886;;;;;;;;;;;;96133;62343;;;;;;;;;;;;;;;;;;;;;;;33789;19814;14063;96133;82189;14063;27441;27938;8497;6746;;;2962;5128;;;77;4565;;;;542;27441;27938;879;3995;17483;5555;542;98029;;;;;;;;;;;;;;;;;;;;78912;;;;19220;;;;87909;;;;;;;;;;;;;;;;;68151;;;19337;;;;;;;;
225;Prices of 2005, seasonally adjusted;2006;872220;530833;341387;265356;76031;872220;488777;382772;249482;133290;104275;86707;17568;1730;383443;306425;77018;471376;121111;8747;86504;12201;63527;12186.0;1125.0;4990.0;3204.0;11453.0;4222.0;7687.0;3005.0;5287.0;2964.0;7404.0;6757;4019;25860;244150;95930;63511.0;23720.0;8699.0;24721;36972;33234;53293;29065.0;24228.0;4591.0;12457.0;968.0;6212.0;106115;94504;54256.0;32614.0;21642.0;40248.0;11611;58793.0;62950.0;4157.0;664.0;530833;;;60949.0;68594.0;7645.0;453649.0;77184.0;530833;530833;;;;;;;;;382772;;;106005;;;;;;;;;;;;382772;249482;117870.0;34464.0;21683.0;12781.0;49814.0;13746.0;9937.0;26131.0;33592.0;9865.0;23727.0;131237.0;41316.0;12854.0;8748.0;19782.0;7179.0;26674.0;14684.0;249107.0;10183.0;9808.0;133290;78398;54892;382772;327880;54892;104275;106444;32949;26102;14985.0;11117.0;11263;19268;14223.0;5045.0;302;16560;5904.0;9127.0;1529.0;2169;104275;106444;3364;15087;66756;21237;2169;383443;17226.0;11662.0;33229.0;9067.0;6440.0;23745.0;51132.0;6734.0;21287.0;18252.0;79857.0;14648.0;6892.0;21550.0;38186.0;15669.0;9808.0;843.0;-2784.0;306425;158439.0;147143.0;843.0;77018;9808.0;69994.0;-2784.0;341387;10487.0;26318.0;17554.0;11439.0;6684.0;11780.0;35174.0;6596.0;21074.0;16657.0;75632.0;19231.0;10868.0;64494.0;10183.0;-2784.0;265356;274505.0;9149.0;76031;69666.0;6365.0;68594.0;62950.0;5644.0;7645.0;4157.0;3488.0
226;Prices of 2005, seasonally adjusted;2007 1st quarter;224187;136019;88224;69235;18881;224187;124463;96916;62795;34203;27420;23003;4484;39;99454;79857;19608;120595;30654;2268;21639;2669;16749;;;;;;;;;;;;1557;1014;6761;62995;25113;;;;6429;9475;8309;13941;;;;;;;26729;23760;;;;;2896;;;;;136019;;;;;;;;136019;136019;;;;;;;;;96916;;;27459;;;;;;;;;;;;96916;62795;;;;;;;;;;;;;;;;;;;;;;;34203;20107;14132;96916;82861;14132;27420;27970;8672;6948;;;2706;5337;;;101;4106;;;;558;27420;27970;957;3904;17549;5581;558;99454;;;;;;;;;;;;;;;;;;;;79857;;;;19608;;;;88224;;;;;;;;;;;;;;;;;69235;;;18881;;;;;;;;
227;Prices of 2005, seasonally adjusted;2007 2nd quarter;226114;136891;89715;70895;18909;226114;125217;97573;63128;34381;26714;22266;4494;719;101509;81136;20289;121494;30945;2257;21942;2764;16688;;;;;;;;;;;;1561;1016;6789;63773;25345;;;;6537;9395;8349;14123;;;;;;;26817;23843;;;;;3062;;;;;136891;;;;;;;;136891;136891;;;;;;;;;97573;;;27433;;;;;;;;;;;;97573;63128;;;;;;;;;;;;;;;;;;;;;;;34381;20256;14144;97573;83362;14144;26714;27421;8644;6905;;;2858;5230;;;109;3658;;;;592;26714;27421;974;3945;17025;5513;592;101509;;;;;;;;;;;;;;;;;;;;81136;;;;20289;;;;89715;;;;;;;;;;;;;;;;;70895;;;18909;;;;;;;;
228;Prices of 2005, seasonally adjusted;2007 3rd quarter;229864;138682;91054;71959;19261;229864;127158;98421;63749;34634;27688;23137;4513;1192;102511;82018;20508;123090;31693;2246;22633;3208;16737;;;;;;;;;;;;1710;996;6834;64325;25303;;;;6641;9696;8310;14311;;;;;;;27084;24150;;;;;2934;;;;;138682;;;;;;;;138682;138682;;;;;;;;;98421;;;28880;;;;;;;;;;;;98421;63749;;;;;;;;;;;;;;;;;;;;;;;34634;20413;14133;98421;84170;14133;27688;28250;8505;7050;;;2953;5297;;;98;4370;;;;577;27688;28250;1036;4022;17465;5674;577;102511;;;;;;;;;;;;;;;;;;;;82018;;;;20508;;;;91054;;;;;;;;;;;;;;;;;71959;;;19261;;;;;;;;
229;Prices of 2005, seasonally adjusted;2007 4th quarter;232142;140480;91625;71398;20004;232142;127457;98934;64192;34771;28213;23320;4817;465;104493;83467;21072;125202;32991;2317;23687;3540;17108;;;;;;;;;;;;1788;1034;6917;64869;25447;;;;6646;10042;8363;14325;;;;;;;27258;24250;;;;;2995;;;;;140480;;;;;;;;140480;140480;;;;;;;;;98934;;;28679;;;;;;;;;;;;98934;64192;;;;;;;;;;;;;;;;;;;;;;;34771;20719;14085;98934;84961;14085;28213;28728;8693;7201;;;3031;5344;;;90;4497;;;;610;28213;28728;1045;4020;17875;5786;610;104493;;;;;;;;;;;;;;;;;;;;83467;;;;21072;;;;91625;;;;;;;;;;;;;;;;;71398;;;20004;;;;;;;;
230;Prices of 2005, seasonally adjusted;2007;912306;551645;360618;283487;77054;912306;504296;391844;253864;137988;110035;91727;18307;2415;407966;326477;81476;490102;126283;9088;89899;12183;67282;12547.0;1204.0;5121.0;3476.0;11986.0;4442.0;8352.0;3272.0;5719.0;3347.0;7832.0;6616;4062;27301;255961;101209;67463.0;24860.0;8900.0;26253;38608;33331;56700;29908.0;26791.0;4884.0;14404.0;1020.0;6469.0;107888;96003;54745.0;33027.0;21719.0;41259.0;11887;60836.0;65023.0;4184.0;792.0;551645;;;63434.0;70812.0;7361.0;472506.0;79140.0;551645;551645;;;;;;;;;391844;;;112452;;;;;;;;;;;;391844;253864;120945.0;35336.0;22121.0;13216.0;52397.0;14264.0;10256.0;27884.0;33280.0;9397.0;23916.0;133069.0;41633.0;13103.0;9075.0;20496.0;6579.0;27285.0;14913.0;254011.0;10209.0;10353.0;137988;81494;56492;391844;335354;56492;110035;112371;34513;28105;16957.0;11145.0;11547;21208;15441.0;5792.0;398;16631;6690.0;8310.0;1636.0;2336;110035;112371;4013;15890;69914;22554;2336;407966;17440.0;12206.0;34648.0;9474.0;6488.0;23380.0;56684.0;7164.0;23302.0;21599.0;84747.0;16545.0;7163.0;22629.0;40911.0;15405.0;10353.0;905.0;-2830.0;326477;165415.0;160351.0;905.0;81476;10353.0;73950.0;-2830.0;360618;10745.0;26913.0;18150.0;11897.0;6798.0;11988.0;40127.0;7013.0;22407.0;19384.0;80858.0;20439.0;11535.0;65232.0;10209.0;-2830.0;283487;292675.0;9188.0;77054;70700.0;6357.0;70812.0;65023.0;5787.0;7361.0;4184.0;3177.0
231;Prices of 2005, seasonally adjusted;2008 1st quarter;235035;141283;93590;73200;19874;235035;128183;99145;64094;35242;29042;24004;5103;-84;106254;84604;21599;125677;32503;2349;23091;3242;17242;;;;;;;;;;;;1680;1022;7068;65509;25746;;;;6669;10295;8361;14728;;;;;;;27378;24370;;;;;2973;;;;;141283;;;;;;;;141283;141283;;;;;;;;;99145;;;28958;;;;;;;;;;;;99145;64094;;;;;;;;;;;;;;;;;;;;;;;35242;20720;14517;99145;84515;14517;29042;29587;8832;7502;;;3321;5553;;;79;4151;;;;562;29042;29587;1021;4251;18424;5930;562;106254;;;;;;;;;;;;;;;;;;;;84604;;;;21599;;;;93590;;;;;;;;;;;;;;;;;73200;;;19874;;;;;;;;
232;Prices of 2005, seasonally adjusted;2008 2nd quarter;232754;140809;92643;72708;20219;232754;128752;99698;64472;35158;29117;24146;4987;-341;105191;83852;21268;125332;32229;2200;22928;3357;16794;;;;;;;;;;;;1722;1069;7132;65767;25642;;;;6734;10253;8417;14862;;;;;;;27449;24481;;;;;3020;;;;;140809;;;;;;;;140809;140809;;;;;;;;;99698;;;28776;;;;;;;;;;;;99698;64472;;;;;;;;;;;;;;;;;;;;;;;35158;20796;14396;99698;85384;14396;29117;29794;8801;7499;;;2931;5845;;;102;4621;;;;576;29117;29794;1069;4313;18474;5940;576;105191;;;;;;;;;;;;;;;;;;;;83852;;;;21268;;;;92643;;;;;;;;;;;;;;;;;72708;;;20219;;;;;;;;
233;Prices of 2005, seasonally adjusted;2008 3rd quarter;233783;140757;92831;73130;20150;233783;129034;99990;64348;35521;28947;24440;4489;312;104419;83132;21436;125303;31952;2367;22561;3322;16384;;;;;;;;;;;;1683;1034;7043;65607;25439;;;;6799;10334;8367;14747;;;;;;;27826;24831;;;;;2989;;;;;140757;;;;;;;;140757;140757;;;;;;;;;99990;;;29259;;;;;;;;;;;;99990;64348;;;;;;;;;;;;;;;;;;;;;;;35521;20999;14504;99990;85472;14504;28947;29544;8616;7391;;;3118;5718;;;85;4640;;;;603;28947;29544;1069;4287;18350;5798;603;104419;;;;;;;;;;;;;;;;;;;;83132;;;;21436;;;;92831;;;;;;;;;;;;;;;;;73130;;;20150;;;;;;;;
234;Prices of 2005, seasonally adjusted;2008 4th quarter;229067;138995;89924;69781;19888;229067;128429;100134;64250;35886;27857;23070;4722;582;100333;78788;21620;124158;31337;2368;21991;3255;15873;;;;;;;;;;;;1768;1048;6933;64752;24873;;;;6704;10235;8329;14673;;;;;;;28022;25058;;;;;2950;;;;;138995;;;;;;;;138995;138995;;;;;;;;;100134;;;28439;;;;;;;;;;;;100134;64250;;;;;;;;;;;;;;;;;;;;;;;35886;21405;14468;100134;85717;14468;27857;28307;8209;7396;;;3079;5375;;;77;4375;;;;525;27857;28307;1042;3997;17372;5896;525;100333;;;;;;;;;;;;;;;;;;;;78788;;;;21620;;;;89924;;;;;;;;;;;;;;;;;69781;;;19888;;;;;;;;
235;Prices of 2005, seasonally adjusted;2008;930640;561597;368988;288819;80132;930640;514398;398967;257164;141808;114962;95661;19301;470;416197;330377;85922;500273;128021;9285;90570;13174;66292;12305.0;1171.0;5026.0;3744.0;11177.0;4388.0;8367.0;3310.0;5479.0;3392.0;8049.0;6853;4173;28177;261635;101700;68069.0;25144.0;8523.0;26906;41116;33475;59009;31032.0;27977.0;5134.0;15003.0;1042.0;6786.0;110677;98740;55534.0;33438.0;22096.0;43217.0;11930;60963.0;65070.0;4085.0;1267.0;561597;;;63484.0;70904.0;7402.0;480820.0;80778.0;561597;561597;;;;;;;;;398967;;;115433;;;;;;;;;;;;398967;257164;122497.0;35327.0;22032.0;13296.0;53281.0;14410.0;10406.0;28477.0;33956.0;10061.0;23878.0;134208.0;42105.0;12626.0;9124.0;20633.0;6782.0;27755.0;15188.0;256696.0;10926.0;10470.0;141808;83919;57885;398967;341088;57885;114962;117233;34459;29790;17976.0;11811.0;12448;22491;16475.0;6022.0;342;17787;7057.0;9559.0;1169.0;2267;114962;117233;4202;16848;72620;23566;2267;416197;18061.0;13003.0;35262.0;9529.0;6125.0;24784.0;55097.0;6867.0;23301.0;21670.0;87368.0;16755.0;6921.0;23123.0;44293.0;16091.0;10470.0;732.0;-2904.0;330377;161842.0;168451.0;732.0;85922;10470.0;78364.0;-2904.0;368988;11180.0;26196.0;19386.0;11997.0;6633.0;12168.0;39966.0;6939.0;22562.0;19686.0;84865.0;21348.0;11434.0;67377.0;10926.0;-2904.0;288819;298244.0;9425.0;80132;73618.0;6521.0;70904.0;65070.0;5834.0;7402.0;4085.0;3271.0
236;Prices of 2005, seasonally adjusted;2009 1st quarter;221924;136106;85813;65297;20096;221924;126647;100127;63556;36510;26816;21751;5108;-220;94819;73552;21184;121256;30513;2307;21174;3203;14783;;;;;;;;;;;;1711;1042;7096;62186;23455;;;;6462;10151;8283;14258;;;;;;;28245;25286;;;;;2962;;;;;136106;;;;;;;;136106;136106;;;;;;;;;100127;;;26596;;;;;;;;;;;;100127;63556;;;;;;;;;;;;;;;;;;;;;;;36510;21608;14972;100127;85242;14972;26816;27360;8032;7640;;;2652;5156;;;87;3600;;;;580;26816;27360;1027;4108;15988;6275;580;94819;;;;;;;;;;;;;;;;;;;;73552;;;;21184;;;;85813;;;;;;;;;;;;;;;;;65297;;;20096;;;;;;;;
237;Prices of 2005, seasonally adjusted;2009 2nd quarter;216675;134245;83071;62584;20608;216675;123925;99926;62791;37107;25459;20430;5068;-1478;94038;72496;21421;120202;29378;2440;20301;2805;14906;;;;;;;;;;;;1706;1046;6729;62298;23517;;;;6539;10288;8301;13834;;;;;;;28495;25537;;;;;2963;;;;;134245;;;;;;;;134245;134245;;;;;;;;;99926;;;23981;;;;;;;;;;;;99926;62791;;;;;;;;;;;;;;;;;;;;;;;37107;21947;15153;99926;84812;15153;25459;26089;7467;7194;;;2392;4975;;;75;3890;;;;560;25459;26089;951;3873;15144;6084;560;94038;;;;;;;;;;;;;;;;;;;;72496;;;;21421;;;;83071;;;;;;;;;;;;;;;;;62584;;;20608;;;;;;;;
