ID;VorderingenEnSchulden;BalansstandenEnTransacties;Perioden;Totaal_1;ChartaalGeldEnDepositoS_2;TotaalEffectenBehalveAandelen_3;KortlopendeEffecten_4;LanglopendeEffecten_5;FinancieleDerivaten_6;TotaalLeningen_7;KortlopendeLeningen_8;LanglopendeLeningen_9;TotaalAandelenEnOverigeDeelnemingen_10;BeursgenoteerdeAandelen_11;OverigeAandelenEnDeelnemingen_12;HandelskredietenTransitorischePosten_13
96;Vorderingen;Financiële transacties;2005;7057;4943;-90;0;0;-90.0;2478;-249;2727;-829.0;-3634.0;2805.0;555
97;Vorderingen;Financiële transacties;2006 1e kwartaal;814;-2719;-29;0;0;-29.0;3948;3916;32;0.0;0.0;0.0;-386
98;Vorderingen;Financiële transacties;2006 2e kwartaal;1848;2071;-36;0;0;-36.0;-812;-1295;483;0.0;0.0;0.0;625
99;Vorderingen;Financiële transacties;2006 3e kwartaal;-2437;-1211;-41;0;0;-41.0;76;-931;1007;-1751.0;-1576.0;-175.0;490
100;Vorderingen;Financiële transacties;2006 4e kwartaal;-4454;-3786;-21;0;0;-21.0;-945;-580;-365;-2257.0;-1353.0;-904.0;2555
101;Vorderingen;Financiële transacties;2006;-4229;-5645;-127;0;0;-127.0;2267;1110;1157;-4008.0;-2929.0;-1079.0;3284
102;Vorderingen;Financiële transacties;2007 1e kwartaal;3376;955;-28;0;0;-28.0;3468;3718;-250;-339.0;0.0;-339.0;-680
103;Vorderingen;Financiële transacties;2007 2e kwartaal;6214;4717;-24;0;0;-24.0;1408;850;558;50.0;0.0;50.0;63
104;Vorderingen;Financiële transacties;2007 3e kwartaal;-4635;-4372;-23;0;0;-23.0;364;-293;657;0.0;0.0;0.0;-604
105;Vorderingen;Financiële transacties;2007 4e kwartaal;2626;2434;-44;0;0;-44.0;-696;-2222;1526;-829.0;0.0;-829.0;1761
106;Vorderingen;Financiële transacties;2007;7581;3734;-119;0;0;-119.0;4544;2053;2491;-1118.0;0.0;-1118.0;540
107;Vorderingen;Financiële transacties;2008 1e kwartaal*;-5422;-2638;-26;0;0;-26.0;-861;73;-934;0.0;0.0;0.0;-1897
108;Vorderingen;Financiële transacties;2008 2e kwartaal*;6233;5370;-14;0;0;-14.0;380;-589;969;0.0;0.0;0.0;497
109;Vorderingen;Financiële transacties;2008 3e kwartaal*;9608;9075;-13;0;0;-13.0;651;10;641;0.0;0.0;0.0;-105
110;Vorderingen;Financiële transacties;2008 4e kwartaal*;79792;-11800;-117;0;0;-117.0;50391;39735;10656;36630.0;0.0;36630.0;4688
111;Vorderingen;Financiële transacties;2008*;90211;7;-170;0;0;-170.0;50561;39229;11332;36630.0;0.0;36630.0;3183
112;Vorderingen;Financiële transacties;2009 1e kwartaal*;-7387;-3159;-132;0;0;-132.0;-1513;-1080;-433;413.0;0.0;413.0;-2996
113;Vorderingen;Financiële transacties;2009 2e kwartaal*;15889;18319;20816;0;20795;21.0;-22371;-22738;367;0.0;0.0;0.0;-875
114;Vorderingen;Financiële transacties;2009 3e kwartaal*;-16692;-14733;-750;0;-798;48.0;-4683;-4651;-32;-521.0;0.0;-521.0;3995
115;Vorderingen;Financiële transacties;2009 4e kwartaal*;-8347;-4150;-1191;0;-1326;135.0;1215;1689;-474;-7117.0;0.0;-7117.0;2896
116;Vorderingen;Financiële transacties;2009*;-16537;-3723;18743;0;18671;72.0;-27352;-26780;-572;-7225.0;0.0;-7225.0;3020
117;Vorderingen;Financiële transacties;2010 1e kwartaal*;2286;-683;-720;0;-870;150.0;3484;3909;-425;0.0;0.0;0.0;205
118;Vorderingen;Financiële transacties;2010 2e kwartaal*;6089;1402;-776;0;-915;139.0;4978;4833;145;0.0;0.0;0.0;485
119;Vorderingen;Financiële transacties;2010 3e kwartaal*;-13353;-859;-788;0;-928;140.0;-9337;-7426;-1911;-500.0;0.0;-500.0;-1869
120;Vorderingen;Financiële transacties;2010 4e kwartaal*;401;-841;-1277;0;-1422;145.0;-2410;-4372;1962;375.0;0.0;375.0;4554
121;Vorderingen;Financiële transacties;2010*;-4577;-981;-3561;0;-4135;574.0;-3285;-3056;-229;-125.0;0.0;-125.0;3375
122;Vorderingen;Financiële transacties;2011 1e kwartaal*;2964;296;-665;0;-798;133.0;3331;2622;709;-1668.0;0.0;-1668.0;1670
123;Vorderingen;Financiële transacties;2011 2e kwartaal*;6977;5645;-348;0;-631;283.0;7791;6568;1223;-4121.0;0.0;-4121.0;-1990
124;Vorderingen;Overige mutaties;1999 1e kwartaal;-2665;3;0;0;0;0.0;7;-2;9;-3074.0;-1129.0;-1945.0;399
125;Vorderingen;Overige mutaties;1999 2e kwartaal;2118;2;0;0;0;0.0;10;0;10;1822.0;792.0;1030.0;284
126;Vorderingen;Overige mutaties;1999 3e kwartaal;1112;2;0;0;0;0.0;9;0;9;817.0;-213.0;1030.0;284
127;Vorderingen;Overige mutaties;1999 4e kwartaal;13765;2;0;0;0;0.0;11;2;9;13465.0;12436.0;1029.0;287
128;Vorderingen;Overige mutaties;1999;14330;9;0;0;0;0.0;37;0;37;13030.0;11886.0;1144.0;1254
129;Vorderingen;Overige mutaties;2000 1e kwartaal;4103;-39;0;0;0;0.0;-90;0;-90;4111.0;3718.0;393.0;121
