ID;Bedrijfsomvang;BedrijfstakkenBranchesSBI2008;Perioden;TotaalAantalBedrijven_1;AantalBedrijvenDatAlleenInvoert_2;AantalBedrijvenDatInEnUitvoert_3;TotaleInvoerwaarde_4;WaardeVBedrijvenDieAlleenInvoeren_5;WaardeVBedrijvenDieInEnUitvoeren_6;TotaalAantalBedrijven_7;AantalBedrijvenDatAlleenUitvoert_8;AantalBedrijvenDatInEnUitvoert_9;TotaleUitvoerwaarde_10;WaardeVBedrijvenDieAlleenUitvoeren_11;WaardeVBedrijvenDieInEnUitvoeren_12
222;Onbekend aantal werkzame personen;19 Aardolie-industrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
223;Onbekend aantal werkzame personen;20 Chemische industrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
224;Onbekend aantal werkzame personen;21 Farmaceutische industrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
225;Onbekend aantal werkzame personen;22 Rubber- en kunststofproductindustrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
226;Onbekend aantal werkzame personen;23 Bouwmaterialenindustrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
227;Onbekend aantal werkzame personen;24 Basismetaalindustrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
228;Onbekend aantal werkzame personen;25 Metaalproductenindustrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
229;Onbekend aantal werkzame personen;26 Elektrotechnische industrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
230;Onbekend aantal werkzame personen;27 Elektrische apparatenindustrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
231;Onbekend aantal werkzame personen;28 Machine-industrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
232;Onbekend aantal werkzame personen;29 Auto- en aanhangwagenindustrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
233;Onbekend aantal werkzame personen;30 Overige transportmiddelenindustrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
234;Onbekend aantal werkzame personen;31 Meubelindustrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
235;Onbekend aantal werkzame personen;32 Overige industrie;2009;0.0;;;0.0;;;0.0;;;0.0;;
236;Onbekend aantal werkzame personen;33 Reparatie en installatie van machines;2009;0.0;;;0.0;;;0.0;;;0.0;;
237;Onbekend aantal werkzame personen;D Energievoorziening;2009;0.0;;;0.0;;;0.0;;;0.0;;
238;Onbekend aantal werkzame personen;E Waterbedrijven en afvalbeheer;2009;0.0;;;0.0;;;0.0;;;0.0;;
239;Onbekend aantal werkzame personen;F Bouwnijverheid;2009;0.0;;;0.0;;;0.0;;;0.0;;
240;Onbekend aantal werkzame personen;45 Autohandel en -reparatie;2009;0.0;;;0.0;;;0.0;;;0.0;;
241;Onbekend aantal werkzame personen;46 Groothandel en handelsbemiddeling;2009;0.0;;;0.0;;;0.0;;;0.0;;
242;Onbekend aantal werkzame personen;47 Detailhandel (niet in auto´s);2009;0.0;;;0.0;;;0.0;;;0.0;;
243;Onbekend aantal werkzame personen;H Vervoer en opslag;2009;0.0;;;0.0;;;0.0;;;0.0;;
244;Onbekend aantal werkzame personen;I Horeca;2009;0.0;;;0.0;;;0.0;;;0.0;;
245;Onbekend aantal werkzame personen;J Informatie en communicatie;2009;0.0;;;0.0;;;0.0;;;0.0;;
246;Onbekend aantal werkzame personen;K Financiële dienstverlening;2009;0.0;;;0.0;;;0.0;;;0.0;;
247;Onbekend aantal werkzame personen;L Verhuur en handel van onroerend goed;2009;0.0;;;0.0;;;0.0;;;0.0;;
248;Onbekend aantal werkzame personen;M Specialistische zakelijke diensten;2009;0.0;;;0.0;;;0.0;;;0.0;;
249;Onbekend aantal werkzame personen;N Verhuur en overige zakelijke diensten;2009;0.0;;;0.0;;;0.0;;;0.0;;
250;Onbekend aantal werkzame personen;O-U Niet-commerciële dienstverlening;2009;0.0;;;0.0;;;0.0;;;0.0;;
251;Onbekend aantal werkzame personen;SBI-code onbekend;2009;;;;49899.0;;;;;;69862.0;;
