ID;Landen;Perioden;Totaal_1;PlantaardigeProducten_2;Totaal_3;Dieren_4;DierlijkeProducten_5;Landbouwdiensten_6;NietTotDeLandbouwBehorendeNevena_7;IntermediairVerbruik_8;BrutoToegevoegdeWaardeBasisprijzen_9;BrutoToegevoegdeWaardeBasisprijzen_10;VerbruikVanVasteActiva_11;NietProductgebondenBelastingen_12;NietProductgebondenSubsidies_13;Landbouwinkomen_14;Arbeidsvolume_15;Inkomensindex2021100_16;MutatieTOVVoorafgaandJaar_17
166;Duitsland;2016;54163.0;24861.0;25119.0;14599.0;10520.0;2205.0;1978.0;36640.0;17523.0;17523.0;10166.0;207.0;6740.0;13890.0;480.0;80.5;9.8
167;Duitsland;2017;58982.0;25401.0;29308.0;15373.0;13935.0;2331.0;1942.0;36107.0;22875.0;22875.0;10339.0;261.0;7680.0;19955.0;478.0;114.6;42.3
168;Duitsland;2018;55149.0;22794.0;27805.0;14361.0;13444.0;2422.0;2128.0;36440.0;18709.0;18709.0;10576.0;256.0;7289.0;15166.0;474.0;86.1;-24.8
169;Duitsland;2019;60516.0;27518.0;28819.0;15595.0;13224.0;2316.0;1863.0;36669.0;23847.0;23847.0;10831.0;258.0;8065.0;20823.0;471.0;116.7;35.4
170;Duitsland;2020;58833.0;28008.0;26520.0;14255.0;12266.0;2433.0;1872.0;37256.0;21577.0;21577.0;11067.0;256.0;7690.0;17943.0;469.0;99.2;-15.0
171;Duitsland;2021;61590.0;29971.0;26968.0;13800.0;13168.0;2656.0;1996.0;39122.0;22469.0;22469.0;11520.0;250.0;7852.0;18550.0;468.0;100.0;0.8
172;Duitsland;2022;77924.0;36279.0;36688.0;17028.0;19660.0;2754.0;2203.0;46112.0;31812.0;31812.0;12568.0;248.0;9045.0;28042.0;464.0;143.8;43.8
173;Duitsland;2023;76147.0;35328.0;35922.0;18261.0;17660.0;2796.0;2101.0;45579.0;30568.0;30568.0;13578.0;252.0;7947.0;24684.0;464.0;119.3;-17.0
174;Estland;1995;303.0;121.0;170.0;68.0;102.0;4.0;8.0;221.0;82.0;82.0;15.0;2.0;3.0;68.0;70.0;17.8;
175;Estland;1996;385.0;175.0;193.0;75.0;118.0;4.0;13.0;250.0;134.0;134.0;18.0;2.0;7.0;121.0;68.0;26.9;51.4
176;Estland;1997;369.0;141.0;214.0;85.0;129.0;3.0;10.0;251.0;118.0;118.0;19.0;2.0;8.0;105.0;68.0;22.0;-18.3
177;Estland;1998;356.0;130.0;198.0;79.0;119.0;4.0;24.0;209.0;146.0;146.0;21.0;2.0;25.0;148.0;67.0;29.8;35.2
178;Estland;1999;302.0;119.0;142.0;58.0;84.0;6.0;35.0;200.0;102.0;102.0;23.0;2.0;10.0;86.0;66.0;16.4;-44.8
179;Estland;2000;379.0;150.0;189.0;70.0;119.0;7.0;33.0;228.0;151.0;151.0;23.0;2.0;7.0;133.0;65.0;24.6;49.9
180;Estland;2001;444.0;157.0;243.0;104.0;139.0;6.0;39.0;254.0;190.0;190.0;26.0;2.0;6.0;167.0;58.0;32.0;30.1
181;Estland;2002;447.0;183.0;217.0;95.0;122.0;7.0;40.0;263.0;183.0;183.0;30.0;3.0;12.0;163.0;56.0;31.1;-3.0
182;Estland;2003;421.0;165.0;211.0;88.0;123.0;9.0;36.0;260.0;161.0;161.0;34.0;3.0;7.0;131.0;39.0;34.8;12.0
183;Estland;2004;483.0;167.0;269.0;107.0;161.0;9.0;38.0;277.0;206.0;206.0;39.0;3.0;53.0;217.0;38.0;55.7;60.1
184;Estland;2005;543.0;204.0;278.0;106.0;172.0;11.0;49.0;324.0;219.0;219.0;47.0;3.0;68.0;236.0;38.0;58.1;4.2
185;Estland;2006;571.0;211.0;296.0;116.0;180.0;10.0;54.0;335.0;236.0;236.0;57.0;3.0;77.0;252.0;37.0;57.6;-0.8
186;Estland;2007;699.0;336.0;301.0;116.0;185.0;12.0;50.0;395.0;304.0;304.0;68.0;3.0;110.0;343.0;33.0;79.0;37.2
187;Estland;2008;668.0;250.0;342.0;139.0;204.0;19.0;57.0;449.0;219.0;219.0;78.0;3.0;132.0;270.0;31.0;61.4;-22.3
188;Estland;2009;570.0;227.0;281.0;131.0;150.0;17.0;45.0;394.0;176.0;176.0;83.0;3.0;125.0;216.0;29.0;52.5;-14.5
189;Estland;2010;668.0;275.0;321.0;125.0;196.0;18.0;54.0;434.0;235.0;235.0;82.0;4.0;165.0;314.0;25.0;86.6;64.9
190;Estland;2011;811.0;336.0;388.0;153.0;234.0;27.0;60.0;500.0;310.0;310.0;86.0;4.0;174.0;395.0;24.0;107.6;24.3
191;Estland;2012;898.0;429.0;384.0;154.0;230.0;38.0;48.0;539.0;359.0;359.0;93.0;4.0;187.0;450.0;23.0;124.1;15.3
192;Estland;2013;924.0;382.0;452.0;173.0;279.0;42.0;48.0;591.0;333.0;333.0;104.0;4.0;192.0;417.0;22.0;114.8;-7.4
193;Estland;2014;900.0;384.0;424.0;156.0;269.0;37.0;54.0;556.0;344.0;344.0;113.0;5.0;168.0;395.0;22.0;107.1;-6.7
194;Estland;2015;935.0;468.0;365.0;155.0;210.0;44.0;59.0;658.0;277.0;277.0;123.0;5.0;150.0;299.0;20.0;87.0;-18.8
195;Estland;2016;750.0;319.0;349.0;152.0;197.0;43.0;39.0;599.0;151.0;151.0;123.0;4.0;167.0;192.0;20.0;54.6;-37.2
196;Estland;2017;886.0;370.0;438.0;167.0;271.0;40.0;38.0;608.0;278.0;278.0;130.0;4.0;191.0;335.0;20.0;91.7;67.9
197;Estland;2018;859.0;350.0;401.0;145.0;256.0;56.0;51.0;653.0;206.0;206.0;139.0;5.0;204.0;266.0;20.0;70.5;-23.2
198;Estland;2019;998.0;503.0;418.0;154.0;264.0;58.0;18.0;716.0;282.0;282.0;146.0;3.0;210.0;343.0;19.0;93.0;32.0
199;Estland;2020;995.0;484.0;415.0;157.0;257.0;63.0;33.0;739.0;257.0;257.0;150.0;4.0;238.0;341.0;17.0;99.4;8.0
200;Estland;2021;1129.0;571.0;451.0;172.0;280.0;75.0;33.0;857.0;272.0;272.0;163.0;4.0;249.0;352.0;17.0;100.0;0.6
201;Estland;2022;1630.0;818.0;653.0;246.0;407.0;106.0;54.0;1142.0;488.0;488.0;196.0;5.0;251.0;539.0;17.0;129.3;29.3
202;Estland;2023;1313.0;526.0;642.0;232.0;410.0;108.0;38.0;1066.0;247.0;247.0;211.0;4.0;185.0;216.0;17.0;49.9;-61.4
203;Finland;1995;4031.0;1308.0;2425.0;960.0;1465.0;76.0;222.0;2137.0;1894.0;1894.0;791.0;0.0;1398.0;2501.0;141.0;102.9;
204;Finland;1996;3805.0;1300.0;2215.0;856.0;1360.0;79.0;211.0;2143.0;1662.0;1662.0;739.0;0.0;1004.0;1928.0;137.0;81.3;-21.0
205;Finland;1997;3778.0;1306.0;2197.0;862.0;1335.0;70.0;206.0;2127.0;1651.0;1651.0;752.0;0.0;981.0;1880.0;134.0;79.4;-2.3
206;Finland;1998;3313.0;1072.0;1968.0;797.0;1170.0;67.0;207.0;2090.0;1223.0;1223.0;742.0;0.0;1007.0;1488.0;127.0;67.0;-15.6
