ID;Sex;Age;CountryOfBirth;CaribbeanNetherlands;Periods;Immigration_1;EmigrationIncludingAdministrative_2;NetMigrationIncludingAdministrativ_3
1205;Total male and female;Total;Dominican Republic;Caribbean Netherlands;2020;69;28;41
1206;Total male and female;Total;Dominican Republic;Caribbean Netherlands;2021;170;50;120
1207;Total male and female;Total;Dominican Republic;Caribbean Netherlands;2022;209;20;189
1208;Total male and female;Total;Dominican Republic;Caribbean Netherlands;2023;211;49;162
1209;Total male and female;Total;Dominican Republic;Bonaire;2011;60;19;41
1210;Total male and female;Total;Dominican Republic;Bonaire;2012;86;13;73
1211;Total male and female;Total;Dominican Republic;Bonaire;2013;84;12;72
1212;Total male and female;Total;Dominican Republic;Bonaire;2014;93;24;69
1213;Total male and female;Total;Dominican Republic;Bonaire;2015;97;20;77
1214;Total male and female;Total;Dominican Republic;Bonaire;2016;88;61;27
1215;Total male and female;Total;Dominican Republic;Bonaire;2017;79;31;48
1216;Total male and female;Total;Dominican Republic;Bonaire;2018;65;22;43
1217;Total male and female;Total;Dominican Republic;Bonaire;2019;100;19;81
1218;Total male and female;Total;Dominican Republic;Bonaire;2020;55;12;43
1219;Total male and female;Total;Dominican Republic;Bonaire;2021;134;44;90
1220;Total male and female;Total;Dominican Republic;Bonaire;2022;176;9;167
1221;Total male and female;Total;Dominican Republic;Bonaire;2023;182;12;170
1222;Total male and female;Total;Dominican Republic;St Eustatius;2011;13;6;7
1223;Total male and female;Total;Dominican Republic;St Eustatius;2012;9;4;5
1224;Total male and female;Total;Dominican Republic;St Eustatius;2013;27;7;20
1225;Total male and female;Total;Dominican Republic;St Eustatius;2014;12;12;0
1226;Total male and female;Total;Dominican Republic;St Eustatius;2015;19;64;-45
1227;Total male and female;Total;Dominican Republic;St Eustatius;2016;14;5;9
1228;Total male and female;Total;Dominican Republic;St Eustatius;2017;26;8;18
1229;Total male and female;Total;Dominican Republic;St Eustatius;2018;20;40;-20
1230;Total male and female;Total;Dominican Republic;St Eustatius;2019;27;20;7
1231;Total male and female;Total;Dominican Republic;St Eustatius;2020;9;8;1
1232;Total male and female;Total;Dominican Republic;St Eustatius;2021;15;2;13
1233;Total male and female;Total;Dominican Republic;St Eustatius;2022;18;9;9
1234;Total male and female;Total;Dominican Republic;St Eustatius;2023;19;34;-15
1235;Total male and female;Total;Dominican Republic;Saba;2011;4;6;-2
1236;Total male and female;Total;Dominican Republic;Saba;2012;7;4;3
1237;Total male and female;Total;Dominican Republic;Saba;2013;12;2;10
1238;Total male and female;Total;Dominican Republic;Saba;2014;5;6;-1
1239;Total male and female;Total;Dominican Republic;Saba;2015;6;2;4
1240;Total male and female;Total;Dominican Republic;Saba;2016;4;3;1
1241;Total male and female;Total;Dominican Republic;Saba;2017;3;4;-1
1242;Total male and female;Total;Dominican Republic;Saba;2018;7;12;-5
1243;Total male and female;Total;Dominican Republic;Saba;2019;16;6;10
1244;Total male and female;Total;Dominican Republic;Saba;2020;5;8;-3
1245;Total male and female;Total;Dominican Republic;Saba;2021;21;4;17
1246;Total male and female;Total;Dominican Republic;Saba;2022;15;2;13
1247;Total male and female;Total;Dominican Republic;Saba;2023;10;3;7
1248;Total male and female;Total;Ecuador;Caribbean Netherlands;2011;11;1;10
1249;Total male and female;Total;Ecuador;Caribbean Netherlands;2012;8;2;6
1250;Total male and female;Total;Ecuador;Caribbean Netherlands;2013;6;1;5
1251;Total male and female;Total;Ecuador;Caribbean Netherlands;2014;4;3;1
1252;Total male and female;Total;Ecuador;Caribbean Netherlands;2015;3;0;3
1253;Total male and female;Total;Ecuador;Caribbean Netherlands;2016;6;20;-14
1254;Total male and female;Total;Ecuador;Caribbean Netherlands;2017;6;6;0
1255;Total male and female;Total;Ecuador;Caribbean Netherlands;2018;3;1;2
1256;Total male and female;Total;Ecuador;Caribbean Netherlands;2019;15;1;14
1257;Total male and female;Total;Ecuador;Caribbean Netherlands;2020;3;1;2
1258;Total male and female;Total;Ecuador;Caribbean Netherlands;2021;18;3;15
1259;Total male and female;Total;Ecuador;Caribbean Netherlands;2022;13;0;13
1260;Total male and female;Total;Ecuador;Caribbean Netherlands;2023;14;2;12
1261;Total male and female;Total;Ecuador;Bonaire;2011;10;1;9
1262;Total male and female;Total;Ecuador;Bonaire;2012;8;2;6
1263;Total male and female;Total;Ecuador;Bonaire;2013;6;1;5
1264;Total male and female;Total;Ecuador;Bonaire;2014;4;3;1
1265;Total male and female;Total;Ecuador;Bonaire;2015;3;0;3
1266;Total male and female;Total;Ecuador;Bonaire;2016;6;20;-14
1267;Total male and female;Total;Ecuador;Bonaire;2017;6;6;0
1268;Total male and female;Total;Ecuador;Bonaire;2018;3;1;2
1269;Total male and female;Total;Ecuador;Bonaire;2019;14;1;13
1270;Total male and female;Total;Ecuador;Bonaire;2020;3;0;3
1271;Total male and female;Total;Ecuador;Bonaire;2021;18;3;15
1272;Total male and female;Total;Ecuador;Bonaire;2022;13;0;13
1273;Total male and female;Total;Ecuador;Bonaire;2023;13;2;11
1274;Total male and female;Total;Ecuador;St Eustatius;2011;1;0;1
1275;Total male and female;Total;Ecuador;St Eustatius;2012;0;0;0
1276;Total male and female;Total;Ecuador;St Eustatius;2013;0;0;0
1277;Total male and female;Total;Ecuador;St Eustatius;2014;0;0;0
1278;Total male and female;Total;Ecuador;St Eustatius;2015;0;0;0
1279;Total male and female;Total;Ecuador;St Eustatius;2016;0;0;0
1280;Total male and female;Total;Ecuador;St Eustatius;2017;0;0;0
1281;Total male and female;Total;Ecuador;St Eustatius;2018;0;0;0
1282;Total male and female;Total;Ecuador;St Eustatius;2019;1;0;1
1283;Total male and female;Total;Ecuador;St Eustatius;2020;0;1;-1
1284;Total male and female;Total;Ecuador;St Eustatius;2021;0;0;0
1285;Total male and female;Total;Ecuador;St Eustatius;2022;0;0;0
1286;Total male and female;Total;Ecuador;St Eustatius;2023;0;0;0
1287;Total male and female;Total;Ecuador;Saba;2011;0;0;0
1288;Total male and female;Total;Ecuador;Saba;2012;0;0;0
1289;Total male and female;Total;Ecuador;Saba;2013;0;0;0
1290;Total male and female;Total;Ecuador;Saba;2014;0;0;0
1291;Total male and female;Total;Ecuador;Saba;2015;0;0;0
1292;Total male and female;Total;Ecuador;Saba;2016;0;0;0
1293;Total male and female;Total;Ecuador;Saba;2017;0;0;0
1294;Total male and female;Total;Ecuador;Saba;2018;0;0;0
1295;Total male and female;Total;Ecuador;Saba;2019;0;0;0
1296;Total male and female;Total;Ecuador;Saba;2020;0;0;0
1297;Total male and female;Total;Ecuador;Saba;2021;0;0;0
1298;Total male and female;Total;Ecuador;Saba;2022;0;0;0
1299;Total male and female;Total;Ecuador;Saba;2023;1;0;1
1300;Total male and female;Total;Guyana;Caribbean Netherlands;2011;6;11;-5
1301;Total male and female;Total;Guyana;Caribbean Netherlands;2012;11;3;8
1302;Total male and female;Total;Guyana;Caribbean Netherlands;2013;7;3;4
1303;Total male and female;Total;Guyana;Caribbean Netherlands;2014;4;14;-10
1304;Total male and female;Total;Guyana;Caribbean Netherlands;2015;7;42;-35
1305;Total male and female;Total;Guyana;Caribbean Netherlands;2016;12;7;5
1306;Total male and female;Total;Guyana;Caribbean Netherlands;2017;7;16;-9
1307;Total male and female;Total;Guyana;Caribbean Netherlands;2018;8;12;-4
1308;Total male and female;Total;Guyana;Caribbean Netherlands;2019;7;10;-3
1309;Total male and female;Total;Guyana;Caribbean Netherlands;2020;6;2;4
1310;Total male and female;Total;Guyana;Caribbean Netherlands;2021;8;1;7
1311;Total male and female;Total;Guyana;Caribbean Netherlands;2022;8;5;3
1312;Total male and female;Total;Guyana;Caribbean Netherlands;2023;10;9;1
1313;Total male and female;Total;Guyana;Bonaire;2011;1;0;1
1314;Total male and female;Total;Guyana;Bonaire;2012;1;0;1
1315;Total male and female;Total;Guyana;Bonaire;2013;2;0;2
1316;Total male and female;Total;Guyana;Bonaire;2014;0;0;0
1317;Total male and female;Total;Guyana;Bonaire;2015;0;0;0
1318;Total male and female;Total;Guyana;Bonaire;2016;2;3;-1
1319;Total male and female;Total;Guyana;Bonaire;2017;0;8;-8
1320;Total male and female;Total;Guyana;Bonaire;2018;1;1;0
1321;Total male and female;Total;Guyana;Bonaire;2019;0;1;-1
1322;Total male and female;Total;Guyana;Bonaire;2020;2;0;2
1323;Total male and female;Total;Guyana;Bonaire;2021;1;0;1
1324;Total male and female;Total;Guyana;Bonaire;2022;0;0;0
1325;Total male and female;Total;Guyana;Bonaire;2023;0;0;0
1326;Total male and female;Total;Guyana;St Eustatius;2011;4;4;0
1327;Total male and female;Total;Guyana;St Eustatius;2012;8;1;7
1328;Total male and female;Total;Guyana;St Eustatius;2013;3;2;1
1329;Total male and female;Total;Guyana;St Eustatius;2014;2;13;-11
1330;Total male and female;Total;Guyana;St Eustatius;2015;6;41;-35
1331;Total male and female;Total;Guyana;St Eustatius;2016;8;4;4
1332;Total male and female;Total;Guyana;St Eustatius;2017;7;2;5
1333;Total male and female;Total;Guyana;St Eustatius;2018;7;9;-2
1334;Total male and female;Total;Guyana;St Eustatius;2019;7;9;-2
1335;Total male and female;Total;Guyana;St Eustatius;2020;4;1;3
1336;Total male and female;Total;Guyana;St Eustatius;2021;4;1;3
1337;Total male and female;Total;Guyana;St Eustatius;2022;6;3;3
1338;Total male and female;Total;Guyana;St Eustatius;2023;8;8;0
1339;Total male and female;Total;Guyana;Saba;2011;1;7;-6
1340;Total male and female;Total;Guyana;Saba;2012;2;2;0
1341;Total male and female;Total;Guyana;Saba;2013;2;1;1
1342;Total male and female;Total;Guyana;Saba;2014;2;1;1
1343;Total male and female;Total;Guyana;Saba;2015;1;1;0
1344;Total male and female;Total;Guyana;Saba;2016;2;0;2
1345;Total male and female;Total;Guyana;Saba;2017;0;6;-6
1346;Total male and female;Total;Guyana;Saba;2018;0;2;-2
1347;Total male and female;Total;Guyana;Saba;2019;0;0;0
1348;Total male and female;Total;Guyana;Saba;2020;0;1;-1
1349;Total male and female;Total;Guyana;Saba;2021;3;0;3
1350;Total male and female;Total;Guyana;Saba;2022;2;2;0
1351;Total male and female;Total;Guyana;Saba;2023;2;1;1
1352;Total male and female;Total;Haiti;Caribbean Netherlands;2011;11;4;7
1353;Total male and female;Total;Haiti;Caribbean Netherlands;2012;16;5;11
1354;Total male and female;Total;Haiti;Caribbean Netherlands;2013;13;3;10
1355;Total male and female;Total;Haiti;Caribbean Netherlands;2014;14;3;11
1356;Total male and female;Total;Haiti;Caribbean Netherlands;2015;17;8;9
1357;Total male and female;Total;Haiti;Caribbean Netherlands;2016;15;6;9
1358;Total male and female;Total;Haiti;Caribbean Netherlands;2017;28;5;23
1359;Total male and female;Total;Haiti;Caribbean Netherlands;2018;20;5;15
1360;Total male and female;Total;Haiti;Caribbean Netherlands;2019;35;4;31
1361;Total male and female;Total;Haiti;Caribbean Netherlands;2020;36;3;33
1362;Total male and female;Total;Haiti;Caribbean Netherlands;2021;65;2;63
1363;Total male and female;Total;Haiti;Caribbean Netherlands;2022;48;4;44
1364;Total male and female;Total;Haiti;Caribbean Netherlands;2023;100;2;98
1365;Total male and female;Total;Haiti;Bonaire;2011;10;2;8
1366;Total male and female;Total;Haiti;Bonaire;2012;8;1;7
1367;Total male and female;Total;Haiti;Bonaire;2013;7;0;7
1368;Total male and female;Total;Haiti;Bonaire;2014;11;1;10
1369;Total male and female;Total;Haiti;Bonaire;2015;11;1;10
1370;Total male and female;Total;Haiti;Bonaire;2016;11;6;5
1371;Total male and female;Total;Haiti;Bonaire;2017;28;3;25
1372;Total male and female;Total;Haiti;Bonaire;2018;19;1;18
1373;Total male and female;Total;Haiti;Bonaire;2019;33;2;31
1374;Total male and female;Total;Haiti;Bonaire;2020;35;1;34
1375;Total male and female;Total;Haiti;Bonaire;2021;65;2;63
1376;Total male and female;Total;Haiti;Bonaire;2022;43;3;40
1377;Total male and female;Total;Haiti;Bonaire;2023;95;2;93
1378;Total male and female;Total;Haiti;St Eustatius;2011;1;0;1
1379;Total male and female;Total;Haiti;St Eustatius;2012;5;1;4
1380;Total male and female;Total;Haiti;St Eustatius;2013;6;2;4
1381;Total male and female;Total;Haiti;St Eustatius;2014;0;0;0
1382;Total male and female;Total;Haiti;St Eustatius;2015;0;7;-7
1383;Total male and female;Total;Haiti;St Eustatius;2016;2;0;2
1384;Total male and female;Total;Haiti;St Eustatius;2017;0;1;-1
1385;Total male and female;Total;Haiti;St Eustatius;2018;0;0;0
1386;Total male and female;Total;Haiti;St Eustatius;2019;0;1;-1
1387;Total male and female;Total;Haiti;St Eustatius;2020;1;0;1
1388;Total male and female;Total;Haiti;St Eustatius;2021;0;0;0
1389;Total male and female;Total;Haiti;St Eustatius;2022;0;1;-1
1390;Total male and female;Total;Haiti;St Eustatius;2023;1;0;1
1391;Total male and female;Total;Haiti;Saba;2011;0;2;-2
1392;Total male and female;Total;Haiti;Saba;2012;3;3;0
1393;Total male and female;Total;Haiti;Saba;2013;0;1;-1
1394;Total male and female;Total;Haiti;Saba;2014;3;2;1
1395;Total male and female;Total;Haiti;Saba;2015;6;0;6
1396;Total male and female;Total;Haiti;Saba;2016;2;0;2
1397;Total male and female;Total;Haiti;Saba;2017;0;1;-1
1398;Total male and female;Total;Haiti;Saba;2018;1;4;-3
1399;Total male and female;Total;Haiti;Saba;2019;2;1;1
1400;Total male and female;Total;Haiti;Saba;2020;0;2;-2
1401;Total male and female;Total;Haiti;Saba;2021;0;0;0
1402;Total male and female;Total;Haiti;Saba;2022;5;0;5
1403;Total male and female;Total;Haiti;Saba;2023;4;0;4
1404;Total male and female;Total;Jamaica;Caribbean Netherlands;2011;9;3;6
1405;Total male and female;Total;Jamaica;Caribbean Netherlands;2012;18;5;13
1406;Total male and female;Total;Jamaica;Caribbean Netherlands;2013;17;3;14
1407;Total male and female;Total;Jamaica;Caribbean Netherlands;2014;19;7;12
1408;Total male and female;Total;Jamaica;Caribbean Netherlands;2015;17;32;-15
1409;Total male and female;Total;Jamaica;Caribbean Netherlands;2016;12;14;-2
1410;Total male and female;Total;Jamaica;Caribbean Netherlands;2017;16;11;5
1411;Total male and female;Total;Jamaica;Caribbean Netherlands;2018;9;16;-7
1412;Total male and female;Total;Jamaica;Caribbean Netherlands;2019;6;8;-2
1413;Total male and female;Total;Jamaica;Caribbean Netherlands;2020;10;4;6
1414;Total male and female;Total;Jamaica;Caribbean Netherlands;2021;4;2;2
1415;Total male and female;Total;Jamaica;Caribbean Netherlands;2022;19;2;17
1416;Total male and female;Total;Jamaica;Caribbean Netherlands;2023;17;4;13
1417;Total male and female;Total;Jamaica;Bonaire;2011;3;1;2
1418;Total male and female;Total;Jamaica;Bonaire;2012;7;1;6
1419;Total male and female;Total;Jamaica;Bonaire;2013;12;0;12
1420;Total male and female;Total;Jamaica;Bonaire;2014;8;2;6
1421;Total male and female;Total;Jamaica;Bonaire;2015;5;1;4
1422;Total male and female;Total;Jamaica;Bonaire;2016;4;12;-8
1423;Total male and female;Total;Jamaica;Bonaire;2017;3;5;-2
1424;Total male and female;Total;Jamaica;Bonaire;2018;6;1;5
1425;Total male and female;Total;Jamaica;Bonaire;2019;1;0;1
1426;Total male and female;Total;Jamaica;Bonaire;2020;1;0;1
1427;Total male and female;Total;Jamaica;Bonaire;2021;0;1;-1
1428;Total male and female;Total;Jamaica;Bonaire;2022;3;0;3
1429;Total male and female;Total;Jamaica;Bonaire;2023;2;0;2
1430;Total male and female;Total;Jamaica;St Eustatius;2011;0;0;0
1431;Total male and female;Total;Jamaica;St Eustatius;2012;4;0;4
1432;Total male and female;Total;Jamaica;St Eustatius;2013;3;2;1
1433;Total male and female;Total;Jamaica;St Eustatius;2014;4;4;0
1434;Total male and female;Total;Jamaica;St Eustatius;2015;5;30;-25
1435;Total male and female;Total;Jamaica;St Eustatius;2016;4;2;2
1436;Total male and female;Total;Jamaica;St Eustatius;2017;11;0;11
1437;Total male and female;Total;Jamaica;St Eustatius;2018;2;13;-11
1438;Total male and female;Total;Jamaica;St Eustatius;2019;4;5;-1
1439;Total male and female;Total;Jamaica;St Eustatius;2020;6;3;3
1440;Total male and female;Total;Jamaica;St Eustatius;2021;3;0;3
1441;Total male and female;Total;Jamaica;St Eustatius;2022;5;0;5
1442;Total male and female;Total;Jamaica;St Eustatius;2023;11;3;8
1443;Total male and female;Total;Jamaica;Saba;2011;6;2;4
1444;Total male and female;Total;Jamaica;Saba;2012;7;4;3
1445;Total male and female;Total;Jamaica;Saba;2013;2;1;1
1446;Total male and female;Total;Jamaica;Saba;2014;7;1;6
1447;Total male and female;Total;Jamaica;Saba;2015;7;1;6
1448;Total male and female;Total;Jamaica;Saba;2016;4;0;4
1449;Total male and female;Total;Jamaica;Saba;2017;2;6;-4
1450;Total male and female;Total;Jamaica;Saba;2018;1;2;-1
1451;Total male and female;Total;Jamaica;Saba;2019;1;3;-2
1452;Total male and female;Total;Jamaica;Saba;2020;3;1;2
1453;Total male and female;Total;Jamaica;Saba;2021;1;1;0
1454;Total male and female;Total;Jamaica;Saba;2022;11;2;9
1455;Total male and female;Total;Jamaica;Saba;2023;4;1;3
1456;Total male and female;Total;The Netherlands;Caribbean Netherlands;2011;597;243;354
1457;Total male and female;Total;The Netherlands;Caribbean Netherlands;2012;484;256;228
1458;Total male and female;Total;The Netherlands;Caribbean Netherlands;2013;579;298;281
1459;Total male and female;Total;The Netherlands;Caribbean Netherlands;2014;466;353;113
1460;Total male and female;Total;The Netherlands;Caribbean Netherlands;2015;481;401;80
1461;Total male and female;Total;The Netherlands;Caribbean Netherlands;2016;511;388;123
1462;Total male and female;Total;The Netherlands;Caribbean Netherlands;2017;537;389;148
1463;Total male and female;Total;The Netherlands;Caribbean Netherlands;2018;502;425;77
1464;Total male and female;Total;The Netherlands;Caribbean Netherlands;2019;537;351;186
1465;Total male and female;Total;The Netherlands;Caribbean Netherlands;2020;585;385;200
1466;Total male and female;Total;The Netherlands;Caribbean Netherlands;2021;573;373;200
1467;Total male and female;Total;The Netherlands;Caribbean Netherlands;2022;886;439;447
1468;Total male and female;Total;The Netherlands;Caribbean Netherlands;2023;578;477;101
1469;Total male and female;Total;The Netherlands;Bonaire;2011;527;198;329
1470;Total male and female;Total;The Netherlands;Bonaire;2012;422;220;202
1471;Total male and female;Total;The Netherlands;Bonaire;2013;483;261;222
1472;Total male and female;Total;The Netherlands;Bonaire;2014;399;308;91
1473;Total male and female;Total;The Netherlands;Bonaire;2015;429;344;85
1474;Total male and female;Total;The Netherlands;Bonaire;2016;460;338;122
1475;Total male and female;Total;The Netherlands;Bonaire;2017;487;349;138
1476;Total male and female;Total;The Netherlands;Bonaire;2018;449;373;76
1477;Total male and female;Total;The Netherlands;Bonaire;2019;495;292;203
1478;Total male and female;Total;The Netherlands;Bonaire;2020;526;344;182
1479;Total male and female;Total;The Netherlands;Bonaire;2021;519;302;217
1480;Total male and female;Total;The Netherlands;Bonaire;2022;839;390;449
1481;Total male and female;Total;The Netherlands;Bonaire;2023;539;421;118
1482;Total male and female;Total;The Netherlands;St Eustatius;2011;51;38;13
1483;Total male and female;Total;The Netherlands;St Eustatius;2012;42;25;17
1484;Total male and female;Total;The Netherlands;St Eustatius;2013;72;21;51
1485;Total male and female;Total;The Netherlands;St Eustatius;2014;35;33;2
1486;Total male and female;Total;The Netherlands;St Eustatius;2015;23;41;-18
1487;Total male and female;Total;The Netherlands;St Eustatius;2016;27;32;-5
1488;Total male and female;Total;The Netherlands;St Eustatius;2017;32;26;6
1489;Total male and female;Total;The Netherlands;St Eustatius;2018;36;37;-1
1490;Total male and female;Total;The Netherlands;St Eustatius;2019;33;32;1
1491;Total male and female;Total;The Netherlands;St Eustatius;2020;33;21;12
1492;Total male and female;Total;The Netherlands;St Eustatius;2021;28;48;-20
1493;Total male and female;Total;The Netherlands;St Eustatius;2022;29;20;9
1494;Total male and female;Total;The Netherlands;St Eustatius;2023;19;39;-20
1495;Total male and female;Total;The Netherlands;Saba;2011;19;7;12
1496;Total male and female;Total;The Netherlands;Saba;2012;20;11;9
1497;Total male and female;Total;The Netherlands;Saba;2013;24;16;8
1498;Total male and female;Total;The Netherlands;Saba;2014;32;12;20
1499;Total male and female;Total;The Netherlands;Saba;2015;29;16;13
1500;Total male and female;Total;The Netherlands;Saba;2016;24;18;6
1501;Total male and female;Total;The Netherlands;Saba;2017;18;14;4
1502;Total male and female;Total;The Netherlands;Saba;2018;17;15;2
1503;Total male and female;Total;The Netherlands;Saba;2019;9;27;-18
1504;Total male and female;Total;The Netherlands;Saba;2020;26;20;6
1505;Total male and female;Total;The Netherlands;Saba;2021;26;23;3
1506;Total male and female;Total;The Netherlands;Saba;2022;18;29;-11
1507;Total male and female;Total;The Netherlands;Saba;2023;20;17;3
1508;Total male and female;Total;Peru;Caribbean Netherlands;2011;34;28;6
1509;Total male and female;Total;Peru;Caribbean Netherlands;2012;48;18;30
1510;Total male and female;Total;Peru;Caribbean Netherlands;2013;43;19;24
1511;Total male and female;Total;Peru;Caribbean Netherlands;2014;18;31;-13
1512;Total male and female;Total;Peru;Caribbean Netherlands;2015;18;17;1
1513;Total male and female;Total;Peru;Caribbean Netherlands;2016;22;127;-105
1514;Total male and female;Total;Peru;Caribbean Netherlands;2017;58;27;31
1515;Total male and female;Total;Peru;Caribbean Netherlands;2018;41;12;29
1516;Total male and female;Total;Peru;Caribbean Netherlands;2019;65;11;54
1517;Total male and female;Total;Peru;Caribbean Netherlands;2020;14;5;9
1518;Total male and female;Total;Peru;Caribbean Netherlands;2021;55;19;36
1519;Total male and female;Total;Peru;Caribbean Netherlands;2022;77;7;70
1520;Total male and female;Total;Peru;Caribbean Netherlands;2023;94;-1;95
1521;Total male and female;Total;Peru;Bonaire;2011;34;28;6
1522;Total male and female;Total;Peru;Bonaire;2012;47;17;30
1523;Total male and female;Total;Peru;Bonaire;2013;43;19;24
1524;Total male and female;Total;Peru;Bonaire;2014;16;30;-14
1525;Total male and female;Total;Peru;Bonaire;2015;18;17;1
1526;Total male and female;Total;Peru;Bonaire;2016;18;127;-109
1527;Total male and female;Total;Peru;Bonaire;2017;56;27;29
1528;Total male and female;Total;Peru;Bonaire;2018;41;6;35
1529;Total male and female;Total;Peru;Bonaire;2019;65;9;56
1530;Total male and female;Total;Peru;Bonaire;2020;14;1;13
1531;Total male and female;Total;Peru;Bonaire;2021;54;19;35
1532;Total male and female;Total;Peru;Bonaire;2022;77;7;70
1533;Total male and female;Total;Peru;Bonaire;2023;91;-1;92
1534;Total male and female;Total;Peru;St Eustatius;2011;0;0;0
1535;Total male and female;Total;Peru;St Eustatius;2012;0;0;0
1536;Total male and female;Total;Peru;St Eustatius;2013;0;0;0
1537;Total male and female;Total;Peru;St Eustatius;2014;2;1;1
1538;Total male and female;Total;Peru;St Eustatius;2015;0;0;0
1539;Total male and female;Total;Peru;St Eustatius;2016;4;0;4
1540;Total male and female;Total;Peru;St Eustatius;2017;2;0;2
1541;Total male and female;Total;Peru;St Eustatius;2018;0;4;-4
1542;Total male and female;Total;Peru;St Eustatius;2019;0;1;-1
1543;Total male and female;Total;Peru;St Eustatius;2020;0;4;-4
1544;Total male and female;Total;Peru;St Eustatius;2021;0;0;0
1545;Total male and female;Total;Peru;St Eustatius;2022;0;0;0
1546;Total male and female;Total;Peru;St Eustatius;2023;1;0;1
1547;Total male and female;Total;Peru;Saba;2011;0;0;0
1548;Total male and female;Total;Peru;Saba;2012;1;1;0
1549;Total male and female;Total;Peru;Saba;2013;0;0;0
1550;Total male and female;Total;Peru;Saba;2014;0;0;0
1551;Total male and female;Total;Peru;Saba;2015;0;0;0
1552;Total male and female;Total;Peru;Saba;2016;0;0;0
1553;Total male and female;Total;Peru;Saba;2017;0;0;0
1554;Total male and female;Total;Peru;Saba;2018;0;2;-2
1555;Total male and female;Total;Peru;Saba;2019;0;1;-1
1556;Total male and female;Total;Peru;Saba;2020;0;0;0
1557;Total male and female;Total;Peru;Saba;2021;1;0;1
1558;Total male and female;Total;Peru;Saba;2022;0;0;0
1559;Total male and female;Total;Peru;Saba;2023;2;0;2
1560;Total male and female;Total;St Eustatius;Caribbean Netherlands;2011;32;36;-4
1561;Total male and female;Total;St Eustatius;Caribbean Netherlands;2012;31;33;-2
1562;Total male and female;Total;St Eustatius;Caribbean Netherlands;2013;43;43;0
1563;Total male and female;Total;St Eustatius;Caribbean Netherlands;2014;19;27;-8
1564;Total male and female;Total;St Eustatius;Caribbean Netherlands;2015;22;31;-9
1565;Total male and female;Total;St Eustatius;Caribbean Netherlands;2016;33;23;10
1566;Total male and female;Total;St Eustatius;Caribbean Netherlands;2017;31;22;9
1567;Total male and female;Total;St Eustatius;Caribbean Netherlands;2018;16;57;-41
1568;Total male and female;Total;St Eustatius;Caribbean Netherlands;2019;19;28;-9
1569;Total male and female;Total;St Eustatius;Caribbean Netherlands;2020;18;19;-1
1570;Total male and female;Total;St Eustatius;Caribbean Netherlands;2021;24;27;-3
1571;Total male and female;Total;St Eustatius;Caribbean Netherlands;2022;12;29;-17
1572;Total male and female;Total;St Eustatius;Caribbean Netherlands;2023;23;47;-24
1573;Total male and female;Total;St Eustatius;Bonaire;2011;0;0;0
1574;Total male and female;Total;St Eustatius;Bonaire;2012;1;0;1
1575;Total male and female;Total;St Eustatius;Bonaire;2013;1;0;1
1576;Total male and female;Total;St Eustatius;Bonaire;2014;0;0;0
1577;Total male and female;Total;St Eustatius;Bonaire;2015;0;1;-1
1578;Total male and female;Total;St Eustatius;Bonaire;2016;0;0;0
1579;Total male and female;Total;St Eustatius;Bonaire;2017;1;0;1
1580;Total male and female;Total;St Eustatius;Bonaire;2018;0;0;0
1581;Total male and female;Total;St Eustatius;Bonaire;2019;0;3;-3
1582;Total male and female;Total;St Eustatius;Bonaire;2020;0;0;0
1583;Total male and female;Total;St Eustatius;Bonaire;2021;1;1;0
1584;Total male and female;Total;St Eustatius;Bonaire;2022;0;1;-1
1585;Total male and female;Total;St Eustatius;Bonaire;2023;0;0;0
1586;Total male and female;Total;St Eustatius;St Eustatius;2011;32;35;-3
1587;Total male and female;Total;St Eustatius;St Eustatius;2012;30;33;-3
1588;Total male and female;Total;St Eustatius;St Eustatius;2013;42;43;-1
1589;Total male and female;Total;St Eustatius;St Eustatius;2014;19;27;-8
1590;Total male and female;Total;St Eustatius;St Eustatius;2015;22;30;-8
1591;Total male and female;Total;St Eustatius;St Eustatius;2016;33;23;10
1592;Total male and female;Total;St Eustatius;St Eustatius;2017;30;22;8
1593;Total male and female;Total;St Eustatius;St Eustatius;2018;16;57;-41
1594;Total male and female;Total;St Eustatius;St Eustatius;2019;19;25;-6
1595;Total male and female;Total;St Eustatius;St Eustatius;2020;18;19;-1
1596;Total male and female;Total;St Eustatius;St Eustatius;2021;23;26;-3
1597;Total male and female;Total;St Eustatius;St Eustatius;2022;12;28;-16
1598;Total male and female;Total;St Eustatius;St Eustatius;2023;23;47;-24
1599;Total male and female;Total;St Eustatius;Saba;2011;0;1;-1
1600;Total male and female;Total;St Eustatius;Saba;2012;0;0;0
1601;Total male and female;Total;St Eustatius;Saba;2013;0;0;0
1602;Total male and female;Total;St Eustatius;Saba;2014;0;0;0
1603;Total male and female;Total;St Eustatius;Saba;2015;0;0;0
1604;Total male and female;Total;St Eustatius;Saba;2016;0;0;0
1605;Total male and female;Total;St Eustatius;Saba;2017;0;0;0
1606;Total male and female;Total;St Eustatius;Saba;2018;0;0;0
1607;Total male and female;Total;St Eustatius;Saba;2019;0;0;0
1608;Total male and female;Total;St Eustatius;Saba;2020;0;0;0
1609;Total male and female;Total;St Eustatius;Saba;2021;0;0;0
1610;Total male and female;Total;St Eustatius;Saba;2022;0;0;0
1611;Total male and female;Total;St Eustatius;Saba;2023;0;0;0
1612;Total male and female;Total;St Kitts and Nevis;Caribbean Netherlands;2011;2;5;-3
