ID;BedrijfstakkenBranchesSBI2008;Bedrijfsgrootte;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5
155;O-U Niet-commerciële dienstverlening;1 tot 10 werkzame personen;;;;;
156;O-U Niet-commerciële dienstverlening;10 tot 50 werkzame personen;7.4;54.8;35.16;27.84;1560.0
157;O-U Niet-commerciële dienstverlening;50 tot 250 werkzame personen;13.3;64.1;41.54;33.04;1544.0
158;O-U Niet-commerciële dienstverlening;250 tot 500 werkzame personen;12.8;68.5;44.33;35.6;1546.0
159;O-U Niet-commerciële dienstverlening;500 tot 1 000 werkzame personen;14.2;67.7;43.98;35.24;1538.0
160;O-U Niet-commerciële dienstverlening;1 000 of meer werkzame personen;;;;;
161;O Openbaar bestuur en overheidsdiensten;Totaal werkzame personen;37.7;79.3;48.19;40.43;1647.0
162;O Openbaar bestuur en overheidsdiensten;1 tot 10 werkzame personen;;;;;
163;O Openbaar bestuur en overheidsdiensten;10 tot 50 werkzame personen;0.1;81.1;50.3;42.11;1612.0
164;O Openbaar bestuur en overheidsdiensten;50 tot 250 werkzame personen;2.1;75.8;46.5;39.22;1630.0
165;O Openbaar bestuur en overheidsdiensten;250 tot 500 werkzame personen;3.1;74.9;46.04;38.89;1627.0
166;O Openbaar bestuur en overheidsdiensten;500 tot 1 000 werkzame personen;3.7;78.3;48.82;41.02;1605.0
167;O Openbaar bestuur en overheidsdiensten;1 000 of meer werkzame personen;;;;;
168;P Onderwijs;Totaal werkzame personen;29.2;73.0;47.15;37.62;1548.0
169;P Onderwijs;1 tot 10 werkzame personen;0.5;54.8;33.23;27.26;1649.0
170;P Onderwijs;10 tot 50 werkzame personen;1.1;59.2;37.38;30.23;1582.0
171;P Onderwijs;50 tot 250 werkzame personen;3.9;68.3;44.38;35.46;1539.0
172;P Onderwijs;250 tot 500 werkzame personen;5.4;71.7;46.86;37.27;1530.0
173;P Onderwijs;500 tot 1 000 werkzame personen;4.8;72.5;47.29;37.58;1532.0
174;P Onderwijs;1 000 of meer werkzame personen;13.7;77.5;49.81;39.72;1556.0
175;Q Gezondheids- en welzijnszorg;Totaal werkzame personen;59.4;61.2;40.28;31.93;1518.0
176;Q Gezondheids- en welzijnszorg;1 tot 10 werkzame personen;3.5;68.5;42.02;34.06;1631.0
177;Q Gezondheids- en welzijnszorg;10 tot 50 werkzame personen;3.9;55.4;35.73;28.38;1552.0
178;Q Gezondheids- en welzijnszorg;50 tot 250 werkzame personen;4.4;58.9;38.97;30.63;1511.0
179;Q Gezondheids- en welzijnszorg;250 tot 500 werkzame personen;3.7;60.9;40.31;31.8;1510.0
180;Q Gezondheids- en welzijnszorg;500 tot 1 000 werkzame personen;5.0;58.8;39.1;30.81;1503.0
181;Q Gezondheids- en welzijnszorg;1 000 of meer werkzame personen;38.9;61.8;40.96;32.48;1509.0
182;R-U Cultuur, recreatie, overige diensten;Totaal werkzame personen;9.5;54.6;35.05;27.28;1557.0
183;R-U Cultuur, recreatie, overige diensten;1 tot 10 werkzame personen;1.8;44.5;27.98;22.06;1590.0
184;R-U Cultuur, recreatie, overige diensten;10 tot 50 werkzame personen;2.4;51.5;32.98;25.73;1560.0
185;R-U Cultuur, recreatie, overige diensten;50 tot 250 werkzame personen;2.8;60.6;39.02;30.34;1552.0
186;R-U Cultuur, recreatie, overige diensten;250 tot 500 werkzame personen;0.7;65.2;42.22;32.93;1544.0
187;R-U Cultuur, recreatie, overige diensten;500 tot 1 000 werkzame personen;0.7;63.3;40.31;31.4;1570.0
188;R-U Cultuur, recreatie, overige diensten;1 000 of meer werkzame personen;1.1;58.6;39.32;29.5;1490.0
189;R Cultuur, sport en recreatie;Totaal werkzame personen;4.1;51.3;35.38;25.62;1451.0
190;R Cultuur, sport en recreatie;1 tot 10 werkzame personen;0.6;46.5;31.16;22.87;1493.0
191;R Cultuur, sport en recreatie;10 tot 50 werkzame personen;1.1;45.5;30.94;22.75;1472.0
192;R Cultuur, sport en recreatie;50 tot 250 werkzame personen;1.3;54.0;37.46;27.13;1442.0
193;R Cultuur, sport en recreatie;250 tot 500 werkzame personen;0.4;65.8;44.36;32.91;1484.0
194;R Cultuur, sport en recreatie;500 tot 1 000 werkzame personen;0.3;74.5;52.8;36.8;1410.0
195;R Cultuur, sport en recreatie;1 000 of meer werkzame personen;0.4;46.7;34.36;23.5;1360.0
196;S Overige dienstverlening;Totaal werkzame personen;5.4;57.4;34.8;28.7;1649.0
197;S Overige dienstverlening;1 tot 10 werkzame personen;1.2;43.5;26.51;21.64;1639.0
198;S Overige dienstverlening;10 tot 50 werkzame personen;1.4;57.3;34.77;28.66;1647.0
199;S Overige dienstverlening;50 tot 250 werkzame personen;1.5;67.5;40.45;33.74;1669.0
200;S Overige dienstverlening;250 tot 500 werkzame personen;0.3;64.4;39.81;32.95;1618.0
201;S Overige dienstverlening;500 tot 1 000 werkzame personen;0.4;56.7;34.08;28.2;1664.0
202;S Overige dienstverlening;1 000 of meer werkzame personen;0.6;71.7;43.88;36.16;1633.0
