ID;SalesAndConsumptionOfForeignProduct;ProductsAccordingToPRODCOMList;Periods;PriceIndexNumbersExcludingExcise_1;MonthOnMonthDevelopment_2;YearOnYearDevelopment_3
2820;Total sales;0812 Gravel, sand, clays and kaolin;2008;108.4;;3.9
2821;Total sales;0812 Gravel, sand, clays and kaolin;2009 January;111.3;1.9;3.0
2822;Total sales;0812 Gravel, sand, clays and kaolin;2009 February;111.6;0.3;3.2
2823;Total sales;0812 Gravel, sand, clays and kaolin;2009 March;111.9;0.2;3.5
2824;Total sales;0812 Gravel, sand, clays and kaolin;2009 April;111.9;0.0;3.6
2825;Total sales;0812 Gravel, sand, clays and kaolin;2009 May;111.8;0.0;3.5
2826;Total sales;0812 Gravel, sand, clays and kaolin;2009 June;111.9;0.0;3.5
2827;Total sales;0812 Gravel, sand, clays and kaolin;2009 July;112.7;0.7;3.9
2828;Total sales;0812 Gravel, sand, clays and kaolin;2009 August;112.7;0.0;3.9
2829;Total sales;0812 Gravel, sand, clays and kaolin;2009 September;112.7;0.0;3.9
2830;Total sales;0812 Gravel, sand, clays and kaolin;2009 October;113.0;0.3;3.6
2831;Total sales;0812 Gravel, sand, clays and kaolin;2009 November;113.1;0.0;3.6
2832;Total sales;0812 Gravel, sand, clays and kaolin;2009 December;113.1;0.0;3.5
2833;Total sales;0812 Gravel, sand, clays and kaolin;2009;112.3;;3.6
2834;Total sales;0812 Gravel, sand, clays and kaolin;2010 January;113.6;0.5;2.1
2835;Total sales;0812 Gravel, sand, clays and kaolin;2010 February;113.6;0.0;1.8
2836;Total sales;0812 Gravel, sand, clays and kaolin;2010 March;119.4;5.0;6.7
2837;Total sales;0812 Gravel, sand, clays and kaolin;2010 April;116.3;-2.6;3.9
2838;Total sales;0812 Gravel, sand, clays and kaolin;2010 May;116.3;0.0;4.0
2839;Total sales;0812 Gravel, sand, clays and kaolin;2010 June;116.2;-0.1;3.9
2840;Total sales;0812 Gravel, sand, clays and kaolin;2010 July;116.4;0.2;3.3
2841;Total sales;0812 Gravel, sand, clays and kaolin;2010 August;116.3;-0.1;3.2
2842;Total sales;0812 Gravel, sand, clays and kaolin;2010 September;116.1;-0.2;3.0
2843;Total sales;0812 Gravel, sand, clays and kaolin;2010 October;116.2;0.0;2.8
2844;Total sales;0812 Gravel, sand, clays and kaolin;2010 November;116.2;0.0;2.8
2845;Total sales;0812 Gravel, sand, clays and kaolin;2010 December;116.3;0.0;2.8
2846;Total sales;0812 Gravel, sand, clays and kaolin;2010;116.1;;3.4
2847;Total sales;0812 Gravel, sand, clays and kaolin;2011 January;116.8;0.5;2.8
2848;Total sales;0812 Gravel, sand, clays and kaolin;2011 February;116.8;0.0;2.8
2849;Total sales;0812 Gravel, sand, clays and kaolin;2011 March;119.5;2.3;0.1
2850;Total sales;0812 Gravel, sand, clays and kaolin;2011 April;119.6;0.1;2.8
2851;Total sales;0812 Gravel, sand, clays and kaolin;2011 May;119.6;0.0;2.9
2852;Total sales;0812 Gravel, sand, clays and kaolin;2011 June;119.6;0.0;2.9
2853;Total sales;0812 Gravel, sand, clays and kaolin;2011 July;119.9;0.3;3.0
2854;Total sales;0812 Gravel, sand, clays and kaolin;2011 August;119.9;0.0;3.1
2855;Total sales;0812 Gravel, sand, clays and kaolin;2011 September;119.9;0.0;3.2
2856;Total sales;0812 Gravel, sand, clays and kaolin;2011 October;120.2;0.3;3.5
2857;Total sales;0812 Gravel, sand, clays and kaolin;2011 November;119.9;-0.3;3.2
2858;Total sales;0812 Gravel, sand, clays and kaolin;2011 December;120.2;0.2;3.4
2859;Total sales;0812 Gravel, sand, clays and kaolin;2011;119.3;;2.8
2860;Total sales;0812 Gravel, sand, clays and kaolin;2012 January;121.1;0.8;3.7
2861;Total sales;0812 Gravel, sand, clays and kaolin;2012 February;121.2;0.1;3.8
2862;Total sales;0812 Gravel, sand, clays and kaolin;2012 March;120.9;-0.2;1.2
2863;Total sales;0812 Gravel, sand, clays and kaolin;2012 April;122.1;0.9;2.1
2864;Total sales;0812 Gravel, sand, clays and kaolin;2012 May;122.1;0.1;2.1
2865;Total sales;0812 Gravel, sand, clays and kaolin;2012 June;122.2;0.1;2.2
2866;Total sales;0812 Gravel, sand, clays and kaolin;2012 July;122.5;0.2;2.2
2867;Total sales;0812 Gravel, sand, clays and kaolin;2012 August;122.5;0.0;2.2
2868;Total sales;0812 Gravel, sand, clays and kaolin;2012 September;122.4;-0.1;2.1
2869;Total sales;0812 Gravel, sand, clays and kaolin;2012 October;122.3;-0.1;1.7
2870;Total sales;0812 Gravel, sand, clays and kaolin;2012 November;122.3;0.0;2.0
2871;Total sales;0812 Gravel, sand, clays and kaolin;2012 December;122.4;0.1;1.8
2872;Total sales;0812 Gravel, sand, clays and kaolin;2012;122.0;;2.2
2873;Total sales;081211 Natural sands;2000 January;82.1;;
2874;Total sales;081211 Natural sands;2000 February;82.1;0.0;
2875;Total sales;081211 Natural sands;2000 March;82.1;0.0;
2876;Total sales;081211 Natural sands;2000 April;84.1;2.4;
2877;Total sales;081211 Natural sands;2000 May;84.1;0.0;
2878;Total sales;081211 Natural sands;2000 June;84.1;0.0;
2879;Total sales;081211 Natural sands;2000 July;84.2;0.1;
2880;Total sales;081211 Natural sands;2000 August;84.2;0.0;
2881;Total sales;081211 Natural sands;2000 September;84.2;0.0;
2882;Total sales;081211 Natural sands;2000 October;84.4;0.2;
2883;Total sales;081211 Natural sands;2000 November;84.4;0.0;
2884;Total sales;081211 Natural sands;2000 December;84.5;0.1;
2885;Total sales;081211 Natural sands;2000;83.7;;
2886;Total sales;081211 Natural sands;2001 January;87.6;3.7;6.7
2887;Total sales;081211 Natural sands;2001 February;87.6;0.0;6.7
2888;Total sales;081211 Natural sands;2001 March;87.6;0.0;6.7
2889;Total sales;081211 Natural sands;2001 April;90.0;2.8;7.1
2890;Total sales;081211 Natural sands;2001 May;90.0;0.0;7.1
2891;Total sales;081211 Natural sands;2001 June;90.0;0.0;7.1
2892;Total sales;081211 Natural sands;2001 July;90.0;0.0;6.9
2893;Total sales;081211 Natural sands;2001 August;90.0;0.0;6.9
2894;Total sales;081211 Natural sands;2001 September;90.0;0.0;6.9
2895;Total sales;081211 Natural sands;2001 October;90.0;0.0;6.7
2896;Total sales;081211 Natural sands;2001 November;90.0;0.0;6.7
2897;Total sales;081211 Natural sands;2001 December;90.0;0.0;6.6
2898;Total sales;081211 Natural sands;2001;89.4;;6.8
2899;Total sales;081211 Natural sands;2002 January;92.4;2.7;5.6
2900;Total sales;081211 Natural sands;2002 February;92.4;0.0;5.6
2901;Total sales;081211 Natural sands;2002 March;92.4;0.0;5.6
2902;Total sales;081211 Natural sands;2002 April;94.9;2.7;5.5
2903;Total sales;081211 Natural sands;2002 May;94.9;0.0;5.5
2904;Total sales;081211 Natural sands;2002 June;94.9;0.0;5.5
2905;Total sales;081211 Natural sands;2002 July;94.9;0.0;5.5
2906;Total sales;081211 Natural sands;2002 August;94.9;0.0;5.5
2907;Total sales;081211 Natural sands;2002 September;94.9;0.0;5.5
2908;Total sales;081211 Natural sands;2002 October;94.9;0.0;5.5
2909;Total sales;081211 Natural sands;2002 November;94.9;0.0;5.5
2910;Total sales;081211 Natural sands;2002 December;95.0;0.1;5.5
2911;Total sales;081211 Natural sands;2002;94.3;;5.5
2912;Total sales;081211 Natural sands;2003 January;97.7;2.8;5.7
2913;Total sales;081211 Natural sands;2003 February;97.7;0.0;5.7
2914;Total sales;081211 Natural sands;2003 March;97.7;0.0;5.7
2915;Total sales;081211 Natural sands;2003 April;97.7;0.0;2.9
2916;Total sales;081211 Natural sands;2003 May;97.7;0.0;2.9
2917;Total sales;081211 Natural sands;2003 June;97.7;0.0;2.9
2918;Total sales;081211 Natural sands;2003 July;97.9;0.2;3.1
2919;Total sales;081211 Natural sands;2003 August;97.9;0.0;3.1
2920;Total sales;081211 Natural sands;2003 September;97.9;0.0;3.1
2921;Total sales;081211 Natural sands;2003 October;97.5;-0.4;2.7
2922;Total sales;081211 Natural sands;2003 November;97.5;0.0;2.7
2923;Total sales;081211 Natural sands;2003 December;97.5;0.0;2.7
2924;Total sales;081211 Natural sands;2003;97.7;;3.6
2925;Total sales;081211 Natural sands;2004 January;98.9;1.4;1.2
2926;Total sales;081211 Natural sands;2004 February;98.9;0.0;1.2
2927;Total sales;081211 Natural sands;2004 March;98.9;0.0;1.2
2928;Total sales;081211 Natural sands;2004 April;98.9;0.0;1.2
2929;Total sales;081211 Natural sands;2004 May;98.8;-0.1;1.1
2930;Total sales;081211 Natural sands;2004 June;98.8;0.0;1.1
2931;Total sales;081211 Natural sands;2004 July;98.4;-0.4;0.5
2932;Total sales;081211 Natural sands;2004 August;98.4;0.0;0.5
2933;Total sales;081211 Natural sands;2004 September;98.4;0.0;0.5
2934;Total sales;081211 Natural sands;2004 October;97.0;-1.5;-0.6
2935;Total sales;081211 Natural sands;2004 November;97.0;0.0;-0.6
2936;Total sales;081211 Natural sands;2004 December;97.0;0.0;-0.6
2937;Total sales;081211 Natural sands;2004;98.3;;0.6
2938;Total sales;081211 Natural sands;2005 January;98.9;2.0;0.0
2939;Total sales;081211 Natural sands;2005 February;98.9;0.0;0.0
2940;Total sales;081211 Natural sands;2005 March;98.9;0.0;0.0
2941;Total sales;081211 Natural sands;2005 April;99.8;0.9;0.9
2942;Total sales;081211 Natural sands;2005 May;99.8;0.0;1.0
2943;Total sales;081211 Natural sands;2005 June;99.8;0.0;1.0
2944;Total sales;081211 Natural sands;2005 July;99.9;0.2;1.6
2945;Total sales;081211 Natural sands;2005 August;99.9;0.0;1.6
2946;Total sales;081211 Natural sands;2005 September;99.9;0.0;1.6
2947;Total sales;081211 Natural sands;2005 October;101.4;1.5;4.6
2948;Total sales;081211 Natural sands;2005 November;101.4;0.0;4.6
2949;Total sales;081211 Natural sands;2005 December;101.4;0.0;4.6
2950;Total sales;081211 Natural sands;2005;100.0;;1.8
2951;Total sales;081211 Natural sands;2006 January;101.1;-0.3;2.2
2952;Total sales;081211 Natural sands;2006 February;101.1;0.0;2.2
2953;Total sales;081211 Natural sands;2006 March;101.1;0.0;2.3
2954;Total sales;081211 Natural sands;2006 April;101.2;0.1;1.4
2955;Total sales;081211 Natural sands;2006 May;101.2;0.0;1.4
2956;Total sales;081211 Natural sands;2006 June;101.2;0.0;1.4
2957;Total sales;081211 Natural sands;2006 July;102.7;1.5;2.7
2958;Total sales;081211 Natural sands;2006 August;102.7;0.0;2.7
2959;Total sales;081211 Natural sands;2006 September;102.7;0.0;2.7
2960;Total sales;081211 Natural sands;2006 October;102.4;-0.3;1.0
2961;Total sales;081211 Natural sands;2006 November;102.4;0.0;1.0
2962;Total sales;081211 Natural sands;2006 December;102.4;0.0;1.0
2963;Total sales;081211 Natural sands;2006;101.8;;1.8
2964;Total sales;081211 Natural sands;2007 January;105.6;3.1;4.5
2965;Total sales;081211 Natural sands;2007 February;105.7;0.1;4.6
2966;Total sales;081211 Natural sands;2007 March;105.7;0.0;4.5
2967;Total sales;081211 Natural sands;2007 April;104.4;-1.2;3.2
2968;Total sales;081211 Natural sands;2007 May;104.4;0.0;3.2
2969;Total sales;081211 Natural sands;2007 June;104.4;0.0;3.2
2970;Total sales;081211 Natural sands;2007 July;104.6;0.1;1.9
2971;Total sales;081211 Natural sands;2007 August;104.6;0.0;1.9
2972;Total sales;081211 Natural sands;2007 September;104.6;0.0;1.9
2973;Total sales;081211 Natural sands;2007 October;105.0;0.4;2.5
2974;Total sales;081211 Natural sands;2007 November;105.0;0.0;2.5
2975;Total sales;081211 Natural sands;2007 December;105.0;0.0;2.5
2976;Total sales;081211 Natural sands;2007;104.9;;3.0
2977;Total sales;081211 Natural sands;2008 January;110.4;5.2;4.5
2978;Total sales;081211 Natural sands;2008 February;110.4;0.0;4.4
2979;Total sales;081211 Natural sands;2008 March;110.4;0.0;4.4
2980;Total sales;081211 Natural sands;2008 April;110.8;0.3;6.1
2981;Total sales;081211 Natural sands;2008 May;110.8;0.0;6.1
2982;Total sales;081211 Natural sands;2008 June;110.8;0.0;6.1
2983;Total sales;081211 Natural sands;2008 July;111.1;0.3;6.2
2984;Total sales;081211 Natural sands;2008 August;111.1;0.0;6.2
2985;Total sales;081211 Natural sands;2008 September;111.1;0.0;6.2
2986;Total sales;081211 Natural sands;2008 October;112.6;1.4;7.3
2987;Total sales;081211 Natural sands;2008 November;112.6;0.0;7.3
2988;Total sales;081211 Natural sands;2008 December;112.6;0.0;7.3
2989;Total sales;081211 Natural sands;2008;111.2;;6.0
2990;Total sales;081211 Natural sands;2009 January;116.2;3.2;5.2
2991;Total sales;081211 Natural sands;2009 February;116.2;0.0;5.2
2992;Total sales;081211 Natural sands;2009 March;116.2;0.0;5.2
2993;Total sales;081211 Natural sands;2009 April;116.1;0.0;4.8
2994;Total sales;081211 Natural sands;2009 May;116.1;0.0;4.8
2995;Total sales;081211 Natural sands;2009 June;116.1;0.0;4.8
2996;Total sales;081211 Natural sands;2009 July;117.5;1.2;5.8
2997;Total sales;081211 Natural sands;2009 August;117.5;0.0;5.7
2998;Total sales;081211 Natural sands;2009 September;117.5;0.0;5.7
2999;Total sales;081211 Natural sands;2009 October;116.7;-0.7;3.6
3000;Total sales;081211 Natural sands;2009 November;116.7;0.0;3.6
3001;Total sales;081211 Natural sands;2009 December;116.7;0.0;3.6
3002;Total sales;081211 Natural sands;2009;116.6;;4.8
3003;Total sales;081211 Natural sands;2010 January;117.3;0.5;0.9
3004;Total sales;081211 Natural sands;2010 February;117.3;0.1;1.0
3005;Total sales;081211 Natural sands;2010 March;117.6;0.2;1.2
3006;Total sales;081211 Natural sands;2010 April;117.1;-0.4;0.8
3007;Total sales;081211 Natural sands;2010 May;117.0;0.0;0.8
3008;Total sales;081211 Natural sands;2010 June;116.8;-0.2;0.6
3009;Total sales;081211 Natural sands;2010 July;117.3;0.4;-0.2
3010;Total sales;081211 Natural sands;2010 August;117.3;0.0;-0.1
3011;Total sales;081211 Natural sands;2010 September;116.9;-0.3;-0.5
3012;Total sales;081211 Natural sands;2010 October;117.0;0.1;0.3
3013;Total sales;081211 Natural sands;2010 November;117.2;0.1;0.4
3014;Total sales;081211 Natural sands;2010 December;117.2;0.0;0.4
3015;Total sales;081211 Natural sands;2010;117.2;;0.5
3016;Total sales;081211 Natural sands;2011 January;118.1;0.7;0.7
3017;Total sales;081211 Natural sands;2011 February;118.1;0.0;0.7
3018;Total sales;081211 Natural sands;2011 March;118.1;0.0;0.5
3019;Total sales;081211 Natural sands;2011 April;118.1;0.0;0.9
3020;Total sales;081211 Natural sands;2011 May;118.1;0.0;0.9
3021;Total sales;081211 Natural sands;2011 June;118.0;-0.1;1.0
3022;Total sales;081211 Natural sands;2011 July;118.5;0.4;1.0
3023;Total sales;081211 Natural sands;2011 August;118.5;0.0;1.1
3024;Total sales;081211 Natural sands;2011 September;118.5;0.0;1.4
3025;Total sales;081211 Natural sands;2011 October;119.2;0.5;1.9
3026;Total sales;081211 Natural sands;2011 November;118.6;-0.5;1.2
3027;Total sales;081211 Natural sands;2011 December;119.2;0.5;1.7
3028;Total sales;081211 Natural sands;2011;118.4;;1.1
3029;Total sales;081211 Natural sands;2012 January;120.5;1.1;2.1
3030;Total sales;081211 Natural sands;2012 February;120.4;-0.1;2.0
3031;Total sales;081211 Natural sands;2012 March;119.9;-0.5;1.5
3032;Total sales;081211 Natural sands;2012 April;119.6;-0.2;1.3
3033;Total sales;081211 Natural sands;2012 May;119.7;0.1;1.4
3034;Total sales;081211 Natural sands;2012 June;119.9;0.2;1.6
3035;Total sales;081211 Natural sands;2012 July;120.6;0.5;1.7
3036;Total sales;081211 Natural sands;2012 August;120.7;0.1;1.8
3037;Total sales;081211 Natural sands;2012 September;120.4;-0.2;1.6
3038;Total sales;081211 Natural sands;2012 October;120.2;-0.2;0.8
3039;Total sales;081211 Natural sands;2012 November;120.2;0.1;1.4
3040;Total sales;081211 Natural sands;2012 December;120.4;0.2;1.0
3041;Total sales;081211 Natural sands;2012;120.2;;1.5
3042;Total sales;0812115 Silica sands (quartz sands o...;2000 January;82.8;;
3043;Total sales;0812115 Silica sands (quartz sands o...;2000 February;82.8;0.0;
3044;Total sales;0812115 Silica sands (quartz sands o...;2000 March;82.8;0.0;
3045;Total sales;0812115 Silica sands (quartz sands o...;2000 April;85.6;3.4;
3046;Total sales;0812115 Silica sands (quartz sands o...;2000 May;85.6;0.0;
3047;Total sales;0812115 Silica sands (quartz sands o...;2000 June;85.6;0.0;
3048;Total sales;0812115 Silica sands (quartz sands o...;2000 July;85.7;0.1;
3049;Total sales;0812115 Silica sands (quartz sands o...;2000 August;85.7;0.0;
3050;Total sales;0812115 Silica sands (quartz sands o...;2000 September;85.7;0.0;
3051;Total sales;0812115 Silica sands (quartz sands o...;2000 October;85.7;0.0;
3052;Total sales;0812115 Silica sands (quartz sands o...;2000 November;85.7;0.0;
3053;Total sales;0812115 Silica sands (quartz sands o...;2000 December;85.7;0.0;
3054;Total sales;0812115 Silica sands (quartz sands o...;2000;85.0;;
3055;Total sales;0812115 Silica sands (quartz sands o...;2001 January;87.8;2.4;6.0
3056;Total sales;0812115 Silica sands (quartz sands o...;2001 February;87.8;0.0;6.0
3057;Total sales;0812115 Silica sands (quartz sands o...;2001 March;87.8;0.0;6.0
3058;Total sales;0812115 Silica sands (quartz sands o...;2001 April;91.2;3.9;6.5
3059;Total sales;0812115 Silica sands (quartz sands o...;2001 May;91.2;0.0;6.5
3060;Total sales;0812115 Silica sands (quartz sands o...;2001 June;91.2;0.0;6.5
3061;Total sales;0812115 Silica sands (quartz sands o...;2001 July;91.2;0.0;6.4
3062;Total sales;0812115 Silica sands (quartz sands o...;2001 August;91.2;0.0;6.4
3063;Total sales;0812115 Silica sands (quartz sands o...;2001 September;91.2;0.0;6.4
3064;Total sales;0812115 Silica sands (quartz sands o...;2001 October;91.2;0.0;6.4
3065;Total sales;0812115 Silica sands (quartz sands o...;2001 November;91.2;0.0;6.4
3066;Total sales;0812115 Silica sands (quartz sands o...;2001 December;91.2;0.0;6.4
3067;Total sales;0812115 Silica sands (quartz sands o...;2001;90.4;;6.3
3068;Total sales;0812115 Silica sands (quartz sands o...;2002 January;92.0;0.9;4.8
3069;Total sales;0812115 Silica sands (quartz sands o...;2002 February;92.0;0.0;4.8
3070;Total sales;0812115 Silica sands (quartz sands o...;2002 March;92.0;0.0;4.8
3071;Total sales;0812115 Silica sands (quartz sands o...;2002 April;95.5;3.8;4.7
3072;Total sales;0812115 Silica sands (quartz sands o...;2002 May;95.5;0.0;4.7
3073;Total sales;0812115 Silica sands (quartz sands o...;2002 June;95.5;0.0;4.7
3074;Total sales;0812115 Silica sands (quartz sands o...;2002 July;95.5;0.0;4.7
3075;Total sales;0812115 Silica sands (quartz sands o...;2002 August;95.5;0.0;4.7
3076;Total sales;0812115 Silica sands (quartz sands o...;2002 September;95.5;0.0;4.7
3077;Total sales;0812115 Silica sands (quartz sands o...;2002 October;95.5;0.0;4.7
3078;Total sales;0812115 Silica sands (quartz sands o...;2002 November;95.5;0.0;4.7
3079;Total sales;0812115 Silica sands (quartz sands o...;2002 December;95.5;0.0;4.7
3080;Total sales;0812115 Silica sands (quartz sands o...;2002;94.6;;4.7
3081;Total sales;0812115 Silica sands (quartz sands o...;2003 January;98.1;2.7;6.6
3082;Total sales;0812115 Silica sands (quartz sands o...;2003 February;98.1;0.0;6.6
3083;Total sales;0812115 Silica sands (quartz sands o...;2003 March;98.1;0.0;6.6
3084;Total sales;0812115 Silica sands (quartz sands o...;2003 April;98.1;0.0;2.7
3085;Total sales;0812115 Silica sands (quartz sands o...;2003 May;98.1;0.0;2.7
3086;Total sales;0812115 Silica sands (quartz sands o...;2003 June;98.1;0.0;2.7
3087;Total sales;0812115 Silica sands (quartz sands o...;2003 July;98.4;0.3;3.0
3088;Total sales;0812115 Silica sands (quartz sands o...;2003 August;98.4;0.0;3.0
3089;Total sales;0812115 Silica sands (quartz sands o...;2003 September;98.4;0.0;3.0
3090;Total sales;0812115 Silica sands (quartz sands o...;2003 October;98.6;0.3;3.3
3091;Total sales;0812115 Silica sands (quartz sands o...;2003 November;98.6;0.0;3.3
3092;Total sales;0812115 Silica sands (quartz sands o...;2003 December;98.6;0.0;3.3
3093;Total sales;0812115 Silica sands (quartz sands o...;2003;98.3;;3.9
3094;Total sales;0812115 Silica sands (quartz sands o...;2004 January;99.8;1.2;1.8
3095;Total sales;0812115 Silica sands (quartz sands o...;2004 February;99.8;0.0;1.8
3096;Total sales;0812115 Silica sands (quartz sands o...;2004 March;99.8;0.0;1.8
3097;Total sales;0812115 Silica sands (quartz sands o...;2004 April;99.9;0.1;1.8
3098;Total sales;0812115 Silica sands (quartz sands o...;2004 May;99.8;-0.1;1.7
3099;Total sales;0812115 Silica sands (quartz sands o...;2004 June;99.8;0.0;1.7
3100;Total sales;0812115 Silica sands (quartz sands o...;2004 July;99.1;-0.6;0.8
3101;Total sales;0812115 Silica sands (quartz sands o...;2004 August;99.1;0.0;0.8
3102;Total sales;0812115 Silica sands (quartz sands o...;2004 September;99.1;0.0;0.8
3103;Total sales;0812115 Silica sands (quartz sands o...;2004 October;97.0;-2.1;-1.6
3104;Total sales;0812115 Silica sands (quartz sands o...;2004 November;97.0;0.0;-1.6
3105;Total sales;0812115 Silica sands (quartz sands o...;2004 December;97.0;0.0;-1.6
3106;Total sales;0812115 Silica sands (quartz sands o...;2004;99.0;;0.7
3107;Total sales;0812115 Silica sands (quartz sands o...;2005 January;99.3;2.3;-0.6
3108;Total sales;0812115 Silica sands (quartz sands o...;2005 February;99.3;0.0;-0.6
3109;Total sales;0812115 Silica sands (quartz sands o...;2005 March;99.3;0.0;-0.6
3110;Total sales;0812115 Silica sands (quartz sands o...;2005 April;100.2;0.9;0.3
3111;Total sales;0812115 Silica sands (quartz sands o...;2005 May;100.2;0.0;0.4
3112;Total sales;0812115 Silica sands (quartz sands o...;2005 June;100.2;0.0;0.4
3113;Total sales;0812115 Silica sands (quartz sands o...;2005 July;100.4;0.2;1.3
3114;Total sales;0812115 Silica sands (quartz sands o...;2005 August;100.4;0.0;1.3
3115;Total sales;0812115 Silica sands (quartz sands o...;2005 September;100.4;0.0;1.3
3116;Total sales;0812115 Silica sands (quartz sands o...;2005 October;100.2;-0.2;3.2
3117;Total sales;0812115 Silica sands (quartz sands o...;2005 November;100.2;0.0;3.2
3118;Total sales;0812115 Silica sands (quartz sands o...;2005 December;100.2;0.0;3.2
3119;Total sales;0812115 Silica sands (quartz sands o...;2005;100.0;;1.1
3120;Total sales;0812115 Silica sands (quartz sands o...;2006 January;99.0;-1.2;-0.3
3121;Total sales;0812115 Silica sands (quartz sands o...;2006 February;99.0;0.0;-0.3
3122;Total sales;0812115 Silica sands (quartz sands o...;2006 March;99.0;0.0;-0.3
3123;Total sales;0812115 Silica sands (quartz sands o...;2006 April;99.4;0.5;-0.7
3124;Total sales;0812115 Silica sands (quartz sands o...;2006 May;99.4;0.0;-0.7
3125;Total sales;0812115 Silica sands (quartz sands o...;2006 June;99.4;0.0;-0.7
3126;Total sales;0812115 Silica sands (quartz sands o...;2006 July;101.6;2.1;1.1
3127;Total sales;0812115 Silica sands (quartz sands o...;2006 August;101.6;0.0;1.1
3128;Total sales;0812115 Silica sands (quartz sands o...;2006 September;101.6;0.0;1.1
3129;Total sales;0812115 Silica sands (quartz sands o...;2006 October;100.7;-0.8;0.5
3130;Total sales;0812115 Silica sands (quartz sands o...;2006 November;100.7;0.0;0.5
3131;Total sales;0812115 Silica sands (quartz sands o...;2006 December;100.7;0.0;0.5
3132;Total sales;0812115 Silica sands (quartz sands o...;2006;100.2;;0.2
3133;Total sales;0812115 Silica sands (quartz sands o...;2007 January;104.3;3.6;5.4
3134;Total sales;0812115 Silica sands (quartz sands o...;2007 February;104.3;0.0;5.4
3135;Total sales;0812115 Silica sands (quartz sands o...;2007 March;104.3;0.0;5.4
3136;Total sales;0812115 Silica sands (quartz sands o...;2007 April;102.3;-1.9;2.8
3137;Total sales;0812115 Silica sands (quartz sands o...;2007 May;102.3;0.0;2.8
3138;Total sales;0812115 Silica sands (quartz sands o...;2007 June;102.3;0.0;2.8
3139;Total sales;0812115 Silica sands (quartz sands o...;2007 July;102.5;0.2;0.9
3140;Total sales;0812115 Silica sands (quartz sands o...;2007 August;102.5;0.0;0.9
3141;Total sales;0812115 Silica sands (quartz sands o...;2007 September;102.5;0.0;0.9
3142;Total sales;0812115 Silica sands (quartz sands o...;2007 October;103.0;0.5;2.3
3143;Total sales;0812115 Silica sands (quartz sands o...;2007 November;103.0;0.0;2.3
3144;Total sales;0812115 Silica sands (quartz sands o...;2007 December;103.0;0.0;2.3
3145;Total sales;0812115 Silica sands (quartz sands o...;2007;103.0;;2.9
3146;Total sales;0812115 Silica sands (quartz sands o...;2008 January;109.4;6.2;4.9
3147;Total sales;0812115 Silica sands (quartz sands o...;2008 February;109.4;0.0;4.9
3148;Total sales;0812115 Silica sands (quartz sands o...;2008 March;109.4;0.0;4.9
3149;Total sales;0812115 Silica sands (quartz sands o...;2008 April;109.9;0.5;7.4
3150;Total sales;0812115 Silica sands (quartz sands o...;2008 May;109.9;0.0;7.4
3151;Total sales;0812115 Silica sands (quartz sands o...;2008 June;109.9;0.0;7.4
3152;Total sales;0812115 Silica sands (quartz sands o...;2008 July;109.8;0.0;7.2
3153;Total sales;0812115 Silica sands (quartz sands o...;2008 August;109.8;0.0;7.2
3154;Total sales;0812115 Silica sands (quartz sands o...;2008 September;109.8;0.0;7.1
3155;Total sales;0812115 Silica sands (quartz sands o...;2008 October;111.1;1.1;7.8
3156;Total sales;0812115 Silica sands (quartz sands o...;2008 November;111.1;0.0;7.8
3157;Total sales;0812115 Silica sands (quartz sands o...;2008 December;111.1;0.0;7.8
3158;Total sales;0812115 Silica sands (quartz sands o...;2008;110.0;;6.8
3159;Total sales;0812115 Silica sands (quartz sands o...;2009 January;114.3;2.9;4.5
3160;Total sales;0812115 Silica sands (quartz sands o...;2009 February;114.3;0.0;4.5
3161;Total sales;0812115 Silica sands (quartz sands o...;2009 March;114.3;0.0;4.5
3162;Total sales;0812115 Silica sands (quartz sands o...;2009 April;114.3;0.0;4.0
3163;Total sales;0812115 Silica sands (quartz sands o...;2009 May;114.3;0.0;4.0
3164;Total sales;0812115 Silica sands (quartz sands o...;2009 June;114.3;0.0;4.0
3165;Total sales;0812115 Silica sands (quartz sands o...;2009 July;116.2;1.7;5.8
3166;Total sales;0812115 Silica sands (quartz sands o...;2009 August;116.2;0.0;5.8
3167;Total sales;0812115 Silica sands (quartz sands o...;2009 September;116.2;0.0;5.8
3168;Total sales;0812115 Silica sands (quartz sands o...;2009 October;115.0;-1.0;3.5
3169;Total sales;0812115 Silica sands (quartz sands o...;2009 November;115.0;0.0;3.5
3170;Total sales;0812115 Silica sands (quartz sands o...;2009 December;115.0;0.0;3.5
3171;Total sales;0812115 Silica sands (quartz sands o...;2009;114.9;;4.5
3172;Total sales;0812115 Silica sands (quartz sands o...;2010 January;115.0;0.1;0.6
3173;Total sales;0812115 Silica sands (quartz sands o...;2010 February;115.0;0.0;0.6
3174;Total sales;0812115 Silica sands (quartz sands o...;2010 March;115.4;0.3;0.9
3175;Total sales;0812115 Silica sands (quartz sands o...;2010 April;114.6;-0.7;0.3
3176;Total sales;0812115 Silica sands (quartz sands o...;2010 May;114.6;0.0;0.3
3177;Total sales;0812115 Silica sands (quartz sands o...;2010 June;114.3;-0.3;0.0
3178;Total sales;0812115 Silica sands (quartz sands o...;2010 July;115.0;0.6;-1.0
3179;Total sales;0812115 Silica sands (quartz sands o...;2010 August;115.0;0.0;-1.0
3180;Total sales;0812115 Silica sands (quartz sands o...;2010 September;114.4;-0.5;-1.6
