ID;BedrijfstakkenBranchesSBI2008;Perioden;TotaalZuiveringsinstallaties_1;MechanischeZuiveringsinstallaties_2;FysischChemischeZuiveringsinstallaties_3;TotaalBiologischeInstallaties_4;BiologischAerobeInstallaties_5;BiologischAnaerobeInstallaties_6;CombinatieAnaeroobAerobeInst_7;Capaciteit_8;CorresponderendAantalInstallaties_9;TotaalHoeveelheidSlibAfgevoerd_10;LandbouwBodem_11;DiervoedersDestructiebedrijven_12;Composteren_13;Storten_14;Verbranden_15;Vergisten_16;InzetAlsBrandstof_17;OverigeBestemmingen_18;TotaalDrogeStofAfgevoerd_19;LandbouwBodem_20;DiervoedersDestructiebedrijven_21;Composteren_22;Storten_23;Verbranden_24;Vergisten_25;InzetAlsBrandstof_26;OverigeBestemmingen_27
110;339205;2015;10;1;8.0;1;1;0;0;11;1;3501;0;0;0;2857;486;0.0;0.0;158;1923;0;0;0;1657;195;0.0;0.0;71
111;339205;2016;9;1;7.0;1;1;0;0;11;1;3601;0;0;0;3010;453;0.0;0.0;138;1939;0;0;0;1750;160;0.0;0.0;29
112;341600;2010;2;0;2.0;0;0;0;0;0;0;4;0;0;0;0;4;;;0;1;0;0;0;0;1;;;0
113;341600;2011;2;0;2.0;0;0;0;0;0;0;59;0;0;0;0;1;;;58;59;0;0;0;0;0;;;58
114;341600;2012;2;0;2.0;0;0;0;0;0;0;14;0;0;0;0;0;;;14;12;0;0;0;0;0;;;12
115;341600;2013;1;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0
116;341600;2014;1;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0
117;341600;2015;1;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0;0;0.0;0.0;0
118;341600;2016;1;0;1.0;0;0;0;0;0;0;6;0;0;0;0;6;0.0;0.0;0;4;0;0;0;0;4;0.0;0.0;0
119;342400;2010;3;1;2.0;0;0;0;0;0;1;59;0;0;0;0;1;;;58;59;0;0;0;0;0;;;58
120;342400;2011;3;1;2.0;0;0;0;0;0;1;1;0;0;0;1;0;;;0;1;0;0;0;1;0;;;0
121;342400;2012;3;1;2.0;0;0;0;0;0;1;1;0;0;0;1;0;;;0;1;0;0;0;1;0;;;0
122;342400;2013;2;1;1.0;0;0;0;0;0;1;20;0;0;0;20;0;0.0;0.0;0;4;0;0;0;4;0;0.0;0.0;0
123;342400;2014;3;1;1.0;1;1;0;0;30;2;910;0;0;0;30;877;0.0;0.0;3;112;0;0;0;7;105;0.0;0.0;0
124;342400;2015;2;1;1.0;0;0;0;0;0;1;33;0;0;0;30;0;0.0;0.0;3;7;0;0;0;7;0;0.0;0.0;0
125;342400;2016;1;0;1.0;0;0;0;0;0;0;3;0;0;0;0;0;0.0;0.0;3;0;0;0;0;0;0;0.0;0.0;0
126;344400;2010;1;0;1.0;0;0;0;0;0;0;1;0;0;0;1;0;;;0;1;0;0;0;1;0;;;0
127;344400;2011;1;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;0
128;344400;2012;1;0;1.0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;0
129;344400;2013;1;0;1.0;0;0;0;0;0;0;1;0;0;0;1;0;0.0;0.0;0;1;0;0;0;1;0;0.0;0.0;0
130;344400;2014;2;0;2.0;0;0;0;0;0;0;46;0;0;0;46;0;0.0;0.0;0;19;0;0;0;19;0;0.0;0.0;0
131;344400;2015;2;0;2.0;0;0;0;0;0;0;53;0;0;0;48;5;0.0;0.0;0;19;0;0;0;19;0;0.0;0.0;0
132;344400;2016;2;0;2.0;0;0;0;0;0;0;82;0;0;0;64;18;0.0;0.0;0;26;0;0;0;26;0;0.0;0.0;0
133;346600;2010;10;0;6.0;4;3;0;1;165;3;18187;0;0;714;7464;10000;;;9;4940;0;0;86;3768;1080;;;7
134;346600;2011;10;0;6.0;4;3;0;1;165;3;15612;0;0;406;6780;7800;;;625;4871;0;0;51;3478;842;;;500
135;346600;2012;10;0;6.0;4;3;0;1;167;4;9075;0;0;2121;5962;0;;;992;3309;0;0;51;2677;0;;;581
136;346600;2013;10;0;6.0;4;3;0;1;167;4;10837;0;0;2408;3933;0;0.0;2224.0;2272;5240;0;0;101;1698;0;0.0;1276.0;2165
137;346600;2014;8;0;5.0;3;2;0;1;165;3;13972;0;0;0;6563;981;0.0;593.0;5836;4188;0;0;0;2777;295;0.0;474.0;642
138;346600;2015;10;0;6.0;4;2;1;1;166;4;26032;0;0;0;10968;1428;0.0;0.0;13637;7960;0;0;0;4618;955;0.0;0.0;2387
139;346600;2016;10;0;6.0;4;2;1;1;166;4;13461;0;0;0;6442;2239;0.0;0.0;4781;4997;0;0;0;2988;993;0.0;0.0;1016
140;348000;2010;37;2;8.0;27;21;3;3;2336;21;99574;0;0;1744;24651;7937;;;65242;35523;0;0;421;8552;1144;;;25407
141;348000;2011;37;2;8.0;27;21;3;3;2336;21;142511;0;0;0;26390;2868;;;113254;35362;0;0;0;12258;630;;;22473
142;348000;2012;36;1;5.0;30;22;2;6;2492;22;121240;0;0;19967;26769;2928;;;71577;37768;0;0;3275;10617;592;;;23284
143;348000;2013;36;1;5.0;30;22;2;6;2492;22;153376;0;0;28043;33200;3569;0.0;10863.0;77701;42843;0;0;3225;8802;471;0.0;1469.0;28876
144;348000;2014;29;1;5.0;23;18;1;4;1123;17;108492;0;0;32744;29634;1675;3204.0;1776.0;39460;28533;0;0;6778;10773;263;182.0;307.0;10230
145;348000;2015;33;1;7.0;25;20;1;4;1142;19;111304;0;0;36941;31935;1839;1736.0;10901.0;27952;29628;0;0;7388;11094;340;100.0;279.0;10427
146;348000;2016;33;1;7.0;25;20;1;4;1134;19;136780;0;0;25834;75843;1187;0.0;12298.0;21618;29905;0;0;5167;15380;239;0.0;472.0;8647
147;350000;2010;1;0;0.0;1;1;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;0
148;350000;2011;1;0;0.0;1;1;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;0
149;350000;2012;1;0;0.0;1;1;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;;;0
150;350000;2013;1;0;0.0;1;1;0;0;0;0;610;0;0;0;0;0;0.0;0.0;610;37;0;0;0;0;0;0.0;0.0;37
151;350000;2014;1;0;0.0;1;1;0;0;0;0;50;0;0;0;0;0;0.0;0.0;50;5;0;0;0;0;0;0.0;0.0;5
152;350000;2015;1;0;0.0;1;1;0;0;0;0;165;0;0;0;0;0;0.0;0.0;165;17;0;0;0;0;0;0.0;0.0;17
153;350000;2016;2;0;;2;2;0;0;100;1;499;0;0;0;0;242;0.0;0.0;257;268;0;0;0;0;233;0.0;0.0;35
154;300006;2010;22;1;10.0;11;11;0;0;142;8;24465;15227;0;0;218;1643;;;7378;9361;7614;0;0;105;397;;;1245
155;300006;2011;20;1;8.0;11;11;0;0;142;8;19311;11884;0;0;218;810;;;6399;7083;5823;0;0;105;154;;;1001
156;300006;2012;19;0;9.0;10;10;0;0;96;8;14979;0;0;0;405;754;;;13819;4765;0;0;0;203;138;;;4424
157;300006;2013;24;0;10.0;14;14;0;0;206;12;22427;4000;0;0;877;3416;534.0;1303.0;12297;7015;800;0;0;473;1308;95.0;96.0;4243
158;300006;2014;22;0;8.0;14;14;0;0;176;11;24274;4000;0;0;845;1927;4188.0;76.0;13237;7411;800;0;0;463;845;822.0;27.0;4454
159;300006;2015;24;0;9.0;15;15;0;0;199;12;30229;4500;0;0;1301;1270;6005.0;0.0;17154;9971;900;0;0;570;556;2830.0;0.0;5115
160;300006;2016;26;1;8.0;17;17;0;0;201;13;29065;8098;0;1277;1092;1257;7405.0;0.0;9936;6917;2999;0;75;467;567;1551.0;0.0;1258
161;357955;2010;12;1;6.0;5;5;0;0;68;4;5753;0;0;0;128;133;;;5492;1064;0;0;0;51;93;;;920
162;357955;2011;10;1;4.0;5;5;0;0;68;4;5014;0;0;0;128;133;;;4753;876;0;0;0;51;93;;;731
163;357955;2012;10;0;5.0;5;5;0;0;45;4;5604;0;0;0;308;118;;;5178;875;0;0;0;181;83;;;610
164;357955;2013;13;0;5.0;8;8;0;0;125;7;11260;4000;0;0;689;1963;167.0;928.0;3513;2584;800;0;0;384;1001;40.0;16.0;344
165;357955;2014;13;0;5.0;8;8;0;0;125;7;15123;4000;0;0;845;1578;3760.0;0.0;4940;3371;800;0;0;463;789;758.0;0.0;561
166;357955;2015;15;0;6.0;9;9;0;0;148;8;20448;4500;0;0;853;1065;5622.0;0.0;8408;5711;900;0;0;467;529;2773.0;0.0;1042
167;357955;2016;17;1;6.0;10;10;0;0;149;9;23017;3500;0;1277;648;1071;7214.0;0.0;9307;4187;700;0;75;372;518;1523.0;0.0;999
