ID;BedrijfstakkenBranchesSBI2008;Perioden;Geschillen_1;VerlorenArbeidsdagen_2;BetrokkenWerknemers_3
492;N Verhuur en overige zakelijke diensten;2016;;;
493;N Verhuur en overige zakelijke diensten;2017;0.0;0.0;0.0
494;N Verhuur en overige zakelijke diensten;2018;;;
495;N Verhuur en overige zakelijke diensten;2019;0.0;0.0;0.0
496;N Verhuur en overige zakelijke diensten;2020;0.0;0.0;0.0
497;N Verhuur en overige zakelijke diensten;2021;0.0;0.0;0.0
498;N Verhuur en overige zakelijke diensten;2022;;;
499;N Verhuur en overige zakelijke diensten;2023;0.0;0.0;0.0
500;O-Q Overheid en zorg;1999;4.0;53.0;52.8
501;O-Q Overheid en zorg;2000;;;
502;O-Q Overheid en zorg;2001;;;
503;O-Q Overheid en zorg;2002;;;
504;O-Q Overheid en zorg;2003;;;
505;O-Q Overheid en zorg;2004;0.0;0.0;0.0
506;O-Q Overheid en zorg;2005;0.0;0.0;0.0
507;O-Q Overheid en zorg;2006;;;
508;O-Q Overheid en zorg;2007;5.0;14.2;14.1
509;O-Q Overheid en zorg;2008;3.0;28.1;19.4
510;O-Q Overheid en zorg;2009;0.0;0.0;0.0
511;O-Q Overheid en zorg;2010;5.0;8.4;4.0
512;O-Q Overheid en zorg;2011;;;
513;O-Q Overheid en zorg;2012;6.0;55.7;74.8
514;O-Q Overheid en zorg;2013;;;
515;O-Q Overheid en zorg;2014;;;
516;O-Q Overheid en zorg;2015;;;
517;O-Q Overheid en zorg;2016;;;
518;O-Q Overheid en zorg;2017;;;
519;O-Q Overheid en zorg;2018;;;
520;O-Q Overheid en zorg;2019;4.0;318.6;274.9
521;O-Q Overheid en zorg;2020;;;
522;O-Q Overheid en zorg;2021;;;
523;O-Q Overheid en zorg;2022;;;
524;O-Q Overheid en zorg;2023;;;
525;O-U Niet-commerciële dienstverlening;1999;4.0;53.0;52.8
526;O-U Niet-commerciële dienstverlening;2000;4.0;2.6;4.8
527;O-U Niet-commerciële dienstverlening;2001;3.0;23.5;20.4
528;O-U Niet-commerciële dienstverlening;2002;;;
529;O-U Niet-commerciële dienstverlening;2003;;;
530;O-U Niet-commerciële dienstverlening;2004;;;
531;O-U Niet-commerciële dienstverlening;2005;;;
532;O-U Niet-commerciële dienstverlening;2006;3.0;1.2;3.1
533;O-U Niet-commerciële dienstverlening;2007;5.0;14.2;14.1
534;O-U Niet-commerciële dienstverlening;2008;3.0;28.1;19.4
535;O-U Niet-commerciële dienstverlening;2009;0.0;0.0;0.0
536;O-U Niet-commerciële dienstverlening;2010;5.0;8.4;4.0
537;O-U Niet-commerciële dienstverlening;2011;;;
538;O-U Niet-commerciële dienstverlening;2012;6.0;55.7;74.8
539;O-U Niet-commerciële dienstverlening;2013;;;
540;O-U Niet-commerciële dienstverlening;2014;3.0;4.8;3.8
541;O-U Niet-commerciële dienstverlening;2015;;;
542;O-U Niet-commerciële dienstverlening;2016;;;
543;O-U Niet-commerciële dienstverlening;2017;4.0;282.5;143.7
544;O-U Niet-commerciële dienstverlening;2018;;;
545;O-U Niet-commerciële dienstverlening;2019;4.0;318.6;274.9
546;O-U Niet-commerciële dienstverlening;2020;;;
547;O-U Niet-commerciële dienstverlening;2021;;;
548;O-U Niet-commerciële dienstverlening;2022;;;
549;O-U Niet-commerciële dienstverlening;2023;3.0;13.4;3.7
550;O Openbaar bestuur en overheidsdiensten;1999;3.0;8.9;8.7
551;O Openbaar bestuur en overheidsdiensten;2000;;;
552;O Openbaar bestuur en overheidsdiensten;2001;0.0;0.0;0.0
553;O Openbaar bestuur en overheidsdiensten;2002;;;
554;O Openbaar bestuur en overheidsdiensten;2003;;;
555;O Openbaar bestuur en overheidsdiensten;2004;0.0;0.0;0.0
556;O Openbaar bestuur en overheidsdiensten;2005;0.0;0.0;0.0
557;O Openbaar bestuur en overheidsdiensten;2006;;;
558;O Openbaar bestuur en overheidsdiensten;2007;2.0;13.2;13.2
559;O Openbaar bestuur en overheidsdiensten;2008;;;
560;O Openbaar bestuur en overheidsdiensten;2009;0.0;0.0;0.0
561;O Openbaar bestuur en overheidsdiensten;2010;3.0;8.2;3.6
562;O Openbaar bestuur en overheidsdiensten;2011;3.0;1.0;5.0
563;O Openbaar bestuur en overheidsdiensten;2012;;;
564;O Openbaar bestuur en overheidsdiensten;2013;;;
565;O Openbaar bestuur en overheidsdiensten;2014;;;
566;O Openbaar bestuur en overheidsdiensten;2015;3.0;2.4;4.7
567;O Openbaar bestuur en overheidsdiensten;2016;;;
568;O Openbaar bestuur en overheidsdiensten;2017;;;
569;O Openbaar bestuur en overheidsdiensten;2018;;;
570;O Openbaar bestuur en overheidsdiensten;2019;0.0;0.0;0.0
571;O Openbaar bestuur en overheidsdiensten;2020;0.0;0.0;0.0
572;O Openbaar bestuur en overheidsdiensten;2021;;;
573;O Openbaar bestuur en overheidsdiensten;2022;;;
574;O Openbaar bestuur en overheidsdiensten;2023;;;
575;P Onderwijs;1999;1.0;44.1;44.1
576;P Onderwijs;2000;;;
577;P Onderwijs;2001;1.0;7.5;15.0
578;P Onderwijs;2002;0.0;0.0;0.0
579;P Onderwijs;2003;0.0;0.0;0.0
580;P Onderwijs;2004;0.0;0.0;0.0
581;P Onderwijs;2005;0.0;0.0;0.0
582;P Onderwijs;2006;0.0;0.0;0.0
583;P Onderwijs;2007;;;
584;P Onderwijs;2008;2.0;8.7;7.9
585;P Onderwijs;2009;0.0;0.0;0.0
586;P Onderwijs;2010;;;
587;P Onderwijs;2011;;;
588;P Onderwijs;2012;2.0;53.0;70.0
589;P Onderwijs;2013;0.0;0.0;0.0
590;P Onderwijs;2014;;;
591;P Onderwijs;2015;0.0;0.0;0.0
592;P Onderwijs;2016;0.0;0.0;0.0
593;P Onderwijs;2017;;;
594;P Onderwijs;2018;;;
595;P Onderwijs;2019;1.0;215.6;140.0
596;P Onderwijs;2020;;;
597;P Onderwijs;2021;;;
598;P Onderwijs;2022;0.0;0.0;0.0
599;P Onderwijs;2023;0.0;0.0;0.0
600;Q Gezondheids- en welzijnszorg;1999;0.0;0.0;0.0
601;Q Gezondheids- en welzijnszorg;2000;0.0;0.0;0.0
602;Q Gezondheids- en welzijnszorg;2001;;;
603;Q Gezondheids- en welzijnszorg;2002;;;
604;Q Gezondheids- en welzijnszorg;2003;0.0;0.0;0.0
605;Q Gezondheids- en welzijnszorg;2004;0.0;0.0;0.0
606;Q Gezondheids- en welzijnszorg;2005;0.0;0.0;0.0
607;Q Gezondheids- en welzijnszorg;2006;;;
608;Q Gezondheids- en welzijnszorg;2007;;;
609;Q Gezondheids- en welzijnszorg;2008;0.0;0.0;0.0
610;Q Gezondheids- en welzijnszorg;2009;0.0;0.0;0.0
611;Q Gezondheids- en welzijnszorg;2010;;;
612;Q Gezondheids- en welzijnszorg;2011;2.0;4.1;15.7
613;Q Gezondheids- en welzijnszorg;2012;;;
614;Q Gezondheids- en welzijnszorg;2013;;;
615;Q Gezondheids- en welzijnszorg;2014;0.0;0.0;0.0
616;Q Gezondheids- en welzijnszorg;2015;;;
617;Q Gezondheids- en welzijnszorg;2016;;;
618;Q Gezondheids- en welzijnszorg;2017;0.0;0.0;0.0
619;Q Gezondheids- en welzijnszorg;2018;;;
620;Q Gezondheids- en welzijnszorg;2019;3.0;103.0;134.9
621;Q Gezondheids- en welzijnszorg;2020;;;
622;Q Gezondheids- en welzijnszorg;2021;3.0;8.4;17.7
623;Q Gezondheids- en welzijnszorg;2022;;;
624;Q Gezondheids- en welzijnszorg;2023;;;
625;R-U Cultuur, recreatie, overige diensten;1999;0.0;0.0;0.0
626;R-U Cultuur, recreatie, overige diensten;2000;;;
627;R-U Cultuur, recreatie, overige diensten;2001;;;
628;R-U Cultuur, recreatie, overige diensten;2002;0.0;0.0;0.0
629;R-U Cultuur, recreatie, overige diensten;2003;;;
630;R-U Cultuur, recreatie, overige diensten;2004;;;
631;R-U Cultuur, recreatie, overige diensten;2005;;;
632;R-U Cultuur, recreatie, overige diensten;2006;;;
633;R-U Cultuur, recreatie, overige diensten;2007;0.0;0.0;0.0
634;R-U Cultuur, recreatie, overige diensten;2008;0.0;0.0;0.0
635;R-U Cultuur, recreatie, overige diensten;2009;0.0;0.0;0.0
636;R-U Cultuur, recreatie, overige diensten;2010;0.0;0.0;0.0
637;R-U Cultuur, recreatie, overige diensten;2011;;;
638;R-U Cultuur, recreatie, overige diensten;2012;0.0;0.0;0.0
639;R-U Cultuur, recreatie, overige diensten;2013;0.0;0.0;0.0
640;R-U Cultuur, recreatie, overige diensten;2014;;;
641;R-U Cultuur, recreatie, overige diensten;2015;;;
642;R-U Cultuur, recreatie, overige diensten;2016;0.0;0.0;0.0
643;R-U Cultuur, recreatie, overige diensten;2017;;;
644;R-U Cultuur, recreatie, overige diensten;2018;0.0;0.0;0.0
645;R-U Cultuur, recreatie, overige diensten;2019;0.0;0.0;0.0
646;R-U Cultuur, recreatie, overige diensten;2020;0.0;0.0;0.0
647;R-U Cultuur, recreatie, overige diensten;2021;0.0;0.0;0.0
648;R-U Cultuur, recreatie, overige diensten;2022;0.0;0.0;0.0
649;R-U Cultuur, recreatie, overige diensten;2023;;;
650;R Cultuur, sport en recreatie;1999;0.0;0.0;0.0
651;R Cultuur, sport en recreatie;2000;0.0;0.0;0.0
652;R Cultuur, sport en recreatie;2001;0.0;0.0;0.0
653;R Cultuur, sport en recreatie;2002;0.0;0.0;0.0
654;R Cultuur, sport en recreatie;2003;;;
655;R Cultuur, sport en recreatie;2004;0.0;0.0;0.0
656;R Cultuur, sport en recreatie;2005;0.0;0.0;0.0
657;R Cultuur, sport en recreatie;2006;0.0;0.0;0.0
658;R Cultuur, sport en recreatie;2007;0.0;0.0;0.0
659;R Cultuur, sport en recreatie;2008;0.0;0.0;0.0
660;R Cultuur, sport en recreatie;2009;0.0;0.0;0.0
661;R Cultuur, sport en recreatie;2010;0.0;0.0;0.0
662;R Cultuur, sport en recreatie;2011;0.0;0.0;0.0
663;R Cultuur, sport en recreatie;2012;0.0;0.0;0.0
664;R Cultuur, sport en recreatie;2013;0.0;0.0;0.0
665;R Cultuur, sport en recreatie;2014;;;
666;R Cultuur, sport en recreatie;2015;;;
667;R Cultuur, sport en recreatie;2016;0.0;0.0;0.0
668;R Cultuur, sport en recreatie;2017;;;
669;R Cultuur, sport en recreatie;2018;0.0;0.0;0.0
670;R Cultuur, sport en recreatie;2019;0.0;0.0;0.0
671;R Cultuur, sport en recreatie;2020;0.0;0.0;0.0
672;R Cultuur, sport en recreatie;2021;0.0;0.0;0.0
673;R Cultuur, sport en recreatie;2022;0.0;0.0;0.0
674;R Cultuur, sport en recreatie;2023;0.0;0.0;0.0
675;S Overige dienstverlening;1999;0.0;0.0;0.0
676;S Overige dienstverlening;2000;;;
677;S Overige dienstverlening;2001;;;
678;S Overige dienstverlening;2002;0.0;0.0;0.0
679;S Overige dienstverlening;2003;0.0;0.0;0.0
680;S Overige dienstverlening;2004;;;
681;S Overige dienstverlening;2005;0.0;0.0;0.0
682;S Overige dienstverlening;2006;0.0;0.0;0.0
683;S Overige dienstverlening;2007;0.0;0.0;0.0
684;S Overige dienstverlening;2008;0.0;0.0;0.0
685;S Overige dienstverlening;2009;0.0;0.0;0.0
686;S Overige dienstverlening;2010;0.0;0.0;0.0
687;S Overige dienstverlening;2011;0.0;0.0;0.0
688;S Overige dienstverlening;2012;0.0;0.0;0.0
689;S Overige dienstverlening;2013;0.0;0.0;0.0
690;S Overige dienstverlening;2014;0.0;0.0;0.0
691;S Overige dienstverlening;2015;0.0;0.0;0.0
692;S Overige dienstverlening;2016;0.0;0.0;0.0
693;S Overige dienstverlening;2017;0.0;0.0;0.0
694;S Overige dienstverlening;2018;0.0;0.0;0.0
695;S Overige dienstverlening;2019;0.0;0.0;0.0
696;S Overige dienstverlening;2020;0.0;0.0;0.0
697;S Overige dienstverlening;2021;0.0;0.0;0.0
698;S Overige dienstverlening;2022;0.0;0.0;0.0
699;S Overige dienstverlening;2023;;;
700;T Huishoudens;1999;;;
701;T Huishoudens;2000;;;
702;T Huishoudens;2001;;;
703;T Huishoudens;2002;;;
704;T Huishoudens;2003;;;
705;T Huishoudens;2004;;;
706;T Huishoudens;2005;;;
707;T Huishoudens;2006;;;
708;T Huishoudens;2007;;;
709;T Huishoudens;2008;;;
710;T Huishoudens;2009;;;
711;T Huishoudens;2010;;;
712;T Huishoudens;2011;;;
713;T Huishoudens;2012;0.0;0.0;0.0
714;T Huishoudens;2013;0.0;0.0;0.0
715;T Huishoudens;2014;0.0;0.0;0.0
716;T Huishoudens;2015;0.0;0.0;0.0
717;T Huishoudens;2016;0.0;0.0;0.0
718;T Huishoudens;2017;0.0;0.0;0.0
719;T Huishoudens;2018;0.0;0.0;0.0
720;T Huishoudens;2019;0.0;0.0;0.0
721;T Huishoudens;2020;0.0;0.0;0.0
722;T Huishoudens;2021;0.0;0.0;0.0
723;T Huishoudens;2022;0.0;0.0;0.0
724;T Huishoudens;2023;0.0;0.0;0.0
725;U Extraterritoriale organisaties;1999;;;
726;U Extraterritoriale organisaties;2000;;;
727;U Extraterritoriale organisaties;2001;;;
728;U Extraterritoriale organisaties;2002;;;
729;U Extraterritoriale organisaties;2003;;;
730;U Extraterritoriale organisaties;2004;;;
731;U Extraterritoriale organisaties;2005;;;
732;U Extraterritoriale organisaties;2006;;;
733;U Extraterritoriale organisaties;2007;;;
734;U Extraterritoriale organisaties;2008;;;
735;U Extraterritoriale organisaties;2009;;;
736;U Extraterritoriale organisaties;2010;;;
737;U Extraterritoriale organisaties;2011;;;
738;U Extraterritoriale organisaties;2012;0.0;0.0;0.0
739;U Extraterritoriale organisaties;2013;0.0;0.0;0.0
740;U Extraterritoriale organisaties;2014;0.0;0.0;0.0
741;U Extraterritoriale organisaties;2015;0.0;0.0;0.0
742;U Extraterritoriale organisaties;2016;0.0;0.0;0.0
743;U Extraterritoriale organisaties;2017;0.0;0.0;0.0
744;U Extraterritoriale organisaties;2018;0.0;0.0;0.0
745;U Extraterritoriale organisaties;2019;0.0;0.0;0.0
746;U Extraterritoriale organisaties;2020;0.0;0.0;0.0
747;U Extraterritoriale organisaties;2021;0.0;0.0;0.0
748;U Extraterritoriale organisaties;2022;0.0;0.0;0.0
749;U Extraterritoriale organisaties;2023;0.0;0.0;0.0
750;SBI onbekend;1999;11.0;0.9;1.5
751;SBI onbekend;2000;8.0;2.8;5.0
752;SBI onbekend;2001;3.0;16.6;6.0
753;SBI onbekend;2002;3.0;1.1;1.1
754;SBI onbekend;2003;4.0;5.4;3.6
755;SBI onbekend;2004;3.0;50.5;95.3
756;SBI onbekend;2005;7.0;19.9;17.1
757;SBI onbekend;2006;6.0;1.4;3.2
758;SBI onbekend;2007;3.0;1.0;0.9
759;SBI onbekend;2008;2.0;19.5;11.6
760;SBI onbekend;2009;5.0;0.9;0.5
761;SBI onbekend;2010;1.0;1.3;0.7
762;SBI onbekend;2011;2.0;2.3;3.3
763;SBI onbekend;2012;5.0;146.1;7.3
764;SBI onbekend;2013;8.0;6.7;1.6
765;SBI onbekend;2014;4.0;4.8;3.8
766;SBI onbekend;2015;6.0;4.5;15.3
767;SBI onbekend;2016;9.0;6.4;4.3
768;SBI onbekend;2017;7.0;294.1;144.7
769;SBI onbekend;2018;8.0;149.8;31.5
770;SBI onbekend;2019;3.0;27.9;20.4
771;SBI onbekend;2020;3.0;208.9;105.0
772;SBI onbekend;2021;5.0;0.4;0.4
773;SBI onbekend;2022;5.0;6.3;0.4
774;SBI onbekend;2023;8.0;19.4;5.8
