ID;BedrijfstakkenBranchesSBI2008;Perioden;IndexcijfersOmzet_1;OmzetontwikkelingTOVEenJaarEerder_2;Indexcijfers_3;OntwikkelingTOVEenPeriodeEerder_4
182;58-60 Uitgeverijen, film,radio en t.v.;2022 3e kwartaal;97.8;-2.8;99.5;-0.4
183;58-60 Uitgeverijen, film,radio en t.v.;2022 4e kwartaal;108.7;0.2;98.9;-0.5
184;58-60 Uitgeverijen, film,radio en t.v.;2022;98.9;1.9;99.2;2.2
185;58-60 Uitgeverijen, film,radio en t.v.;2023 1e kwartaal;97.2;8.9;104.7;5.9
186;58-60 Uitgeverijen, film,radio en t.v.;2023 2e kwartaal;104.8;5.0;104.4;-0.3
187;58-60 Uitgeverijen, film,radio en t.v.;2023 3e kwartaal;105.0;7.4;107.1;2.5
188;58-60 Uitgeverijen, film,radio en t.v.;2023 4e kwartaal;115.9;6.6;106.9;-0.2
189;58-60 Uitgeverijen, film,radio en t.v.;2023;105.7;6.9;105.8;6.6
190;58 Uitgeverijen;2005 1e kwartaal;108.4;;;
191;58 Uitgeverijen;2005 2e kwartaal;122.3;;;
192;58 Uitgeverijen;2005 3e kwartaal;118.6;;;
193;58 Uitgeverijen;2005 4e kwartaal;133.9;;;
194;58 Uitgeverijen;2005;120.8;;;
195;58 Uitgeverijen;2006 1e kwartaal;113.8;5.0;;
196;58 Uitgeverijen;2006 2e kwartaal;126.3;3.2;;
197;58 Uitgeverijen;2006 3e kwartaal;121.6;2.6;;
198;58 Uitgeverijen;2006 4e kwartaal;142.6;6.5;;
199;58 Uitgeverijen;2006;126.1;4.4;;
200;58 Uitgeverijen;2007 1e kwartaal;123.0;8.1;;
201;58 Uitgeverijen;2007 2e kwartaal;137.2;8.7;;
202;58 Uitgeverijen;2007 3e kwartaal;128.4;5.5;;
203;58 Uitgeverijen;2007 4e kwartaal;149.5;4.9;;
204;58 Uitgeverijen;2007;134.5;6.7;;
205;58 Uitgeverijen;2008 1e kwartaal;125.0;1.6;;
206;58 Uitgeverijen;2008 2e kwartaal;141.5;3.2;;
207;58 Uitgeverijen;2008 3e kwartaal;132.1;2.9;;
208;58 Uitgeverijen;2008 4e kwartaal;149.3;-0.2;;
209;58 Uitgeverijen;2008;137.0;1.8;;
210;58 Uitgeverijen;2009 1e kwartaal;116.8;-6.5;;
211;58 Uitgeverijen;2009 2e kwartaal;133.6;-5.6;;
212;58 Uitgeverijen;2009 3e kwartaal;122.7;-7.1;;
213;58 Uitgeverijen;2009 4e kwartaal;141.1;-5.5;;
214;58 Uitgeverijen;2009;128.6;-6.1;;
215;58 Uitgeverijen;2010 1e kwartaal;116.7;-0.1;;
216;58 Uitgeverijen;2010 2e kwartaal;127.1;-4.9;;
217;58 Uitgeverijen;2010 3e kwartaal;119.6;-2.5;;
218;58 Uitgeverijen;2010 4e kwartaal;140.8;-0.2;;
219;58 Uitgeverijen;2010;126.1;-1.9;;
220;58 Uitgeverijen;2011 1e kwartaal;111.3;-4.7;;
221;58 Uitgeverijen;2011 2e kwartaal;123.8;-2.7;;
222;58 Uitgeverijen;2011 3e kwartaal;115.1;-3.8;;
223;58 Uitgeverijen;2011 4e kwartaal;129.7;-7.9;;
224;58 Uitgeverijen;2011;120.0;-4.8;;
225;58 Uitgeverijen;2012 1e kwartaal;109.2;-1.9;;
226;58 Uitgeverijen;2012 2e kwartaal;119.4;-3.5;;
227;58 Uitgeverijen;2012 3e kwartaal;111.5;-3.2;;
228;58 Uitgeverijen;2012 4e kwartaal;120.4;-7.2;;
