ID;RegioS;Kiesgerechtigden_1;Opkomstpercentage_2;TotaalStemmen_3;GeldigeStemmen_4;OngeldigeStemmen_5;CDA_6;CD_7;EP_8;D66_9;EVPN_10;GL_11;LijstSala_12;PvdA_13;SP_14;SGPGPVRPF_15;VVD_16;CDA_17;CD_18;EP_19;D66_20;EVPN_21;GL_22;LijstSala_23;PvdA_24;SP_25;SGPGPVRPF_26;VVD_27;Gemeente_28;Landsdeel_29;Provincie_30;COROPGebied_31;Kamerkieskring_32
131;Eibergen;12576;38.1;4786;4771;15;2327;16;18;134;7;379;2;1022;194;59;613;48.8;0.3;0.4;2.8;0.1;7.9;0.0;21.4;4.1;1.2;12.8;0229;2;25;14;07
132;Eijsden;9216;30.0;2763;2755;8;1462;6;7;119;28;258;10;419;79;7;360;53.1;0.2;0.3;4.3;1.0;9.4;0.4;15.2;2.9;0.3;13.1;0905;4;31;39;19
133;Eindhoven;154327;27.1;41885;41702;183;11294;234;292;2727;183;6325;80;8205;3393;849;8120;27.1;0.6;0.7;6.5;0.4;15.2;0.2;19.7;8.1;2.0;19.5;0772;4;30;36;18
134;Elburg;15950;38.4;6123;6116;7;1508;8;21;88;12;267;4;539;83;2767;819;24.7;0.1;0.3;1.4;0.2;4.4;0.1;8.8;1.4;45.2;13.4;0230;2;25;13;07
135;Elst;12666;27.5;3489;3480;9;1080;11;25;320;6;429;1;694;144;91;679;31.0;0.3;0.7;9.2;0.2;12.3;0.0;19.9;4.1;2.6;19.5;0231;2;25;15;07
136;Emmen;81931;26.3;21570;21523;47;6935;75;134;993;43;1754;40;6519;1154;991;2885;32.2;0.3;0.6;4.6;0.2;8.1;0.2;30.3;5.4;4.6;13.4;0114;1;22;08;03
137;Enkhuizen;12606;26.4;3325;3301;24;672;13;23;177;14;459;6;818;248;299;572;20.4;0.4;0.7;5.4;0.4;13.9;0.2;24.8;7.5;9.1;17.3;0388;3;27;18;11
138;Enschede;112335;25.6;28805;28571;234;6254;134;130;1571;67;3673;50;7780;1441;2202;5269;21.9;0.5;0.5;5.5;0.2;12.9;0.2;27.2;5.0;7.7;18.4;0153;2;23;12;04
139;Epe;25882;36.2;9378;9356;22;2325;56;38;427;23;673;16;2109;199;1290;2200;24.9;0.6;0.4;4.6;0.2;7.2;0.2;22.5;2.1;13.8;23.5;0232;2;25;13;07
140;Ermelo;19824;40.3;7987;7973;14;2513;22;44;242;20;752;14;616;258;2054;1438;31.5;0.3;0.6;3.0;0.3;9.4;0.2;7.7;3.2;25.8;18.0;0233;2;25;13;07
141;Etten-Leur;27325;24.4;6659;6640;19;2128;37;75;391;28;736;8;1445;254;117;1421;32.0;0.6;1.1;5.9;0.4;11.1;0.1;21.8;3.8;1.8;21.4;0777;4;30;33;17
142;Ferwerderadiel;6573;35.7;2344;2337;7;1215;5;14;37;4;135;1;358;91;214;263;52.0;0.2;0.6;1.6;0.2;5.8;0.0;15.3;3.9;9.2;11.3;1722;1;21;04;02
143;Franekeradeel;15285;33.9;5174;5149;25;2029;8;30;127;13;416;6;1297;223;261;739;39.4;0.2;0.6;2.5;0.3;8.1;0.1;25.2;4.3;5.1;14.4;0070;1;21;04;02
144;Gaasterlân-Sleat;7500;39.9;2994;2990;4;1427;5;14;79;10;262;2;412;95;249;435;47.7;0.2;0.5;2.6;0.3;8.8;0.1;13.8;3.2;8.3;14.5;0653;1;21;05;02
145;Geertruidenberg;16316;22.8;3720;3712;8;1405;17;29;179;8;312;14;756;136;67;789;37.9;0.5;0.8;4.8;0.2;8.4;0.4;20.4;3.7;1.8;21.3;0779;4;30;33;17
146;Geldermalsen;17990;34.5;6203;6163;40;1384;45;35;295;8;527;13;1221;178;1006;1451;22.5;0.7;0.6;4.8;0.1;8.6;0.2;19.8;2.9;16.3;23.5;0236;2;25;16;06
147;Geldrop;21074;27.6;5825;5800;25;1935;41;60;405;31;752;11;994;346;112;1113;33.4;0.7;1.0;7.0;0.5;13.0;0.2;17.1;6.0;1.9;19.2;0781;4;30;36;18
148;Geleen;26262;26.6;6984;6955;29;2952;44;26;219;31;1371;11;1083;298;39;881;42.4;0.6;0.4;3.1;0.4;19.7;0.2;15.6;4.3;0.6;12.7;0906;4;31;39;19
149;Gemert-Bakel;20515;25.7;5272;5252;20;2380;33;35;163;12;541;10;786;368;24;900;45.3;0.6;0.7;3.1;0.2;10.3;0.2;15.0;7.0;0.5;17.1;1652;4;30;36;18
150;Gendringen;15670;28.4;4456;4439;17;2423;32;19;126;19;307;7;787;113;40;566;54.6;0.7;0.4;2.8;0.4;6.9;0.2;17.7;2.5;0.9;12.8;0237;2;25;14;07
151;Gendt;5579;24.0;1341;1331;10;590;5;12;64;3;83;1;333;34;3;203;44.3;0.4;0.9;4.8;0.2;6.2;0.1;25.0;2.6;0.2;15.3;0238;2;25;15;07
152;Genemuiden;6012;40.4;2428;2422;6;439;5;3;18;0;37;2;217;17;1532;152;18.1;0.2;0.1;0.7;0.0;1.5;0.1;9.0;0.7;63.3;6.3;0154;2;23;10;04
153;Gennep;12789;25.6;3277;3266;11;1476;12;14;203;13;292;2;579;179;18;478;45.2;0.4;0.4;6.2;0.4;8.9;0.1;17.7;5.5;0.6;14.6;0907;4;31;37;19
154;Giessenlanden;10617;43.1;4572;4560;12;1172;20;21;134;9;242;6;818;84;1074;980;25.7;0.4;0.5;2.9;0.2;5.3;0.1;17.9;1.8;23.6;21.5;0689;3;28;30;14
155;Gilze en Rijen;17987;27.3;4910;4897;13;1800;42;40;257;21;431;17;999;340;32;918;36.8;0.9;0.8;5.2;0.4;8.8;0.3;20.4;6.9;0.7;18.7;0784;4;30;34;17
156;Goedereede;8542;46.0;3926;3914;12;1123;12;6;66;9;81;5;382;61;1749;420;28.7;0.3;0.2;1.7;0.2;2.1;0.1;9.8;1.6;44.7;10.7;0511;3;28;29;14
157;Goes;27355;29.2;7977;7955;22;1786;44;35;511;56;866;10;1349;314;1704;1280;22.5;0.6;0.4;6.4;0.7;10.9;0.1;17.0;3.9;21.4;16.1;0664;3;29;32;16
158;Goirle;16861;26.9;4541;4532;9;1430;10;34;269;2;629;3;841;378;30;906;31.6;0.2;0.8;5.9;0.0;13.9;0.1;18.6;8.3;0.7;20.0;0785;4;30;34;17
159;Goor;9543;32.9;3140;3127;13;871;11;12;141;5;242;7;932;186;85;635;27.9;0.4;0.4;4.5;0.2;7.7;0.2;29.8;5.9;2.7;20.3;0156;2;23;12;04
160;Gorinchem;24164;26.8;6485;6460;25;1135;35;30;377;13;749;13;1539;282;829;1458;17.6;0.5;0.5;5.8;0.2;11.6;0.2;23.8;4.4;12.8;22.6;0512;3;28;30;14
161;Gorssel;10620;40.5;4300;4280;20;1176;10;11;240;8;452;9;842;100;94;1338;27.5;0.2;0.3;5.6;0.2;10.6;0.2;19.7;2.3;2.2;31.3;0239;2;25;14;07
162;Gouda;51685;32.3;16704;16597;107;2726;101;136;1135;51;2422;20;3448;939;2531;3088;16.4;0.6;0.8;6.8;0.3;14.6;0.1;20.8;5.7;15.2;18.6;0513;3;28;28;15
163;Graafstroom;6714;51.2;3437;3426;11;1031;14;9;51;3;124;1;329;41;1432;391;30.1;0.4;0.3;1.5;0.1;3.6;0.0;9.6;1.2;41.8;11.4;0693;3;28;30;14
164;Graft-De Rijp;4780;31.8;1521;1517;4;337;13;5;71;5;174;5;363;60;11;473;22.2;0.9;0.3;4.7;0.3;11.5;0.3;23.9;4.0;0.7;31.2;0365;3;27;23;11
165;Gramsbergen;4909;40.2;1975;1970;5;942;1;5;31;3;78;1;473;43;196;197;47.8;0.1;0.3;1.6;0.2;4.0;0.1;24.0;2.2;9.9;10.0;0157;2;23;10;04
166;Grave;9574;27.9;2670;2662;8;961;8;24;130;10;281;1;488;196;27;536;36.1;0.3;0.9;4.9;0.4;10.6;0.0;18.3;7.4;1.0;20.1;0786;4;30;35;18
167;'s-Graveland;7211;33.9;2448;2426;22;545;13;20;177;11;350;18;416;99;115;662;22.5;0.5;0.8;7.3;0.5;14.4;0.7;17.1;4.1;4.7;27.3;0390;3;27;24;10
168;'s-Gravendeel;6775;31.8;2156;2150;6;530;7;5;84;10;135;3;496;75;464;341;24.7;0.3;0.2;3.9;0.5;6.3;0.1;23.1;3.5;21.6;15.9;0517;3;28;30;14
169;'s-Gravenhage;335120;27.0;90619;89565;1054;14642;592;662;10564;421;11981;195;17814;3983;3452;25259;16.3;0.7;0.7;11.8;0.5;13.4;0.2;19.9;4.4;3.9;28.2;0518;3;28;26;12
170;'s-Gravenhage: Briefstemmers;14501;80.6;11688;11354;334;1574;83;114;1048;72;1376;12;1756;201;349;4769;13.9;0.7;1.0;9.2;0.6;12.1;0.1;15.5;1.8;3.1;42.0;0998;3;28;26;12
171;'s-Gravenzande;14080;29.9;4207;4170;37;1644;15;25;129;14;189;6;442;56;559;1091;39.4;0.4;0.6;3.1;0.3;4.5;0.1;10.6;1.3;13.4;26.2;0519;3;28;27;14
172;Groenlo;7026;30.5;2145;2140;5;1157;5;13;52;5;129;0;392;56;8;323;54.1;0.2;0.6;2.4;0.2;6.0;0.0;18.3;2.6;0.4;15.1;0240;2;25;14;07
173;Groesbeek;15003;29.5;4426;4407;19;1613;19;24;172;11;647;5;1047;235;37;597;36.6;0.4;0.5;3.9;0.2;14.7;0.1;23.8;5.3;0.8;13.5;0241;2;25;15;06
174;Groningen;140751;32.9;46262;45989;273;5969;108;583;3446;66;9489;58;12341;3693;3568;6668;13.0;0.2;1.3;7.5;0.1;20.6;0.1;26.8;8.0;7.8;14.5;0014;1;20;03;01
175;Grootegast;8676;36.0;3123;3115;8;1509;10;20;76;4;152;7;368;70;616;283;48.4;0.3;0.6;2.4;0.1;4.9;0.2;11.8;2.2;19.8;9.1;0015;1;20;03;01
176;Grubbenvorst;5126;26.6;1364;1361;3;740;5;6;58;2;94;3;150;39;5;259;54.4;0.4;0.4;4.3;0.1;6.9;0.2;11.0;2.9;0.4;19.0;0912;4;31;37;19
177;Gulpen-Wittem;11940;35.1;4193;4182;11;2339;29;16;125;28;429;1;574;182;26;433;55.9;0.7;0.4;3.0;0.7;10.3;0.0;13.7;4.4;0.6;10.4;1729;4;31;39;19
178;Haaksbergen;18162;34.5;6273;6254;19;3496;19;30;192;12;359;3;982;185;60;916;55.9;0.3;0.5;3.1;0.2;5.7;0.0;15.7;3.0;1.0;14.6;0158;2;23;12;04
179;Haaren;10472;29.5;3093;3082;11;1436;9;18;151;2;307;6;423;115;19;596;46.6;0.3;0.6;4.9;0.1;10.0;0.2;13.7;3.7;0.6;19.3;0788;4;30;35;18
180;Haarlem;114906;27.1;31188;31038;150;5237;99;249;2261;156;5818;93;8017;1530;1017;6561;16.9;0.3;0.8;7.3;0.5;18.7;0.3;25.8;4.9;3.3;21.1;0392;3;27;21;10
181;Haarlemmerliede c.a.;3911;31.4;1229;1227;2;341;10;16;80;4;199;4;228;38;30;277;27.8;0.8;1.3;6.5;0.3;16.2;0.3;18.6;3.1;2.4;22.6;0393;3;27;21;10
182;Haarlemmermeer;81077;25.9;20964;20880;84;4553;79;171;1275;115;2513;94;3751;577;1397;6355;21.8;0.4;0.8;6.1;0.6;12.0;0.5;18.0;2.8;6.7;30.4;0394;3;27;23;10
183;Haelen;7617;30.7;2340;2319;21;1250;13;10;87;18;198;9;278;91;25;340;53.9;0.6;0.4;3.8;0.8;8.5;0.4;12.0;3.9;1.1;14.7;0914;4;31;38;19
184;Halderberge;22600;24.7;5577;5563;14;2113;52;56;370;28;447;8;982;190;58;1259;38.0;0.9;1.0;6.7;0.5;8.0;0.1;17.7;3.4;1.0;22.6;1655;4;30;33;17
185;Den Ham;11228;34.1;3825;3818;7;1983;10;11;50;4;140;2;474;68;803;273;51.9;0.3;0.3;1.3;0.1;3.7;0.1;12.4;1.8;21.0;7.2;0159;2;23;12;04
186;Hardenberg;25518;44.7;11418;11391;27;4505;37;34;187;13;458;8;1661;248;3233;1007;39.5;0.3;0.3;1.6;0.1;4.0;0.1;14.6;2.2;28.4;8.8;0160;2;23;10;04
187;Harderwijk;28762;33.1;9520;9508;12;2932;37;123;390;14;815;6;1227;316;2028;1620;30.8;0.4;1.3;4.1;0.1;8.6;0.1;12.9;3.3;21.3;17.0;0243;2;25;13;07
188;Hardinxveld-Giessendam;12980;39.7;5152;5144;8;850;17;10;75;6;144;0;662;76;2894;410;16.5;0.3;0.2;1.5;0.1;2.8;0.0;12.9;1.5;56.3;8.0;0523;3;28;30;14
189;Haren;14493;46.9;6790;6768;22;1384;18;62;527;14;868;4;1218;138;586;1949;20.4;0.3;0.9;7.8;0.2;12.8;0.1;18.0;2.0;8.7;28.8;0017;1;20;03;01
190;Harenkarspel;10970;26.3;2883;2861;22;890;9;32;169;4;330;11;525;104;55;732;31.1;0.3;1.1;5.9;0.1;11.5;0.4;18.4;3.6;1.9;25.6;0395;3;27;18;11
191;Harlingen;11571;31.7;3670;3645;25;923;9;22;165;8;384;9;1051;193;263;618;25.3;0.2;0.6;4.5;0.2;10.5;0.2;28.8;5.3;7.2;17.0;0072;1;21;04;02
192;Harmelen;5996;29.3;1754;1748;6;597;5;18;101;8;172;3;257;53;131;403;34.2;0.3;1.0;5.8;0.5;9.8;0.2;14.7;3.0;7.5;23.1;0318;3;26;17;08
193;Hasselt;5326;44.4;2363;2358;5;527;0;5;41;1;106;0;354;38;1047;239;22.3;0.0;0.2;1.7;0.0;4.5;0.0;15.0;1.6;44.4;10.1;0161;2;23;10;04
194;Hattem;8864;41.9;3711;3706;5;961;4;13;144;1;179;6;702;73;1061;562;25.9;0.1;0.4;3.9;0.0;4.8;0.2;18.9;2.0;28.6;15.2;0244;2;25;13;07
195;Heel;6424;27.3;1751;1740;11;966;4;7;83;3;110;1;210;46;3;307;55.5;0.2;0.4;4.8;0.2;6.3;0.1;12.1;2.6;0.2;17.6;1937;4;31;38;19
196;Heemskerk;26549;25.5;6761;6751;10;1760;32;52;410;47;981;43;1711;293;187;1235;26.1;0.5;0.8;6.1;0.7;14.5;0.6;25.3;4.3;2.8;18.3;0396;3;27;20;10
197;Heemstede;19854;41.9;8320;8295;25;1713;20;50;649;28;1090;21;1160;206;194;3164;20.7;0.2;0.6;7.8;0.3;13.1;0.3;14.0;2.5;2.3;38.1;0397;3;27;21;10
198;Heerde;13903;41.6;5781;5758;23;1800;29;23;144;9;267;8;1174;96;1372;836;31.3;0.5;0.4;2.5;0.2;4.6;0.1;20.4;1.7;23.8;14.5;0246;2;25;13;07
199;Heerenveen;31187;33.4;10406;10359;47;2355;39;116;475;14;1142;16;3265;452;499;1986;22.7;0.4;1.1;4.6;0.1;11.0;0.2;31.5;4.4;4.8;19.2;0074;1;21;06;02
200;Heerhugowaard;32036;23.8;7622;7604;18;1783;29;104;511;33;979;23;1748;356;220;1818;23.4;0.4;1.4;6.7;0.4;12.9;0.3;23.0;4.7;2.9;23.9;0398;3;27;19;11
201;Heerjansdam;2724;30.5;830;827;3;202;6;4;57;6;85;2;169;25;69;202;24.4;0.7;0.5;6.9;0.7;10.3;0.2;20.4;3.0;8.3;24.4;0526;3;28;29;14
202;Heerlen;73121;23.6;17267;17219;48;5897;140;76;681;115;1722;38;2860;3701;210;1779;34.2;0.8;0.4;4.0;0.7;10.0;0.2;16.6;21.5;1.2;10.3;0917;4;31;39;19
203;Heeze-Leende;11741;34.1;4000;3976;24;1688;9;21;240;17;373;6;543;116;22;941;42.5;0.2;0.5;6.0;0.4;9.4;0.2;13.7;2.9;0.6;23.7;1658;4;30;36;18
204;Heiloo;16960;34.7;5889;5881;8;1360;18;33;435;27;764;9;1192;186;105;1752;23.1;0.3;0.6;7.4;0.5;13.0;0.2;20.3;3.2;1.8;29.8;0399;3;27;19;11
205;Heino;5856;41.1;2409;2401;8;1088;5;12;94;12;226;0;370;54;197;343;45.3;0.2;0.5;3.9;0.5;9.4;0.0;15.4;2.2;8.2;14.3;0162;2;23;10;04
206;Helden;14318;28.2;4038;4020;18;2426;30;15;112;7;279;0;429;151;22;549;60.3;0.7;0.4;2.8;0.2;6.9;0.0;10.7;3.8;0.5;13.7;0918;4;31;37;19
207;Den Helder;45510;21.3;9677;9649;28;1909;70;82;488;115;895;37;2211;422;769;2651;19.8;0.7;0.8;5.1;1.2;9.3;0.4;22.9;4.4;8.0;27.5;0400;3;27;18;11
208;Hellendoorn;27218;35.4;9626;9605;21;5092;21;40;239;32;533;17;1364;284;969;1014;53.0;0.2;0.4;2.5;0.3;5.5;0.2;14.2;3.0;10.1;10.6;0163;2;23;12;04
209;Hellevoetsluis;27999;21.1;5916;5893;23;784;47;56;387;51;769;14;1527;372;240;1646;13.3;0.8;1.0;6.6;0.9;13.0;0.2;25.9;6.3;4.1;27.9;0530;3;28;29;14
210;Helmond;58448;24.0;14003;13950;53;3810;131;67;637;42;1424;28;2807;1590;168;3246;27.3;0.9;0.5;4.6;0.3;10.2;0.2;20.1;11.4;1.2;23.3;0794;4;30;36;18
211;Hendrik-Ido-Ambacht;15387;33.7;5186;5166;20;1055;18;24;202;15;298;7;813;123;1666;945;20.4;0.3;0.5;3.9;0.3;5.8;0.1;15.7;2.4;32.2;18.3;0531;3;28;30;14
212;Hengelo;6525;31.7;2066;2061;5;945;19;18;77;4;111;1;408;29;46;403;45.9;0.9;0.9;3.7;0.2;5.4;0.0;19.8;1.4;2.2;19.6;0248;2;25;14;07
213;Hengelo;60094;30.3;18183;18116;67;5293;61;79;965;58;2453;47;4028;1741;821;2570;29.2;0.3;0.4;5.3;0.3;13.5;0.3;22.2;9.6;4.5;14.2;0164;2;23;12;04
214;'s-Hertogenbosch;97446;26.2;25542;25477;65;6867;153;184;1597;98;4055;70;5140;2113;352;4848;27.0;0.6;0.7;6.3;0.4;15.9;0.3;20.2;8.3;1.4;19.0;0796;4;30;35;18
215;Heteren;6622;31.6;2095;2088;7;759;11;6;98;2;201;4;398;45;236;328;36.4;0.5;0.3;4.7;0.1;9.6;0.2;19.1;2.2;11.3;15.7;0251;2;25;15;07
216;Heumen;11904;34.8;4148;4135;13;1440;22;23;273;7;574;3;730;187;34;842;34.8;0.5;0.6;6.6;0.2;13.9;0.1;17.7;4.5;0.8;20.4;0252;2;25;15;06
217;Heusden;31458;27.1;8518;8485;33;3129;66;82;511;27;766;15;1470;470;114;1835;36.9;0.8;1.0;6.0;0.3;9.0;0.2;17.3;5.5;1.3;21.6;0797;4;30;35;18
218;Heythuysen;9028;31.0;2795;2779;16;1727;16;16;79;7;189;13;257;92;12;371;62.1;0.6;0.6;2.8;0.3;6.8;0.5;9.2;3.3;0.4;13.4;0920;4;31;38;19
219;Hillegom;15601;29.3;4570;4556;14;1285;24;42;244;16;479;12;834;161;172;1287;28.2;0.5;0.9;5.4;0.4;10.5;0.3;18.3;3.5;3.8;28.2;0534;3;28;25;15
220;Hilvarenbeek;10924;30.6;3348;3334;14;1518;15;32;142;9;333;0;544;146;16;579;45.5;0.4;1.0;4.3;0.3;10.0;0.0;16.3;4.4;0.5;17.4;0798;4;30;34;17
221;Hilversum;63913;31.2;19919;19854;65;3611;119;149;1496;92;3051;103;4157;875;1242;4959;18.2;0.6;0.8;7.5;0.5;15.4;0.5;20.9;4.4;6.3;25.0;0402;3;27;24;10
222;Hoevelaken;6273;37.7;2364;2358;6;449;3;19;141;4;215;6;334;61;567;559;19.0;0.1;0.8;6.0;0.2;9.1;0.3;14.2;2.6;24.0;23.7;0253;2;25;13;07
223;Holten;6937;39.9;2771;2763;8;983;5;17;110;6;149;5;588;54;104;742;35.6;0.2;0.6;4.0;0.2;5.4;0.2;21.3;2.0;3.8;26.9;0165;2;23;11;04
224;Hontenisse;6077;26.7;1622;1615;7;611;8;5;283;114;102;4;224;52;18;194;37.8;0.5;0.3;17.5;7.1;6.3;0.2;13.9;3.2;1.1;12.0;0675;3;29;31;16
225;Hoogeveen;41000;32.3;13247;13247;0;5096;40;66;399;24;862;23;2736;393;1981;1627;38.5;0.3;0.5;3.0;0.2;6.5;0.2;20.7;3.0;15.0;12.3;0118;1;22;09;03
226;Hoogezand-Sappemeer;25259;27.0;6825;6801;24;1175;23;84;318;16;687;16;2320;425;474;1263;17.3;0.3;1.2;4.7;0.2;10.1;0.2;34.1;6.2;7.0;18.6;0018;1;20;03;01
227;Hoorn;47379;24.6;11643;11574;69;2051;40;107;807;56;1823;53;3122;703;272;2540;17.7;0.3;0.9;7.0;0.5;15.8;0.5;27.0;6.1;2.4;21.9;0405;3;27;18;11
228;Horst;14577;27.0;3943;3932;11;2277;13;13;119;7;246;3;459;369;25;401;57.9;0.3;0.3;3.0;0.2;6.3;0.1;11.7;9.4;0.6;10.2;0923;4;31;37;19
229;Houten;22466;35.8;8053;8034;19;1803;16;39;557;23;1278;6;1376;348;998;1590;22.4;0.2;0.5;6.9;0.3;15.9;0.1;17.1;4.3;12.4;19.8;0321;3;26;17;08
230;Huissen;11932;29.2;3489;3470;19;1200;7;25;250;13;399;6;712;132;52;674;34.6;0.2;0.7;7.2;0.4;11.5;0.2;20.5;3.8;1.5;19.4;0255;2;25;15;07
231;Huizen;30451;33.1;10092;10055;37;1832;35;73;683;37;1118;45;1583;257;1742;2650;18.2;0.3;0.7;6.8;0.4;11.1;0.4;15.7;2.6;17.3;26.4;0406;3;27;24;10
232;Hulst;14133;25.3;3575;3567;8;1088;48;26;581;98;258;12;705;122;42;587;30.5;1.3;0.7;16.3;2.7;7.2;0.3;19.8;3.4;1.2;16.5;0677;3;29;31;16
233;Hummelo en Keppel;3574;44.3;1582;1575;7;427;2;5;94;4;116;1;387;71;31;437;27.1;0.1;0.3;6.0;0.3;7.4;0.1;24.6;4.5;2.0;27.7;0256;2;25;14;07
234;Hunsel;4484;31.3;1404;1395;9;913;14;7;36;6;80;0;138;34;3;164;65.4;1.0;0.5;2.6;0.4;5.7;0.0;9.9;2.4;0.2;11.8;0925;4;31;38;19
235;IJsselham;4300;41.0;1765;1754;11;661;7;14;56;6;114;5;388;59;143;301;37.7;0.4;0.8;3.2;0.3;6.5;0.3;22.1;3.4;8.2;17.2;0195;2;23;10;04
236;IJsselmuiden;10042;47.0;4720;4716;4;1542;11;11;52;6;116;2;304;38;2328;306;32.7;0.2;0.2;1.1;0.1;2.5;0.0;6.4;0.8;49.4;6.5;0191;2;23;10;04
237;IJsselstein;20205;28.6;5769;5751;18;1495;26;41;366;14;643;11;1035;294;475;1351;26.0;0.5;0.7;6.4;0.2;11.2;0.2;18.0;5.1;8.3;23.5;0353;3;26;17;08
238;Jacobswoude;8112;32.7;2650;2630;20;937;17;21;177;12;238;4;323;71;165;665;35.6;0.6;0.8;6.7;0.5;9.0;0.2;12.3;2.7;6.3;25.3;0645;3;28;28;15
239;Kampen;24217;35.3;8547;8533;14;2508;28;31;231;8;723;9;1268;304;2632;791;29.4;0.3;0.4;2.7;0.1;8.5;0.1;14.9;3.6;30.8;9.3;0166;2;23;10;04
240;Kapelle;8226;36.1;2972;2960;12;753;14;9;201;19;193;5;409;95;773;489;25.4;0.5;0.3;6.8;0.6;6.5;0.2;13.8;3.2;26.1;16.5;0678;3;29;32;16
241;Katwijk;29564;29.8;8800;8777;23;2197;35;37;173;15;488;14;805;300;3660;1053;25.0;0.4;0.4;2.0;0.2;5.6;0.2;9.2;3.4;41.7;12.0;0537;3;28;25;15
242;Kerkrade;36894;22.0;8110;8080;30;3394;110;43;236;67;757;26;1839;900;66;642;42.0;1.4;0.5;2.9;0.8;9.4;0.3;22.8;11.1;0.8;7.9;0928;4;31;39;19
243;Kessel;3209;33.8;1086;1070;16;621;2;6;24;5;43;1;139;29;4;196;58.0;0.2;0.6;2.2;0.5;4.0;0.1;13.0;2.7;0.4;18.3;0929;4;31;37;19
244;Kesteren;7139;32.0;2282;2282;0;323;11;7;70;4;98;2;385;44;1073;265;14.2;0.5;0.3;3.1;0.2;4.3;0.1;16.9;1.9;47.0;11.6;0258;2;25;16;06
245;Kollumerland c.a.;9656;35.0;3379;3370;9;1835;14;25;47;4;186;3;493;109;344;310;54.5;0.4;0.7;1.4;0.1;5.5;0.1;14.6;3.2;10.2;9.2;0079;1;21;04;02
246;Korendijk;7920;34.4;2728;2723;5;478;19;25;101;15;188;4;423;68;913;489;17.6;0.7;0.9;3.7;0.6;6.9;0.1;15.5;2.5;33.5;18.0;0588;3;28;29;14
247;Krimpen aan den IJssel;21626;34.5;7469;7451;18;1055;37;23;356;24;481;6;1440;172;2410;1447;14.2;0.5;0.3;4.8;0.3;6.5;0.1;19.3;2.3;32.3;19.4;0542;3;28;29;15
248;Laarbeek;16234;30.5;4957;4943;14;1939;30;26;183;7;443;5;844;299;27;1140;39.2;0.6;0.5;3.7;0.1;9.0;0.1;17.1;6.0;0.5;23.1;1659;4;30;36;18
249;Landerd;10773;34.0;3658;3638;20;1779;7;28;97;7;199;2;560;350;12;597;48.9;0.2;0.8;2.7;0.2;5.5;0.1;15.4;9.6;0.3;16.4;1685;4;30;35;18
250;Landgraaf;31172;22.7;7062;7038;24;2970;73;32;265;26;686;24;1308;859;36;759;42.2;1.0;0.5;3.8;0.4;9.7;0.3;18.6;12.2;0.5;10.8;0882;4;31;39;19
251;Landsmeer;7920;28.5;2261;2250;11;289;7;21;155;11;339;28;722;96;42;540;12.8;0.3;0.9;6.9;0.5;15.1;1.2;32.1;4.3;1.9;24.0;0415;3;27;23;11
252;Langedijk;17352;29.4;5096;5081;15;1160;17;29;273;7;602;19;979;248;287;1460;22.8;0.3;0.6;5.4;0.1;11.8;0.4;19.3;4.9;5.6;28.7;0416;3;27;19;11
253;Laren;8959;37.5;3358;3347;11;662;13;18;258;15;323;18;459;90;63;1428;19.8;0.4;0.5;7.7;0.4;9.7;0.5;13.7;2.7;1.9;42.7;0417;3;27;24;10
254;Leek;14017;37.8;5297;5285;12;1363;11;53;229;8;545;10;1280;143;822;821;25.8;0.2;1.0;4.3;0.2;10.3;0.2;24.2;2.7;15.6;15.5;0022;1;20;03;01
255;Leerdam;14997;29.7;4459;4443;16;1116;27;19;139;9;240;10;847;168;1128;740;25.1;0.6;0.4;3.1;0.2;5.4;0.2;19.1;3.8;25.4;16.7;0545;3;28;30;14
256;Leersum;5502;39.1;2149;2144;5;428;8;10;149;6;259;5;312;58;260;649;20.0;0.4;0.5;6.9;0.3;12.1;0.2;14.6;2.7;12.1;30.3;0326;3;26;17;08
257;Leeuwarden;69301;29.6;20498;20443;55;4693;47;156;1139;31;3085;18;5843;1304;1035;3092;23.0;0.2;0.8;5.6;0.2;15.1;0.1;28.6;6.4;5.1;15.1;0080;1;21;04;02
258;Leeuwarderadeel;7621;38.3;2916;2902;14;866;3;15;104;9;301;2;892;119;132;459;29.8;0.1;0.5;3.6;0.3;10.4;0.1;30.7;4.1;4.5;15.8;0081;1;21;04;02
259;Leiden;89548;32.9;29490;29200;290;3598;122;191;3028;82;6208;93;6772;2018;987;6101;12.3;0.4;0.7;10.4;0.3;21.3;0.3;23.2;6.9;3.4;20.9;0546;3;28;25;15
260;Leiderdorp;18792;32.5;6108;6091;17;1224;13;61;549;23;916;12;1154;228;298;1613;20.1;0.2;1.0;9.0;0.4;15.0;0.2;18.9;3.7;4.9;26.5;0547;3;28;25;15
261;Leidschendam;27251;31.7;8628;8602;26;2305;35;76;606;65;1019;23;1236;774;216;2247;26.8;0.4;0.9;7.0;0.8;11.8;0.3;14.4;9.0;2.5;26.1;0548;3;28;26;15
262;Lelystad;45193;26.0;11753;11701;52;1874;60;100;803;61;1648;59;3135;650;758;2553;16.0;0.5;0.9;6.9;0.5;14.1;0.5;26.8;5.6;6.5;21.8;0995;2;24;40;05
263;Lemsterland;9381;28.8;2702;2694;8;940;9;14;113;3;193;5;634;106;174;503;34.9;0.3;0.5;4.2;0.1;7.2;0.2;23.5;3.9;6.5;18.7;0082;1;21;05;02
