ID;ClassOfVehicleAge;Periods;TotalRoadVehicles_1;PassengerCar_2;TotalCommercialVehicles_3;TotalCommercialMotorVehicles_4;DeliveryVan_5;Lorry_6;RoadTractor_7;SpecialPurposeVehicle_8;Bus_9;TotalTrailersAndSemiTrailers_10;Trailer_11;SemiTrailer_12;Motorcycle_13
243;25 years or older;2013;683771;320260;186030;38905;23093;4926;990;9422;474;147125.0;141368.0;5757.0;177481
244;25 years or older;2014;700191;311638;204188;39891;22982;5243;1040;10123;503;164297.0;158146.0;6151.0;184365
245;25 years or older;2015;708713;297652;223769;40342;22389;5512;1120;10805;516;183427.0;176646.0;6781.0;187292
246;25 years or older;2016;732716;295797;245321;41590;22358;5718;1204;11800;510;203731.0;196416.0;7315.0;191598
247;25 years or older;2017;768615;300669;268929;44618;23336;5923;1300;13550;509;224311.0;216501.0;7810.0;199017
248;25 years or older;2018;810581;309509;292035;48005;24668;6135;1396;15309;497;244030.0;235559.0;8471.0;209037
249;25 years or older;2019;839431;316572;306721;50552;25917;6105;1466;16562;502;256169.0;247436.0;8733.0;216138
250;25 years or older;2020;880453;326310;326178;52010;26537;6103;1579;17283;508;274168.0;265147.0;9021.0;227965
251;25 years or older;2021;925390;343142;340830;55107;27801;6127;1687;19016;476;285723.0;276597.0;9126.0;241418
252;25 years or older;2022;982297;366891;361354;59417;30123;6288;1942;20570;494;301937.0;292230.0;9707.0;254052
