ID;Melkvee;GrootveeEenheid;RegioS;Perioden;AlleDieren_1;WeidendeDieren_2;AlleDieren_3;WeidendeDieren_4;BedrijvenZonderWeidegang_5;DierenZonderWeidegang_6;BedrijvenMetWeidegang_7;DierenMetWeidegang_8;UrenBijDagEnNachtWeiden_9;UrenBijBeperktWeiden_10;DagEnNachtWeiden_11;OverdagWeiden_12
1430;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Noord-Brabant (PV);2012;;;149.0;181.0;17.0;18.0;83.0;82.0;;;38.0;62.0
1431;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Noord-Brabant (PV);2013;1608.0;1957.0;144.0;175.0;17.0;18.0;83.0;82.0;19.0;7.0;32.0;68.0
1432;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Noord-Brabant (PV);2014;1542.0;1879.0;139.0;170.0;18.0;18.0;82.0;82.0;20.0;7.0;30.0;70.0
1433;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Noord-Brabant (PV);2015;;;136.0;170.0;19.0;20.0;81.0;80.0;;;32.0;68.0
1434;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Noord-Brabant (PV);2016;1714.0;2129.0;143.0;178.0;21.0;20.0;79.0;80.0;20.0;7.0;38.0;62.0
1435;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Noord-Brabant (PV);2017;1355.0;1926.0;114.0;162.0;33.0;30.0;67.0;70.0;20.0;8.0;35.0;65.0
1436;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Noord-Brabant (PV);2018;1265.0;1588.0;125.0;157.0;23.0;20.0;77.0;80.0;19.0;7.0;25.0;75.0
1437;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Noord-Brabant (PV);2019;1398.0;1715.0;136.0;166.0;21.0;18.0;79.0;82.0;19.0;7.0;26.0;74.0
1438;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Noord-Brabant (PV);2020;1323.0;1714.0;124.0;161.0;23.0;23.0;77.0;77.0;19.0;7.0;29.0;71.0
1439;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Noord-Brabant (PV);2021;1376.0;1663.0;133.0;160.0;23.0;17.0;77.0;83.0;18.0;7.0;27.0;73.0
1440;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Noord-Brabant (PV);2022;1491.0;1841.0;137.0;169.0;26.0;19.0;74.0;81.0;17.0;7.0;37.0;63.0
1441;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Noord-Brabant (PV);2023;1565.0;1929.0;139.0;172.0;23.0;19.0;77.0;81.0;18.0;7.0;39.0;61.0
1442;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Limburg (PV);2010;;;176.0;189.0;6.0;7.0;94.0;93.0;;;44.0;56.0
1443;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Limburg (PV);2011;;;173.0;187.0;7.0;7.0;93.0;93.0;;;49.0;51.0
1444;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Limburg (PV);2012;;;180.0;193.0;7.0;7.0;93.0;93.0;;;43.0;57.0
1445;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Limburg (PV);2013;2120.0;2305.0;175.0;190.0;9.0;8.0;91.0;92.0;19.0;8.0;35.0;65.0
1446;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Limburg (PV);2014;1901.0;2175.0;166.0;190.0;14.0;13.0;86.0;87.0;19.0;8.0;33.0;67.0
1447;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Limburg (PV);2015;;;177.0;195.0;10.0;9.0;90.0;91.0;;;42.0;58.0
1448;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Limburg (PV);2016;2342.0;2588.0;174.0;192.0;11.0;9.0;89.0;91.0;20.0;8.0;48.0;52.0
1449;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Limburg (PV);2017;1943.0;2132.0;171.0;187.0;13.0;9.0;87.0;91.0;18.0;8.0;37.0;63.0
1450;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Limburg (PV);2018;1729.0;2053.0;153.0;182.0;18.0;16.0;82.0;84.0;17.0;7.0;41.0;59.0
1451;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Limburg (PV);2019;1980.0;2170.0;168.0;184.0;13.0;9.0;87.0;91.0;17.0;8.0;46.0;54.0
1452;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Limburg (PV);2020;1678.0;1857.0;163.0;181.0;17.0;10.0;83.0;90.0;15.0;7.0;41.0;59.0
1453;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Limburg (PV);2021;1726.0;1882.0;169.0;184.0;11.0;8.0;89.0;92.0;18.0;7.0;29.0;71.0
1454;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Limburg (PV);2022;1783.0;2010.0;159.0;179.0;13.0;11.0;88.0;89.0;17.0;7.0;39.0;61.0
1455;Melk- en kalfkoeien (>= 2 jaar);0 tot 50 GVE;Limburg (PV);2023;1442.0;1714.0;153.0;182.0;24.0;16.0;76.0;84.0;19.0;7.0;18.0;82.0
1456;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Nederland;2010;;;140.0;170.0;15.0;17.0;85.0;83.0;;;26.0;74.0
1457;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Nederland;2011;;;145.0;173.0;14.0;16.0;86.0;84.0;;;29.0;71.0
1458;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Nederland;2012;;;142.0;169.0;14.0;16.0;86.0;84.0;;;29.0;71.0
1459;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Nederland;2013;1414.0;1755.0;136.0;168.0;19.0;19.0;81.0;81.0;19.0;8.0;23.0;77.0
1460;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Nederland;2014;1402.0;1765.0;137.0;172.0;20.0;21.0;80.0;79.0;19.0;8.0;22.0;78.0
1461;Melk- en kalfkoeien (>= 2 jaar);50 tot 100 GVE;Nederland;2015;;;132.0;167.0;19.0;21.0;81.0;79.0;;;22.0;78.0
