ID;SectorBranchesSIC93;Periods;JobsPersonsEmployed_1;LabourVolumePersonsEmployed_2;EmployeesOnTheCompanyPayroll_3;LabourVolumeEmployeesOnThePayroll_4;TotalBusinessReturns_5;TotalBusinessTurnoverNet_6;DomesticNetTurnover_7;ForeignNetTurnover_8;OtherBusinessReturns_9;TotalBusinessCosts_10;PurchaseValueOfTurnover_11;TotalPersonnelCosts_12;GrossWagesAndSalaries_13;EmployerPaidSocialInsurancePremiums_14;PensionAndEarlyRetirementPremiums_15;OtherSocialInsuranceCosts_16;OtherPersonnelCosts_17;TotalOtherBusinessCosts_18;EnergyCosts_19;HousingCosts_20;EquipmentAndInventoryCosts_21;TransportCosts_22;SalesCosts_23;CommunicationCosts_24;ServicesProvidedByThirdParties_25;BusinessCostsNotElsewhereClassified_26;DepreciationFixedAssets_27;ProfitLoss_28;NetFinancialIncome_29;NetProvisions_30;NetExtraordinaryIncome_31;ProfitLossBeforeTax_32
53;5153 Wholesale,wood and construction ..;2008;46.2;41.2;41.7;37.7;18748.0;18645.0;17275.0;1370.0;103.0;17748.0;14156.0;1923.0;1406.0;185.0;119.0;14.0;199.0;1454.0;55.0;283.0;67.0;200.0;208.0;58.0;304.0;278.0;215.0;1000.0;-4.0;-14.0;2.0;984.0
54;5155 Wholesale of chemical products;2006;9.5;8.7;8.9;8.1;15041.0;14937.0;6165.0;8772.0;104.0;14703.0;12878.0;542.0;393.0;46.0;45.0;7.0;51.0;1053.0;91.0;55.0;29.0;54.0;112.0;18.0;237.0;456.0;230.0;338.0;424.0;-5.0;-7.0;750.0
55;5155 Wholesale of chemical products;2007;11.5;10.4;10.5;9.6;15176.0;14955.0;5973.0;8982.0;222.0;14626.0;12716.0;636.0;466.0;52.0;47.0;8.0;64.0;1061.0;;64.0;30.0;55.0;145.0;20.0;271.0;461.0;212.0;551.0;192.0;-4.0;948.0;1686.0
56;5155 Wholesale of chemical products;2008;11.1;10.1;10.2;9.2;15324.0;15171.0;6016.0;9155.0;153.0;14990.0;13077.0;635.0;474.0;52.0;42.0;8.0;59.0;1186.0;16.0;68.0;27.0;52.0;137.0;19.0;297.0;569.0;92.0;334.0;276.0;-5.0;3.0;608.0
57;5157 Wholesale of waste and scrap;2006;7.9;6.7;5.8;5.1;5564.0;5553.0;2449.0;3105.0;11.0;5317.0;4621.0;267.0;193.0;21.0;13.0;1.0;39.0;364.0;13.0;55.0;33.0;67.0;21.0;8.0;101.0;66.0;65.0;247.0;-18.0;0.0;0.0;228.0
58;5157 Wholesale of waste and scrap;2007;7.4;6.4;5.6;4.9;6687.0;6674.0;3245.0;3428.0;14.0;6301.0;5658.0;250.0;185.0;21.0;11.0;2.0;32.0;325.0;14.0;48.0;41.0;56.0;22.0;7.0;83.0;54.0;68.0;387.0;-35.0;-3.0;3.0;351.0
59;5157 Wholesale of waste and scrap;2008;7.4;6.4;5.7;4.8;6979.0;6968.0;2508.0;4461.0;11.0;6849.0;6244.0;228.0;165.0;21.0;10.0;1.0;30.0;316.0;12.0;53.0;46.0;51.0;26.0;6.0;68.0;54.0;60.0;130.0;-25.0;-9.0;26.0;123.0
60;518 Wholesale of machinery;2006;139.3;125.2;126.7;114.7;75421.0;74855.0;39787.0;35068.0;567.0;71625.0;58347.0;6831.0;5017.0;593.0;375.0;64.0;784.0;5797.0;101.0;677.0;136.0;559.0;1246.0;247.0;906.0;1926.0;649.0;3796.0;606.0;-50.0;870.0;5230.0
61;518 Wholesale of machinery;2007;143.9;130.1;130.0;118.4;83506.0;82937.0;45343.0;37594.0;569.0;79131.0;64811.0;7203.0;5233.0;605.0;378.0;58.0;928.0;6533.0;101.0;667.0;126.0;584.0;1163.0;230.0;942.0;2720.0;585.0;4375.0;587.0;-21.0;10.0;4950.0
62;518 Wholesale of machinery;2008;144.5;129.9;129.2;116.6;84902.0;84547.0;46063.0;38483.0;355.0;80657.0;65469.0;7369.0;5319.0;660.0;388.0;56.0;946.0;7176.0;108.0;677.0;141.0;595.0;1146.0;221.0;993.0;3296.0;643.0;4245.0;12.0;16.0;91.0;4364.0
