ID;Sex;Age31December;Periods;Deaths_1
1573;Total male and female;Total;2000 week 6;2835
1574;Total male and female;Total;2000 week 7;2773
1575;Total male and female;Total;2000 week 8;2869
1576;Total male and female;Total;2000 week 9;2673
1577;Total male and female;Total;2000 week 10;2690
1578;Total male and female;Total;2000 week 11;2673
1579;Total male and female;Total;2000 week 12;2533
1580;Total male and female;Total;2000 week 13;2554
1581;Total male and female;Total;2000 week 14;2690
1582;Total male and female;Total;2000 week 15;2687
1583;Total male and female;Total;2000 week 16;2705
1584;Total male and female;Total;2000 week 17;2647
1585;Total male and female;Total;2000 week 18;2554
1586;Total male and female;Total;2000 week 19;2744
1587;Total male and female;Total;2000 week 20;2698
1588;Total male and female;Total;2000 week 21;2455
1589;Total male and female;Total;2000 week 22;2513
1590;Total male and female;Total;2000 week 23;2484
1591;Total male and female;Total;2000 week 24;2452
1592;Total male and female;Total;2000 week 25;2969
1593;Total male and female;Total;2000 week 26;2632
1594;Total male and female;Total;2000 week 27;2572
1595;Total male and female;Total;2000 week 28;2469
1596;Total male and female;Total;2000 week 29;2456
1597;Total male and female;Total;2000 week 30;2505
1598;Total male and female;Total;2000 week 31;2532
1599;Total male and female;Total;2000 week 32;2488
1600;Total male and female;Total;2000 week 33;2539
1601;Total male and female;Total;2000 week 34;2416
1602;Total male and female;Total;2000 week 35;2391
1603;Total male and female;Total;2000 week 36;2506
1604;Total male and female;Total;2000 week 37;2517
1605;Total male and female;Total;2000 week 38;2501
1606;Total male and female;Total;2000 week 39;2479
1607;Total male and female;Total;2000 week 40;2578
1608;Total male and female;Total;2000 week 41;2539
1609;Total male and female;Total;2000 week 42;2571
1610;Total male and female;Total;2000 week 43;2734
1611;Total male and female;Total;2000 week 44;2652
1612;Total male and female;Total;2000 week 45;2572
1613;Total male and female;Total;2000 week 46;2644
1614;Total male and female;Total;2000 week 47;2689
1615;Total male and female;Total;2000 week 48;2773
1616;Total male and female;Total;2000 week 49;2618
1617;Total male and female;Total;2000 week 50;2737
1618;Total male and female;Total;2000 week 51;2855
1619;Total male and female;Total;2000 week 52;2929
1620;Total male and female;Total;2000;140527
1621;Total male and female;Total;2001 week 1;3051
1622;Total male and female;Total;2001 week 2;2852
1623;Total male and female;Total;2001 week 3;2907
1624;Total male and female;Total;2001 week 4;3031
1625;Total male and female;Total;2001 week 5;2928
1626;Total male and female;Total;2001 week 6;2861
1627;Total male and female;Total;2001 week 7;2761
1628;Total male and female;Total;2001 week 8;2685
1629;Total male and female;Total;2001 week 9;2749
1630;Total male and female;Total;2001 week 10;2896
1631;Total male and female;Total;2001 week 11;2812
1632;Total male and female;Total;2001 week 12;2837
1633;Total male and female;Total;2001 week 13;2774
1634;Total male and female;Total;2001 week 14;2794
1635;Total male and female;Total;2001 week 15;2752
1636;Total male and female;Total;2001 week 16;2590
1637;Total male and female;Total;2001 week 17;2712
1638;Total male and female;Total;2001 week 18;2685
1639;Total male and female;Total;2001 week 19;2739
1640;Total male and female;Total;2001 week 20;2759
1641;Total male and female;Total;2001 week 21;2674
1642;Total male and female;Total;2001 week 22;2722
1643;Total male and female;Total;2001 week 23;2581
1644;Total male and female;Total;2001 week 24;2721
1645;Total male and female;Total;2001 week 25;2585
1646;Total male and female;Total;2001 week 26;2683
1647;Total male and female;Total;2001 week 27;2751
1648;Total male and female;Total;2001 week 28;2475
1649;Total male and female;Total;2001 week 29;2405
1650;Total male and female;Total;2001 week 30;2519
1651;Total male and female;Total;2001 week 31;2438
1652;Total male and female;Total;2001 week 32;2450
1653;Total male and female;Total;2001 week 33;2511
1654;Total male and female;Total;2001 week 34;2648
1655;Total male and female;Total;2001 week 35;2441
1656;Total male and female;Total;2001 week 36;2482
1657;Total male and female;Total;2001 week 37;2403
1658;Total male and female;Total;2001 week 38;2577
1659;Total male and female;Total;2001 week 39;2588
1660;Total male and female;Total;2001 week 40;2607
1661;Total male and female;Total;2001 week 41;2567
1662;Total male and female;Total;2001 week 42;2701
1663;Total male and female;Total;2001 week 43;2568
1664;Total male and female;Total;2001 week 44;2519
1665;Total male and female;Total;2001 week 45;2535
1666;Total male and female;Total;2001 week 46;2674
1667;Total male and female;Total;2001 week 47;2749
1668;Total male and female;Total;2001 week 48;2757
1669;Total male and female;Total;2001 week 49;2768
1670;Total male and female;Total;2001 week 50;2797
1671;Total male and female;Total;2001 week 51;2982
1672;Total male and female;Total;2001 week 52;2900
1673;Total male and female;Total;2001 week 53 (1 day);424
1674;Total male and female;Total;2001;140377
1675;Total male and female;Total;2002 week 1 (6 days);2522
1676;Total male and female;Total;2002 week 2;3145
1677;Total male and female;Total;2002 week 3;3032
1678;Total male and female;Total;2002 week 4;3079
1679;Total male and female;Total;2002 week 5;2938
1680;Total male and female;Total;2002 week 6;2859
1681;Total male and female;Total;2002 week 7;2778
1682;Total male and female;Total;2002 week 8;2957
1683;Total male and female;Total;2002 week 9;3231
1684;Total male and female;Total;2002 week 10;3015
1685;Total male and female;Total;2002 week 11;3088
1686;Total male and female;Total;2002 week 12;2938
1687;Total male and female;Total;2002 week 13;2903
1688;Total male and female;Total;2002 week 14;2795
1689;Total male and female;Total;2002 week 15;2874
1690;Total male and female;Total;2002 week 16;2778
1691;Total male and female;Total;2002 week 17;2780
1692;Total male and female;Total;2002 week 18;2638
1693;Total male and female;Total;2002 week 19;2590
1694;Total male and female;Total;2002 week 20;2620
1695;Total male and female;Total;2002 week 21;2555
1696;Total male and female;Total;2002 week 22;2641
1697;Total male and female;Total;2002 week 23;2658
1698;Total male and female;Total;2002 week 24;2525
1699;Total male and female;Total;2002 week 25;2665
1700;Total male and female;Total;2002 week 26;2556
1701;Total male and female;Total;2002 week 27;2568
1702;Total male and female;Total;2002 week 28;2548
1703;Total male and female;Total;2002 week 29;2500
1704;Total male and female;Total;2002 week 30;2612
1705;Total male and female;Total;2002 week 31;2792
1706;Total male and female;Total;2002 week 32;2461
1707;Total male and female;Total;2002 week 33;2497
1708;Total male and female;Total;2002 week 34;2624
1709;Total male and female;Total;2002 week 35;2362
1710;Total male and female;Total;2002 week 36;2469
1711;Total male and female;Total;2002 week 37;2456
1712;Total male and female;Total;2002 week 38;2372
1713;Total male and female;Total;2002 week 39;2434
1714;Total male and female;Total;2002 week 40;2557
1715;Total male and female;Total;2002 week 41;2518
1716;Total male and female;Total;2002 week 42;2606
1717;Total male and female;Total;2002 week 43;2712
1718;Total male and female;Total;2002 week 44;2681
1719;Total male and female;Total;2002 week 45;2666
1720;Total male and female;Total;2002 week 46;2637
1721;Total male and female;Total;2002 week 47;2720
1722;Total male and female;Total;2002 week 48;2696
1723;Total male and female;Total;2002 week 49;2676
1724;Total male and female;Total;2002 week 50;3011
1725;Total male and female;Total;2002 week 51;3023
1726;Total male and female;Total;2002 week 52;3127
1727;Total male and female;Total;2002 week 53 (2 days);870
1728;Total male and female;Total;2002;142355
1729;Total male and female;Total;2003 week 1 (5 days);2141
1730;Total male and female;Total;2003 week 2;2987
1731;Total male and female;Total;2003 week 3;2981
1732;Total male and female;Total;2003 week 4;2963
1733;Total male and female;Total;2003 week 5;2821
1734;Total male and female;Total;2003 week 6;2745
1735;Total male and female;Total;2003 week 7;2736
1736;Total male and female;Total;2003 week 8;2923
1737;Total male and female;Total;2003 week 9;3021
1738;Total male and female;Total;2003 week 10;2991
1739;Total male and female;Total;2003 week 11;2983
1740;Total male and female;Total;2003 week 12;2898
1741;Total male and female;Total;2003 week 13;2914
1742;Total male and female;Total;2003 week 14;2948
1743;Total male and female;Total;2003 week 15;2730
1744;Total male and female;Total;2003 week 16;2924
1745;Total male and female;Total;2003 week 17;2844
1746;Total male and female;Total;2003 week 18;2577
1747;Total male and female;Total;2003 week 19;2554
1748;Total male and female;Total;2003 week 20;2560
1749;Total male and female;Total;2003 week 21;2590
1750;Total male and female;Total;2003 week 22;2610
1751;Total male and female;Total;2003 week 23;2853
1752;Total male and female;Total;2003 week 24;2487
1753;Total male and female;Total;2003 week 25;2464
1754;Total male and female;Total;2003 week 26;2541
1755;Total male and female;Total;2003 week 27;2392
1756;Total male and female;Total;2003 week 28;2436
1757;Total male and female;Total;2003 week 29;2721
1758;Total male and female;Total;2003 week 30;2553
1759;Total male and female;Total;2003 week 31;2556
1760;Total male and female;Total;2003 week 32;2773
1761;Total male and female;Total;2003 week 33;2866
1762;Total male and female;Total;2003 week 34;2496
1763;Total male and female;Total;2003 week 35;2398
1764;Total male and female;Total;2003 week 36;2487
1765;Total male and female;Total;2003 week 37;2457
1766;Total male and female;Total;2003 week 38;2661
1767;Total male and female;Total;2003 week 39;2631
1768;Total male and female;Total;2003 week 40;2531
1769;Total male and female;Total;2003 week 41;2484
1770;Total male and female;Total;2003 week 42;2586
1771;Total male and female;Total;2003 week 43;2599
1772;Total male and female;Total;2003 week 44;2743
1773;Total male and female;Total;2003 week 45;2636
1774;Total male and female;Total;2003 week 46;2581
1775;Total male and female;Total;2003 week 47;2639
1776;Total male and female;Total;2003 week 48;2643
1777;Total male and female;Total;2003 week 49;2636
1778;Total male and female;Total;2003 week 50;2898
1779;Total male and female;Total;2003 week 51;3112
1780;Total male and female;Total;2003 week 52;3201
1781;Total male and female;Total;2003 week 53 (3 days);1434
1782;Total male and female;Total;2003;141936
1783;Total male and female;Total;2004 week 1;1899
1784;Total male and female;Total;2004 week 2;3333
1785;Total male and female;Total;2004 week 3;3055
1786;Total male and female;Total;2004 week 4;2921
1787;Total male and female;Total;2004 week 5;2907
1788;Total male and female;Total;2004 week 6;2751
1789;Total male and female;Total;2004 week 7;2692
1790;Total male and female;Total;2004 week 8;2746
1791;Total male and female;Total;2004 week 9;2722
1792;Total male and female;Total;2004 week 10;2720
1793;Total male and female;Total;2004 week 11;2649
1794;Total male and female;Total;2004 week 12;2740
1795;Total male and female;Total;2004 week 13;2639
1796;Total male and female;Total;2004 week 14;2743
1797;Total male and female;Total;2004 week 15;2560
1798;Total male and female;Total;2004 week 16;2648
1799;Total male and female;Total;2004 week 17;2541
1800;Total male and female;Total;2004 week 18;2548
1801;Total male and female;Total;2004 week 19;2455
1802;Total male and female;Total;2004 week 20;2563
1803;Total male and female;Total;2004 week 21;2500
1804;Total male and female;Total;2004 week 22;2509
1805;Total male and female;Total;2004 week 23;2485
1806;Total male and female;Total;2004 week 24;2680
1807;Total male and female;Total;2004 week 25;2403
1808;Total male and female;Total;2004 week 26;2442
1809;Total male and female;Total;2004 week 27;2454
1810;Total male and female;Total;2004 week 28;2493
1811;Total male and female;Total;2004 week 29;2399
1812;Total male and female;Total;2004 week 30;2372
1813;Total male and female;Total;2004 week 31;2449
1814;Total male and female;Total;2004 week 32;2642
1815;Total male and female;Total;2004 week 33;2679
1816;Total male and female;Total;2004 week 34;2414
1817;Total male and female;Total;2004 week 35;2429
1818;Total male and female;Total;2004 week 36;2414
1819;Total male and female;Total;2004 week 37;2459
1820;Total male and female;Total;2004 week 38;2405
1821;Total male and female;Total;2004 week 39;2434
1822;Total male and female;Total;2004 week 40;2558
1823;Total male and female;Total;2004 week 41;2438
1824;Total male and female;Total;2004 week 42;2497
1825;Total male and female;Total;2004 week 43;2529
1826;Total male and female;Total;2004 week 44;2578
1827;Total male and female;Total;2004 week 45;2517
1828;Total male and female;Total;2004 week 46;2537
1829;Total male and female;Total;2004 week 47;2575
1830;Total male and female;Total;2004 week 48;2567
1831;Total male and female;Total;2004 week 49;2619
1832;Total male and female;Total;2004 week 50;2607
1833;Total male and female;Total;2004 week 51;2734
1834;Total male and female;Total;2004 week 52;2836
1835;Total male and female;Total;2004 week 53 (5 days);2067
1836;Total male and female;Total;2004;136553
1837;Total male and female;Total;2005 week 0 (2 days);796
1838;Total male and female;Total;2005 week 1;2871
1839;Total male and female;Total;2005 week 2;2808
1840;Total male and female;Total;2005 week 3;2845
1841;Total male and female;Total;2005 week 4;2813
1842;Total male and female;Total;2005 week 5;2906
1843;Total male and female;Total;2005 week 6;3001
1844;Total male and female;Total;2005 week 7;3094
1845;Total male and female;Total;2005 week 8;3197
1846;Total male and female;Total;2005 week 9;3351
1847;Total male and female;Total;2005 week 10;3277
1848;Total male and female;Total;2005 week 11;3089
1849;Total male and female;Total;2005 week 12;2961
1850;Total male and female;Total;2005 week 13;2765
1851;Total male and female;Total;2005 week 14;2670
1852;Total male and female;Total;2005 week 15;2615
1853;Total male and female;Total;2005 week 16;2566
1854;Total male and female;Total;2005 week 17;2530
1855;Total male and female;Total;2005 week 18;2564
1856;Total male and female;Total;2005 week 19;2572
1857;Total male and female;Total;2005 week 20;2574
1858;Total male and female;Total;2005 week 21;2662
1859;Total male and female;Total;2005 week 22;2460
1860;Total male and female;Total;2005 week 23;2377
1861;Total male and female;Total;2005 week 24;2539
1862;Total male and female;Total;2005 week 25;2782
1863;Total male and female;Total;2005 week 26;2509
1864;Total male and female;Total;2005 week 27;2302
1865;Total male and female;Total;2005 week 28;2382
1866;Total male and female;Total;2005 week 29;2326
1867;Total male and female;Total;2005 week 30;2318
1868;Total male and female;Total;2005 week 31;2314
1869;Total male and female;Total;2005 week 32;2244
1870;Total male and female;Total;2005 week 33;2394
1871;Total male and female;Total;2005 week 34;2361
1872;Total male and female;Total;2005 week 35;2423
1873;Total male and female;Total;2005 week 36;2392
1874;Total male and female;Total;2005 week 37;2323
1875;Total male and female;Total;2005 week 38;2219
1876;Total male and female;Total;2005 week 39;2342
1877;Total male and female;Total;2005 week 40;2397
1878;Total male and female;Total;2005 week 41;2416
1879;Total male and female;Total;2005 week 42;2524
1880;Total male and female;Total;2005 week 43;2499
1881;Total male and female;Total;2005 week 44;2322
1882;Total male and female;Total;2005 week 45;2417
1883;Total male and female;Total;2005 week 46;2489
1884;Total male and female;Total;2005 week 47;2692
1885;Total male and female;Total;2005 week 48;2669
1886;Total male and female;Total;2005 week 49;2705
1887;Total male and female;Total;2005 week 50;2714
1888;Total male and female;Total;2005 week 51;2676
1889;Total male and female;Total;2005 week 52 (6 days);2348
1890;Total male and female;Total;2005;136402
1891;Total male and female;Total;2006 week 0 (1 day);352
1892;Total male and female;Total;2006 week 1;2746
1893;Total male and female;Total;2006 week 2;2834
1894;Total male and female;Total;2006 week 3;2770
1895;Total male and female;Total;2006 week 4;2747
1896;Total male and female;Total;2006 week 5;2838
1897;Total male and female;Total;2006 week 6;2819
1898;Total male and female;Total;2006 week 7;2841
1899;Total male and female;Total;2006 week 8;2856
1900;Total male and female;Total;2006 week 9;2880
1901;Total male and female;Total;2006 week 10;2920
1902;Total male and female;Total;2006 week 11;2762
1903;Total male and female;Total;2006 week 12;2920
1904;Total male and female;Total;2006 week 13;2867
1905;Total male and female;Total;2006 week 14;2646
1906;Total male and female;Total;2006 week 15;2743
1907;Total male and female;Total;2006 week 16;2684
1908;Total male and female;Total;2006 week 17;2576
1909;Total male and female;Total;2006 week 18;2559
1910;Total male and female;Total;2006 week 19;2591
1911;Total male and female;Total;2006 week 20;2450
1912;Total male and female;Total;2006 week 21;2349
1913;Total male and female;Total;2006 week 22;2404
1914;Total male and female;Total;2006 week 23;2511
1915;Total male and female;Total;2006 week 24;2682
1916;Total male and female;Total;2006 week 25;2526
1917;Total male and female;Total;2006 week 26;2390
1918;Total male and female;Total;2006 week 27;2722
1919;Total male and female;Total;2006 week 28;2508
1920;Total male and female;Total;2006 week 29;2829
1921;Total male and female;Total;2006 week 30;3046
1922;Total male and female;Total;2006 week 31;2352
1923;Total male and female;Total;2006 week 32;2332
1924;Total male and female;Total;2006 week 33;2342
1925;Total male and female;Total;2006 week 34;2396
1926;Total male and female;Total;2006 week 35;2375
1927;Total male and female;Total;2006 week 36;2379
1928;Total male and female;Total;2006 week 37;2633
1929;Total male and female;Total;2006 week 38;2382
1930;Total male and female;Total;2006 week 39;2292
1931;Total male and female;Total;2006 week 40;2278
1932;Total male and female;Total;2006 week 41;2301
1933;Total male and female;Total;2006 week 42;2394
1934;Total male and female;Total;2006 week 43;2407
1935;Total male and female;Total;2006 week 44;2370
1936;Total male and female;Total;2006 week 45;2555
1937;Total male and female;Total;2006 week 46;2559
1938;Total male and female;Total;2006 week 47;2550
1939;Total male and female;Total;2006 week 48;2592
1940;Total male and female;Total;2006 week 49;2542
1941;Total male and female;Total;2006 week 50;2564
1942;Total male and female;Total;2006 week 51;2726
1943;Total male and female;Total;2006 week 52;2683
1944;Total male and female;Total;2006;135372
1945;Total male and female;Total;2007 week 1;2802
1946;Total male and female;Total;2007 week 2;2837
1947;Total male and female;Total;2007 week 3;2694
1948;Total male and female;Total;2007 week 4;2680
1949;Total male and female;Total;2007 week 5;2717
1950;Total male and female;Total;2007 week 6;2718
1951;Total male and female;Total;2007 week 7;2716
1952;Total male and female;Total;2007 week 8;2706
1953;Total male and female;Total;2007 week 9;2829
1954;Total male and female;Total;2007 week 10;2828
1955;Total male and female;Total;2007 week 11;2650
1956;Total male and female;Total;2007 week 12;2642
1957;Total male and female;Total;2007 week 13;2662
1958;Total male and female;Total;2007 week 14;2528
1959;Total male and female;Total;2007 week 15;2615
1960;Total male and female;Total;2007 week 16;2547
1961;Total male and female;Total;2007 week 17;2619
1962;Total male and female;Total;2007 week 18;2493
1963;Total male and female;Total;2007 week 19;2494
1964;Total male and female;Total;2007 week 20;2360
1965;Total male and female;Total;2007 week 21;2442
1966;Total male and female;Total;2007 week 22;2381
1967;Total male and female;Total;2007 week 23;2577
1968;Total male and female;Total;2007 week 24;2422
1969;Total male and female;Total;2007 week 25;2392
1970;Total male and female;Total;2007 week 26;2366
1971;Total male and female;Total;2007 week 27;2434
1972;Total male and female;Total;2007 week 28;2412
1973;Total male and female;Total;2007 week 29;2288
1974;Total male and female;Total;2007 week 30;2354
1975;Total male and female;Total;2007 week 31;2367
1976;Total male and female;Total;2007 week 32;2464
1977;Total male and female;Total;2007 week 33;2288
1978;Total male and female;Total;2007 week 34;2371
1979;Total male and female;Total;2007 week 35;2228
1980;Total male and female;Total;2007 week 36;2323
1981;Total male and female;Total;2007 week 37;2369
1982;Total male and female;Total;2007 week 38;2276
1983;Total male and female;Total;2007 week 39;2316
1984;Total male and female;Total;2007 week 40;2378
1985;Total male and female;Total;2007 week 41;2488
1986;Total male and female;Total;2007 week 42;2531
1987;Total male and female;Total;2007 week 43;2508
1988;Total male and female;Total;2007 week 44;2599
1989;Total male and female;Total;2007 week 45;2567
1990;Total male and female;Total;2007 week 46;2587
1991;Total male and female;Total;2007 week 47;2663
1992;Total male and female;Total;2007 week 48;2804
1993;Total male and female;Total;2007 week 49;2748
1994;Total male and female;Total;2007 week 50;2722
1995;Total male and female;Total;2007 week 51;2839
1996;Total male and female;Total;2007 week 52;2964
1997;Total male and female;Total;2007 week 53 (1 day);417
1998;Total male and female;Total;2007;133022
1999;Total male and female;Total;2008 week 1 (6 days);2532
2000;Total male and female;Total;2008 week 2;3045
2001;Total male and female;Total;2008 week 3;2928
2002;Total male and female;Total;2008 week 4;2773
2003;Total male and female;Total;2008 week 5;2733
2004;Total male and female;Total;2008 week 6;2676
2005;Total male and female;Total;2008 week 7;2703
2006;Total male and female;Total;2008 week 8;2821
2007;Total male and female;Total;2008 week 9;2775
2008;Total male and female;Total;2008 week 10;2840
2009;Total male and female;Total;2008 week 11;2718
2010;Total male and female;Total;2008 week 12;2664
2011;Total male and female;Total;2008 week 13;2700
2012;Total male and female;Total;2008 week 14;2712
2013;Total male and female;Total;2008 week 15;2643
2014;Total male and female;Total;2008 week 16;2675
2015;Total male and female;Total;2008 week 17;2585
2016;Total male and female;Total;2008 week 18;2566
2017;Total male and female;Total;2008 week 19;2718
2018;Total male and female;Total;2008 week 20;2555
2019;Total male and female;Total;2008 week 21;2544
2020;Total male and female;Total;2008 week 22;2457
2021;Total male and female;Total;2008 week 23;2394
2022;Total male and female;Total;2008 week 24;2462
2023;Total male and female;Total;2008 week 25;2391
2024;Total male and female;Total;2008 week 26;2514
2025;Total male and female;Total;2008 week 27;2507
2026;Total male and female;Total;2008 week 28;2348
2027;Total male and female;Total;2008 week 29;2413
2028;Total male and female;Total;2008 week 30;2368
2029;Total male and female;Total;2008 week 31;2572
2030;Total male and female;Total;2008 week 32;2419
2031;Total male and female;Total;2008 week 33;2312
2032;Total male and female;Total;2008 week 34;2351
2033;Total male and female;Total;2008 week 35;2320
2034;Total male and female;Total;2008 week 36;2349
2035;Total male and female;Total;2008 week 37;2350
2036;Total male and female;Total;2008 week 38;2415
2037;Total male and female;Total;2008 week 39;2363
2038;Total male and female;Total;2008 week 40;2555
2039;Total male and female;Total;2008 week 41;2383
2040;Total male and female;Total;2008 week 42;2409
2041;Total male and female;Total;2008 week 43;2460
2042;Total male and female;Total;2008 week 44;2601
2043;Total male and female;Total;2008 week 45;2504
2044;Total male and female;Total;2008 week 46;2517
2045;Total male and female;Total;2008 week 47;2507
2046;Total male and female;Total;2008 week 48;2622
2047;Total male and female;Total;2008 week 49;2693
2048;Total male and female;Total;2008 week 50;2781
2049;Total male and female;Total;2008 week 51;2812
2050;Total male and female;Total;2008 week 52;2815
2051;Total male and female;Total;2008 week 53 (3 days);1266
2052;Total male and female;Total;2008;135136
2053;Total male and female;Total;2009 week 1 (4 days);1828
2054;Total male and female;Total;2009 week 2;3215
2055;Total male and female;Total;2009 week 3;3408
2056;Total male and female;Total;2009 week 4;3218
2057;Total male and female;Total;2009 week 5;3161
2058;Total male and female;Total;2009 week 6;3165
2059;Total male and female;Total;2009 week 7;2877
2060;Total male and female;Total;2009 week 8;2854
2061;Total male and female;Total;2009 week 9;2713
2062;Total male and female;Total;2009 week 10;2599
2063;Total male and female;Total;2009 week 11;2621
2064;Total male and female;Total;2009 week 12;2619
2065;Total male and female;Total;2009 week 13;2575
2066;Total male and female;Total;2009 week 14;2639
2067;Total male and female;Total;2009 week 15;2621
2068;Total male and female;Total;2009 week 16;2617
2069;Total male and female;Total;2009 week 17;2429
2070;Total male and female;Total;2009 week 18;2369
2071;Total male and female;Total;2009 week 19;2371
2072;Total male and female;Total;2009 week 20;2450
2073;Total male and female;Total;2009 week 21;2421
2074;Total male and female;Total;2009 week 22;2434
2075;Total male and female;Total;2009 week 23;2391
2076;Total male and female;Total;2009 week 24;2446
2077;Total male and female;Total;2009 week 25;2372
2078;Total male and female;Total;2009 week 26;2331
2079;Total male and female;Total;2009 week 27;2494
2080;Total male and female;Total;2009 week 28;2378
2081;Total male and female;Total;2009 week 29;2437
2082;Total male and female;Total;2009 week 30;2302
2083;Total male and female;Total;2009 week 31;2356
2084;Total male and female;Total;2009 week 32;2348
2085;Total male and female;Total;2009 week 33;2247
2086;Total male and female;Total;2009 week 34;2346
2087;Total male and female;Total;2009 week 35;2303
2088;Total male and female;Total;2009 week 36;2300
2089;Total male and female;Total;2009 week 37;2426
2090;Total male and female;Total;2009 week 38;2390
2091;Total male and female;Total;2009 week 39;2404
2092;Total male and female;Total;2009 week 40;2393
2093;Total male and female;Total;2009 week 41;2541
2094;Total male and female;Total;2009 week 42;2478
2095;Total male and female;Total;2009 week 43;2602
2096;Total male and female;Total;2009 week 44;2565
2097;Total male and female;Total;2009 week 45;2532
2098;Total male and female;Total;2009 week 46;2568
2099;Total male and female;Total;2009 week 47;2497
2100;Total male and female;Total;2009 week 48;2436
2101;Total male and female;Total;2009 week 49;2509
2102;Total male and female;Total;2009 week 50;2489
2103;Total male and female;Total;2009 week 51;2768
2104;Total male and female;Total;2009 week 52;2811
2105;Total male and female;Total;2009 week 53 (4 days);1571
2106;Total male and female;Total;2009;134235
2107;Total male and female;Total;2010 week 0 (3 days);1179
2108;Total male and female;Total;2010 week 1;2767
2109;Total male and female;Total;2010 week 2;2830
2110;Total male and female;Total;2010 week 3;2846
2111;Total male and female;Total;2010 week 4;2865
2112;Total male and female;Total;2010 week 5;2858
2113;Total male and female;Total;2010 week 6;2831
2114;Total male and female;Total;2010 week 7;2900
2115;Total male and female;Total;2010 week 8;2929
2116;Total male and female;Total;2010 week 9;2757
2117;Total male and female;Total;2010 week 10;2760
2118;Total male and female;Total;2010 week 11;2686
2119;Total male and female;Total;2010 week 12;2687
2120;Total male and female;Total;2010 week 13;2586
2121;Total male and female;Total;2010 week 14;2472
2122;Total male and female;Total;2010 week 15;2583
2123;Total male and female;Total;2010 week 16;2581
2124;Total male and female;Total;2010 week 17;2570
2125;Total male and female;Total;2010 week 18;2536
2126;Total male and female;Total;2010 week 19;2687
2127;Total male and female;Total;2010 week 20;2525
2128;Total male and female;Total;2010 week 21;2485
2129;Total male and female;Total;2010 week 22;2567
2130;Total male and female;Total;2010 week 23;2502
2131;Total male and female;Total;2010 week 24;2372
2132;Total male and female;Total;2010 week 25;2535
2133;Total male and female;Total;2010 week 26;2580
2134;Total male and female;Total;2010 week 27;2653
2135;Total male and female;Total;2010 week 28;2499
2136;Total male and female;Total;2010 week 29;2443
2137;Total male and female;Total;2010 week 30;2314
2138;Total male and female;Total;2010 week 31;2289
2139;Total male and female;Total;2010 week 32;2381
2140;Total male and female;Total;2010 week 33;2464
2141;Total male and female;Total;2010 week 34;2277
2142;Total male and female;Total;2010 week 35;2416
2143;Total male and female;Total;2010 week 36;2433
2144;Total male and female;Total;2010 week 37;2523
2145;Total male and female;Total;2010 week 38;2594
2146;Total male and female;Total;2010 week 39;2498
2147;Total male and female;Total;2010 week 40;2598
2148;Total male and female;Total;2010 week 41;2543
2149;Total male and female;Total;2010 week 42;2555
2150;Total male and female;Total;2010 week 43;2609
2151;Total male and female;Total;2010 week 44;2559
2152;Total male and female;Total;2010 week 45;2542
2153;Total male and female;Total;2010 week 46;2519
2154;Total male and female;Total;2010 week 47;2542
2155;Total male and female;Total;2010 week 48;2736
2156;Total male and female;Total;2010 week 49;2832
2157;Total male and female;Total;2010 week 50;2873
2158;Total male and female;Total;2010 week 51;2830
2159;Total male and female;Total;2010 week 52 (5 days);2060
2160;Total male and female;Total;2010;136058
2161;Total male and female;Total;2011 week 0 (2 days);824
2162;Total male and female;Total;2011 week 1;2917
2163;Total male and female;Total;2011 week 2;2819
2164;Total male and female;Total;2011 week 3;2624
2165;Total male and female;Total;2011 week 4;2620
2166;Total male and female;Total;2011 week 5;2728
2167;Total male and female;Total;2011 week 6;2675
2168;Total male and female;Total;2011 week 7;2621
2169;Total male and female;Total;2011 week 8;2651
2170;Total male and female;Total;2011 week 9;2686
2171;Total male and female;Total;2011 week 10;2714
2172;Total male and female;Total;2011 week 11;2727
2173;Total male and female;Total;2011 week 12;2686
2174;Total male and female;Total;2011 week 13;2739
2175;Total male and female;Total;2011 week 14;2592
2176;Total male and female;Total;2011 week 15;2652
2177;Total male and female;Total;2011 week 16;2694
2178;Total male and female;Total;2011 week 17;2591
2179;Total male and female;Total;2011 week 18;2543
2180;Total male and female;Total;2011 week 19;2606
2181;Total male and female;Total;2011 week 20;2551
2182;Total male and female;Total;2011 week 21;2542
2183;Total male and female;Total;2011 week 22;2477
2184;Total male and female;Total;2011 week 23;2479
2185;Total male and female;Total;2011 week 24;2489
2186;Total male and female;Total;2011 week 25;2413
2187;Total male and female;Total;2011 week 26;2535
2188;Total male and female;Total;2011 week 27;2625
2189;Total male and female;Total;2011 week 28;2513
2190;Total male and female;Total;2011 week 29;2361
2191;Total male and female;Total;2011 week 30;2431
2192;Total male and female;Total;2011 week 31;2486
2193;Total male and female;Total;2011 week 32;2356
2194;Total male and female;Total;2011 week 33;2415
2195;Total male and female;Total;2011 week 34;2381
2196;Total male and female;Total;2011 week 35;2458
2197;Total male and female;Total;2011 week 36;2520
2198;Total male and female;Total;2011 week 37;2380
2199;Total male and female;Total;2011 week 38;2447
2200;Total male and female;Total;2011 week 39;2593
2201;Total male and female;Total;2011 week 40;2474
2202;Total male and female;Total;2011 week 41;2537
2203;Total male and female;Total;2011 week 42;2551
2204;Total male and female;Total;2011 week 43;2658
2205;Total male and female;Total;2011 week 44;2653
