ID;Consignment;Countries;CPA2008;Periods;ImportOfGoodsAccordingToOwnership_1
2637;"Imports of goods; ownership prin.; total";Australia;32 Other manufactured goods;2020;214.0
2638;"Imports of goods; ownership prin.; total";Australia;32 Other manufactured goods;2021;193.0
2639;"Imports of goods; ownership prin.; total";Australia;32 Other manufactured goods;2022;215.0
2640;"Imports of goods; ownership prin.; total";Australia;33 Repair and installation services..;2015;
2641;"Imports of goods; ownership prin.; total";Australia;33 Repair and installation services..;2016;
2642;"Imports of goods; ownership prin.; total";Australia;33 Repair and installation services..;2017;
2643;"Imports of goods; ownership prin.; total";Australia;33 Repair and installation services..;2018;
2644;"Imports of goods; ownership prin.; total";Australia;33 Repair and installation services..;2019;
2645;"Imports of goods; ownership prin.; total";Australia;33 Repair and installation services..;2020;
2646;"Imports of goods; ownership prin.; total";Australia;33 Repair and installation services..;2021;
2647;"Imports of goods; ownership prin.; total";Australia;33 Repair and installation services..;2022;
2648;"Imports of goods; ownership prin.; total";Australia;D Electricity and gas supply;2015;
2649;"Imports of goods; ownership prin.; total";Australia;D Electricity and gas supply;2016;
2650;"Imports of goods; ownership prin.; total";Australia;D Electricity and gas supply;2017;
2651;"Imports of goods; ownership prin.; total";Australia;D Electricity and gas supply;2018;
2652;"Imports of goods; ownership prin.; total";Australia;D Electricity and gas supply;2019;
2653;"Imports of goods; ownership prin.; total";Australia;D Electricity and gas supply;2020;
2654;"Imports of goods; ownership prin.; total";Australia;D Electricity and gas supply;2021;
2655;"Imports of goods; ownership prin.; total";Australia;D Electricity and gas supply;2022;
2656;"Imports of goods; ownership prin.; total";Australia;35 Electricity, gas, steam and air..;2015;
2657;"Imports of goods; ownership prin.; total";Australia;35 Electricity, gas, steam and air..;2016;
2658;"Imports of goods; ownership prin.; total";Australia;35 Electricity, gas, steam and air..;2017;
2659;"Imports of goods; ownership prin.; total";Australia;35 Electricity, gas, steam and air..;2018;
2660;"Imports of goods; ownership prin.; total";Australia;35 Electricity, gas, steam and air..;2019;
2661;"Imports of goods; ownership prin.; total";Australia;35 Electricity, gas, steam and air..;2020;
2662;"Imports of goods; ownership prin.; total";Australia;35 Electricity, gas, steam and air..;2021;
2663;"Imports of goods; ownership prin.; total";Australia;35 Electricity, gas, steam and air..;2022;
2664;"Imports of goods; ownership prin.; total";Australia;351 Electricity, transmission and..;2015;
2665;"Imports of goods; ownership prin.; total";Australia;351 Electricity, transmission and..;2016;
2666;"Imports of goods; ownership prin.; total";Australia;351 Electricity, transmission and..;2017;
2667;"Imports of goods; ownership prin.; total";Australia;351 Electricity, transmission and..;2018;
2668;"Imports of goods; ownership prin.; total";Australia;351 Electricity, transmission and..;2019;
2669;"Imports of goods; ownership prin.; total";Australia;351 Electricity, transmission and..;2020;
2670;"Imports of goods; ownership prin.; total";Australia;351 Electricity, transmission and..;2021;
2671;"Imports of goods; ownership prin.; total";Australia;351 Electricity, transmission and..;2022;
2672;"Imports of goods; ownership prin.; total";Australia;"352 Manufactured gas; distribution..";2015;
2673;"Imports of goods; ownership prin.; total";Australia;"352 Manufactured gas; distribution..";2016;
2674;"Imports of goods; ownership prin.; total";Australia;"352 Manufactured gas; distribution..";2017;
2675;"Imports of goods; ownership prin.; total";Australia;"352 Manufactured gas; distribution..";2018;
2676;"Imports of goods; ownership prin.; total";Australia;"352 Manufactured gas; distribution..";2019;
2677;"Imports of goods; ownership prin.; total";Australia;"352 Manufactured gas; distribution..";2020;
2678;"Imports of goods; ownership prin.; total";Australia;"352 Manufactured gas; distribution..";2021;
2679;"Imports of goods; ownership prin.; total";Australia;"352 Manufactured gas; distribution..";2022;
2680;"Imports of goods; ownership prin.; total";Australia;E Water supply and waste management;2015;1.0
2681;"Imports of goods; ownership prin.; total";Australia;E Water supply and waste management;2016;5.0
2682;"Imports of goods; ownership prin.; total";Australia;E Water supply and waste management;2017;5.0
2683;"Imports of goods; ownership prin.; total";Australia;E Water supply and waste management;2018;7.0
2684;"Imports of goods; ownership prin.; total";Australia;E Water supply and waste management;2019;5.0
2685;"Imports of goods; ownership prin.; total";Australia;E Water supply and waste management;2020;5.0
2686;"Imports of goods; ownership prin.; total";Australia;E Water supply and waste management;2021;6.0
2687;"Imports of goods; ownership prin.; total";Australia;E Water supply and waste management;2022;23.0
2688;"Imports of goods; ownership prin.; total";Australia;"36 Natural water; water treatment and..";2015;
2689;"Imports of goods; ownership prin.; total";Australia;"36 Natural water; water treatment and..";2016;
2690;"Imports of goods; ownership prin.; total";Australia;"36 Natural water; water treatment and..";2017;
2691;"Imports of goods; ownership prin.; total";Australia;"36 Natural water; water treatment and..";2018;
2692;"Imports of goods; ownership prin.; total";Australia;"36 Natural water; water treatment and..";2019;
2693;"Imports of goods; ownership prin.; total";Australia;"36 Natural water; water treatment and..";2020;
2694;"Imports of goods; ownership prin.; total";Australia;"36 Natural water; water treatment and..";2021;
2695;"Imports of goods; ownership prin.; total";Australia;"36 Natural water; water treatment and..";2022;
2696;"Imports of goods; ownership prin.; total";Australia;"360 Natural water; water treatment..";2015;
2697;"Imports of goods; ownership prin.; total";Australia;"360 Natural water; water treatment..";2016;
2698;"Imports of goods; ownership prin.; total";Australia;"360 Natural water; water treatment..";2017;
2699;"Imports of goods; ownership prin.; total";Australia;"360 Natural water; water treatment..";2018;
2700;"Imports of goods; ownership prin.; total";Australia;"360 Natural water; water treatment..";2019;
2701;"Imports of goods; ownership prin.; total";Australia;"360 Natural water; water treatment..";2020;
2702;"Imports of goods; ownership prin.; total";Australia;"360 Natural water; water treatment..";2021;
2703;"Imports of goods; ownership prin.; total";Australia;"360 Natural water; water treatment..";2022;
2704;"Imports of goods; ownership prin.; total";Australia;38 Waste collection, treatment and..;2015;1.0
2705;"Imports of goods; ownership prin.; total";Australia;38 Waste collection, treatment and..;2016;5.0
2706;"Imports of goods; ownership prin.; total";Australia;38 Waste collection, treatment and..;2017;5.0
2707;"Imports of goods; ownership prin.; total";Australia;38 Waste collection, treatment and..;2018;7.0
2708;"Imports of goods; ownership prin.; total";Australia;38 Waste collection, treatment and..;2019;5.0
2709;"Imports of goods; ownership prin.; total";Australia;38 Waste collection, treatment and..;2020;5.0
2710;"Imports of goods; ownership prin.; total";Australia;38 Waste collection, treatment and..;2021;6.0
2711;"Imports of goods; ownership prin.; total";Australia;38 Waste collection, treatment and..;2022;23.0
2712;"Imports of goods; ownership prin.; total";Australia;"381 Waste; waste collection services";2015;1.0
2713;"Imports of goods; ownership prin.; total";Australia;"381 Waste; waste collection services";2016;5.0
2714;"Imports of goods; ownership prin.; total";Australia;"381 Waste; waste collection services";2017;5.0
2715;"Imports of goods; ownership prin.; total";Australia;"381 Waste; waste collection services";2018;7.0
2716;"Imports of goods; ownership prin.; total";Australia;"381 Waste; waste collection services";2019;5.0
2717;"Imports of goods; ownership prin.; total";Australia;"381 Waste; waste collection services";2020;5.0
2718;"Imports of goods; ownership prin.; total";Australia;"381 Waste; waste collection services";2021;6.0
2719;"Imports of goods; ownership prin.; total";Australia;"381 Waste; waste collection services";2022;23.0
2720;"Imports of goods; ownership prin.; total";Australia;J Information and communication;2015;
2721;"Imports of goods; ownership prin.; total";Australia;J Information and communication;2016;1.0
2722;"Imports of goods; ownership prin.; total";Australia;J Information and communication;2017;
2723;"Imports of goods; ownership prin.; total";Australia;J Information and communication;2018;1.0
2724;"Imports of goods; ownership prin.; total";Australia;J Information and communication;2019;1.0
2725;"Imports of goods; ownership prin.; total";Australia;J Information and communication;2020;2.0
2726;"Imports of goods; ownership prin.; total";Australia;J Information and communication;2021;2.0
2727;"Imports of goods; ownership prin.; total";Australia;J Information and communication;2022;1.0
2728;"Imports of goods; ownership prin.; total";Australia;58 Publishing services;2015;1.0
2729;"Imports of goods; ownership prin.; total";Australia;58 Publishing services;2016;1.0
2730;"Imports of goods; ownership prin.; total";Australia;58 Publishing services;2017;1.0
2731;"Imports of goods; ownership prin.; total";Australia;58 Publishing services;2018;1.0
2732;"Imports of goods; ownership prin.; total";Australia;58 Publishing services;2019;1.0
2733;"Imports of goods; ownership prin.; total";Australia;58 Publishing services;2020;2.0
2734;"Imports of goods; ownership prin.; total";Australia;58 Publishing services;2021;2.0
2735;"Imports of goods; ownership prin.; total";Australia;58 Publishing services;2022;1.0
2736;"Imports of goods; ownership prin.; total";Australia;581 Publishing services of books..;2015;
2737;"Imports of goods; ownership prin.; total";Australia;581 Publishing services of books..;2016;1.0
2738;"Imports of goods; ownership prin.; total";Australia;581 Publishing services of books..;2017;1.0
2739;"Imports of goods; ownership prin.; total";Australia;581 Publishing services of books..;2018;1.0
2740;"Imports of goods; ownership prin.; total";Australia;581 Publishing services of books..;2019;1.0
2741;"Imports of goods; ownership prin.; total";Australia;581 Publishing services of books..;2020;1.0
2742;"Imports of goods; ownership prin.; total";Australia;581 Publishing services of books..;2021;1.0
2743;"Imports of goods; ownership prin.; total";Australia;581 Publishing services of books..;2022;1.0
2744;"Imports of goods; ownership prin.; total";Australia;582 Software publishing services;2015;
2745;"Imports of goods; ownership prin.; total";Australia;582 Software publishing services;2016;
2746;"Imports of goods; ownership prin.; total";Australia;582 Software publishing services;2017;
2747;"Imports of goods; ownership prin.; total";Australia;582 Software publishing services;2018;
2748;"Imports of goods; ownership prin.; total";Australia;582 Software publishing services;2019;
2749;"Imports of goods; ownership prin.; total";Australia;582 Software publishing services;2020;1.0
2750;"Imports of goods; ownership prin.; total";Australia;582 Software publishing services;2021;
2751;"Imports of goods; ownership prin.; total";Australia;582 Software publishing services;2022;
2752;"Imports of goods; ownership prin.; total";Australia;59 Motion picture, video and television;2015;
2753;"Imports of goods; ownership prin.; total";Australia;59 Motion picture, video and television;2016;
2754;"Imports of goods; ownership prin.; total";Australia;59 Motion picture, video and television;2017;
2755;"Imports of goods; ownership prin.; total";Australia;59 Motion picture, video and television;2018;
2756;"Imports of goods; ownership prin.; total";Australia;59 Motion picture, video and television;2019;
2757;"Imports of goods; ownership prin.; total";Australia;59 Motion picture, video and television;2020;
2758;"Imports of goods; ownership prin.; total";Australia;59 Motion picture, video and television;2021;
2759;"Imports of goods; ownership prin.; total";Australia;59 Motion picture, video and television;2022;
2760;"Imports of goods; ownership prin.; total";Australia;592 Sound recording and music..;2015;
2761;"Imports of goods; ownership prin.; total";Australia;592 Sound recording and music..;2016;
2762;"Imports of goods; ownership prin.; total";Australia;592 Sound recording and music..;2017;
2763;"Imports of goods; ownership prin.; total";Australia;592 Sound recording and music..;2018;
2764;"Imports of goods; ownership prin.; total";Australia;592 Sound recording and music..;2019;
2765;"Imports of goods; ownership prin.; total";Australia;592 Sound recording and music..;2020;
2766;"Imports of goods; ownership prin.; total";Australia;592 Sound recording and music..;2021;
2767;"Imports of goods; ownership prin.; total";Australia;592 Sound recording and music..;2022;
2768;"Imports of goods; ownership prin.; total";Australia;M Other specialised business services;2015;
2769;"Imports of goods; ownership prin.; total";Australia;M Other specialised business services;2016;
2770;"Imports of goods; ownership prin.; total";Australia;M Other specialised business services;2017;
2771;"Imports of goods; ownership prin.; total";Australia;M Other specialised business services;2018;
2772;"Imports of goods; ownership prin.; total";Australia;M Other specialised business services;2019;
2773;"Imports of goods; ownership prin.; total";Australia;M Other specialised business services;2020;
2774;"Imports of goods; ownership prin.; total";Australia;M Other specialised business services;2021;
2775;"Imports of goods; ownership prin.; total";Australia;M Other specialised business services;2022;
2776;"Imports of goods; ownership prin.; total";Australia;71 Architectural and engineering..;2015;
2777;"Imports of goods; ownership prin.; total";Australia;71 Architectural and engineering..;2016;
2778;"Imports of goods; ownership prin.; total";Australia;71 Architectural and engineering..;2017;
2779;"Imports of goods; ownership prin.; total";Australia;71 Architectural and engineering..;2018;
2780;"Imports of goods; ownership prin.; total";Australia;71 Architectural and engineering..;2019;
2781;"Imports of goods; ownership prin.; total";Australia;71 Architectural and engineering..;2020;
2782;"Imports of goods; ownership prin.; total";Australia;71 Architectural and engineering..;2021;
2783;"Imports of goods; ownership prin.; total";Australia;71 Architectural and engineering..;2022;
2784;"Imports of goods; ownership prin.; total";Australia;74 Other professional, scientific and..;2015;
2785;"Imports of goods; ownership prin.; total";Australia;74 Other professional, scientific and..;2016;
2786;"Imports of goods; ownership prin.; total";Australia;74 Other professional, scientific and..;2017;
2787;"Imports of goods; ownership prin.; total";Australia;74 Other professional, scientific and..;2018;
2788;"Imports of goods; ownership prin.; total";Australia;74 Other professional, scientific and..;2019;
2789;"Imports of goods; ownership prin.; total";Australia;74 Other professional, scientific and..;2020;
2790;"Imports of goods; ownership prin.; total";Australia;74 Other professional, scientific and..;2021;
2791;"Imports of goods; ownership prin.; total";Australia;74 Other professional, scientific and..;2022;
2792;"Imports of goods; ownership prin.; total";Australia;R Culture, sports and recreation;2015;1.0
2793;"Imports of goods; ownership prin.; total";Australia;R Culture, sports and recreation;2016;6.0
2794;"Imports of goods; ownership prin.; total";Australia;R Culture, sports and recreation;2017;2.0
2795;"Imports of goods; ownership prin.; total";Australia;R Culture, sports and recreation;2018;
2796;"Imports of goods; ownership prin.; total";Australia;R Culture, sports and recreation;2019;
2797;"Imports of goods; ownership prin.; total";Australia;R Culture, sports and recreation;2020;
2798;"Imports of goods; ownership prin.; total";Australia;R Culture, sports and recreation;2021;
2799;"Imports of goods; ownership prin.; total";Australia;R Culture, sports and recreation;2022;
2800;"Imports of goods; ownership prin.; total";Australia;90 Creative, arts and entertainment..;2015;
2801;"Imports of goods; ownership prin.; total";Australia;90 Creative, arts and entertainment..;2016;
2802;"Imports of goods; ownership prin.; total";Australia;90 Creative, arts and entertainment..;2017;1.0
2803;"Imports of goods; ownership prin.; total";Australia;90 Creative, arts and entertainment..;2018;
2804;"Imports of goods; ownership prin.; total";Australia;90 Creative, arts and entertainment..;2019;
2805;"Imports of goods; ownership prin.; total";Australia;90 Creative, arts and entertainment..;2020;
2806;"Imports of goods; ownership prin.; total";Australia;90 Creative, arts and entertainment..;2021;
2807;"Imports of goods; ownership prin.; total";Australia;90 Creative, arts and entertainment..;2022;
2808;"Imports of goods; ownership prin.; total";Australia;900 Creative, arts and entertainment..;2015;
2809;"Imports of goods; ownership prin.; total";Australia;900 Creative, arts and entertainment..;2016;
2810;"Imports of goods; ownership prin.; total";Australia;900 Creative, arts and entertainment..;2017;1.0
2811;"Imports of goods; ownership prin.; total";Australia;900 Creative, arts and entertainment..;2018;
2812;"Imports of goods; ownership prin.; total";Australia;900 Creative, arts and entertainment..;2019;
2813;"Imports of goods; ownership prin.; total";Australia;900 Creative, arts and entertainment..;2020;
2814;"Imports of goods; ownership prin.; total";Australia;900 Creative, arts and entertainment..;2021;
2815;"Imports of goods; ownership prin.; total";Australia;900 Creative, arts and entertainment..;2022;
2816;"Imports of goods; ownership prin.; total";Australia;91 Library, archive, museum and other..;2015;1.0
2817;"Imports of goods; ownership prin.; total";Australia;91 Library, archive, museum and other..;2016;2.0
2818;"Imports of goods; ownership prin.; total";Australia;91 Library, archive, museum and other..;2017;1.0
2819;"Imports of goods; ownership prin.; total";Australia;91 Library, archive, museum and other..;2018;
2820;"Imports of goods; ownership prin.; total";Australia;91 Library, archive, museum and other..;2019;
2821;"Imports of goods; ownership prin.; total";Australia;91 Library, archive, museum and other..;2020;
2822;"Imports of goods; ownership prin.; total";Australia;91 Library, archive, museum and other..;2021;
2823;"Imports of goods; ownership prin.; total";Australia;91 Library, archive, museum and other..;2022;
2824;"Imports of goods; ownership prin.; total";Australia;910 Library, archive, museum and...;2015;1.0
2825;"Imports of goods; ownership prin.; total";Australia;910 Library, archive, museum and...;2016;2.0
2826;"Imports of goods; ownership prin.; total";Australia;910 Library, archive, museum and...;2017;1.0
2827;"Imports of goods; ownership prin.; total";Australia;910 Library, archive, museum and...;2018;
2828;"Imports of goods; ownership prin.; total";Australia;910 Library, archive, museum and...;2019;
2829;"Imports of goods; ownership prin.; total";Australia;910 Library, archive, museum and...;2020;
2830;"Imports of goods; ownership prin.; total";Australia;910 Library, archive, museum and...;2021;
2831;"Imports of goods; ownership prin.; total";Australia;910 Library, archive, museum and...;2022;
2832;"Imports of goods; ownership prin.; total";Bangladesh;A-U All goods and services;2015;847.0
2833;"Imports of goods; ownership prin.; total";Bangladesh;A-U All goods and services;2016;934.0
2834;"Imports of goods; ownership prin.; total";Bangladesh;A-U All goods and services;2017;1204.0
2835;"Imports of goods; ownership prin.; total";Bangladesh;A-U All goods and services;2018;1301.0
2836;"Imports of goods; ownership prin.; total";Bangladesh;A-U All goods and services;2019;1340.0
2837;"Imports of goods; ownership prin.; total";Bangladesh;A-U All goods and services;2020;1212.0
2838;"Imports of goods; ownership prin.; total";Bangladesh;A-U All goods and services;2021;1310.0
2839;"Imports of goods; ownership prin.; total";Bangladesh;A-U All goods and services;2022;1834.0
2840;"Imports of goods; ownership prin.; total";Bangladesh;A Agriculture, forestry products;2015;5.0
2841;"Imports of goods; ownership prin.; total";Bangladesh;A Agriculture, forestry products;2016;6.0
2842;"Imports of goods; ownership prin.; total";Bangladesh;A Agriculture, forestry products;2017;7.0
2843;"Imports of goods; ownership prin.; total";Bangladesh;A Agriculture, forestry products;2018;10.0
2844;"Imports of goods; ownership prin.; total";Bangladesh;A Agriculture, forestry products;2019;7.0
2845;"Imports of goods; ownership prin.; total";Bangladesh;A Agriculture, forestry products;2020;5.0
2846;"Imports of goods; ownership prin.; total";Bangladesh;A Agriculture, forestry products;2021;5.0
2847;"Imports of goods; ownership prin.; total";Bangladesh;A Agriculture, forestry products;2022;7.0
2848;"Imports of goods; ownership prin.; total";Bangladesh;01 Products of agriculture, hunting..;2015;5.0
2849;"Imports of goods; ownership prin.; total";Bangladesh;01 Products of agriculture, hunting..;2016;4.0
2850;"Imports of goods; ownership prin.; total";Bangladesh;01 Products of agriculture, hunting..;2017;7.0
2851;"Imports of goods; ownership prin.; total";Bangladesh;01 Products of agriculture, hunting..;2018;10.0
2852;"Imports of goods; ownership prin.; total";Bangladesh;01 Products of agriculture, hunting..;2019;7.0
2853;"Imports of goods; ownership prin.; total";Bangladesh;01 Products of agriculture, hunting..;2020;5.0
2854;"Imports of goods; ownership prin.; total";Bangladesh;01 Products of agriculture, hunting..;2021;5.0
2855;"Imports of goods; ownership prin.; total";Bangladesh;01 Products of agriculture, hunting..;2022;7.0
2856;"Imports of goods; ownership prin.; total";Bangladesh;011 Non-perennial crops;2015;5.0
2857;"Imports of goods; ownership prin.; total";Bangladesh;011 Non-perennial crops;2016;4.0
2858;"Imports of goods; ownership prin.; total";Bangladesh;011 Non-perennial crops;2017;7.0
2859;"Imports of goods; ownership prin.; total";Bangladesh;011 Non-perennial crops;2018;10.0
2860;"Imports of goods; ownership prin.; total";Bangladesh;011 Non-perennial crops;2019;7.0
2861;"Imports of goods; ownership prin.; total";Bangladesh;011 Non-perennial crops;2020;5.0
2862;"Imports of goods; ownership prin.; total";Bangladesh;011 Non-perennial crops;2021;5.0
2863;"Imports of goods; ownership prin.; total";Bangladesh;011 Non-perennial crops;2022;7.0
2864;"Imports of goods; ownership prin.; total";Bangladesh;012 Perennial crops;2015;
2865;"Imports of goods; ownership prin.; total";Bangladesh;012 Perennial crops;2016;
2866;"Imports of goods; ownership prin.; total";Bangladesh;012 Perennial crops;2017;
2867;"Imports of goods; ownership prin.; total";Bangladesh;012 Perennial crops;2018;
2868;"Imports of goods; ownership prin.; total";Bangladesh;012 Perennial crops;2019;
2869;"Imports of goods; ownership prin.; total";Bangladesh;012 Perennial crops;2020;
2870;"Imports of goods; ownership prin.; total";Bangladesh;012 Perennial crops;2021;
2871;"Imports of goods; ownership prin.; total";Bangladesh;012 Perennial crops;2022;
2872;"Imports of goods; ownership prin.; total";Bangladesh;013 Planting material: live plants..;2015;
2873;"Imports of goods; ownership prin.; total";Bangladesh;013 Planting material: live plants..;2016;
2874;"Imports of goods; ownership prin.; total";Bangladesh;013 Planting material: live plants..;2017;
2875;"Imports of goods; ownership prin.; total";Bangladesh;013 Planting material: live plants..;2018;
2876;"Imports of goods; ownership prin.; total";Bangladesh;013 Planting material: live plants..;2019;
2877;"Imports of goods; ownership prin.; total";Bangladesh;013 Planting material: live plants..;2020;
2878;"Imports of goods; ownership prin.; total";Bangladesh;013 Planting material: live plants..;2021;
2879;"Imports of goods; ownership prin.; total";Bangladesh;013 Planting material: live plants..;2022;
2880;"Imports of goods; ownership prin.; total";Bangladesh;014 Live animals and animal products;2015;
2881;"Imports of goods; ownership prin.; total";Bangladesh;014 Live animals and animal products;2016;
2882;"Imports of goods; ownership prin.; total";Bangladesh;014 Live animals and animal products;2017;
2883;"Imports of goods; ownership prin.; total";Bangladesh;014 Live animals and animal products;2018;
2884;"Imports of goods; ownership prin.; total";Bangladesh;014 Live animals and animal products;2019;
2885;"Imports of goods; ownership prin.; total";Bangladesh;014 Live animals and animal products;2020;
2886;"Imports of goods; ownership prin.; total";Bangladesh;014 Live animals and animal products;2021;
2887;"Imports of goods; ownership prin.; total";Bangladesh;014 Live animals and animal products;2022;
2888;"Imports of goods; ownership prin.; total";Bangladesh;02 Products of forestry, logging and..;2015;
2889;"Imports of goods; ownership prin.; total";Bangladesh;02 Products of forestry, logging and..;2016;
2890;"Imports of goods; ownership prin.; total";Bangladesh;02 Products of forestry, logging and..;2017;
2891;"Imports of goods; ownership prin.; total";Bangladesh;02 Products of forestry, logging and..;2018;
2892;"Imports of goods; ownership prin.; total";Bangladesh;02 Products of forestry, logging and..;2019;
2893;"Imports of goods; ownership prin.; total";Bangladesh;02 Products of forestry, logging and..;2020;
2894;"Imports of goods; ownership prin.; total";Bangladesh;02 Products of forestry, logging and..;2021;
2895;"Imports of goods; ownership prin.; total";Bangladesh;02 Products of forestry, logging and..;2022;
2896;"Imports of goods; ownership prin.; total";Bangladesh;03 Fish and other fishing products..;2015;
2897;"Imports of goods; ownership prin.; total";Bangladesh;03 Fish and other fishing products..;2016;3.0
2898;"Imports of goods; ownership prin.; total";Bangladesh;03 Fish and other fishing products..;2017;
2899;"Imports of goods; ownership prin.; total";Bangladesh;03 Fish and other fishing products..;2018;
2900;"Imports of goods; ownership prin.; total";Bangladesh;03 Fish and other fishing products..;2019;
2901;"Imports of goods; ownership prin.; total";Bangladesh;03 Fish and other fishing products..;2020;
2902;"Imports of goods; ownership prin.; total";Bangladesh;03 Fish and other fishing products..;2021;
2903;"Imports of goods; ownership prin.; total";Bangladesh;03 Fish and other fishing products..;2022;
2904;"Imports of goods; ownership prin.; total";Bangladesh;030 Fish and other fishing products..;2015;
2905;"Imports of goods; ownership prin.; total";Bangladesh;030 Fish and other fishing products..;2016;3.0
2906;"Imports of goods; ownership prin.; total";Bangladesh;030 Fish and other fishing products..;2017;
2907;"Imports of goods; ownership prin.; total";Bangladesh;030 Fish and other fishing products..;2018;
2908;"Imports of goods; ownership prin.; total";Bangladesh;030 Fish and other fishing products..;2019;
2909;"Imports of goods; ownership prin.; total";Bangladesh;030 Fish and other fishing products..;2020;
2910;"Imports of goods; ownership prin.; total";Bangladesh;030 Fish and other fishing products..;2021;
2911;"Imports of goods; ownership prin.; total";Bangladesh;030 Fish and other fishing products..;2022;
2912;"Imports of goods; ownership prin.; total";Bangladesh;B Mining and quarrying;2015;
2913;"Imports of goods; ownership prin.; total";Bangladesh;B Mining and quarrying;2016;
2914;"Imports of goods; ownership prin.; total";Bangladesh;B Mining and quarrying;2017;
2915;"Imports of goods; ownership prin.; total";Bangladesh;B Mining and quarrying;2018;
2916;"Imports of goods; ownership prin.; total";Bangladesh;B Mining and quarrying;2019;
2917;"Imports of goods; ownership prin.; total";Bangladesh;B Mining and quarrying;2020;
2918;"Imports of goods; ownership prin.; total";Bangladesh;B Mining and quarrying;2021;
2919;"Imports of goods; ownership prin.; total";Bangladesh;B Mining and quarrying;2022;
2920;"Imports of goods; ownership prin.; total";Bangladesh;05 Coal and lignite;2015;
2921;"Imports of goods; ownership prin.; total";Bangladesh;05 Coal and lignite;2016;
2922;"Imports of goods; ownership prin.; total";Bangladesh;05 Coal and lignite;2017;
2923;"Imports of goods; ownership prin.; total";Bangladesh;05 Coal and lignite;2018;
2924;"Imports of goods; ownership prin.; total";Bangladesh;05 Coal and lignite;2019;
2925;"Imports of goods; ownership prin.; total";Bangladesh;05 Coal and lignite;2020;
2926;"Imports of goods; ownership prin.; total";Bangladesh;05 Coal and lignite;2021;
2927;"Imports of goods; ownership prin.; total";Bangladesh;05 Coal and lignite;2022;
2928;"Imports of goods; ownership prin.; total";Bangladesh;06 Crude petroleum and natural gas;2015;
2929;"Imports of goods; ownership prin.; total";Bangladesh;06 Crude petroleum and natural gas;2016;
2930;"Imports of goods; ownership prin.; total";Bangladesh;06 Crude petroleum and natural gas;2017;
2931;"Imports of goods; ownership prin.; total";Bangladesh;06 Crude petroleum and natural gas;2018;
2932;"Imports of goods; ownership prin.; total";Bangladesh;06 Crude petroleum and natural gas;2019;
2933;"Imports of goods; ownership prin.; total";Bangladesh;06 Crude petroleum and natural gas;2020;
2934;"Imports of goods; ownership prin.; total";Bangladesh;06 Crude petroleum and natural gas;2021;
2935;"Imports of goods; ownership prin.; total";Bangladesh;06 Crude petroleum and natural gas;2022;
2936;"Imports of goods; ownership prin.; total";Bangladesh;061 Crude petroleum;2015;
2937;"Imports of goods; ownership prin.; total";Bangladesh;061 Crude petroleum;2016;
2938;"Imports of goods; ownership prin.; total";Bangladesh;061 Crude petroleum;2017;
2939;"Imports of goods; ownership prin.; total";Bangladesh;061 Crude petroleum;2018;
2940;"Imports of goods; ownership prin.; total";Bangladesh;061 Crude petroleum;2019;
2941;"Imports of goods; ownership prin.; total";Bangladesh;061 Crude petroleum;2020;
2942;"Imports of goods; ownership prin.; total";Bangladesh;061 Crude petroleum;2021;
2943;"Imports of goods; ownership prin.; total";Bangladesh;061 Crude petroleum;2022;
2944;"Imports of goods; ownership prin.; total";Bangladesh;062 Natural gas, liquefied or in..;2015;
2945;"Imports of goods; ownership prin.; total";Bangladesh;062 Natural gas, liquefied or in..;2016;
2946;"Imports of goods; ownership prin.; total";Bangladesh;062 Natural gas, liquefied or in..;2017;
2947;"Imports of goods; ownership prin.; total";Bangladesh;062 Natural gas, liquefied or in..;2018;
2948;"Imports of goods; ownership prin.; total";Bangladesh;062 Natural gas, liquefied or in..;2019;
2949;"Imports of goods; ownership prin.; total";Bangladesh;062 Natural gas, liquefied or in..;2020;
2950;"Imports of goods; ownership prin.; total";Bangladesh;062 Natural gas, liquefied or in..;2021;
2951;"Imports of goods; ownership prin.; total";Bangladesh;062 Natural gas, liquefied or in..;2022;
2952;"Imports of goods; ownership prin.; total";Bangladesh;07 Metal ores;2015;
2953;"Imports of goods; ownership prin.; total";Bangladesh;07 Metal ores;2016;
2954;"Imports of goods; ownership prin.; total";Bangladesh;07 Metal ores;2017;
2955;"Imports of goods; ownership prin.; total";Bangladesh;07 Metal ores;2018;
2956;"Imports of goods; ownership prin.; total";Bangladesh;07 Metal ores;2019;
2957;"Imports of goods; ownership prin.; total";Bangladesh;07 Metal ores;2020;
2958;"Imports of goods; ownership prin.; total";Bangladesh;07 Metal ores;2021;
2959;"Imports of goods; ownership prin.; total";Bangladesh;07 Metal ores;2022;
2960;"Imports of goods; ownership prin.; total";Bangladesh;08 Other mining and quarrying products;2015;
2961;"Imports of goods; ownership prin.; total";Bangladesh;08 Other mining and quarrying products;2016;
2962;"Imports of goods; ownership prin.; total";Bangladesh;08 Other mining and quarrying products;2017;
2963;"Imports of goods; ownership prin.; total";Bangladesh;08 Other mining and quarrying products;2018;
2964;"Imports of goods; ownership prin.; total";Bangladesh;08 Other mining and quarrying products;2019;
2965;"Imports of goods; ownership prin.; total";Bangladesh;08 Other mining and quarrying products;2020;
2966;"Imports of goods; ownership prin.; total";Bangladesh;08 Other mining and quarrying products;2021;
2967;"Imports of goods; ownership prin.; total";Bangladesh;08 Other mining and quarrying products;2022;
