ID;SBI93;Perioden;Bedrijven_1;WerkzamePersonenEindSeptember_2;WerkzamePersonenFTEEindSeptember_3;WerknemersOpDeEigenLoonlijst_4;WerknemersFTEOpEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;TotaleNettoOmzet_7;NettoOmzetUitHoofdactiviteit_8;NettoOmzetUitNevenactiviteiten_9;OverigeBedrijfsopbrengsten_10;TotaleBedrijfslasten_11;TotaleInkoopwaardeOmzet_12;InkoopwaardeGrondEnHulpstoffen_13;BeginvoorraadGrondEnHulpstoffen_14;InkopenGrondEnHulpstoffen_15;EindvoorraadGrondEnHulpstoffen_16;TotaleInkoopwaardeHandelsgoederen_17;BeginvoorraadHandelsgoederen_18;InkoopkostenVanHandelsgoederen_19;EindvoorraadHandelsgoederen_20;TotaleOverigeInkoopwaarde_21;KostenUitbesteedWerk_22;NietEerderGenoemdeInkoopwaarde_23;TotaleArbeidskosten_24;BrutoLonenEnSalarissen_25;SocialeVerzekeringspremiesWerkgever_26;PremiesPensioenVUTInkoopsommen_27;OverigeSocialeLasten_28;TotaleOverigeBedrijfslasten_29;OverigePersoneelskosten_30;KostenVervoermiddelen_31;KostenEnergieverbruik_32;Huisvestingskosten_33;KostenMachinesEnInstallaties_34;Verkoopkosten_35;Communicatiekosten_36;KostenVanDienstverleningDoorDerden_37;NietEerderGenoemdeBedrijfslasten_38;AfschrijvingenOpVasteActiva_39;Bedrijfsresultaat_40;SaldoFinancieelResultaat_41;FinancieleBaten_42;FinancieleLasten_43;SaldoVoorzieningen_44;OnttrekkingenVrijvalVanVoorzieningen_45;ToevoegingenAanVoorzieningen_46;SaldoBuitengewoonResultaat_47;BuitengewoneBaten_48;BuitengewoneLasten_49;ResultaatVoorBelastingen_50
54;1120 Dienstverl aardolie- en -gaswinning;2000;55;3.69;3.63;2.18;2.14;2197.0;2153.0;2132.0;21.0;44.0;1504.0;525.0;71.0;2.0;71.0;2.0;10.0;4.0;11.0;5.0;444.0;444.0;0.0;136.0;113.0;9.0;12.0;2.0;617.0;105.0;19.0;11.0;9.0;46.0;17.0;4.0;24.0;382.0;226.0;693.0;-28.0;23.0;51.0;9.0;21.0;12.0;24.0;25.0;0.0;699.0
55;1120 Dienstverl aardolie- en -gaswinning;2001;55;3.64;3.61;2.35;2.32;2103.0;1790.0;1765.0;24.0;313.0;1399.0;526.0;77.0;5.0;74.0;2.0;11.0;4.0;12.0;6.0;438.0;413.0;25.0;155.0;120.0;17.0;15.0;2.0;444.0;81.0;20.0;13.0;9.0;115.0;15.0;4.0;19.0;168.0;275.0;703.0;-7.0;27.0;34.0;-14.0;7.0;22.0;-3.0;23.0;26.0;678.0
56;1120 Dienstverl aardolie- en -gaswinning;2002;50;3.38;3.17;2.41;2.3;2053.0;1702.0;1659.0;43.0;351.0;1571.0;608.0;146.0;3.0;147.0;5.0;30.0;5.0;35.0;10.0;432.0;388.0;44.0;166.0;127.0;19.0;18.0;2.0;502.0;142.0;17.0;19.0;13.0;99.0;17.0;6.0;39.0;150.0;294.0;482.0;-26.0;64.0;90.0;-8.0;8.0;16.0;18.0;21.0;3.0;466.0
57;1120 Dienstverl aardolie- en -gaswinning;2003;45;2.66;2.57;2.36;2.29;2250.0;1922.0;1867.0;55.0;328.0;1466.0;621.0;77.0;14.0;65.0;1.0;36.0;10.0;31.0;5.0;508.0;457.0;50.0;176.0;134.0;15.0;24.0;3.0;340.0;76.0;12.0;24.0;11.0;35.0;7.0;8.0;29.0;138.0;330.0;784.0;-10.0;65.0;75.0;4.0;28.0;24.0;452.0;471.0;20.0;1230.0
58;1120 Dienstverl aardolie- en -gaswinning;2004;45;2.55;2.42;2.26;2.19;2133.0;1797.0;1729.0;68.0;336.0;1513.0;735.0;111.0;5.0;111.0;5.0;32.0;4.0;32.0;5.0;592.0;397.0;195.0;174.0;130.0;22.0;18.0;3.0;351.0;86.0;22.0;29.0;7.0;35.0;7.0;5.0;25.0;135.0;251.0;620.0;7.0;57.0;50.0;-1.0;2.0;4.0;0.0;2.0;2.0;625.0
59;1120 Dienstverl aardolie- en -gaswinning;2005;50;3.16;3.0;2.34;2.25;2460.0;2088.0;2001.0;87.0;372.0;1752.0;914.0;337.0;2.0;339.0;4.0;23.0;6.0;25.0;7.0;554.0;481.0;72.0;190.0;153.0;19.0;15.0;4.0;431.0;152.0;29.0;42.0;9.0;88.0;9.0;7.0;35.0;60.0;217.0;707.0;28.0;56.0;28.0;-5.0;5.0;10.0;-2.0;4.0;6.0;728.0
60;CB Winning v niet-energiehoudende delfst;2000;155;2.89;2.85;2.68;2.64;885.0;870.0;727.0;144.0;15.0;795.0;413.0;255.0;24.0;254.0;22.0;127.0;1.0;126.0;0.0;30.0;23.0;7.0;119.0;92.0;17.0;7.0;3.0;203.0;15.0;13.0;49.0;22.0;45.0;6.0;2.0;19.0;32.0;60.0;90.0;-5.0;9.0;14.0;9.0;15.0;5.0;14.0;17.0;3.0;109.0
61;CB Winning v niet-energiehoudende delfst;2001;155;2.82;2.76;2.53;2.46;918.0;898.0;690.0;207.0;20.0;839.0;496.0;307.0;32.0;306.0;31.0;169.0;1.0;169.0;2.0;20.0;13.0;7.0;110.0;85.0;12.0;8.0;6.0;180.0;14.0;20.0;34.0;16.0;42.0;9.0;2.0;15.0;28.0;53.0;79.0;1.0;12.0;11.0;-2.0;2.0;4.0;-8.0;10.0;17.0;70.0
62;CB Winning v niet-energiehoudende delfst;2002;155;2.82;2.73;2.64;2.53;973.0;957.0;787.0;169.0;16.0;882.0;481.0;329.0;42.0;338.0;50.0;140.0;3.0;141.0;4.0;12.0;9.0;3.0;126.0;98.0;15.0;12.0;2.0;219.0;18.0;21.0;38.0;19.0;56.0;15.0;2.0;24.0;26.0;56.0;91.0;-4.0;9.0;12.0;32.0;37.0;5.0;3.0;11.0;8.0;122.0
63;CB Winning v niet-energiehoudende delfst;2003;145;2.84;2.72;2.63;2.49;952.0;930.0;808.0;121.0;23.0;871.0;452.0;342.0;46.0;348.0;52.0;67.0;1.0;68.0;1.0;43.0;26.0;17.0;127.0;98.0;14.0;13.0;1.0;228.0;19.0;20.0;44.0;26.0;55.0;13.0;2.0;22.0;27.0;65.0;81.0;-9.0;7.0;16.0;-2.0;7.0;9.0;-37.0;8.0;45.0;33.0
64;CB Winning v niet-energiehoudende delfst;2004;145;2.63;2.46;2.43;2.33;889.0;881.0;792.0;89.0;8.0;799.0;407.0;326.0;46.0;331.0;51.0;48.0;1.0;49.0;1.0;33.0;30.0;3.0;117.0;91.0;13.0;11.0;1.0;216.0;17.0;18.0;42.0;23.0;57.0;10.0;2.0;22.0;25.0;59.0;90.0;-7.0;6.0;12.0;-2.0;2.0;4.0;6.0;9.0;3.0;87.0
65;CB Winning v niet-energiehoudende delfst;2005;135;2.69;2.57;2.48;2.37;898.0;875.0;797.0;78.0;23.0;822.0;389.0;327.0;59.0;333.0;65.0;40.0;3.0;41.0;4.0;22.0;15.0;7.0;118.0;94.0;12.0;11.0;1.0;250.0;20.0;29.0;50.0;20.0;58.0;13.0;2.0;14.0;44.0;65.0;75.0;-10.0;16.0;26.0;-4.0;2.0;6.0;5.0;7.0;3.0;65.0
66;14 Winning v zand, grind, klei, zout ed;2000;155;2.89;2.85;2.68;2.64;885.0;870.0;727.0;144.0;15.0;795.0;413.0;255.0;24.0;254.0;22.0;127.0;1.0;126.0;0.0;30.0;23.0;7.0;119.0;92.0;17.0;7.0;3.0;203.0;15.0;13.0;49.0;22.0;45.0;6.0;2.0;19.0;32.0;60.0;90.0;-5.0;9.0;14.0;9.0;15.0;5.0;14.0;17.0;3.0;109.0
67;14 Winning v zand, grind, klei, zout ed;2001;155;2.82;2.76;2.53;2.46;918.0;898.0;690.0;207.0;20.0;839.0;496.0;307.0;32.0;306.0;31.0;169.0;1.0;169.0;2.0;20.0;13.0;7.0;110.0;85.0;12.0;8.0;6.0;180.0;14.0;20.0;34.0;16.0;42.0;9.0;2.0;15.0;28.0;53.0;79.0;1.0;12.0;11.0;-2.0;2.0;4.0;-8.0;10.0;17.0;70.0
68;14 Winning v zand, grind, klei, zout ed;2002;155;2.82;2.73;2.64;2.53;973.0;957.0;787.0;169.0;16.0;882.0;481.0;329.0;42.0;338.0;50.0;140.0;3.0;141.0;4.0;12.0;9.0;3.0;126.0;98.0;15.0;12.0;2.0;219.0;18.0;21.0;38.0;19.0;56.0;15.0;2.0;24.0;26.0;56.0;91.0;-4.0;9.0;12.0;32.0;37.0;5.0;3.0;11.0;8.0;122.0
69;14 Winning v zand, grind, klei, zout ed;2003;145;2.84;2.72;2.63;2.49;952.0;930.0;808.0;121.0;23.0;871.0;452.0;342.0;46.0;348.0;52.0;67.0;1.0;68.0;1.0;43.0;26.0;17.0;127.0;98.0;14.0;13.0;1.0;228.0;19.0;20.0;44.0;26.0;55.0;13.0;2.0;22.0;27.0;65.0;81.0;-9.0;7.0;16.0;-2.0;7.0;9.0;-37.0;8.0;45.0;33.0
70;14 Winning v zand, grind, klei, zout ed;2004;145;2.63;2.46;2.43;2.33;889.0;881.0;792.0;89.0;8.0;799.0;407.0;326.0;46.0;331.0;51.0;48.0;1.0;49.0;1.0;33.0;30.0;3.0;117.0;91.0;13.0;11.0;1.0;216.0;17.0;18.0;42.0;23.0;57.0;10.0;2.0;22.0;25.0;59.0;90.0;-7.0;6.0;12.0;-2.0;2.0;4.0;6.0;9.0;3.0;87.0
71;14 Winning v zand, grind, klei, zout ed;2005;135;2.69;2.57;2.48;2.37;898.0;875.0;797.0;78.0;23.0;822.0;389.0;327.0;59.0;333.0;65.0;40.0;3.0;41.0;4.0;22.0;15.0;7.0;118.0;94.0;12.0;11.0;1.0;250.0;20.0;29.0;50.0;20.0;58.0;13.0;2.0;14.0;44.0;65.0;75.0;-10.0;16.0;26.0;-4.0;2.0;6.0;5.0;7.0;3.0;65.0
72;142 Zand-, grind- en kleiwinning;2000;110;1.49;1.46;1.39;1.37;464.0;451.0;313.0;138.0;13.0;411.0;226.0;104.0;11.0;102.0;10.0;114.0;0.0;114.0;0.0;8.0;1.0;6.0;58.0;45.0;7.0;4.0;3.0;106.0;8.0;9.0;13.0;12.0;32.0;2.0;1.0;11.0;18.0;22.0;54.0;1.0;7.0;5.0;9.0;13.0;3.0;15.0;16.0;2.0;79.0
73;142 Zand-, grind- en kleiwinning;2001;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;142 Zand-, grind- en kleiwinning;2002;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;142 Zand-, grind- en kleiwinning;2003;105;1.27;1.22;1.17;1.12;440.0;425.0;340.0;85.0;15.0;406.0;224.0;141.0;23.0;140.0;23.0;43.0;0.0;43.0;1.0;41.0;25.0;16.0;56.0;43.0;6.0;6.0;1.0;98.0;8.0;13.0;10.0;7.0;32.0;4.0;1.0;5.0;18.0;29.0;35.0;-4.0;5.0;9.0;-3.0;5.0;8.0;0.0;5.0;4.0;28.0
76;142 Zand-, grind- en kleiwinning;2004;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;142 Zand-, grind- en kleiwinning;2005;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;1421 Zand-, en grindwinning;2000;110;1.49;1.46;1.39;1.37;464.0;451.0;313.0;138.0;13.0;411.0;226.0;104.0;11.0;102.0;10.0;114.0;0.0;114.0;0.0;8.0;1.0;6.0;58.0;45.0;7.0;4.0;3.0;106.0;8.0;9.0;13.0;12.0;32.0;2.0;1.0;11.0;18.0;22.0;54.0;1.0;7.0;5.0;9.0;13.0;3.0;15.0;16.0;2.0;79.0
79;1421 Zand-, en grindwinning;2001;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;1421 Zand-, en grindwinning;2002;110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;1421 Zand-, en grindwinning;2003;100;1.27;1.22;1.17;1.12;440.0;425.0;340.0;85.0;15.0;406.0;224.0;141.0;23.0;140.0;23.0;43.0;0.0;43.0;1.0;41.0;25.0;16.0;56.0;43.0;6.0;6.0;1.0;98.0;8.0;13.0;10.0;7.0;32.0;4.0;1.0;5.0;18.0;29.0;35.0;-4.0;5.0;9.0;-3.0;5.0;8.0;0.0;5.0;4.0;28.0
82;1421 Zand-, en grindwinning;2004;105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;1421 Zand-, en grindwinning;2005;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;1422 Kleiwinning;2000;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
85;1422 Kleiwinning;2001;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
86;1422 Kleiwinning;2002;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
87;1422 Kleiwinning;2003;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
88;1422 Kleiwinning;2004;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;1422 Kleiwinning;2005;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;144 Zoutwinning;2000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
91;144 Zoutwinning;2001;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;144 Zoutwinning;2002;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;144 Zoutwinning;2003;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;144 Zoutwinning;2004;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;144 Zoutwinning;2005;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;1440 Zoutwinning;2000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;1440 Zoutwinning;2001;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;1440 Zoutwinning;2002;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;1440 Zoutwinning;2003;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;1440 Zoutwinning;2004;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;1440 Zoutwinning;2005;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;145 Overige delfstoffenwinning;2000;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;145 Overige delfstoffenwinning;2001;45;1.07;1.04;0.92;0.87;236.0;225.0;216.0;9.0;11.0;213.0;107.0;95.0;24.0;96.0;25.0;6.0;0.0;6.0;1.0;5.0;2.0;3.0;36.0;29.0;4.0;3.0;0.0;59.0;6.0;4.0;14.0;10.0;11.0;4.0;1.0;3.0;6.0;12.0;23.0;0.0;3.0;3.0;0.0;1.0;1.0;-1.0;1.0;2.0;22.0
104;145 Overige delfstoffenwinning;2002;40;1.02;0.98;0.94;0.89;303.0;299.0;266.0;33.0;4.0;281.0;152.0;122.0;27.0;132.0;37.0;27.0;1.0;28.0;1.0;3.0;2.0;0.0;44.0;35.0;5.0;4.0;0.0;70.0;8.0;6.0;16.0;11.0;15.0;5.0;1.0;4.0;4.0;16.0;21.0;-4.0;2.0;6.0;-1.0;0.0;1.0;3.0;4.0;1.0;20.0
105;145 Overige delfstoffenwinning;2003;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;145 Overige delfstoffenwinning;2004;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;145 Overige delfstoffenwinning;2005;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;1450 Overige delfstoffenwinning;2000;45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;1450 Overige delfstoffenwinning;2001;45;1.07;1.04;0.92;0.87;236.0;225.0;216.0;9.0;11.0;213.0;107.0;95.0;24.0;96.0;25.0;6.0;0.0;6.0;1.0;5.0;2.0;3.0;36.0;29.0;4.0;3.0;0.0;59.0;6.0;4.0;14.0;10.0;11.0;4.0;1.0;3.0;6.0;12.0;23.0;0.0;3.0;3.0;0.0;1.0;1.0;-1.0;1.0;2.0;22.0
110;1450 Overige delfstoffenwinning;2002;40;1.02;0.98;0.94;0.89;303.0;299.0;266.0;33.0;4.0;281.0;152.0;122.0;27.0;132.0;37.0;27.0;1.0;28.0;1.0;3.0;2.0;0.0;44.0;35.0;5.0;4.0;0.0;70.0;8.0;6.0;16.0;11.0;15.0;5.0;1.0;4.0;4.0;16.0;21.0;-4.0;2.0;6.0;-1.0;0.0;1.0;3.0;4.0;1.0;20.0
111;1450 Overige delfstoffenwinning;2003;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;1450 Overige delfstoffenwinning;2004;35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;1450 Overige delfstoffenwinning;2005;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
