ID;Huishoudkenmerken;Perioden;ToegangTotPC_1;Desktop_2;Laptop_3;WelToegangInternet_4;GeenToegangInternet_5;EldersInternetten_6;WilNietGeenInteresse_7;FinancieleRedenen_8;OnvoldoendeKennisFysiekeBeperking_9;PrivacyEnVeiligheid_10;AndereReden_11;TotaalGeenBreedband_12;AnaloogModem_13;ISDN_14;MobieleTelefoonWAPGPRS_15;TotaalBreedband_16;ADSL_17;Kabel_18;TotaalGeenBreedband_19;AnaloogModem_20;ISDN_21;MobieleTelefoonWAPGPRS_22;TotaalBreedband_23;ADSL_24;Kabel_25;PersonalComputer_26;PCDesktop_27;Laptop_28;MobieleTelefoon_29;AndereApparatuur_30;PersonalComputer_31;PCDesktop_32;Laptop_33;MobieleTelefoon_34;AndereApparatuur_35
181;West;2006;85.0;77.0;37.0;82.0;18.0;3.0;10.0;2.0;3.0;0.0;3.0;14.0;9.0;4.0;2.0;68.0;46.0;23.0;17.0;11.0;5.0;3.0;83.0;57.0;28.0;81.0;73.0;28.0;11.0;5.0;100.0;90.0;34.0;13.0;6.0
182;West;2007;87.0;77.0;44.0;85.0;15.0;2.0;9.0;2.0;2.0;0.0;2.0;9.0;4.0;4.0;1.0;76.0;52.0;26.0;10.0;5.0;4.0;1.0;90.0;62.0;31.0;84.0;73.0;37.0;17.0;11.0;99.0;87.0;44.0;20.0;13.0
183;West;2008;88.0;76.0;53.0;88.0;12.0;2.0;7.0;2.0;2.0;0.0;2.0;12.0;5.0;6.0;1.0;76.0;47.0;32.0;14.0;6.0;7.0;1.0;86.0;54.0;36.0;86.0;73.0;49.0;21.0;15.0;98.0;83.0;56.0;24.0;17.0
184;West;2009;91.0;77.0;61.0;91.0;9.0;0.0;7.0;1.0;1.0;0.0;1.0;10.0;3.0;4.0;1.0;80.0;58.0;29.0;11.0;4.0;4.0;1.0;89.0;64.0;32.0;90.0;73.0;57.0;26.0;22.0;99.0;81.0;63.0;29.0;24.0
185;West;2010;93.0;76.0;66.0;92.0;8.0;1.0;5.0;1.0;1.0;0.0;1.0;7.0;2.0;2.0;2.0;86.0;59.0;31.0;7.0;2.0;3.0;2.0;93.0;63.0;33.0;92.0;74.0;63.0;34.0;25.0;99.0;80.0;68.0;37.0;26.0
186;West;2011;94.0;75.0;72.0;93.0;7.0;1.0;4.0;1.0;1.0;1.0;1.0;8.0;;;;84.0;;;9.0;;;;90.0;;;92.0;72.0;70.0;50.0;29.0;99.0;77.0;75.0;53.0;31.0
187;West;2012;94.0;72.0;76.0;93.0;7.0;0.0;5.0;1.0;1.0;0.0;1.0;12.0;;;;81.0;;;13.0;;;;87.0;;;93.0;69.0;74.0;58.0;34.0;99.0;73.0;79.0;62.0;37.0
188;West;2013;95.0;69.0;77.0;95.0;5.0;0.0;3.0;1.0;1.0;1.0;1.0;7.0;;;;88.0;;;8.0;;;;92.0;;;95.0;66.0;76.0;67.0;58.0;99.0;70.0;79.0;70.0;61.0
189;Zuid;2005;80.0;76.0;30.0;76.0;24.0;2.0;15.0;3.0;2.0;0.0;5.0;24.0;20.0;5.0;2.0;52.0;28.0;26.0;32.0;26.0;6.0;2.0;68.0;36.0;35.0;76.0;71.0;19.0;8.0;3.0;100.0;93.0;25.0;11.0;4.0
190;Zuid;2006;82.0;74.0;33.0;77.0;23.0;2.0;16.0;4.0;3.0;0.0;2.0;14.0;9.0;5.0;1.0;63.0;33.0;31.0;19.0;11.0;7.0;2.0;81.0;43.0;40.0;77.0;69.0;25.0;10.0;2.0;100.0;89.0;32.0;13.0;3.0
191;Zuid;2007;85.0;78.0;39.0;80.0;20.0;1.0;13.0;3.0;3.0;1.0;5.0;10.0;5.0;4.0;0.0;70.0;42.0;29.0;12.0;6.0;5.0;0.0;88.0;53.0;37.0;80.0;72.0;32.0;14.0;8.0;100.0;91.0;40.0;18.0;10.0
192;Zuid;2008;86.0;77.0;49.0;82.0;18.0;1.0;11.0;2.0;3.0;1.0;2.0;12.0;4.0;6.0;1.0;71.0;40.0;33.0;14.0;5.0;8.0;1.0;86.0;49.0;41.0;82.0;71.0;44.0;19.0;9.0;99.0;86.0;53.0;23.0;12.0
193;Zuid;2009;90.0;77.0;58.0;88.0;12.0;1.0;8.0;1.0;1.0;1.0;2.0;15.0;4.0;5.0;1.0;73.0;46.0;34.0;17.0;4.0;6.0;1.0;83.0;54.0;39.0;87.0;74.0;53.0;25.0;19.0;99.0;84.0;60.0;28.0;22.0
194;Zuid;2010;91.0;74.0;65.0;90.0;10.0;1.0;8.0;1.0;1.0;0.0;1.0;7.0;1.0;3.0;2.0;83.0;48.0;39.0;7.0;2.0;3.0;2.0;93.0;54.0;43.0;89.0;71.0;64.0;31.0;23.0;99.0;78.0;71.0;34.0;25.0
195;Zuid;2011;94.0;75.0;71.0;93.0;7.0;1.0;5.0;0.0;1.0;1.0;1.0;12.0;;;;80.0;;;13.0;;;;86.0;;;93.0;71.0;69.0;43.0;30.0;99.0;77.0;75.0;46.0;32.0
196;Zuid;2012;94.0;70.0;73.0;94.0;6.0;1.0;6.0;1.0;1.0;0.0;0.0;9.0;;;;84.0;;;10.0;;;;90.0;;;93.0;67.0;72.0;53.0;37.0;99.0;72.0;77.0;57.0;40.0
197;Zuid;2013;94.0;67.0;75.0;94.0;6.0;0.0;4.0;1.0;1.0;0.0;0.0;9.0;;;;85.0;;;9.0;;;;91.0;;;93.0;64.0;73.0;63.0;59.0;99.0;68.0;78.0;67.0;62.0
