ID;ClimateSector;Emission;Periods;EmissionsOfGreenhouseGases_1
458;Built Environment;Total greenhouse gases;2020 4th quarter;8.0
459;Built Environment;Total greenhouse gases;2020;21.8
460;Built Environment;Total greenhouse gases;2021 1st quarter;11.4
461;Built Environment;Total greenhouse gases;2021 2nd quarter;4.1
462;Built Environment;Total greenhouse gases;2021 3rd quarter;1.1
463;Built Environment;Total greenhouse gases;2021 4th quarter;7.9
464;Built Environment;Total greenhouse gases;2021;24.4
465;Built Environment;Total greenhouse gases;2022 1st quarter;8.9
466;Built Environment;Total greenhouse gases;2022 2nd quarter;3.0
467;Built Environment;Total greenhouse gases;2022 3rd quarter;1.6
468;Built Environment;Total greenhouse gases;2022 4th quarter;6.3
469;Built Environment;Total greenhouse gases;2022;19.8
470;Built Environment;Total greenhouse gases;2023 1st quarter;7.5
471;Built Environment;Total greenhouse gases;2023 2nd quarter;2.6
472;Built Environment;Total greenhouse gases;2023 3rd quarter;1.3
473;Built Environment;Total greenhouse gases;2023 4th quarter;5.8
474;Built Environment;Total greenhouse gases;2023;17.2
475;Built Environment;Total greenhouse gases;2024 1st quarter;7.4
476;Built Environment;Total greenhouse gases;2024 2nd quarter;2.4
477;Built Environment;Total greenhouse gases;2024 3rd quarter;1.5
478;Built Environment;Total greenhouse gases;2024 4th quarter;6.0
479;Built Environment;Total greenhouse gases;2024;17.4
480;Built Environment;Carbon dioxide (CO2);2019 1st quarter;10.3
481;Built Environment;Carbon dioxide (CO2);2019 2nd quarter;2.9
482;Built Environment;Carbon dioxide (CO2);2019 3rd quarter;1.2
483;Built Environment;Carbon dioxide (CO2);2019 4th quarter;8.3
484;Built Environment;Carbon dioxide (CO2);2019;22.7
485;Built Environment;Carbon dioxide (CO2);2020 1st quarter;9.6
486;Built Environment;Carbon dioxide (CO2);2020 2nd quarter;2.6
487;Built Environment;Carbon dioxide (CO2);2020 3rd quarter;1.3
488;Built Environment;Carbon dioxide (CO2);2020 4th quarter;7.8
489;Built Environment;Carbon dioxide (CO2);2020;21.2
490;Built Environment;Carbon dioxide (CO2);2021 1st quarter;11.1
491;Built Environment;Carbon dioxide (CO2);2021 2nd quarter;4.0
492;Built Environment;Carbon dioxide (CO2);2021 3rd quarter;1.1
493;Built Environment;Carbon dioxide (CO2);2021 4th quarter;7.7
494;Built Environment;Carbon dioxide (CO2);2021;23.9
495;Built Environment;Carbon dioxide (CO2);2022 1st quarter;8.7
496;Built Environment;Carbon dioxide (CO2);2022 2nd quarter;2.9
497;Built Environment;Carbon dioxide (CO2);2022 3rd quarter;1.5
498;Built Environment;Carbon dioxide (CO2);2022 4th quarter;6.1
499;Built Environment;Carbon dioxide (CO2);2022;19.3
500;Built Environment;Carbon dioxide (CO2);2023 1st quarter;7.3
501;Built Environment;Carbon dioxide (CO2);2023 2nd quarter;2.6
502;Built Environment;Carbon dioxide (CO2);2023 3rd quarter;1.2
503;Built Environment;Carbon dioxide (CO2);2023 4th quarter;5.6
504;Built Environment;Carbon dioxide (CO2);2023;16.8
505;Built Environment;Carbon dioxide (CO2);2024 1st quarter;7.2
506;Built Environment;Carbon dioxide (CO2);2024 2nd quarter;2.4
507;Built Environment;Carbon dioxide (CO2);2024 3rd quarter;1.4
508;Built Environment;Carbon dioxide (CO2);2024 4th quarter;5.9
509;Built Environment;Carbon dioxide (CO2);2024;16.9
510;Built Environment;Other greenhouse gases;2019 1st quarter;0.2
511;Built Environment;Other greenhouse gases;2019 2nd quarter;0.1
512;Built Environment;Other greenhouse gases;2019 3rd quarter;0.0
513;Built Environment;Other greenhouse gases;2019 4th quarter;0.2
514;Built Environment;Other greenhouse gases;2019;0.6
515;Built Environment;Other greenhouse gases;2020 1st quarter;0.2
516;Built Environment;Other greenhouse gases;2020 2nd quarter;0.1
517;Built Environment;Other greenhouse gases;2020 3rd quarter;0.0
518;Built Environment;Other greenhouse gases;2020 4th quarter;0.2
519;Built Environment;Other greenhouse gases;2020;0.5
520;Built Environment;Other greenhouse gases;2021 1st quarter;0.2
521;Built Environment;Other greenhouse gases;2021 2nd quarter;0.1
522;Built Environment;Other greenhouse gases;2021 3rd quarter;0.0
523;Built Environment;Other greenhouse gases;2021 4th quarter;0.2
524;Built Environment;Other greenhouse gases;2021;0.6
525;Built Environment;Other greenhouse gases;2022 1st quarter;0.2
526;Built Environment;Other greenhouse gases;2022 2nd quarter;0.1
527;Built Environment;Other greenhouse gases;2022 3rd quarter;0.1
528;Built Environment;Other greenhouse gases;2022 4th quarter;0.2
529;Built Environment;Other greenhouse gases;2022;0.5
530;Built Environment;Other greenhouse gases;2023 1st quarter;0.2
531;Built Environment;Other greenhouse gases;2023 2nd quarter;0.1
532;Built Environment;Other greenhouse gases;2023 3rd quarter;0.0
533;Built Environment;Other greenhouse gases;2023 4th quarter;0.1
534;Built Environment;Other greenhouse gases;2023;0.5
535;Built Environment;Other greenhouse gases;2024 1st quarter;0.2
536;Built Environment;Other greenhouse gases;2024 2nd quarter;0.1
537;Built Environment;Other greenhouse gases;2024 3rd quarter;0.1
538;Built Environment;Other greenhouse gases;2024 4th quarter;0.2
539;Built Environment;Other greenhouse gases;2024;0.5
540;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2019 1st quarter;0.9
541;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2019 2nd quarter;0.9
542;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2019 3rd quarter;0.9
543;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2019 4th quarter;0.9
544;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2019;3.7
545;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2020 1st quarter;0.8
546;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2020 2nd quarter;0.8
547;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2020 3rd quarter;0.8
548;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2020 4th quarter;0.8
549;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2020;3.3
550;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2021 1st quarter;0.8
551;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2021 2nd quarter;0.8
552;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2021 3rd quarter;0.8
553;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2021 4th quarter;0.8
554;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2021;3.4
555;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2022 1st quarter;0.9
556;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2022 2nd quarter;0.9
557;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2022 3rd quarter;0.9
558;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2022 4th quarter;0.9
559;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2022;3.5
560;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2023 1st quarter;1.0
561;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2023 2nd quarter;1.0
562;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2023 3rd quarter;1.0
563;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2023 4th quarter;1.0
564;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2023;3.8
565;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2024 1st quarter;0.8
566;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2024 2nd quarter;0.8
567;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2024 3rd quarter;0.8
568;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2024 4th quarter;0.8
569;Land Use, Land-Use Change and Forestry;Total greenhouse gases;2024;3.1
570;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2019 1st quarter;0.8
571;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2019 2nd quarter;0.8
572;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2019 3rd quarter;0.8
573;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2019 4th quarter;0.8
574;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2019;3.0
575;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2020 1st quarter;0.7
576;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2020 2nd quarter;0.7
577;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2020 3rd quarter;0.7
578;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2020 4th quarter;0.7
579;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2020;2.6
580;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2021 1st quarter;0.7
581;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2021 2nd quarter;0.7
582;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2021 3rd quarter;0.7
583;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2021 4th quarter;0.7
584;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2021;2.7
585;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2022 1st quarter;0.7
586;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2022 2nd quarter;0.7
587;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2022 3rd quarter;0.7
588;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2022 4th quarter;0.7
589;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2022;2.8
590;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2023 1st quarter;0.8
591;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2023 2nd quarter;0.8
592;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2023 3rd quarter;0.8
593;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2023 4th quarter;0.8
594;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2023;3.1
595;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2024 1st quarter;0.6
596;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2024 2nd quarter;0.6
597;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2024 3rd quarter;0.6
598;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2024 4th quarter;0.6
599;Land Use, Land-Use Change and Forestry;Carbon dioxide (CO2);2024;2.4
600;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2019 1st quarter;0.2
601;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2019 2nd quarter;0.2
602;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2019 3rd quarter;0.2
603;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2019 4th quarter;0.2
604;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2019;0.7
605;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2020 1st quarter;0.2
606;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2020 2nd quarter;0.2
607;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2020 3rd quarter;0.2
608;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2020 4th quarter;0.2
609;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2020;0.7
610;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2021 1st quarter;0.2
611;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2021 2nd quarter;0.2
612;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2021 3rd quarter;0.2
613;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2021 4th quarter;0.2
614;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2021;0.7
615;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2022 1st quarter;0.2
616;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2022 2nd quarter;0.2
617;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2022 3rd quarter;0.2
618;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2022 4th quarter;0.2
619;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2022;0.7
620;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2023 1st quarter;0.2
621;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2023 2nd quarter;0.2
622;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2023 3rd quarter;0.2
623;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2023 4th quarter;0.2
624;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2023;0.7
625;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2024 1st quarter;0.2
626;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2024 2nd quarter;0.2
627;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2024 3rd quarter;0.2
628;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2024 4th quarter;0.2
629;Land Use, Land-Use Change and Forestry;Other greenhouse gases;2024;0.7
