ID;KenmerkenLeasevoertuig;Perioden;Prijsindex_1;Kwartaalmutatie_2;Jaarmutatie_3;Weegfactoren_4;Prijsindex_5;Kwartaalmutatie_6;Jaarmutatie_7;Weegfactoren_8
265;Personenauto's: diesel;2009 2e kwartaal;97.8;0.3;3.9;;97.5;-0.1;-0.2;
266;Personenauto's: diesel;2009 3e kwartaal;98.7;0.8;3.5;;98.7;1.2;-0.9;
267;Personenauto's: diesel;2009 4e kwartaal;98.6;-0.1;2.5;;99.1;0.4;1.1;
268;Personenauto's: diesel;2009;98.2;;3.7;;98.2;;0.8;
269;Personenauto's: diesel;2010 1e kwartaal;100.2;1.6;2.7;;100.6;1.6;3.1;
270;Personenauto's: diesel;2010 2e kwartaal;99.9;-0.2;2.2;;101.3;0.7;3.9;
271;Personenauto's: diesel;2010 3e kwartaal;99.8;-0.1;1.2;;100.9;-0.4;2.3;
272;Personenauto's: diesel;2010 4e kwartaal;100.1;0.3;1.6;;101.4;0.5;2.4;
273;Personenauto's: diesel;2010;100.0;;1.9;;101.1;;2.9;
274;Personenauto's: diesel;2011 1e kwartaal;101.3;1.2;1.2;;103.7;2.3;3.1;
275;Personenauto's: diesel;2011 2e kwartaal;101.6;0.3;1.7;;104.5;0.7;3.1;
276;Personenauto's: diesel;2011 3e kwartaal;100.6;-1.0;0.7;;103.3;-1.1;2.4;
277;Personenauto's: diesel;2011 4e kwartaal;100.1;-0.5;-0.1;;103.0;-0.3;1.5;
278;Personenauto's: diesel;2011;100.9;;0.9;;103.6;;2.5;
279;Personenauto's: diesel;2012 1e kwartaal;99.9;-0.2;-1.4;;103.6;0.6;-0.1;
280;Personenauto's: diesel;2012 2e kwartaal;100.0;0.1;-1.6;;102.9;-0.7;-1.5;
281;Personenauto's: diesel;2012 3e kwartaal;100.0;0.1;-0.5;;103.1;0.2;-0.2;
282;Personenauto's: diesel;2012 4e kwartaal;99.9;-0.1;-0.1;;103.1;0.0;0.1;
283;Personenauto's: diesel;2012;100.0;;-0.9;;103.2;;-0.4;
284;Personenauto's: diesel;2013 1e kwartaal;100.3;0.3;0.4;;103.1;-0.1;-0.5;
285;Personenauto's: diesel;2013 2e kwartaal;100.0;-0.2;0.1;;102.3;-0.8;-0.6;
286;Personenauto's: diesel;2013 3e kwartaal;99.9;-0.2;-0.2;;102.4;0.1;-0.6;
287;Personenauto's: diesel;2013 4e kwartaal;99.6;-0.3;-0.3;;101.6;-0.8;-1.5;
288;Personenauto's: diesel;2013;100.0;;0.0;;102.3;;-0.8;
289;Personenauto's: diesel;2014 1e kwartaal;101.4;1.8;1.2;;103.6;2.0;0.5;
290;Personenauto's: diesel;2014 2e kwartaal;100.8;-0.6;0.8;;103.0;-0.6;0.7;
291;Personenauto's: diesel;2014 3e kwartaal;100.8;0.0;0.9;;102.8;-0.2;0.3;
292;Personenauto's: diesel;2014 4e kwartaal;100.7;-0.1;1.1;;102.2;-0.5;0.6;
293;Personenauto's: diesel;2014;100.9;;1.0;;102.9;;0.5;
294;Personenauto's: diesel;2015 1e kwartaal;101.4;0.7;-0.1;30.6;101.5;-0.7;-2.1;34.0
295;Personenauto's: diesel;2015 2e kwartaal;99.8;-1.5;-1.0;30.6;100.2;-1.3;-2.7;34.0
296;Personenauto's: diesel;2015 3e kwartaal;99.4;-0.4;-1.4;30.6;99.3;-0.9;-3.4;34.0
297;Personenauto's: diesel;2015 4e kwartaal;99.4;-0.1;-1.3;30.6;99.1;-0.2;-3.1;34.0
298;Personenauto's: diesel;2015;100.0;;-0.9;30.6;100.0;;-2.8;34.0
299;Personenauto's: diesel;2016 1e kwartaal;100.4;1.1;-0.9;30.6;98.5;-0.5;-2.9;34.0
300;Personenauto's: diesel;2016 2e kwartaal;100.4;-0.1;0.6;30.6;99.0;0.5;-1.2;34.0
301;Personenauto's: diesel;2016 3e kwartaal;99.5;-0.9;0.1;30.6;98.1;-0.9;-1.2;34.0
302;Personenauto's: diesel;2016 4e kwartaal;99.9;0.4;0.5;30.6;99.4;1.3;0.4;34.0
303;Personenauto's: diesel;2016;100.1;;0.1;30.6;98.8;;-1.2;34.0
304;Personenauto's: diesel;2017 1e kwartaal;100.4;0.5;0.0;30.6;100.7;1.3;2.2;34.0
305;Personenauto's: diesel;2017 2e kwartaal;99.6;-0.8;-0.8;30.6;99.4;-1.3;0.5;34.0
306;Personenauto's: diesel;2017 3e kwartaal;99.7;0.2;0.2;30.6;99.1;-0.3;1.0;34.0
307;Personenauto's: diesel;2017 4e kwartaal;100.3;0.6;0.4;30.6;100.2;1.1;0.8;34.0
308;Personenauto's: diesel;2017;100.0;;-0.1;30.6;99.9;;1.1;34.0
309;Personenauto's: diesel;2018 1e kwartaal;100.4;0.1;0.0;30.6;100.5;0.3;-0.2;34.0
310;Personenauto's: diesel;2018 2e kwartaal;102.9;2.5;3.4;30.6;104.6;4.0;5.2;34.0
311;Personenauto's: diesel;2018 3e kwartaal;104.2;1.2;4.5;30.6;105.9;1.3;6.8;34.0
312;Personenauto's: diesel;2018 4e kwartaal;108.0;3.6;7.6;30.6;109.9;3.7;9.6;34.0
313;Personenauto's: diesel;2018;103.9;;3.9;30.6;105.2;;5.3;34.0
314;Personenauto's: diesel;2019 1e kwartaal;110.9;2.7;10.5;30.6;111.5;1.5;10.9;34.0
315;Personenauto's: diesel;2019 2e kwartaal;110.3;-0.5;7.2;30.6;111.5;0.0;6.7;34.0
316;Personenauto's: diesel;2019 3e kwartaal;108.7;-1.5;4.3;30.6;109.4;-1.9;3.3;34.0
317;Personenauto's: diesel;2019 4e kwartaal;109.6;0.9;1.5;30.6;110.3;0.8;0.4;34.0
318;Personenauto's: diesel;2019;109.9;;5.8;30.6;110.7;;5.2;34.0
319;Personenauto's: diesel;2020 1e kwartaal;112.1;2.2;1.1;30.6;112.0;1.5;0.4;34.0
320;Personenauto's: diesel;2020 2e kwartaal;113.9;1.6;3.2;30.6;112.3;0.3;0.7;34.0
321;Personenauto's: diesel;2020 3e kwartaal;113.7;-0.2;4.6;30.6;113.9;1.5;4.1;34.0
322;Personenauto's: diesel;2020 4e kwartaal;114.1;0.3;4.1;30.6;113.3;-0.5;2.7;34.0
323;Personenauto's: diesel;2020;113.5;;3.2;30.6;112.8;;2.0;34.0
324;Personenauto's: diesel;2021 1e kwartaal;117.0;2.5;4.4;30.6;117.0;3.3;4.5;34.0
325;Personenauto's: diesel;2021 2e kwartaal;117.1;0.1;2.8;30.6;118.5;1.2;5.5;34.0
326;Personenauto's: diesel;2021 3e kwartaal;117.4;0.2;3.3;30.6;119.5;0.9;4.9;34.0
327;Personenauto's: diesel;2021 4e kwartaal;117.8;0.4;3.3;30.6;122.5;2.5;8.1;34.0
328;Personenauto's: diesel;2021;117.3;;3.4;30.6;119.4;;5.8;34.0
329;Personenauto's: diesel;2022 1e kwartaal;120.7;2.5;3.2;30.6;125.9;2.8;7.6;34.0
330;Personenauto's: diesel;2022 2e kwartaal;125.6;4.0;7.2;30.6;133.3;5.9;12.5;34.0
331;Personenauto's: diesel;2022 3e kwartaal;128.5;2.3;9.4;30.6;136.3;2.2;14.0;34.0
332;Personenauto's: diesel;2022 4e kwartaal;132.3;3.0;12.3;30.6;140.4;3.0;14.6;34.0
333;Personenauto's: diesel;2022;126.8;;8.0;30.6;134.0;;12.2;34.0
334;Personenauto's: diesel;2023 1e kwartaal;138.0;4.3;14.3;30.6;141.2;0.6;12.1;34.0
335;Personenauto's: diesel;2023 2e kwartaal;138.8;0.6;10.5;30.6;139.1;-1.5;4.3;34.0
336;Personenauto's: diesel;2023 3e kwartaal;138.2;-0.5;7.5;30.6;140.9;1.3;3.4;34.0
337;Personenauto's: diesel;2023 4e kwartaal;139.8;1.2;5.6;30.6;143.7;1.9;2.4;34.0
338;Personenauto's: diesel;2023;138.7;;9.4;30.6;141.2;;5.4;34.0
339;Dieselauto klasse C;2001 3e kwartaal;;;;;;;;
340;Dieselauto klasse C;2001 4e kwartaal;;;;;;;;
341;Dieselauto klasse C;2001;;;;;;;;
342;Dieselauto klasse C;2002 1e kwartaal;;;;;;;;
343;Dieselauto klasse C;2002 2e kwartaal;;;;;;;;
344;Dieselauto klasse C;2002 3e kwartaal;;;;;;;;
345;Dieselauto klasse C;2002 4e kwartaal;;;;;;;;
346;Dieselauto klasse C;2002;;;;;;;;
347;Dieselauto klasse C;2003 1e kwartaal;;;;;;;;
348;Dieselauto klasse C;2003 2e kwartaal;;;;;;;;
349;Dieselauto klasse C;2003 3e kwartaal;;;;;;;;
350;Dieselauto klasse C;2003 4e kwartaal;;;;;;;;
351;Dieselauto klasse C;2003 ;;;;;;;;
352;Dieselauto klasse C;2004 1e kwartaal;;;;;;;;
353;Dieselauto klasse C;2004 2e kwartaal;;;;;;;;
354;Dieselauto klasse C;2004 3e kwartaal;;;;;;;;
355;Dieselauto klasse C;2004 4e kwartaal;;;;;;;;
356;Dieselauto klasse C;2004;;;;;;;;
357;Dieselauto klasse C;2005 1e kwartaal;;;;;;;;
358;Dieselauto klasse C;2005 2e kwartaal;;;;;;;;
359;Dieselauto klasse C;2005 3e kwartaal;;;;;;;;
360;Dieselauto klasse C;2005 4e kwartaal;;;;;;;;
361;Dieselauto klasse C;2005;;;;;;;;
362;Dieselauto klasse C;2006 1e kwartaal;90.2;;;;90.0;;;
363;Dieselauto klasse C;2006 2e kwartaal;91.5;1.3;;;91.6;1.8;;
364;Dieselauto klasse C;2006 3e kwartaal;91.2;-0.3;;;91.4;-0.1;;
365;Dieselauto klasse C;2006 4e kwartaal;91.4;0.2;;;90.4;-1.2;;
366;Dieselauto klasse C;2006;91.1;;;;90.8;;;
367;Dieselauto klasse C;2007 1e kwartaal;92.6;1.3;2.6;;91.4;1.1;1.5;
368;Dieselauto klasse C;2007 2e kwartaal;92.7;0.1;1.4;;92.1;0.8;0.5;
369;Dieselauto klasse C;2007 3e kwartaal;92.9;0.3;1.9;;92.6;0.6;1.3;
370;Dieselauto klasse C;2007 4e kwartaal;92.8;-0.1;1.6;;93.9;1.3;3.9;
371;Dieselauto klasse C;2007;92.8;;1.9;;92.5;;1.8;
372;Dieselauto klasse C;2008 1e kwartaal;91.9;-1.0;-0.8;;93.6;-0.3;2.5;
373;Dieselauto klasse C;2008 2e kwartaal;93.5;1.8;0.9;;97.1;3.7;5.4;
374;Dieselauto klasse C;2008 3e kwartaal;94.5;1.1;1.7;;98.6;1.6;6.5;
375;Dieselauto klasse C;2008 4e kwartaal;96.0;1.6;3.4;;97.8;-0.9;4.1;
376;Dieselauto klasse C;2008;94.0;;1.3;;96.8;;4.6;
377;Dieselauto klasse C;2009 1e kwartaal;96.6;0.6;5.1;;96.6;-1.1;3.2;
378;Dieselauto klasse C;2009 2e kwartaal;96.2;-0.4;2.8;;95.9;-0.7;-1.2;
379;Dieselauto klasse C;2009 3e kwartaal;96.3;0.1;1.9;;96.5;0.6;-2.1;
380;Dieselauto klasse C;2009 4e kwartaal;96.3;0.0;0.3;;97.0;0.5;-0.8;
381;Dieselauto klasse C;2009;96.3;;2.5;;96.5;;-0.2;
382;Dieselauto klasse C;2010 1e kwartaal;98.3;2.1;1.8;;98.9;1.9;2.3;
383;Dieselauto klasse C;2010 2e kwartaal;98.9;0.5;2.8;;100.2;1.3;4.4;
384;Dieselauto klasse C;2010 3e kwartaal;98.9;0.1;2.7;;100.0;-0.2;3.6;
385;Dieselauto klasse C;2010 4e kwartaal;99.3;0.4;3.1;;100.7;0.8;3.8;
386;Dieselauto klasse C;2010;98.9;;2.6;;99.9;;3.5;
387;Dieselauto klasse C;2011 1e kwartaal;101.3;2.0;3.0;;103.9;3.2;5.1;
388;Dieselauto klasse C;2011 2e kwartaal;101.9;0.6;3.1;;105.1;1.1;4.9;
389;Dieselauto klasse C;2011 3e kwartaal;101.6;-0.3;2.7;;104.5;-0.6;4.6;
390;Dieselauto klasse C;2011 4e kwartaal;100.6;-0.9;1.3;;102.7;-1.7;2.0;
391;Dieselauto klasse C;2011;101.4;;2.5;;104.1;;4.1;
392;Dieselauto klasse C;2012 1e kwartaal;100.8;0.1;-0.5;;103.6;0.9;-0.3;
393;Dieselauto klasse C;2012 2e kwartaal;100.4;-0.4;-1.5;;102.2;-1.4;-2.8;
394;Dieselauto klasse C;2012 3e kwartaal;98.7;-1.7;-2.8;;101.1;-1.0;-3.2;
395;Dieselauto klasse C;2012 4e kwartaal;98.8;0.1;-1.8;;101.4;0.3;-1.3;
396;Dieselauto klasse C;2012;99.7;;-1.7;;102.1;;-1.9;
397;Dieselauto klasse C;2013 1e kwartaal;99.2;0.3;-1.6;;101.5;0.0;-2.1;
398;Dieselauto klasse C;2013 2e kwartaal;98.9;-0.3;-1.5;;100.7;-0.7;-1.5;
399;Dieselauto klasse C;2013 3e kwartaal;98.3;-0.6;-0.4;;100.5;-0.2;-0.6;
400;Dieselauto klasse C;2013 4e kwartaal;98.8;0.5;0.0;;100.4;-0.1;-1.0;
401;Dieselauto klasse C;2013;98.8;;-0.9;;100.8;;-1.3;
402;Dieselauto klasse C;2014 1e kwartaal;101.6;2.9;2.5;;103.4;3.0;1.9;
403;Dieselauto klasse C;2014 2e kwartaal;101.1;-0.5;2.3;;102.9;-0.5;2.2;
404;Dieselauto klasse C;2014 3e kwartaal;101.0;-0.1;2.7;;102.7;-0.2;2.2;
405;Dieselauto klasse C;2014 4e kwartaal;101.0;0.0;2.2;;102.3;-0.4;1.9;
406;Dieselauto klasse C;2014;101.2;;2.4;;102.8;;2.0;
407;Dieselauto klasse C;2015 1e kwartaal;101.7;0.7;0.1;12.4;101.7;-0.6;-1.6;13.7
408;Dieselauto klasse C;2015 2e kwartaal;99.9;-1.8;-1.2;12.4;100.2;-1.5;-2.6;13.7
409;Dieselauto klasse C;2015 3e kwartaal;99.1;-0.8;-1.9;12.4;99.0;-1.2;-3.6;13.7
410;Dieselauto klasse C;2015 4e kwartaal;99.3;0.2;-1.7;12.4;99.1;0.1;-3.1;13.7
411;Dieselauto klasse C;2015;100.0;;-1.2;12.4;100.0;;-2.7;13.7
412;Dieselauto klasse C;2016 1e kwartaal;100.2;0.9;-1.5;12.4;98.4;-0.7;-3.3;13.7
413;Dieselauto klasse C;2016 2e kwartaal;99.8;-0.4;-0.1;12.4;98.6;0.3;-1.6;13.7
414;Dieselauto klasse C;2016 3e kwartaal;98.5;-1.3;-0.6;12.4;97.3;-1.3;-1.7;13.7
415;Dieselauto klasse C;2016 4e kwartaal;98.8;0.4;-0.5;12.4;98.7;1.4;-0.4;13.7
416;Dieselauto klasse C;2016;99.3;;-0.7;12.4;98.3;;-1.7;13.7
417;Dieselauto klasse C;2017 1e kwartaal;99.3;0.5;-0.9;12.4;99.8;1.0;1.4;13.7
418;Dieselauto klasse C;2017 2e kwartaal;98.6;-0.7;-1.2;12.4;98.9;-0.9;0.2;13.7
419;Dieselauto klasse C;2017 3e kwartaal;99.0;0.5;0.6;12.4;98.8;0.0;1.5;13.7
420;Dieselauto klasse C;2017 4e kwartaal;99.6;0.6;0.8;12.4;99.9;1.1;1.2;13.7
421;Dieselauto klasse C;2017;99.1;;-0.2;12.4;99.3;;1.1;13.7
422;Dieselauto klasse C;2018 1e kwartaal;99.8;0.2;0.6;12.4;100.4;0.5;0.6;13.7
423;Dieselauto klasse C;2018 2e kwartaal;103.5;3.6;5.0;12.4;105.7;5.3;7.0;13.7
424;Dieselauto klasse C;2018 3e kwartaal;105.1;1.6;6.1;12.4;107.3;1.5;8.6;13.7
425;Dieselauto klasse C;2018 4e kwartaal;107.0;1.8;7.4;12.4;109.4;2.0;9.5;13.7
426;Dieselauto klasse C;2018;103.9;;4.8;12.4;105.7;;6.4;13.7
427;Dieselauto klasse C;2019 1e kwartaal;110.1;2.9;10.3;12.4;111.3;1.7;10.9;13.7
428;Dieselauto klasse C;2019 2e kwartaal;109.8;-0.3;6.2;12.4;111.6;0.2;5.5;13.7
429;Dieselauto klasse C;2019 3e kwartaal;107.6;-2.0;2.4;12.4;109.0;-2.3;1.6;13.7
430;Dieselauto klasse C;2019 4e kwartaal;108.3;0.6;1.2;12.4;109.5;0.4;0.1;13.7
431;Dieselauto klasse C;2019;109.0;;4.9;12.4;110.3;;4.4;13.7
432;Dieselauto klasse C;2020 1e kwartaal;109.9;1.5;-0.2;12.4;110.2;0.7;-0.9;13.7
433;Dieselauto klasse C;2020 2e kwartaal;111.7;1.6;1.7;12.4;110.3;0.1;-1.1;13.7
434;Dieselauto klasse C;2020 3e kwartaal;110.4;-1.2;2.6;12.4;111.1;0.7;1.9;13.7
435;Dieselauto klasse C;2020 4e kwartaal;111.2;0.7;2.7;12.4;111.0;-0.1;1.4;13.7
436;Dieselauto klasse C;2020;110.8;;1.7;12.4;110.7;;0.3;13.7
437;Dieselauto klasse C;2021 1e kwartaal;115.7;4.1;5.3;12.4;116.5;5.0;5.7;13.7
438;Dieselauto klasse C;2021 2e kwartaal;115.2;-0.4;3.1;12.4;117.3;0.7;6.4;13.7
439;Dieselauto klasse C;2021 3e kwartaal;115.7;0.4;4.8;12.4;118.4;0.9;6.6;13.7
440;Dieselauto klasse C;2021 4e kwartaal;116.4;0.6;4.6;12.4;121.7;2.8;9.7;13.7
441;Dieselauto klasse C;2021;115.7;;4.4;12.4;118.5;;7.1;13.7
442;Dieselauto klasse C;2022 1e kwartaal;119.5;2.7;3.3;12.4;125.4;3.0;7.6;13.7
443;Dieselauto klasse C;2022 2e kwartaal;123.8;3.6;7.4;12.4;132.5;5.7;12.9;13.7
444;Dieselauto klasse C;2022 3e kwartaal;127.1;2.7;9.9;12.4;136.0;2.6;14.8;13.7
445;Dieselauto klasse C;2022 4e kwartaal;130.6;2.8;12.3;12.4;140.1;3.1;15.1;13.7
446;Dieselauto klasse C;2022;125.3;;8.2;12.4;133.5;;12.7;13.7
447;Dieselauto klasse C;2023 1e kwartaal;136.8;4.7;14.5;12.4;141.0;0.6;12.4;13.7
448;Dieselauto klasse C;2023 2e kwartaal;136.7;-0.1;10.4;12.4;137.8;-2.2;4.0;13.7
449;Dieselauto klasse C;2023 3e kwartaal;135.2;-1.1;6.3;12.4;139.0;0.9;2.3;13.7
450;Dieselauto klasse C;2023 4e kwartaal;136.5;1.0;4.5;12.4;141.6;1.9;1.1;13.7
451;Dieselauto klasse C;2023;136.3;;8.8;12.4;139.9;;4.8;13.7
452;Dieselauto klasse D;2001 3e kwartaal;;;;;;;;
453;Dieselauto klasse D;2001 4e kwartaal;;;;;;;;
454;Dieselauto klasse D;2001;;;;;;;;
455;Dieselauto klasse D;2002 1e kwartaal;;;;;;;;
456;Dieselauto klasse D;2002 2e kwartaal;;;;;;;;
457;Dieselauto klasse D;2002 3e kwartaal;;;;;;;;
458;Dieselauto klasse D;2002 4e kwartaal;;;;;;;;
459;Dieselauto klasse D;2002;;;;;;;;
460;Dieselauto klasse D;2003 1e kwartaal;;;;;;;;
461;Dieselauto klasse D;2003 2e kwartaal;;;;;;;;
462;Dieselauto klasse D;2003 3e kwartaal;;;;;;;;
463;Dieselauto klasse D;2003 4e kwartaal;;;;;;;;
464;Dieselauto klasse D;2003 ;;;;;;;;
465;Dieselauto klasse D;2004 1e kwartaal;;;;;;;;
466;Dieselauto klasse D;2004 2e kwartaal;;;;;;;;
467;Dieselauto klasse D;2004 3e kwartaal;;;;;;;;
468;Dieselauto klasse D;2004 4e kwartaal;;;;;;;;
469;Dieselauto klasse D;2004;;;;;;;;
470;Dieselauto klasse D;2005 1e kwartaal;;;;;;;;
471;Dieselauto klasse D;2005 2e kwartaal;;;;;;;;
472;Dieselauto klasse D;2005 3e kwartaal;;;;;;;;
473;Dieselauto klasse D;2005 4e kwartaal;;;;;;;;
474;Dieselauto klasse D;2005;;;;;;;;
475;Dieselauto klasse D;2006 1e kwartaal;91.7;;;;91.8;;;
476;Dieselauto klasse D;2006 2e kwartaal;93.2;1.6;;;93.6;2.0;;
477;Dieselauto klasse D;2006 3e kwartaal;93.6;0.4;;;94.0;0.4;;
478;Dieselauto klasse D;2006 4e kwartaal;94.3;0.8;;;93.3;-0.7;;
479;Dieselauto klasse D;2006;93.2;;;;93.2;;;
480;Dieselauto klasse D;2007 1e kwartaal;96.0;1.9;4.7;;94.7;1.5;3.2;
481;Dieselauto klasse D;2007 2e kwartaal;96.4;0.4;3.4;;95.7;1.1;2.2;
482;Dieselauto klasse D;2007 3e kwartaal;96.2;-0.3;2.8;;95.9;0.2;2.0;
483;Dieselauto klasse D;2007 4e kwartaal;95.5;-0.7;1.3;;96.7;0.8;3.7;
484;Dieselauto klasse D;2007;96.0;;3.0;;95.8;;2.8;
485;Dieselauto klasse D;2008 1e kwartaal;93.7;-1.9;-2.4;;95.8;-0.9;1.2;
486;Dieselauto klasse D;2008 2e kwartaal;94.6;0.9;-1.9;;98.7;3.0;3.1;
487;Dieselauto klasse D;2008 3e kwartaal;95.9;1.4;-0.2;;100.6;1.9;4.9;
488;Dieselauto klasse D;2008 4e kwartaal;96.3;0.4;0.9;;98.7;-1.9;2.0;
489;Dieselauto klasse D;2008;95.1;;-0.9;;98.4;;2.8;
490;Dieselauto klasse D;2009 1e kwartaal;98.2;2.0;4.8;;98.7;0.0;3.0;
491;Dieselauto klasse D;2009 2e kwartaal;98.6;0.4;4.2;;98.7;0.0;0.0;
492;Dieselauto klasse D;2009 3e kwartaal;99.7;1.2;4.0;;100.1;1.5;-0.5;
493;Dieselauto klasse D;2009 4e kwartaal;99.9;0.1;3.7;;100.7;0.6;2.1;
494;Dieselauto klasse D;2009;99.1;;4.2;;99.5;;1.1;
495;Dieselauto klasse D;2010 1e kwartaal;102.3;2.4;4.1;;102.9;2.2;4.3;
496;Dieselauto klasse D;2010 2e kwartaal;101.5;-0.8;2.9;;103.1;0.2;4.6;
497;Dieselauto klasse D;2010 3e kwartaal;100.9;-0.6;1.2;;102.4;-0.8;2.3;
498;Dieselauto klasse D;2010 4e kwartaal;101.5;0.5;1.6;;102.9;0.5;2.2;
499;Dieselauto klasse D;2010;101.5;;2.5;;102.8;;3.3;
500;Dieselauto klasse D;2011 1e kwartaal;102.4;0.9;0.1;;104.8;1.8;1.8;
501;Dieselauto klasse D;2011 2e kwartaal;102.5;0.1;1.0;;105.3;0.5;2.1;
502;Dieselauto klasse D;2011 3e kwartaal;101.2;-1.2;0.3;;104.0;-1.3;1.6;
503;Dieselauto klasse D;2011 4e kwartaal;101.0;-0.3;-0.5;;104.0;0.1;1.1;
504;Dieselauto klasse D;2011;101.8;;0.2;;104.5;;1.7;
505;Dieselauto klasse D;2012 1e kwartaal;100.2;-0.8;-2.2;;104.0;-0.1;-0.8;
506;Dieselauto klasse D;2012 2e kwartaal;100.6;0.5;-1.8;;103.6;-0.3;-1.6;
507;Dieselauto klasse D;2012 3e kwartaal;101.5;0.9;0.3;;104.6;0.9;0.6;
508;Dieselauto klasse D;2012 4e kwartaal;101.4;-0.1;0.4;;104.6;0.1;0.6;
509;Dieselauto klasse D;2012;100.9;;-0.8;;104.2;;-0.3;
510;Dieselauto klasse D;2013 1e kwartaal;101.5;0.1;1.3;;104.4;-0.2;0.4;
511;Dieselauto klasse D;2013 2e kwartaal;101.4;-0.1;0.8;;103.7;-0.6;0.0;
512;Dieselauto klasse D;2013 3e kwartaal;101.6;0.2;0.1;;104.2;0.4;-0.4;
513;Dieselauto klasse D;2013 4e kwartaal;101.0;-0.6;-0.4;;103.0;-1.1;-1.6;
514;Dieselauto klasse D;2013;101.4;;0.5;;103.8;;-0.4;
515;Dieselauto klasse D;2014 1e kwartaal;101.5;0.5;0.1;;104.1;1.1;-0.2;
516;Dieselauto klasse D;2014 2e kwartaal;101.2;-0.4;-0.2;;103.5;-0.6;-0.2;
517;Dieselauto klasse D;2014 3e kwartaal;101.6;0.4;0.0;;103.6;0.1;-0.6;
518;Dieselauto klasse D;2014 4e kwartaal;101.1;-0.5;0.1;;102.7;-0.9;-0.3;
519;Dieselauto klasse D;2014;101.4;;0.0;;103.5;;-0.3;
520;Dieselauto klasse D;2015 1e kwartaal;101.5;0.4;0.0;12.1;101.7;-1.0;-2.4;13.4
521;Dieselauto klasse D;2015 2e kwartaal;100.2;-1.4;-1.0;12.1;100.6;-1.1;-2.8;13.4
522;Dieselauto klasse D;2015 3e kwartaal;99.2;-0.9;-2.3;12.1;99.1;-1.4;-4.3;13.4
523;Dieselauto klasse D;2015 4e kwartaal;99.0;-0.2;-2.0;12.1;98.7;-0.5;-3.9;13.4
524;Dieselauto klasse D;2015;100.0;;-1.3;12.1;100.0;;-3.4;13.4
525;Dieselauto klasse D;2016 1e kwartaal;100.5;1.5;-1.0;12.1;98.5;-0.1;-3.1;13.4
526;Dieselauto klasse D;2016 2e kwartaal;101.0;0.5;0.8;12.1;99.4;0.8;-1.2;13.4
527;Dieselauto klasse D;2016 3e kwartaal;100.3;-0.7;1.1;12.1;98.7;-0.7;-0.4;13.4
528;Dieselauto klasse D;2016 4e kwartaal;100.7;0.4;1.7;12.1;99.9;1.3;1.3;13.4
529;Dieselauto klasse D;2016;100.6;;0.6;12.1;99.1;;-0.9;13.4
530;Dieselauto klasse D;2017 1e kwartaal;101.4;0.7;0.9;12.1;101.6;1.6;3.1;13.4
531;Dieselauto klasse D;2017 2e kwartaal;99.6;-1.8;-1.3;12.1;99.4;-2.1;0.0;13.4
532;Dieselauto klasse D;2017 3e kwartaal;99.6;-0.1;-0.7;12.1;98.9;-0.5;0.2;13.4
533;Dieselauto klasse D;2017 4e kwartaal;100.0;0.5;-0.6;12.1;99.8;0.9;-0.1;13.4
534;Dieselauto klasse D;2017;100.2;;-0.5;12.1;99.9;;0.8;13.4
535;Dieselauto klasse D;2018 1e kwartaal;100.2;0.2;-1.2;12.1;100.1;0.3;-1.4;13.4
536;Dieselauto klasse D;2018 2e kwartaal;102.0;1.8;2.3;12.1;103.1;3.0;3.7;13.4
537;Dieselauto klasse D;2018 3e kwartaal;103.0;1.0;3.4;12.1;104.4;1.3;5.6;13.4
538;Dieselauto klasse D;2018 4e kwartaal;109.7;6.5;9.6;12.1;111.3;6.5;11.5;13.4
539;Dieselauto klasse D;2018;103.7;;3.5;12.1;104.7;;4.8;13.4
540;Dieselauto klasse D;2019 1e kwartaal;112.1;2.2;11.8;12.1;112.4;1.0;12.3;13.4
541;Dieselauto klasse D;2019 2e kwartaal;110.8;-1.1;8.7;12.1;111.8;-0.5;8.4;13.4
542;Dieselauto klasse D;2019 3e kwartaal;109.7;-1.1;6.5;12.1;109.9;-1.7;5.3;13.4
543;Dieselauto klasse D;2019 4e kwartaal;110.4;0.7;0.7;12.1;110.9;0.9;-0.3;13.4
544;Dieselauto klasse D;2019;110.7;;6.8;12.1;111.3;;6.2;13.4
545;Dieselauto klasse D;2020 1e kwartaal;113.8;3.1;1.6;12.1;113.3;2.2;0.8;13.4
546;Dieselauto klasse D;2020 2e kwartaal;115.9;1.9;4.6;12.1;114.0;0.6;2.0;13.4
547;Dieselauto klasse D;2020 3e kwartaal;116.3;0.3;6.1;12.1;116.2;2.0;5.7;13.4
548;Dieselauto klasse D;2020 4e kwartaal;116.2;-0.1;5.2;12.1;114.9;-1.1;3.6;13.4
549;Dieselauto klasse D;2020;115.6;;4.3;12.1;114.6;;3.0;13.4
550;Dieselauto klasse D;2021 1e kwartaal;117.6;1.2;3.3;12.1;117.2;2.0;3.4;13.4
551;Dieselauto klasse D;2021 2e kwartaal;118.2;0.5;2.0;12.1;119.2;1.7;4.6;13.4
552;Dieselauto klasse D;2021 3e kwartaal;118.5;0.2;1.9;12.1;120.4;1.0;3.6;13.4
553;Dieselauto klasse D;2021 4e kwartaal;118.6;0.1;2.1;12.1;122.9;2.1;7.0;13.4
554;Dieselauto klasse D;2021;118.2;;2.3;12.1;119.9;;4.6;13.4
