ID;Sex;PersonalCharacteristics;Periods;TotalPopulationAged15YearsAndOlder_1;TotalLabourForceAccToInternatDef_2;EmpLabourForceAccToInternatDef_3;UnempLabourForceAccToInternatDef_4;PeopleNotIncludedInTheLabourForce_5;GrossLabourParticipation_6;NetLabourParticipation_7;UnemploymentAsAPercentage_8;TotalEmployees_9;EmployeesPermanentJobs_10;EmployeesFlexibleJobs_11;SelfEmployed_12;FamilyWorkers_13;k_0119HrsPerWeek_14;k_2034HrsPerWeek_15;k_35HrsPerWeek_16;WorkingHoursUnknown_17;Military_18;LegislatorsSeniorOfficialsManagers_19;ScientistsScholars_20;TechniciansSkilledWorkers_21;OfficeWorkers_22;ServiceShopAndMarketSalesWorkers_23;SkilledWorkersAgricultureAndFishery_24;Craftsmen_25;FactoryWorkersMachineOperatorsEtc_26;ElementaryOccupations_27;NotClassifiable_28
106;Total sex;50 - 54 yrs;2001;1156;857;839;19.0;299.0;74.2;72.6;2.2;711.0;661.0;50.0;119.0;8.0;120.0;191.0;527.0;;4.0;142.0;169.0;133.0;90.0;81.0;9.0;75.0;56.0;67.0;12.0
107;Total sex;50 - 54 yrs;2002;1127;843;822;21.0;284.0;74.8;72.9;2.5;697.0;654.0;43.0;119.0;7.0;111.0;191.0;517.0;2.0;4.0;129.0;170.0;124.0;98.0;79.0;10.0;81.0;54.0;62.0;11.0
108;Total sex;50 - 54 yrs;2003;1111;849;821;28.0;262.0;76.4;73.9;3.3;695.0;655.0;40.0;119.0;7.0;113.0;207.0;500.0;;3.0;124.0;169.0;144.0;94.0;80.0;8.0;76.0;52.0;57.0;14.0
109;Total sex;50 - 54 yrs;2004;1106;846;813;33.0;260.0;76.5;73.5;3.9;692.0;650.0;43.0;115.0;5.0;118.0;210.0;483.0;;2.0;104.0;179.0;137.0;102.0;89.0;10.0;74.0;54.0;59.0;2.0
110;Total sex;50 - 54 yrs;2005;1109;869;832;37.0;241.0;78.3;75.0;4.2;703.0;660.0;42.0;124.0;5.0;122.0;221.0;487.0;;3.0;103.0;181.0;148.0;100.0;87.0;9.0;80.0;51.0;60.0;9.0
111;Total sex;50 - 54 yrs;2006;1120;883;854;29.0;237.0;78.8;76.3;3.3;726.0;681.0;45.0;123.0;5.0;113.0;232.0;508.0;;2.0;114.0;183.0;148.0;103.0;89.0;10.0;76.0;51.0;66.0;10.0
112;Total sex;55 - 59 yrs;2000;862;471;461;10.0;391.0;54.7;53.5;2.2;371.0;342.0;29.0;86.0;4.0;76.0;108.0;277.0;;;95.0;93.0;62.0;47.0;36.0;6.0;43.0;30.0;37.0;12.0
113;Total sex;55 - 59 yrs;2001;915;517;509;8.0;398.0;56.5;55.6;1.5;414.0;382.0;33.0;88.0;6.0;79.0;120.0;308.0;;;91.0;102.0;73.0;53.0;47.0;8.0;51.0;37.0;40.0;5.0
114;Total sex;55 - 59 yrs;2002;996;595;583;12.0;401.0;59.7;58.5;2.0;479.0;446.0;34.0;97.0;6.0;102.0;134.0;345.0;2.0;;102.0;126.0;80.0;56.0;55.0;9.0;60.0;39.0;46.0;9.0
115;Total sex;55 - 59 yrs;2003;1055;632;613;19.0;423.0;59.9;58.1;3.0;509.0;473.0;36.0;99.0;5.0;105.0;151.0;353.0;3.0;;104.0;127.0;93.0;66.0;58.0;8.0;57.0;43.0;45.0;10.0
116;Total sex;55 - 59 yrs;2004;1092;677;650;27.0;415.0;62.0;59.5;4.0;537.0;505.0;32.0;110.0;4.0;111.0;164.0;374.0;;;85.0;144.0;105.0;73.0;68.0;7.0;64.0;51.0;50.0;2.0
117;Total sex;55 - 59 yrs;2005;1124;714;684;30.0;410.0;63.6;60.8;4.3;566.0;529.0;37.0;113.0;5.0;123.0;172.0;387.0;;;89.0;155.0;108.0;81.0;72.0;8.0;65.0;46.0;53.0;7.0
118;Total sex;55 - 59 yrs;2006;1122;740;710;30.0;383.0;65.9;63.2;4.1;590.0;551.0;40.0;114.0;5.0;118.0;199.0;391.0;2.0;;96.0;156.0;105.0;81.0;72.0;10.0;67.0;49.0;65.0;8.0
119;Total sex;60 - 64 yrs;2000;727;140;137;3.0;587.0;19.3;18.8;2.4;81.0;67.0;14.0;52.0;4.0;37.0;37.0;63.0;;;38.0;26.0;15.0;11.0;11.0;2.0;10.0;7.0;10.0;6.0
120;Total sex;60 - 64 yrs;2001;743;144;141;4.0;599.0;19.4;18.9;2.5;93.0;76.0;16.0;46.0;2.0;47.0;30.0;63.0;;;32.0;29.0;16.0;12.0;13.0;3.0;9.0;9.0;16.0;2.0
121;Total sex;60 - 64 yrs;2002;759;170;165;4.0;589.0;22.4;21.8;2.5;107.0;89.0;18.0;56.0;2.0;55.0;36.0;74.0;;;34.0;38.0;22.0;14.0;14.0;3.0;13.0;9.0;15.0;3.0
122;Total sex;60 - 64 yrs;2003;779;179;174;5.0;600.0;23.0;22.3;2.9;112.0;93.0;19.0;59.0;3.0;51.0;44.0;78.0;;;39.0;42.0;24.0;15.0;14.0;2.0;11.0;11.0;13.0;3.0
123;Total sex;60 - 64 yrs;2004;805;196;189;7.0;608.0;24.4;23.5;3.6;126.0;106.0;21.0;60.0;3.0;58.0;43.0;86.0;2.0;;32.0;49.0;26.0;19.0;17.0;3.0;14.0;12.0;15.0;
124;Total sex;60 - 64 yrs;2005;825;202;191;10.0;623.0;24.5;23.2;5.2;128.0;107.0;20.0;62.0;2.0;61.0;46.0;83.0;;;32.0;46.0;28.0;18.0;20.0;3.0;15.0;12.0;16.0;2.0
125;Total sex;60 - 64 yrs;2006;875;240;227;13.0;634.0;27.5;26.0;5.3;158.0;131.0;27.0;67.0;3.0;69.0;54.0;102.0;3.0;;40.0;49.0;31.0;20.0;24.0;4.0;21.0;14.0;21.0;2.0
126;Total sex;65 - 69 yrs;2000;614;38;38;;576.0;6.1;6.1;;15.0;5.0;10.0;22.0;;20.0;7.0;11.0;;;13.0;5.0;4.0;;2.0;;3.0;3.0;2.0;5.0
127;Total sex;65 - 69 yrs;2001;630;41;40;;590.0;6.5;6.3;;15.0;6.0;10.0;23.0;;21.0;11.0;8.0;;;10.0;10.0;4.0;;4.0;;3.0;4.0;3.0;
128;Total sex;65 - 69 yrs;2002;640;47;45;2.0;594.0;7.3;7.1;3.2;17.0;6.0;11.0;27.0;;27.0;8.0;9.0;;;15.0;11.0;6.0;2.0;3.0;;2.0;2.0;2.0;
129;Total sex;65 - 69 yrs;2003;650;53;51;2.0;597.0;8.2;7.9;3.6;24.0;11.0;13.0;27.0;;29.0;12.0;10.0;;;14.0;8.0;6.0;4.0;5.0;;2.0;4.0;5.0;
130;Total sex;65 - 69 yrs;2004;678;56;53;3.0;622.0;8.3;7.9;5.0;25.0;10.0;15.0;28.0;;27.0;12.0;13.0;;;11.0;15.0;6.0;4.0;4.0;;2.0;5.0;5.0;
131;Total sex;65 - 69 yrs;2005;667;58;58;;608.0;8.8;8.6;;25.0;13.0;12.0;32.0;;33.0;11.0;13.0;;;15.0;14.0;6.0;3.0;5.0;;3.0;4.0;7.0;
132;Total sex;65 - 69 yrs;2006;713;65;62;3.0;648.0;9.1;8.7;5.1;29.0;13.0;16.0;31.0;2.0;33.0;16.0;12.0;;;17.0;14.0;6.0;4.0;6.0;2.0;4.0;4.0;4.0;
133;Total sex;70 - 74 yrs;2000;567;21;21;;547.0;3.7;3.7;;7.0;2.0;5.0;13.0;;14.0;4.0;3.0;;;4.0;5.0;;;3.0;;;;;4.0
134;Total sex;70 - 74 yrs;2001;560;14;14;;546.0;2.5;2.5;;6.0;2.0;4.0;8.0;;9.0;3.0;2.0;;;4.0;3.0;2.0;;;;;;;
135;Total sex;70 - 74 yrs;2002;560;19;19;;541.0;3.4;3.3;;8.0;2.0;6.0;11.0;;11.0;4.0;4.0;;;5.0;4.0;3.0;2.0;2.0;;;;;
136;Total sex;70 - 74 yrs;2003;563;20;20;;543.0;3.6;3.5;;9.0;4.0;5.0;11.0;;10.0;4.0;5.0;;;7.0;2.0;3.0;2.0;;;;;2.0;
137;Total sex;70 - 74 yrs;2004;553;18;17;;534.0;3.3;3.1;;6.0;3.0;4.0;11.0;;10.0;3.0;4.0;;;4.0;4.0;2.0;2.0;;;;2.0;2.0;
138;Total sex;70 - 74 yrs;2005;582;26;25;;556.0;4.4;4.3;;8.0;3.0;5.0;16.0;;16.0;5.0;4.0;;;6.0;4.0;4.0;2.0;2.0;;;;3.0;
139;Total sex;70 - 74 yrs;2006;552;28;28;;523.0;5.1;5.0;;12.0;3.0;9.0;16.0;;17.0;5.0;6.0;;;6.0;5.0;3.0;2.0;2.0;;;4.0;2.0;
140;Total sex;75 yrs and older;2000;839;6;6;;833.0;0.7;0.7;;2.0;;;4.0;;3.0;;2.0;;;2.0;2.0;;;;;;;;
141;Total sex;75 yrs and older;2001;857;9;9;;848.0;1.1;1.1;;;;;7.0;;4.0;2.0;3.0;;;3.0;2.0;;;;;;;;
142;Total sex;75 yrs and older;2002;873;11;11;;862.0;1.3;1.3;;3.0;;2.0;8.0;;7.0;2.0;2.0;;;4.0;3.0;2.0;;;;;;;
143;Total sex;75 yrs and older;2003;888;11;11;;877.0;1.2;1.2;;2.0;;2.0;8.0;;6.0;2.0;2.0;;;4.0;3.0;;;;;;;;
144;Total sex;75 yrs and older;2004;907;12;12;;895.0;1.3;1.3;;3.0;;3.0;8.0;;7.0;2.0;2.0;;;2.0;2.0;3.0;;;;;;;
145;Total sex;75 yrs and older;2005;922;10;10;;912.0;1.1;1.1;;4.0;;3.0;6.0;;6.0;2.0;2.0;;;3.0;3.0;;;;;;;2.0;
146;Total sex;75 yrs and older;2006;936;10;10;;926.0;1.1;1.1;;3.0;;2.0;8.0;;7.0;;;;;4.0;2.0;;;;;;;;
147;Total sex;Single person households;2000;2268;1120;1066;55.0;1147.0;49.4;47.0;4.9;956.0;812.0;144.0;110.0;;142.0;201.0;723.0;;3.0;108.0;227.0;205.0;133.0;117.0;17.0;82.0;61.0;80.0;32.0
148;Total sex;Single person households;2001;2318;1149;1102;47.0;1170.0;49.5;47.5;4.1;998.0;864.0;134.0;103.0;;144.0;204.0;754.0;;4.0;112.0;244.0;206.0;143.0;126.0;15.0;88.0;69.0;75.0;20.0
149;Total sex;Single person households;2002;2299;1155;1100;55.0;1144.0;50.2;47.8;4.8;989.0;861.0;128.0;109.0;;152.0;202.0;744.0;2.0;4.0;94.0;262.0;206.0;142.0;124.0;14.0;92.0;66.0;80.0;16.0
150;Total sex;Single person households;2003;2318;1144;1062;82.0;1174.0;49.3;45.8;7.2;949.0;830.0;119.0;111.0;;132.0;223.0;706.0;;5.0;108.0;240.0;204.0;127.0;117.0;16.0;79.0;61.0;79.0;23.0
151;Total sex;Single person households;2004;2348;1175;1085;90.0;1173.0;50.0;46.2;7.7;964.0;826.0;138.0;120.0;;146.0;225.0;712.0;2.0;3.0;84.0;273.0;213.0;138.0;130.0;13.0;83.0;70.0;75.0;4.0
152;Total sex;Single person households;2005;2371;1138;1051;87.0;1233.0;48.0;44.3;7.7;935.0;806.0;129.0;115.0;;146.0;216.0;686.0;2.0;3.0;81.0;247.0;201.0;128.0;132.0;14.0;87.0;60.0;83.0;14.0
153;Total sex;Single person households;2006;2445;1191;1122;69.0;1254.0;48.7;45.9;5.8;995.0;855.0;140.0;127.0;;147.0;233.0;737.0;4.0;3.0;98.0;266.0;201.0;137.0;136.0;17.0;90.0;69.0;87.0;17.0
154;Total sex;Partner in a couple (no children);2000;4292;2301;2263;38.0;1991.0;53.6;52.7;1.7;1975.0;1808.0;167.0;274.0;14.0;244.0;504.0;1513.0;2.0;12.0;336.0;444.0;422.0;274.0;249.0;27.0;189.0;130.0;125.0;55.0
155;Total sex;Partner in a couple (no children);2001;4247;2240;2202;38.0;2008.0;52.7;51.8;1.7;1929.0;1785.0;144.0;257.0;15.0;244.0;494.0;1463.0;;9.0;312.0;453.0;421.0;269.0;247.0;23.0;185.0;120.0;135.0;28.0
156;Total sex;Partner in a couple (no children);2002;4222;2207;2162;45.0;2015.0;52.3;51.2;2.0;1876.0;1726.0;150.0;270.0;15.0;250.0;511.0;1396.0;5.0;10.0;312.0;451.0;414.0;258.0;226.0;26.0;187.0;121.0;124.0;33.0
157;Total sex;Partner in a couple (no children);2003;4321;2275;2211;64.0;2046.0;52.6;51.2;2.8;1926.0;1779.0;147.0;272.0;12.0;253.0;540.0;1411.0;6.0;9.0;313.0;468.0;459.0;244.0;237.0;22.0;175.0;125.0;127.0;34.0
158;Total sex;Partner in a couple (no children);2004;4306;2239;2163;76.0;2067.0;52.0;50.2;3.4;1880.0;1729.0;151.0;272.0;11.0;269.0;525.0;1362.0;6.0;10.0;231.0;489.0;418.0;283.0;255.0;23.0;191.0;130.0;124.0;8.0
159;Total sex;Partner in a couple (no children);2005;4276;2220;2143;77.0;2056.0;51.9;50.1;3.5;1844.0;1683.0;161.0;286.0;13.0;295.0;525.0;1318.0;4.0;12.0;237.0;493.0;414.0;268.0;254.0;23.0;177.0;115.0;129.0;19.0
160;Total sex;Partner in a couple (no children);2006;4283;2240;2170;70.0;2043.0;52.3;50.7;3.1;1859.0;1681.0;178.0;297.0;15.0;285.0;550.0;1330.0;6.0;10.0;251.0;487.0;408.0;268.0;263.0;23.0;175.0;120.0;141.0;25.0
161;Total sex;Partner in a couple with children;2000;4122;3241;3169;72.0;881.0;78.6;76.9;2.2;2697.0;2460.0;237.0;436.0;36.0;573.0;729.0;1866.0;;14.0;515.0;560.0;555.0;336.0;325.0;49.0;319.0;213.0;210.0;73.0
162;Total sex;Partner in a couple with children;2001;4159;3309;3247;62.0;850.0;79.6;78.1;1.9;2795.0;2582.0;213.0;425.0;27.0;583.0;765.0;1898.0;;16.0;521.0;553.0;585.0;363.0;340.0;36.0;340.0;226.0;226.0;41.0
163;Total sex;Partner in a couple with children;2002;4203;3353;3282;71.0;850.0;79.8;78.1;2.1;2824.0;2629.0;194.0;431.0;28.0;597.0;820.0;1859.0;5.0;13.0;522.0;599.0;596.0;350.0;345.0;37.0;333.0;217.0;232.0;39.0
164;Total sex;Partner in a couple with children;2003;4150;3359;3262;97.0;791.0;80.9;78.6;2.9;2803.0;2619.0;184.0;435.0;25.0;591.0;831.0;1835.0;6.0;12.0;513.0;598.0;612.0;359.0;350.0;36.0;312.0;210.0;217.0;42.0
165;Total sex;Partner in a couple with children;2004;4168;3381;3264;117.0;787.0;81.1;78.3;3.4;2792.0;2613.0;178.0;448.0;25.0;589.0;851.0;1818.0;6.0;16.0;385.0;655.0;638.0;386.0;386.0;38.0;315.0;225.0;208.0;12.0
166;Total sex;Partner in a couple with children;2005;4159;3413;3298;115.0;746.0;82.1;79.3;3.4;2803.0;2612.0;190.0;469.0;26.0;584.0;888.0;1822.0;4.0;12.0;413.0;649.0;615.0;400.0;380.0;32.0;332.0;216.0;220.0;29.0
167;Total sex;Partner in a couple with children;2006;4132;3424;3328;96.0;707.0;82.9;80.5;2.8;2806.0;2605.0;201.0;498.0;24.0;579.0;897.0;1844.0;7.0;12.0;459.0;643.0;627.0;379.0;383.0;36.0;324.0;204.0;223.0;37.0
168;Total sex;Single parent;2000;364;198;185;13.0;166.0;54.3;50.8;6.4;170.0;153.0;16.0;15.0;;31.0;79.0;74.0;;;20.0;34.0;34.0;28.0;30.0;;7.0;7.0;19.0;5.0
169;Total sex;Single parent;2001;367;204;192;11.0;164.0;55.5;52.4;5.6;176.0;158.0;18.0;16.0;;30.0;83.0;80.0;;;18.0;31.0;39.0;34.0;33.0;;9.0;6.0;20.0;2.0
170;Total sex;Single parent;2002;402;231;218;13.0;171.0;57.6;54.2;5.8;201.0;185.0;15.0;17.0;;34.0;96.0;88.0;;;17.0;44.0;43.0;38.0;32.0;2.0;9.0;8.0;21.0;2.0
171;Total sex;Single parent;2003;413;253;235;19.0;160.0;61.3;56.8;7.4;212.0;195.0;17.0;22.0;;41.0;102.0;91.0;;;21.0;42.0;52.0;38.0;33.0;;9.0;8.0;26.0;6.0
172;Total sex;Single parent;2004;407;250;226;24.0;157.0;61.5;55.5;9.6;203.0;184.0;20.0;22.0;;37.0;102.0;86.0;;;16.0;41.0;49.0;37.0;43.0;2.0;8.0;8.0;21.0;
173;Total sex;Single parent;2005;434;276;247;29.0;158.0;63.6;56.8;10.7;228.0;208.0;20.0;19.0;;42.0;110.0;95.0;;;17.0;46.0;49.0;48.0;40.0;;13.0;7.0;23.0;4.0
174;Total sex;Single parent;2006;448;286;259;27.0;162.0;63.8;57.8;9.5;233.0;211.0;22.0;26.0;;36.0;119.0;104.0;;;20.0;51.0;52.0;43.0;45.0;;10.0;10.0;23.0;2.0
175;Total sex;Child aged >= 18 years;2000;981;787;758;29.0;193.0;80.3;77.3;3.7;726.0;543.0;182.0;27.0;6.0;204.0;104.0;449.0;;7.0;31.0;37.0;92.0;106.0;151.0;27.0;123.0;61.0;95.0;28.0
176;Total sex;Child aged >= 18 years;2001;995;795;764;32.0;199.0;80.0;76.8;4.0;733.0;550.0;183.0;28.0;2.0;193.0;117.0;453.0;;10.0;30.0;40.0;101.0;108.0;158.0;25.0;124.0;59.0;96.0;13.0
177;Total sex;Child aged >= 18 years;2002;1060;847;809;39.0;213.0;79.9;76.3;4.6;776.0;580.0;196.0;30.0;3.0;219.0;137.0;451.0;3.0;8.0;30.0;43.0;110.0;107.0;178.0;26.0;121.0;57.0;117.0;13.0
178;Total sex;Child aged >= 18 years;2003;1022;820;773;47.0;202.0;80.2;75.6;5.8;744.0;550.0;194.0;26.0;2.0;231.0;131.0;408.0;3.0;8.0;25.0;41.0;101.0;107.0;174.0;27.0;112.0;57.0;110.0;11.0
179;Total sex;Child aged >= 18 years;2004;1054;836;769;67.0;218.0;79.3;72.9;8.0;733.0;527.0;206.0;32.0;4.0;247.0;128.0;391.0;3.0;8.0;27.0;38.0;94.0;99.0;185.0;27.0;109.0;58.0;120.0;3.0
180;Total sex;Child aged >= 18 years;2005;1067;836;771;66.0;230.0;78.4;72.3;7.9;739.0;512.0;227.0;29.0;3.0;252.0;133.0;383.0;4.0;9.0;20.0;40.0;89.0;105.0;189.0;23.0;107.0;54.0;129.0;7.0
181;Total sex;Child aged >= 18 years;2006;1059;829;776;52.0;231.0;78.2;73.3;6.3;741.0;495.0;246.0;30.0;5.0;256.0;132.0;383.0;6.0;10.0;24.0;36.0;89.0;99.0;198.0;29.0;102.0;48.0;131.0;9.0
182;Total sex;Child aged < 18 years;2000;536;290;256;34.0;246.0;54.1;47.7;11.7;246.0;105.0;142.0;8.0;2.0;214.0;21.0;21.0;;;;;4.0;31.0;64.0;15.0;16.0;6.0;90.0;29.0
183;Total sex;Child aged < 18 years;2001;549;301;272;29.0;248.0;54.9;49.6;9.5;262.0;121.0;141.0;10.0;;222.0;25.0;25.0;;;;;5.0;36.0;66.0;17.0;16.0;8.0;119.0;3.0
184;Total sex;Child aged < 18 years;2002;564;301;269;31.0;263.0;53.3;47.7;10.5;260.0;117.0;143.0;8.0;;225.0;25.0;18.0;;;;;5.0;31.0;78.0;15.0;15.0;5.0;113.0;6.0
185;Total sex;Child aged < 18 years;2003;572;294;255;39.0;278.0;51.4;44.6;13.2;243.0;120.0;123.0;9.0;2.0;215.0;23.0;15.0;;;;;3.0;28.0;73.0;17.0;14.0;5.0;112.0;2.0
186;Total sex;Child aged < 18 years;2004;574;288;253;35.0;286.0;50.2;44.1;12.1;243.0;106.0;137.0;9.0;;214.0;22.0;16.0;2.0;;;;4.0;23.0;73.0;15.0;14.0;5.0;116.0;
187;Total sex;Child aged < 18 years;2005;583;287;246;42.0;295.0;49.3;42.2;14.5;236.0;91.0;145.0;8.0;;215.0;17.0;12.0;;;;;4.0;28.0;60.0;16.0;14.0;4.0;116.0;
188;Total sex;Child aged < 18 years;2006;590;310;267;42.0;281.0;52.5;45.3;13.7;256.0;100.0;156.0;10.0;;235.0;17.0;13.0;2.0;;;;5.0;28.0;68.0;15.0;12.0;4.0;134.0;
189;Total sex;Other member household;2000;187;106;101;5.0;81.0;56.6;54.0;4.6;93.0;70.0;23.0;8.0;;21.0;17.0;63.0;;;7.0;10.0;14.0;15.0;17.0;2.0;11.0;6.0;13.0;5.0
190;Total sex;Other member household;2001;213;118;114;4.0;95.0;55.3;53.4;3.4;102.0;76.0;26.0;11.0;;26.0;19.0;69.0;;;11.0;12.0;16.0;11.0;16.0;5.0;14.0;7.0;18.0;3.0
191;Total sex;Other member household;2002;186;108;102;6.0;77.0;58.4;55.0;5.7;94.0;70.0;23.0;8.0;;24.0;23.0;55.0;;;8.0;11.0;18.0;11.0;21.0;3.0;9.0;6.0;13.0;3.0
192;Total sex;Other member household;2003;208;127;115;11.0;81.0;61.0;55.6;8.8;105.0;77.0;28.0;10.0;;30.0;26.0;59.0;;;9.0;10.0;18.0;16.0;25.0;2.0;10.0;8.0;15.0;3.0
193;Total sex;Other member household;2004;205;118;104;14.0;88.0;57.3;50.5;11.9;96.0;71.0;25.0;7.0;;28.0;18.0;58.0;;;6.0;12.0;15.0;16.0;18.0;3.0;9.0;7.0;17.0;
194;Total sex;Other member household;2005;225;138;122;15.0;87.0;61.2;54.4;11.1;112.0;79.0;32.0;11.0;;33.0;26.0;62.0;;;9.0;13.0;16.0;13.0;28.0;4.0;10.0;7.0;20.0;2.0
195;Total sex;Other member household;2006;206;122;113;9.0;84.0;59.3;55.0;7.3;102.0;69.0;34.0;11.0;;32.0;22.0;58.0;;;6.0;12.0;14.0;18.0;25.0;2.0;10.0;9.0;15.0;
196;Total sex;Pre-primary education;2000;231;50;46;5.0;180.0;21.8;19.9;9.0;42.0;33.0;9.0;3.0;;8.0;9.0;29.0;;;3.0;;;3.0;4.0;4.0;5.0;8.0;15.0;2.0
197;Total sex;Pre-primary education;2001;244;59;55;3.0;185.0;24.1;22.7;5.6;50.0;41.0;10.0;3.0;2.0;10.0;11.0;34.0;;;3.0;;2.0;;6.0;3.0;8.0;8.0;22.0;2.0
198;Total sex;Pre-primary education;2002;222;54;50;4.0;168.0;24.3;22.6;6.9;43.0;39.0;5.0;7.0;;8.0;8.0;35.0;;;5.0;;;;2.0;2.0;8.0;8.0;21.0;2.0
199;Total sex;Pre-primary education;2003;220;52;46;6.0;169.0;23.4;20.8;11.1;42.0;34.0;7.0;4.0;;7.0;10.0;29.0;;;4.0;;;;4.0;3.0;6.0;10.0;16.0;
200;Total sex;Pre-primary education;2004;207;43;37;6.0;164.0;20.8;18.0;13.3;35.0;30.0;5.0;3.0;;5.0;8.0;24.0;;;;;;;4.0;2.0;4.0;9.0;16.0;
201;Total sex;Pre-primary education;2005;202;39;35;4.0;162.0;19.5;17.4;10.8;32.0;28.0;4.0;3.0;;6.0;8.0;20.0;;;2.0;;;;4.0;2.0;3.0;6.0;16.0;
202;Total sex;Pre-primary education;2006;180;40;37;4.0;139.0;22.5;20.3;9.7;33.0;28.0;5.0;3.0;;4.0;7.0;25.0;;;2.0;;;;2.0;2.0;5.0;6.0;16.0;
203;Total sex;Primary education;2000;1558;594;551;43.0;965.0;38.1;35.3;7.3;498.0;393.0;105.0;47.0;6.0;165.0;90.0;296.0;;;42.0;4.0;20.0;53.0;78.0;24.0;79.0;82.0;141.0;28.0
204;Total sex;Primary education;2001;1535;570;530;40.0;965.0;37.2;34.5;7.0;483.0;373.0;110.0;45.0;3.0;167.0;89.0;274.0;;;41.0;6.0;15.0;48.0;78.0;24.0;74.0;78.0;159.0;9.0
205;Total sex;Primary education;2002;1495;569;531;38.0;926.0;38.1;35.5;6.7;483.0;380.0;103.0;45.0;4.0;172.0;92.0;265.0;2.0;;36.0;4.0;22.0;44.0;84.0;21.0;71.0;82.0;157.0;11.0
206;Total sex;Primary education;2003;1420;518;469;50.0;901.0;36.5;33.0;9.6;420.0;336.0;84.0;44.0;5.0;143.0;89.0;235.0;2.0;;38.0;4.0;19.0;42.0;64.0;22.0;59.0;68.0;146.0;6.0
207;Total sex;Primary education;2004;1257;454;404;50.0;802.0;36.2;32.2;11.1;366.0;290.0;77.0;34.0;3.0;123.0;78.0;201.0;2.0;;24.0;2.0;12.0;37.0;66.0;17.0;51.0;64.0;127.0;3.0
208;Total sex;Primary education;2005;1269;447;395;52.0;822.0;35.2;31.1;11.7;351.0;274.0;78.0;41.0;2.0;130.0;69.0;195.0;;;24.0;2.0;14.0;37.0;59.0;17.0;54.0;57.0;126.0;5.0
209;Total sex;Primary education;2006;1233;449;398;51.0;785.0;36.4;32.3;11.3;352.0;272.0;80.0;43.0;3.0;121.0;76.0;200.0;2.0;;26.0;2.0;13.0;31.0;59.0;18.0;58.0;54.0;132.0;5.0
210;Total sex;Lower secondary education;2000;3526;1839;1766;73.0;1687.0;52.1;50.1;4.0;1575.0;1297.0;277.0;172.0;19.0;454.0;326.0;985.0;;8.0;170.0;29.0;135.0;246.0;298.0;58.0;273.0;205.0;281.0;63.0
211;Total sex;Lower secondary education;2001;3559;1900;1829;71.0;1659.0;53.4;51.4;3.8;1645.0;1376.0;268.0;172.0;12.0;469.0;367.0;992.0;;11.0;165.0;31.0;150.0;274.0;320.0;45.0;291.0;206.0;308.0;28.0
212;Total sex;Lower secondary education;2002;3521;1850;1768;83.0;1670.0;52.6;50.2;4.5;1593.0;1324.0;269.0;160.0;14.0;471.0;365.0;928.0;4.0;10.0;155.0;28.0;135.0;258.0;323.0;48.0;277.0;189.0;316.0;29.0
213;Total sex;Lower secondary education;2003;3481;1830;1723;108.0;1650.0;52.6;49.5;5.9;1549.0;1283.0;266.0;162.0;12.0;481.0;363.0;875.0;4.0;9.0;151.0;29.0;141.0;257.0;323.0;49.0;240.0;194.0;306.0;25.0
214;Total sex;Lower secondary education;2004;3450;1809;1696;113.0;1642.0;52.4;49.1;6.2;1517.0;1243.0;274.0;167.0;12.0;493.0;348.0;850.0;5.0;8.0;120.0;25.0;136.0;267.0;340.0;46.0;254.0;195.0;297.0;9.0
215;Total sex;Lower secondary education;2005;3421;1752;1628;124.0;1669.0;51.2;47.6;7.1;1443.0;1150.0;293.0;173.0;11.0;487.0;338.0;798.0;5.0;10.0;121.0;26.0;115.0;249.0;320.0;43.0;236.0;182.0;311.0;15.0
216;Total sex;Lower secondary education;2006;3437;1771;1668;102.0;1666.0;51.5;48.5;5.8;1478.0;1154.0;324.0;178.0;12.0;511.0;339.0;810.0;8.0;8.0;127.0;25.0;122.0;245.0;331.0;46.0;231.0;180.0;336.0;17.0
217;Total sex;Higher secondary education;2000;4391;3161;3084;77.0;1231.0;72.0;70.2;2.4;2704.0;2341.0;363.0;355.0;24.0;573.0;640.0;1869.0;;20.0;419.0;203.0;694.0;466.0;483.0;46.0;344.0;160.0;171.0;79.0
218;Total sex;Higher secondary education;2001;4472;3206;3139;67.0;1266.0;71.7;70.2;2.1;2775.0;2435.0;341.0;344.0;21.0;576.0;657.0;1905.0;2.0;23.0;415.0;212.0;734.0;482.0;485.0;45.0;360.0;176.0;173.0;35.0
219;Total sex;Higher secondary education;2002;4533;3233;3150;83.0;1300.0;71.3;69.5;2.6;2758.0;2424.0;334.0;370.0;22.0;596.0;703.0;1845.0;6.0;19.0;406.0;204.0;745.0;482.0;488.0;45.0;370.0;178.0;179.0;35.0
220;Total sex;Higher secondary education;2003;4549;3258;3137;121.0;1291.0;71.6;69.0;3.7;2758.0;2444.0;314.0;361.0;18.0;599.0;717.0;1814.0;7.0;17.0;393.0;196.0;762.0;455.0;510.0;43.0;357.0;176.0;188.0;41.0
221;Total sex;Higher secondary education;2004;4550;3224;3068;156.0;1326.0;70.9;67.4;4.8;2695.0;2356.0;339.0;355.0;18.0;624.0;712.0;1723.0;8.0;17.0;296.0;194.0;732.0;488.0;544.0;47.0;360.0;190.0;191.0;10.0
