ID;SectorBranchesSIC2008;Periods;Employee_1;EmployedPerson_2;Employee_3;EmployedPerson_4;Total_5;Total_6;DomesticNetTurnover_7;ForeignNetTurnover_8;OtherRevenues_9;Total_10;PurchaseValueOfSales_11;Total_12;GrossWagesAndSalaries_13;Total_14;EmployerPaidSocialInsurancePremiums_15;PensionAndEarlyRetirementPremiums_16;OtherSocialInsuranceCosts_17;OtherPersonnelCosts_18;Total_19;CostsOfEnergyUse_20;HousingCosts_21;EquipmentAndInventoryCosts_22;TransportCosts_23;SalesCosts_24;CommunicationCosts_25;CostsOfOtherServices_26;OtherLiabilities_27;DepreciationFixedAssets_28;OperatingResults_29;NetFinancialIncome_30;BalanceOfProvisions_31;NetExtraordinaryIncome_32;PreTaxResults_33
57;4642 Wholesale of clothes, shoes etc;2011;21.6;26.4;17.6;21.1;10007.0;9814.0;5510.0;4304.0;193.0;9278.0;6401.0;1033.0;749.0;140.0;96.0;44.0;9.0;135.0;1664.0;22.0;223.0;21.0;61.0;616.0;29.0;272.0;421.0;180.0;729.0;-33.0;13.0;12.0;720.0
58;4642 Wholesale of clothes, shoes etc;2012;21.3;25.7;17.0;20.2;9524.0;9446.0;4938.0;4508.0;78.0;8956.0;6168.0;988.0;723.0;142.0;96.0;46.0;7.0;115.0;1613.0;23.0;233.0;20.0;64.0;581.0;31.0;255.0;408.0;187.0;568.0;27.0;7.0;-37.0;565.0
59;4642 Wholesale of clothes, shoes etc;2013;20.7;25.4;16.8;20.2;9283.0;9197.0;4966.0;4231.0;86.0;8598.0;5896.0;980.0;728.0;142.0;97.0;45.0;6.0;104.0;1516.0;22.0;236.0;17.0;63.0;544.0;24.0;246.0;365.0;206.0;685.0;-47.0;-16.0;-34.0;588.0
60;4643 Wholesale consumer electronics etc;2009;11.6;14.0;10.1;11.7;10265.0;10187.0;4919.0;5267.0;78.0;9982.0;8198.0;609.0;449.0;95.0;55.0;40.0;8.0;58.0;1115.0;10.0;71.0;12.0;53.0;501.0;22.0;152.0;296.0;60.0;283.0;0.0;-34.0;-1.0;249.0
61;4643 Wholesale consumer electronics etc;2010;11.7;13.9;10.4;11.9;11260.0;10608.0;4744.0;5864.0;652.0;10771.0;8459.0;722.0;555.0;102.0;64.0;38.0;8.0;58.0;1510.0;10.0;70.0;12.0;57.0;544.0;24.0;203.0;592.0;79.0;490.0;0.0;4.0;3.0;497.0
62;4643 Wholesale consumer electronics etc;2011;12.5;14.8;11.2;12.7;11656.0;11065.0;4734.0;6331.0;591.0;11612.0;8979.0;750.0;560.0;107.0;68.0;39.0;7.0;77.0;1800.0;10.0;70.0;14.0;56.0;545.0;23.0;279.0;803.0;82.0;44.0;48.0;7.0;-43.0;57.0
63;4643 Wholesale consumer electronics etc;2012;14.8;17.5;13.3;15.1;11018.0;10603.0;4979.0;5625.0;415.0;10613.0;8051.0;856.0;636.0;124.0;78.0;45.0;6.0;91.0;1603.0;11.0;75.0;15.0;65.0;494.0;23.0;281.0;639.0;104.0;406.0;-20.0;1.0;-38.0;349.0
64;4643 Wholesale consumer electronics etc;2013;12.4;14.3;11.1;12.5;10200.0;9778.0;4142.0;5636.0;422.0;9719.0;7265.0;736.0;542.0;120.0;71.0;49.0;5.0;68.0;1609.0;11.0;68.0;25.0;49.0;373.0;17.0;382.0;685.0;109.0;481.0;37.0;2.0;-16.0;505.0
65;4646 Wholesale of medical goods;2009;25.3;29.9;22.1;25.4;28259.0;27869.0;17766.0;10103.0;390.0;27419.0;23303.0;1614.0;1163.0;230.0;131.0;99.0;15.0;206.0;2330.0;21.0;137.0;27.0;137.0;598.0;48.0;379.0;982.0;172.0;841.0;207.0;-16.0;-6.0;1027.0
66;4646 Wholesale of medical goods;2010;26.9;31.1;23.4;26.2;30809.0;30436.0;14277.0;16159.0;372.0;29691.0;25376.0;1678.0;1216.0;257.0;145.0;113.0;15.0;189.0;2448.0;22.0;136.0;31.0;147.0;494.0;52.0;399.0;1166.0;190.0;1117.0;1.0;-20.0;-9.0;1088.0
