ID;MunicipalLeviesFrom2017Onwards;Regions;Periods;MunicipalLeviesInMillionOfEuros_1;MunicipalLeviesInEuroInhabitant_2
3072;Tourist tax;Flevoland (PV);2018;4.0;9.0
3073;Tourist tax;Flevoland (PV);2019;4.0;9.0
3074;Tourist tax;Flevoland (PV);2020;5.0;11.0
3075;Tourist tax;Flevoland (PV);2021;6.0;13.0
3076;Tourist tax;Flevoland (PV);2022;6.0;15.0
3077;Tourist tax;Flevoland (PV);2023;7.0;16.0
3078;Tourist tax;Flevoland (PV);2024;8.0;17.0
3079;Tourist tax;Flevoland (PV);2025;9.0;20.0
3080;Tourist tax;Gelderland (PV);2004;8.0;4.0
3081;Tourist tax;Gelderland (PV);2005;8.0;4.0
3082;Tourist tax;Gelderland (PV);2006;9.0;4.0
3083;Tourist tax;Gelderland (PV);2007;9.0;4.0
3084;Tourist tax;Gelderland (PV);2008;9.0;5.0
3085;Tourist tax;Gelderland (PV);2009;10.0;5.0
3086;Tourist tax;Gelderland (PV);2010;10.0;5.0
3087;Tourist tax;Gelderland (PV);2011;11.0;5.0
3088;Tourist tax;Gelderland (PV);2012;12.0;6.0
3089;Tourist tax;Gelderland (PV);2013;13.0;6.0
3090;Tourist tax;Gelderland (PV);2014;13.0;6.0
3091;Tourist tax;Gelderland (PV);2015;13.0;6.0
3092;Tourist tax;Gelderland (PV);2016;13.0;6.0
3093;Tourist tax;Gelderland (PV);2017;13.0;6.0
3094;Tourist tax;Gelderland (PV);2018;14.0;7.0
3095;Tourist tax;Gelderland (PV);2019;16.0;8.0
3096;Tourist tax;Gelderland (PV);2020;18.0;9.0
3097;Tourist tax;Gelderland (PV);2021;19.0;9.0
3098;Tourist tax;Gelderland (PV);2022;20.0;9.0
3099;Tourist tax;Gelderland (PV);2023;21.0;10.0
3100;Tourist tax;Gelderland (PV);2024;23.0;11.0
3101;Tourist tax;Gelderland (PV);2025;28.0;13.0
3102;Tourist tax;Utrecht (PV);2004;3.0;2.0
3103;Tourist tax;Utrecht (PV);2005;3.0;2.0
3104;Tourist tax;Utrecht (PV);2006;3.0;2.0
3105;Tourist tax;Utrecht (PV);2007;3.0;2.0
3106;Tourist tax;Utrecht (PV);2008;3.0;2.0
3107;Tourist tax;Utrecht (PV);2009;3.0;2.0
3108;Tourist tax;Utrecht (PV);2010;3.0;2.0
3109;Tourist tax;Utrecht (PV);2011;3.0;2.0
3110;Tourist tax;Utrecht (PV);2012;3.0;3.0
3111;Tourist tax;Utrecht (PV);2013;4.0;3.0
3112;Tourist tax;Utrecht (PV);2014;4.0;3.0
3113;Tourist tax;Utrecht (PV);2015;4.0;3.0
3114;Tourist tax;Utrecht (PV);2016;5.0;4.0
3115;Tourist tax;Utrecht (PV);2017;4.0;3.0
3116;Tourist tax;Utrecht (PV);2018;5.0;4.0
3117;Tourist tax;Utrecht (PV);2019;7.0;5.0
3118;Tourist tax;Utrecht (PV);2020;7.0;5.0
3119;Tourist tax;Utrecht (PV);2021;8.0;6.0
3120;Tourist tax;Utrecht (PV);2022;9.0;6.0
3121;Tourist tax;Utrecht (PV);2023;9.0;7.0
3122;Tourist tax;Utrecht (PV);2024;11.0;8.0
3123;Tourist tax;Utrecht (PV);2025;16.0;11.0
3124;Tourist tax;Noord-Holland (PV);2004;39.0;15.0
3125;Tourist tax;Noord-Holland (PV);2005;40.0;15.0
3126;Tourist tax;Noord-Holland (PV);2006;39.0;15.0
3127;Tourist tax;Noord-Holland (PV);2007;40.0;15.0
3128;Tourist tax;Noord-Holland (PV);2008;42.0;16.0
3129;Tourist tax;Noord-Holland (PV);2009;49.0;19.0
3130;Tourist tax;Noord-Holland (PV);2010;45.0;17.0
3131;Tourist tax;Noord-Holland (PV);2011;47.0;17.0
3132;Tourist tax;Noord-Holland (PV);2012;53.0;19.0
3133;Tourist tax;Noord-Holland (PV);2013;60.0;22.0
3134;Tourist tax;Noord-Holland (PV);2014;64.0;23.0
3135;Tourist tax;Noord-Holland (PV);2015;61.0;22.0
3136;Tourist tax;Noord-Holland (PV);2016;70.0;25.0
3137;Tourist tax;Noord-Holland (PV);2017;94.0;33.0
3138;Tourist tax;Noord-Holland (PV);2018;110.0;39.0
3139;Tourist tax;Noord-Holland (PV);2019;147.0;52.0
3140;Tourist tax;Noord-Holland (PV);2020;244.0;85.0
3141;Tourist tax;Noord-Holland (PV);2021;165.0;57.0
3142;Tourist tax;Noord-Holland (PV);2022;183.0;63.0
3143;Tourist tax;Noord-Holland (PV);2023;216.0;73.0
3144;Tourist tax;Noord-Holland (PV);2024;300.0;101.0
3145;Tourist tax;Noord-Holland (PV);2025;327.0;109.0
3146;Tourist tax;Zuid-Holland (PV);2004;13.0;4.0
3147;Tourist tax;Zuid-Holland (PV);2005;14.0;4.0
3148;Tourist tax;Zuid-Holland (PV);2006;12.0;3.0
3149;Tourist tax;Zuid-Holland (PV);2007;12.0;3.0
3150;Tourist tax;Zuid-Holland (PV);2008;12.0;3.0
3151;Tourist tax;Zuid-Holland (PV);2009;12.0;3.0
3152;Tourist tax;Zuid-Holland (PV);2010;15.0;4.0
3153;Tourist tax;Zuid-Holland (PV);2011;15.0;4.0
3154;Tourist tax;Zuid-Holland (PV);2012;15.0;4.0
3155;Tourist tax;Zuid-Holland (PV);2013;16.0;5.0
3156;Tourist tax;Zuid-Holland (PV);2014;16.0;4.0
3157;Tourist tax;Zuid-Holland (PV);2015;19.0;5.0
3158;Tourist tax;Zuid-Holland (PV);2016;20.0;5.0
3159;Tourist tax;Zuid-Holland (PV);2017;21.0;6.0
3160;Tourist tax;Zuid-Holland (PV);2018;23.0;6.0
3161;Tourist tax;Zuid-Holland (PV);2019;31.0;9.0
3162;Tourist tax;Zuid-Holland (PV);2020;38.0;10.0
3163;Tourist tax;Zuid-Holland (PV);2021;39.0;11.0
3164;Tourist tax;Zuid-Holland (PV);2022;42.0;11.0
3165;Tourist tax;Zuid-Holland (PV);2023;49.0;13.0
3166;Tourist tax;Zuid-Holland (PV);2024;57.0;15.0
3167;Tourist tax;Zuid-Holland (PV);2025;59.0;15.0
3168;Tourist tax;Zeeland (PV);2004;10.0;26.0
3169;Tourist tax;Zeeland (PV);2005;11.0;30.0
3170;Tourist tax;Zeeland (PV);2006;12.0;31.0
3171;Tourist tax;Zeeland (PV);2007;12.0;32.0
3172;Tourist tax;Zeeland (PV);2008;13.0;33.0
3173;Tourist tax;Zeeland (PV);2009;13.0;35.0
3174;Tourist tax;Zeeland (PV);2010;13.0;34.0
3175;Tourist tax;Zeeland (PV);2011;13.0;35.0
3176;Tourist tax;Zeeland (PV);2012;14.0;36.0
3177;Tourist tax;Zeeland (PV);2013;14.0;38.0
3178;Tourist tax;Zeeland (PV);2014;15.0;39.0
3179;Tourist tax;Zeeland (PV);2015;16.0;41.0
3180;Tourist tax;Zeeland (PV);2016;16.0;42.0
3181;Tourist tax;Zeeland (PV);2017;17.0;44.0
3182;Tourist tax;Zeeland (PV);2018;18.0;47.0
3183;Tourist tax;Zeeland (PV);2019;20.0;53.0
3184;Tourist tax;Zeeland (PV);2020;22.0;58.0
3185;Tourist tax;Zeeland (PV);2021;25.0;65.0
3186;Tourist tax;Zeeland (PV);2022;28.0;72.0
3187;Tourist tax;Zeeland (PV);2023;31.0;80.0
3188;Tourist tax;Zeeland (PV);2024;34.0;86.0
3189;Tourist tax;Zeeland (PV);2025;37.0;94.0
3190;Tourist tax;Noord-Brabant (PV);2004;7.0;3.0
3191;Tourist tax;Noord-Brabant (PV);2005;8.0;3.0
3192;Tourist tax;Noord-Brabant (PV);2006;8.0;3.0
3193;Tourist tax;Noord-Brabant (PV);2007;9.0;4.0
3194;Tourist tax;Noord-Brabant (PV);2008;9.0;4.0
3195;Tourist tax;Noord-Brabant (PV);2009;10.0;4.0
3196;Tourist tax;Noord-Brabant (PV);2010;11.0;4.0
3197;Tourist tax;Noord-Brabant (PV);2011;12.0;5.0
3198;Tourist tax;Noord-Brabant (PV);2012;12.0;5.0
3199;Tourist tax;Noord-Brabant (PV);2013;13.0;5.0
3200;Tourist tax;Noord-Brabant (PV);2014;14.0;6.0
3201;Tourist tax;Noord-Brabant (PV);2015;15.0;6.0
3202;Tourist tax;Noord-Brabant (PV);2016;16.0;6.0
3203;Tourist tax;Noord-Brabant (PV);2017;16.0;6.0
3204;Tourist tax;Noord-Brabant (PV);2018;17.0;7.0
3205;Tourist tax;Noord-Brabant (PV);2019;18.0;7.0
3206;Tourist tax;Noord-Brabant (PV);2020;22.0;9.0
3207;Tourist tax;Noord-Brabant (PV);2021;22.0;9.0
3208;Tourist tax;Noord-Brabant (PV);2022;23.0;9.0
3209;Tourist tax;Noord-Brabant (PV);2023;26.0;10.0
3210;Tourist tax;Noord-Brabant (PV);2024;28.0;11.0
3211;Tourist tax;Noord-Brabant (PV);2025;35.0;13.0
3212;Tourist tax;Limburg (PV);2004;11.0;10.0
3213;Tourist tax;Limburg (PV);2005;12.0;10.0
3214;Tourist tax;Limburg (PV);2006;11.0;10.0
3215;Tourist tax;Limburg (PV);2007;12.0;10.0
3216;Tourist tax;Limburg (PV);2008;13.0;12.0
3217;Tourist tax;Limburg (PV);2009;13.0;12.0
3218;Tourist tax;Limburg (PV);2010;14.0;12.0
3219;Tourist tax;Limburg (PV);2011;15.0;13.0
3220;Tourist tax;Limburg (PV);2012;16.0;14.0
3221;Tourist tax;Limburg (PV);2013;16.0;14.0
3222;Tourist tax;Limburg (PV);2014;16.0;14.0
3223;Tourist tax;Limburg (PV);2015;17.0;15.0
3224;Tourist tax;Limburg (PV);2016;17.0;16.0
3225;Tourist tax;Limburg (PV);2017;18.0;16.0
3226;Tourist tax;Limburg (PV);2018;19.0;17.0
3227;Tourist tax;Limburg (PV);2019;21.0;19.0
3228;Tourist tax;Limburg (PV);2020;24.0;21.0
3229;Tourist tax;Limburg (PV);2021;25.0;23.0
3230;Tourist tax;Limburg (PV);2022;28.0;25.0
3231;Tourist tax;Limburg (PV);2023;29.0;26.0
3232;Tourist tax;Limburg (PV);2024;33.0;29.0
3233;Tourist tax;Limburg (PV);2025;40.0;35.0
3234;Tourist tax;Oost-Groningen (CR);2004;0.0;2.0
3235;Tourist tax;Oost-Groningen (CR);2005;0.0;2.0
3236;Tourist tax;Oost-Groningen (CR);2006;0.0;1.0
3237;Tourist tax;Oost-Groningen (CR);2007;0.0;2.0
3238;Tourist tax;Oost-Groningen (CR);2008;0.0;2.0
3239;Tourist tax;Oost-Groningen (CR);2009;0.0;2.0
3240;Tourist tax;Oost-Groningen (CR);2010;0.0;2.0
3241;Tourist tax;Oost-Groningen (CR);2011;0.0;2.0
3242;Tourist tax;Oost-Groningen (CR);2012;0.0;3.0
3243;Tourist tax;Oost-Groningen (CR);2013;0.0;3.0
3244;Tourist tax;Oost-Groningen (CR);2014;0.0;3.0
3245;Tourist tax;Oost-Groningen (CR);2015;0.0;3.0
3246;Tourist tax;Oost-Groningen (CR);2016;0.0;2.0
3247;Tourist tax;Oost-Groningen (CR);2017;0.0;3.0
3248;Tourist tax;Oost-Groningen (CR);2018;0.0;3.0
3249;Tourist tax;Oost-Groningen (CR);2019;0.0;3.0
3250;Tourist tax;Oost-Groningen (CR);2020;0.0;3.0
3251;Tourist tax;Oost-Groningen (CR);2021;0.0;3.0
3252;Tourist tax;Oost-Groningen (CR);2022;1.0;4.0
3253;Tourist tax;Oost-Groningen (CR);2023;1.0;5.0
3254;Tourist tax;Oost-Groningen (CR);2024;1.0;5.0
3255;Tourist tax;Oost-Groningen (CR);2025;1.0;5.0
3256;Tourist tax;Delfzijl en omgeving (CR);2004;0.0;0.0
3257;Tourist tax;Delfzijl en omgeving (CR);2005;0.0;0.0
3258;Tourist tax;Delfzijl en omgeving (CR);2006;0.0;0.0
3259;Tourist tax;Delfzijl en omgeving (CR);2007;0.0;1.0
3260;Tourist tax;Delfzijl en omgeving (CR);2008;0.0;0.0
3261;Tourist tax;Delfzijl en omgeving (CR);2009;0.0;1.0
3262;Tourist tax;Delfzijl en omgeving (CR);2010;0.0;1.0
3263;Tourist tax;Delfzijl en omgeving (CR);2011;0.0;2.0
3264;Tourist tax;Delfzijl en omgeving (CR);2012;0.0;2.0
3265;Tourist tax;Delfzijl en omgeving (CR);2013;0.0;2.0
3266;Tourist tax;Delfzijl en omgeving (CR);2014;0.0;2.0
3267;Tourist tax;Delfzijl en omgeving (CR);2015;0.0;2.0
3268;Tourist tax;Delfzijl en omgeving (CR);2016;0.0;2.0
3269;Tourist tax;Delfzijl en omgeving (CR);2017;0.0;2.0
3270;Tourist tax;Delfzijl en omgeving (CR);2018;0.0;2.0
3271;Tourist tax;Delfzijl en omgeving (CR);2019;0.0;2.0
3272;Tourist tax;Delfzijl en omgeving (CR);2020;0.0;3.0
3273;Tourist tax;Delfzijl en omgeving (CR);2021;0.0;3.0
3274;Tourist tax;Delfzijl en omgeving (CR);2022;0.0;5.0
3275;Tourist tax;Delfzijl en omgeving (CR);2023;0.0;5.0
3276;Tourist tax;Delfzijl en omgeving (CR);2024;0.0;5.0
3277;Tourist tax;Delfzijl en omgeving (CR);2025;0.0;5.0
3278;Tourist tax;Overig Groningen (CR);2004;0.0;1.0
3279;Tourist tax;Overig Groningen (CR);2005;0.0;1.0
3280;Tourist tax;Overig Groningen (CR);2006;1.0;2.0
3281;Tourist tax;Overig Groningen (CR);2007;0.0;1.0
3282;Tourist tax;Overig Groningen (CR);2008;1.0;2.0
3283;Tourist tax;Overig Groningen (CR);2009;1.0;2.0
3284;Tourist tax;Overig Groningen (CR);2010;1.0;3.0
3285;Tourist tax;Overig Groningen (CR);2011;1.0;3.0
3286;Tourist tax;Overig Groningen (CR);2012;2.0;4.0
3287;Tourist tax;Overig Groningen (CR);2013;2.0;4.0
3288;Tourist tax;Overig Groningen (CR);2014;2.0;4.0
3289;Tourist tax;Overig Groningen (CR);2015;2.0;4.0
3290;Tourist tax;Overig Groningen (CR);2016;2.0;4.0
3291;Tourist tax;Overig Groningen (CR);2017;2.0;4.0
3292;Tourist tax;Overig Groningen (CR);2018;2.0;5.0
3293;Tourist tax;Overig Groningen (CR);2019;2.0;5.0
3294;Tourist tax;Overig Groningen (CR);2020;3.0;7.0
3295;Tourist tax;Overig Groningen (CR);2021;3.0;7.0
3296;Tourist tax;Overig Groningen (CR);2022;3.0;7.0
3297;Tourist tax;Overig Groningen (CR);2023;3.0;8.0
3298;Tourist tax;Overig Groningen (CR);2024;3.0;8.0
3299;Tourist tax;Overig Groningen (CR);2025;3.0;8.0
3300;Tourist tax;Noord-Friesland (CR);2004;5.0;14.0
3301;Tourist tax;Noord-Friesland (CR);2005;5.0;15.0
3302;Tourist tax;Noord-Friesland (CR);2006;5.0;15.0
3303;Tourist tax;Noord-Friesland (CR);2007;5.0;16.0
3304;Tourist tax;Noord-Friesland (CR);2008;5.0;15.0
3305;Tourist tax;Noord-Friesland (CR);2009;6.0;18.0
3306;Tourist tax;Noord-Friesland (CR);2010;6.0;19.0
3307;Tourist tax;Noord-Friesland (CR);2011;6.0;19.0
3308;Tourist tax;Noord-Friesland (CR);2012;6.0;19.0
3309;Tourist tax;Noord-Friesland (CR);2013;7.0;20.0
3310;Tourist tax;Noord-Friesland (CR);2014;7.0;23.0
3311;Tourist tax;Noord-Friesland (CR);2015;8.0;25.0
3312;Tourist tax;Noord-Friesland (CR);2016;9.0;26.0
3313;Tourist tax;Noord-Friesland (CR);2017;9.0;27.0
3314;Tourist tax;Noord-Friesland (CR);2018;9.0;29.0
3315;Tourist tax;Noord-Friesland (CR);2019;10.0;30.0
3316;Tourist tax;Noord-Friesland (CR);2020;10.0;31.0
3317;Tourist tax;Noord-Friesland (CR);2021;11.0;33.0
3318;Tourist tax;Noord-Friesland (CR);2022;11.0;34.0
3319;Tourist tax;Noord-Friesland (CR);2023;12.0;36.0
3320;Tourist tax;Noord-Friesland (CR);2024;14.0;43.0
3321;Tourist tax;Noord-Friesland (CR);2025;15.0;45.0
3322;Tourist tax;Zuidwest-Friesland (CR);2004;2.0;18.0
3323;Tourist tax;Zuidwest-Friesland (CR);2005;2.0;23.0
3324;Tourist tax;Zuidwest-Friesland (CR);2006;3.0;24.0
3325;Tourist tax;Zuidwest-Friesland (CR);2007;3.0;24.0
3326;Tourist tax;Zuidwest-Friesland (CR);2008;3.0;24.0
3327;Tourist tax;Zuidwest-Friesland (CR);2009;3.0;24.0
3328;Tourist tax;Zuidwest-Friesland (CR);2010;3.0;24.0
3329;Tourist tax;Zuidwest-Friesland (CR);2011;3.0;25.0
3330;Tourist tax;Zuidwest-Friesland (CR);2012;3.0;27.0
3331;Tourist tax;Zuidwest-Friesland (CR);2013;3.0;27.0
3332;Tourist tax;Zuidwest-Friesland (CR);2014;3.0;24.0
3333;Tourist tax;Zuidwest-Friesland (CR);2015;3.0;20.0
3334;Tourist tax;Zuidwest-Friesland (CR);2016;2.0;18.0
3335;Tourist tax;Zuidwest-Friesland (CR);2017;3.0;21.0
3336;Tourist tax;Zuidwest-Friesland (CR);2018;3.0;20.0
3337;Tourist tax;Zuidwest-Friesland (CR);2019;3.0;20.0
3338;Tourist tax;Zuidwest-Friesland (CR);2020;3.0;21.0
3339;Tourist tax;Zuidwest-Friesland (CR);2021;3.0;21.0
3340;Tourist tax;Zuidwest-Friesland (CR);2022;3.0;23.0
3341;Tourist tax;Zuidwest-Friesland (CR);2023;3.0;23.0
3342;Tourist tax;Zuidwest-Friesland (CR);2024;3.0;23.0
3343;Tourist tax;Zuidwest-Friesland (CR);2025;5.0;37.0
3344;Tourist tax;Zuidoost-Friesland (CR);2004;0.0;1.0
3345;Tourist tax;Zuidoost-Friesland (CR);2005;0.0;1.0
3346;Tourist tax;Zuidoost-Friesland (CR);2006;0.0;1.0
3347;Tourist tax;Zuidoost-Friesland (CR);2007;0.0;1.0
3348;Tourist tax;Zuidoost-Friesland (CR);2008;0.0;1.0
3349;Tourist tax;Zuidoost-Friesland (CR);2009;0.0;2.0
3350;Tourist tax;Zuidoost-Friesland (CR);2010;0.0;2.0
3351;Tourist tax;Zuidoost-Friesland (CR);2011;0.0;2.0
3352;Tourist tax;Zuidoost-Friesland (CR);2012;1.0;3.0
3353;Tourist tax;Zuidoost-Friesland (CR);2013;1.0;3.0
3354;Tourist tax;Zuidoost-Friesland (CR);2014;1.0;3.0
3355;Tourist tax;Zuidoost-Friesland (CR);2015;1.0;3.0
3356;Tourist tax;Zuidoost-Friesland (CR);2016;1.0;3.0
3357;Tourist tax;Zuidoost-Friesland (CR);2017;1.0;3.0
3358;Tourist tax;Zuidoost-Friesland (CR);2018;1.0;3.0
3359;Tourist tax;Zuidoost-Friesland (CR);2019;1.0;3.0
3360;Tourist tax;Zuidoost-Friesland (CR);2020;1.0;3.0
3361;Tourist tax;Zuidoost-Friesland (CR);2021;1.0;4.0
3362;Tourist tax;Zuidoost-Friesland (CR);2022;1.0;5.0
3363;Tourist tax;Zuidoost-Friesland (CR);2023;1.0;5.0
3364;Tourist tax;Zuidoost-Friesland (CR);2024;1.0;6.0
3365;Tourist tax;Zuidoost-Friesland (CR);2025;1.0;6.0
3366;Tourist tax;Noord-Drenthe (CR);2004;1.0;6.0
3367;Tourist tax;Noord-Drenthe (CR);2005;1.0;6.0
3368;Tourist tax;Noord-Drenthe (CR);2006;1.0;7.0
3369;Tourist tax;Noord-Drenthe (CR);2007;1.0;7.0
3370;Tourist tax;Noord-Drenthe (CR);2008;2.0;8.0
3371;Tourist tax;Noord-Drenthe (CR);2009;2.0;9.0
3372;Tourist tax;Noord-Drenthe (CR);2010;2.0;10.0
3373;Tourist tax;Noord-Drenthe (CR);2011;2.0;11.0
3374;Tourist tax;Noord-Drenthe (CR);2012;2.0;12.0
3375;Tourist tax;Noord-Drenthe (CR);2013;3.0;14.0
3376;Tourist tax;Noord-Drenthe (CR);2014;3.0;15.0
3377;Tourist tax;Noord-Drenthe (CR);2015;3.0;15.0
3378;Tourist tax;Noord-Drenthe (CR);2016;3.0;15.0
3379;Tourist tax;Noord-Drenthe (CR);2017;3.0;16.0
3380;Tourist tax;Noord-Drenthe (CR);2018;3.0;17.0
3381;Tourist tax;Noord-Drenthe (CR);2019;3.0;18.0
3382;Tourist tax;Noord-Drenthe (CR);2020;4.0;20.0
3383;Tourist tax;Noord-Drenthe (CR);2021;4.0;21.0
3384;Tourist tax;Noord-Drenthe (CR);2022;4.0;21.0
3385;Tourist tax;Noord-Drenthe (CR);2023;4.0;22.0
3386;Tourist tax;Noord-Drenthe (CR);2024;5.0;23.0
3387;Tourist tax;Noord-Drenthe (CR);2025;5.0;24.0
3388;Tourist tax;Zuidoost-Drenthe (CR);2004;1.0;8.0
3389;Tourist tax;Zuidoost-Drenthe (CR);2005;1.0;9.0
3390;Tourist tax;Zuidoost-Drenthe (CR);2006;2.0;9.0
3391;Tourist tax;Zuidoost-Drenthe (CR);2007;2.0;10.0
3392;Tourist tax;Zuidoost-Drenthe (CR);2008;2.0;11.0
3393;Tourist tax;Zuidoost-Drenthe (CR);2009;3.0;15.0
3394;Tourist tax;Zuidoost-Drenthe (CR);2010;3.0;17.0
3395;Tourist tax;Zuidoost-Drenthe (CR);2011;3.0;17.0
3396;Tourist tax;Zuidoost-Drenthe (CR);2012;3.0;17.0
3397;Tourist tax;Zuidoost-Drenthe (CR);2013;3.0;18.0
3398;Tourist tax;Zuidoost-Drenthe (CR);2014;3.0;18.0
3399;Tourist tax;Zuidoost-Drenthe (CR);2015;3.0;19.0
3400;Tourist tax;Zuidoost-Drenthe (CR);2016;4.0;22.0
3401;Tourist tax;Zuidoost-Drenthe (CR);2017;4.0;22.0
3402;Tourist tax;Zuidoost-Drenthe (CR);2018;3.0;21.0
3403;Tourist tax;Zuidoost-Drenthe (CR);2019;4.0;21.0
3404;Tourist tax;Zuidoost-Drenthe (CR);2020;4.0;22.0
3405;Tourist tax;Zuidoost-Drenthe (CR);2021;4.0;23.0
3406;Tourist tax;Zuidoost-Drenthe (CR);2022;4.0;24.0
3407;Tourist tax;Zuidoost-Drenthe (CR);2023;4.0;26.0
3408;Tourist tax;Zuidoost-Drenthe (CR);2024;4.0;26.0
3409;Tourist tax;Zuidoost-Drenthe (CR);2025;5.0;27.0
3410;Tourist tax;Zuidwest-Drenthe (CR);2004;1.0;6.0
3411;Tourist tax;Zuidwest-Drenthe (CR);2005;1.0;7.0
3412;Tourist tax;Zuidwest-Drenthe (CR);2006;1.0;9.0
3413;Tourist tax;Zuidwest-Drenthe (CR);2007;1.0;9.0
3414;Tourist tax;Zuidwest-Drenthe (CR);2008;1.0;9.0
3415;Tourist tax;Zuidwest-Drenthe (CR);2009;1.0;10.0
3416;Tourist tax;Zuidwest-Drenthe (CR);2010;1.0;9.0
3417;Tourist tax;Zuidwest-Drenthe (CR);2011;1.0;9.0
3418;Tourist tax;Zuidwest-Drenthe (CR);2012;1.0;9.0
3419;Tourist tax;Zuidwest-Drenthe (CR);2013;1.0;9.0
3420;Tourist tax;Zuidwest-Drenthe (CR);2014;1.0;9.0
3421;Tourist tax;Zuidwest-Drenthe (CR);2015;1.0;10.0
3422;Tourist tax;Zuidwest-Drenthe (CR);2016;1.0;10.0
3423;Tourist tax;Zuidwest-Drenthe (CR);2017;1.0;9.0
3424;Tourist tax;Zuidwest-Drenthe (CR);2018;1.0;10.0
3425;Tourist tax;Zuidwest-Drenthe (CR);2019;1.0;10.0
3426;Tourist tax;Zuidwest-Drenthe (CR);2020;1.0;11.0
3427;Tourist tax;Zuidwest-Drenthe (CR);2021;2.0;11.0
3428;Tourist tax;Zuidwest-Drenthe (CR);2022;2.0;12.0
3429;Tourist tax;Zuidwest-Drenthe (CR);2023;2.0;12.0
3430;Tourist tax;Zuidwest-Drenthe (CR);2024;2.0;12.0
3431;Tourist tax;Zuidwest-Drenthe (CR);2025;2.0;14.0
3432;Tourist tax;Noord-Overijssel (CR);2004;1.0;3.0
3433;Tourist tax;Noord-Overijssel (CR);2005;1.0;4.0
3434;Tourist tax;Noord-Overijssel (CR);2006;2.0;4.0
3435;Tourist tax;Noord-Overijssel (CR);2007;2.0;4.0
3436;Tourist tax;Noord-Overijssel (CR);2008;2.0;5.0
3437;Tourist tax;Noord-Overijssel (CR);2009;2.0;5.0
3438;Tourist tax;Noord-Overijssel (CR);2010;2.0;4.0
3439;Tourist tax;Noord-Overijssel (CR);2011;2.0;4.0
3440;Tourist tax;Noord-Overijssel (CR);2012;2.0;5.0
3441;Tourist tax;Noord-Overijssel (CR);2013;2.0;5.0
3442;Tourist tax;Noord-Overijssel (CR);2014;2.0;6.0
3443;Tourist tax;Noord-Overijssel (CR);2015;2.0;6.0
3444;Tourist tax;Noord-Overijssel (CR);2016;2.0;6.0
3445;Tourist tax;Noord-Overijssel (CR);2017;2.0;7.0
3446;Tourist tax;Noord-Overijssel (CR);2018;3.0;7.0
3447;Tourist tax;Noord-Overijssel (CR);2019;3.0;8.0
3448;Tourist tax;Noord-Overijssel (CR);2020;3.0;8.0
3449;Tourist tax;Noord-Overijssel (CR);2021;4.0;9.0
3450;Tourist tax;Noord-Overijssel (CR);2022;4.0;10.0
3451;Tourist tax;Noord-Overijssel (CR);2023;4.0;10.0
3452;Tourist tax;Noord-Overijssel (CR);2024;5.0;12.0
3453;Tourist tax;Noord-Overijssel (CR);2025;6.0;16.0
3454;Tourist tax;Zuidwest-Overijssel (CR);2004;0.0;1.0
3455;Tourist tax;Zuidwest-Overijssel (CR);2005;0.0;1.0
3456;Tourist tax;Zuidwest-Overijssel (CR);2006;0.0;1.0
3457;Tourist tax;Zuidwest-Overijssel (CR);2007;0.0;1.0
3458;Tourist tax;Zuidwest-Overijssel (CR);2008;0.0;1.0
3459;Tourist tax;Zuidwest-Overijssel (CR);2009;0.0;1.0
3460;Tourist tax;Zuidwest-Overijssel (CR);2010;0.0;1.0
3461;Tourist tax;Zuidwest-Overijssel (CR);2011;0.0;1.0
3462;Tourist tax;Zuidwest-Overijssel (CR);2012;0.0;2.0
3463;Tourist tax;Zuidwest-Overijssel (CR);2013;0.0;2.0
3464;Tourist tax;Zuidwest-Overijssel (CR);2014;0.0;2.0
3465;Tourist tax;Zuidwest-Overijssel (CR);2015;0.0;2.0
3466;Tourist tax;Zuidwest-Overijssel (CR);2016;0.0;3.0
3467;Tourist tax;Zuidwest-Overijssel (CR);2017;0.0;3.0
3468;Tourist tax;Zuidwest-Overijssel (CR);2018;0.0;3.0
3469;Tourist tax;Zuidwest-Overijssel (CR);2019;0.0;3.0
3470;Tourist tax;Zuidwest-Overijssel (CR);2020;0.0;3.0
3471;Tourist tax;Zuidwest-Overijssel (CR);2021;1.0;4.0
3472;Tourist tax;Zuidwest-Overijssel (CR);2022;1.0;4.0
3473;Tourist tax;Zuidwest-Overijssel (CR);2023;1.0;4.0
3474;Tourist tax;Zuidwest-Overijssel (CR);2024;1.0;7.0
3475;Tourist tax;Zuidwest-Overijssel (CR);2025;1.0;7.0
3476;Tourist tax;Twente (CR);2004;1.0;2.0
3477;Tourist tax;Twente (CR);2005;1.0;2.0
3478;Tourist tax;Twente (CR);2006;1.0;2.0
3479;Tourist tax;Twente (CR);2007;1.0;2.0
3480;Tourist tax;Twente (CR);2008;2.0;3.0
3481;Tourist tax;Twente (CR);2009;2.0;3.0
3482;Tourist tax;Twente (CR);2010;2.0;3.0
3483;Tourist tax;Twente (CR);2011;2.0;4.0
3484;Tourist tax;Twente (CR);2012;3.0;4.0
3485;Tourist tax;Twente (CR);2013;3.0;4.0
3486;Tourist tax;Twente (CR);2014;3.0;4.0
3487;Tourist tax;Twente (CR);2015;3.0;4.0
3488;Tourist tax;Twente (CR);2016;3.0;5.0
3489;Tourist tax;Twente (CR);2017;3.0;5.0
3490;Tourist tax;Twente (CR);2018;3.0;5.0
